ACSSF,2019m1,nc,000,0108,0000013,2679,2968,9737,12134,10848,16951,20443,16850,42113,7453,3479,4293,.,6136,18277,1661,.,19658,4554,.,19917,39670,18776,11925,3482,21089,7176,15693,9219,3591,57701,8040,21946,2620,3750,7270,13290,2676,5695,8601,12475,13493,16990,16973,32787,31869,8562,22952,.,10529,13931,8227,17387,3136,5129,13391,18874,.,.,2485,8611,15558,5078,5632,7643,7958,.,15718,.,2302,2513,11646,14235
ACSSF,2019m1,nc,000,0108,0000014,2121,4355,9779,7612,7408,86676,24335,18901,63989,46389,6330,7192,.,31024,.,71487,101208,35568,7389,.,19689,21028,9798,22864,9122,23820,7944,9108,31632,3718,.,6708,21376,10323,19686,7007,124637,4836,3484,11116,11718,31677,68683,30173,185837,236985,6193,29742,.,7542,57946,13669,44795,10528,7236,12230,.,.,.,3249,4820,12403,5021,7210,7330,63200,.,.,28106,1315,10015,2015,31421
ACSSF,2019m1,nc,000,0108,0000015,2955,3309,5557,17681,22226,21708,7283,8403,19141,30662,8728,9757,1872,9672,6794,98084,90215,117469,9108,.,6881,11066,18542,10029,8360,20201,8994,7415,12103,3433,10896,6149,18689,8552,12565,2593,18362,2296,1595,11194,13363,19377,24854,24514,.,58794,2834,5084,155805,4512,13512,2175,8068,15639,2057,8847,955,.,955,1925,2546,9209,3083,3252,2564,19592,.,51740,23533,3667,7445,25951,13406
ACSSF,2019m1,nc,000,0108,0000016,1433,2654,5125,11604,17114,55933,13929,70606,28724,36909,5663,16256,.,3588,.,40513,47895,.,4559,5404,9805,.,12507,3322,5821,72287,4036,14095,3384,8184,.,9843,20917,3531,4649,31585,4590,3332,4411,6145,8329,6432,84992,.,.,189168,12612,13295,.,25126,2172,11618,11824,9758,10804,14586,560,.,.,3187,25308,11183,3705,4697,2345,.,.,.,.,1324,1464,.,.
ACSSF,2019m1,nc,000,0108,0000017,3978,2177,8674,15076,20265,39222,10536,9830,22170,.,20790,26662,145062,13743,15266,43333,123582,36733,1044,5907,11817,6610,26350,8446,18507,16233,10060,11552,18615,5880,.,13031,14318,2038,8883,14509,9041,3509,3199,5903,4848,9545,11657,27314,.,46492,7027,9744,2517,2994,12620,11749,10585,18289,5170,3584,88853,.,.,3890,26435,4137,5178,15882,1395,28818,.,.,.,10753,17762,7456,9406
ACSSF,2019m1,nc,000,0108,0000018,2748,2936,25790,18194,13920,39228,51120,84932,20548,.,5123,.,.,15000,41417,.,.,.,25511,.,18768,.,.,1579,17702,.,12514,22634,11596,9062,.,6840,7954,4129,3577,9182,16707,2407,8869,6297,27085,4779,16808,.,.,23217,6088,20793,.,10674,9046,13901,62412,7250,5247,2860,41126,.,.,12661,4382,44034,5979,14124,1680,.,.,.,.,6621,9727,18655,24758
ACSSF,2019m1,nc,000,0108,0000019,2673,3891,12198,10708,17770,13583,31220,49504,30084,69750,9185,9304,.,26740,.,69967,91875,.,6959,.,9721,.,9721,7359,7797,.,9030,11701,10992,18724,.,64379,6699,10523,11362,30490,9400,3474,4201,5376,13649,25768,28040,61696,54185,35611,9278,16073,.,12687,.,30851,18815,28123,6816,16582,.,.,.,10543,37882,3803,3362,11405,3617,2835,.,.,.,8599,20971,13237,17033
ACSSF,2019m1,nc,000,0108,0000020,1691,2366,10121,15952,17276,26546,24053,67708,33025,55622,8138,8384,171958,15664,87251,65138,169243,42693,11797,21876,27298,13356,59592,1984,15384,.,7503,8160,10984,13827,.,5948,7426,2770,3771,13582,5219,2790,5856,13264,5237,3772,72070,190003,.,.,6071,10834,.,6431,20290,10332,15369,3201,6139,6457,.,.,.,1667,7377,9480,9386,7848,4065,39114,.,30161,11929,6415,8747,.,3116
ACSSF,2019m1,nc,000,0108,0000021,5372,5795,10676,10347,57041,11886,40483,59749,25763,114370,29537,49277,56715,48890,70455,74713,159606,69780,9756,.,22915,.,.,13875,9655,.,54600,104881,.,1867,.,5722,28770,13736,23780,26042,12753,8180,7829,9967,11341,44419,88330,197700,.,.,16109,.,.,40295,17641,17316,7167,34208,1400,7880,.,.,.,3857,6448,26150,7165,12009,12383,.,.,.,.,18663,25235,.,11361
ACSSF,2019m1,nc,000,0108,0000022,2593,4511,13728,55476,49284,26777,31007,22373,21999,106605,15335,26796,.,40164,.,26022,172117,.,25659,.,18945,150,11594,1528,10078,.,4711,4859,25304,7936,.,4690,13421,2865,1400,7662,13532,1526,5116,7754,19451,12277,26034,.,26034,.,19948,8918,40206,23051,25087,13703,10406,14167,6073,10349,30519,30519,.,3200,13014,871,1454,21559,1698,.,.,.,.,13641,20835,518,45822
