ACSSF,2019e1,nc,000,0027,0000023,99862,13374,10637,75851,82932,10691,8515,63726,6667,1728,1126,3813,3858,131,498,3229,6405,824,498,5083,,,,,,,,,,,,,,,,,,,,,100172,70281,29891,83076,61770,21306,6980,2138,4842,3858,2410,1448,6258,3963,2295,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000024,320032,58433,33298,228301,249049,43225,23354,182470,35358,8336,5815,21207,14450,3330,1045,10075,21175,3542,3084,14549,,,,,,,,,,,,,,,,,,,,,320436,163283,157153,249186,142214,106972,35643,9325,26318,14432,6074,8358,21175,5670,15505,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000025,164723,27965,15427,121331,150521,24230,13443,112848,7429,2686,683,4060,5126,874,556,3696,1647,175,745,727,,,,,,,,,,,,,,,,,,,,,164992,117998,46994,151024,112134,38890,7507,3212,4295,4989,2265,2724,1472,387,1085,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000026,302726,41905,21065,239756,248552,30168,15855,202529,29162,5238,3250,20674,15211,4507,1631,9073,9801,1992,329,7480,,,,,,,,,,,,,,,,,,,,,301490,179881,121609,247958,162020,85938,28539,7195,21344,15284,6930,8354,9709,3736,5973,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000027,361112,55981,34893,270238,318055,48493,29303,240259,28881,5701,4564,18616,9302,1266,934,7102,4874,521,92,4261,,,,,,,,,,,,,,,,,,,,,360371,231633,128738,318223,216949,101274,28508,8450,20058,8766,4870,3896,4874,1364,3510,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65318,48600,16718,58810,45830,12980,2777,1078,1699,3460,1631,1829,271,61,210,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000029,214261,23065,26020,165176,189338,19549,22339,147450,15645,1666,3078,10901,6190,1199,548,4443,3088,651,55,2382,,,,,,,,,,,,,,,,,,,,,215376,146659,68717,190032,136631,53401,15929,5448,10481,6425,2962,3463,2990,1618,1372,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000030,507703,84110,47063,376530,433046,63561,42555,326930,47621,14261,2491,30869,19343,5776,1764,11803,7693,512,253,6928,,,,,,,,,,,,,,,,,,,,,506806,305794,201012,432554,278819,153735,47249,14978,32271,19310,8043,11267,7693,3954,3739,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000031,126355,20970,12028,93357,113587,18283,11128,84176,5125,790,154,4181,4814,1114,746,2954,2829,783,0,2046,,,,,,,,,,,,,,,,,,,,,126594,78084,48510,113864,73199,40665,5099,1378,3721,4802,2206,2596,2829,1301,1528,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000032,109543,11808,8283,89452,101480,10624,8189,82667,3828,499,0,3329,2671,331,94,2246,1564,354,0,1210,,,,,,,,,,,,,,,,,,,,,109387,84192,25195,101475,79080,22395,3779,1682,2097,2569,2152,417,1564,1278,286,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000033,174479,12361,13192,148926,155659,10394,10048,135217,9672,1014,2616,6042,4996,318,470,4208,4152,635,58,3459,,,,,,,,,,,,,,,,,,,,,175036,132391,42645,155981,123106,32875,9665,6178,3487,5229,1633,3596,4161,1474,2687,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000034,202135,28564,13856,159715,183585,21731,12184,149670,7483,3793,76,3614,7922,1904,1200,4818,3145,1136,396,1613,,,,,,,,,,,,,,,,,,,,,202136,148282,53854,183551,141928,41623,7518,2523,4995,7922,2639,5283,3145,1192,1953,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000035,83799,6846,3735,73218,76920,5518,3394,68008,3223,742,158,2323,2405,293,20,2092,1251,293,163,795,,,,,,,,,,,,,,,,,,,,,83877,65412,18465,76823,62226,14597,3223,1457,1766,2580,1246,1334,1251,483,768,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000036,1081334,105932,84832,890570,911347,85900,69762,755685,91607,10428,10805,70374,32928,4011,2565,26352,45452,5593,1700,38159,,,,,,,,,,,,,,,,,,,,,1082986,656367,426619,912578,588567,324011,91609,28868,62741,32851,17990,14861,45948,20942,25006,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000037,94782,10860,8594,75328,83060,8797,7370,66893,7437,1806,214,5417,2804,257,1010,1537,1481,0,0,1481,,,,,,,,,,,,,,,,,,,,,95079,75676,19403,83211,68868,14343,7727,4058,3669,2660,1777,883,1481,973,508,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000038,87958,13376,12888,61694,78635,11866,11151,55618,5817,887,1165,3765,2983,623,541,1819,523,0,31,492,,,,,,,,,,,,,,,,,,,,,87546,59763,27783,78533,54652,23881,5708,3230,2478,2813,1653,1160,492,228,264,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000039,221811,27891,22709,171211,187935,22472,18952,146511,19245,2637,2896,13712,9899,1918,665,7316,4732,864,196,3672,,,,,,,,,,,,,,,,,,,,,220847,132156,88691,187270,121004,66266,19052,6197,12855,9899,3084,6815,4626,1871,2755,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000040,180249,21673,19256,139320,137278,14241,15544,107493,21089,3888,2120,15081,6994,1409,769,4816,14888,2135,823,11930,,,,,,,,,,,,,,,,,,,,,180457,103053,77404,137362,89157,48205,21213,5085,16128,6994,2569,4425,14888,6242,8646,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000041,129485,17155,6391,105939,106511,10105,4837,91569,11657,5263,947,5447,8387,1231,525,6631,2930,556,82,2292,,,,,,,,,,,,,,,,,,,,,129568,89459,40109,106510,81468,25042,11763,4045,7718,8314,3271,5043,2981,675,2306,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000042,165188,31861,15388,117939,137094,24027,13415,99652,16159,4128,553,11478,8102,2684,912,4506,3833,1022,508,2303,,,,,,,,,,,,,,,,,,,,,164934,90081,74853,137484,82536,54948,16079,3570,12509,7671,2612,5059,3700,1363,2337,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000043,141571,20990,18699,101882,119591,15146,15907,88538,15132,3770,2169,9193,6173,2074,239,3860,675,0,384,291,,,,,,,,,,,,,,,,,,,,,142075,98784,43291,119912,91821,28091,15253,5296,9957,6235,1376,4859,675,291,384,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000044,126595,40383,17582,68630,117784,37742,16603,63439,5474,1410,660,3404,2016,676,164,1176,1321,555,155,611,,,,,,,,,,,,,,,,,,,,,127106,81668,45438,117642,78317,39325,5462,2401,3061,2681,717,1964,1321,233,1088,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000045,86696,16031,8472,62193,75375,14727,7903,52745,7803,1043,351,6409,1376,186,101,1089,2142,75,117,1950,,,,,,,,,,,,,,,,,,,,,87061,60972,26089,75725,56295,19430,7833,3396,4437,1376,651,725,2127,630,1497,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000046,131014,17011,15833,98170,119064,14602,14095,90367,7141,1781,1356,4004,3592,528,341,2723,1217,100,41,1076,,,,,,,,,,,,,,,,,,,,,130840,88365,42475,118749,83957,34792,7292,1959,5333,3582,1937,1645,1217,512,705,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000047,63043,12262,8240,42541,56098,10510,6972,38616,5259,1533,1190,2536,283,122,0,161,1403,97,78,1228,,,,,,,,,,,,,,,,,,,,,63002,47423,15579,56057,44754,11303,5259,1674,3585,283,250,33,1403,745,658,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000048,69485,11478,8748,49259,64445,9720,8127,46598,3777,1541,464,1772,902,217,157,528,361,0,0,361,,,,,,,,,,,,,,,,,,,,,69416,52630,16786,64448,49748,14700,3705,2203,1502,902,378,524,361,301,60,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000049,226534,17651,11837,197046,199645,13782,9255,176608,15090,1664,2320,11106,7391,1643,165,5583,4408,562,97,3749,,,,,,,,,,,,,,,,,,,,,227111,182303,44808,200289,170175,30114,15162,6583,8579,7252,3313,3939,4408,2232,2176,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000050,1041954,78631,65850,897473,890284,57376,55788,777120,108832,15138,7384,86310,25087,4509,2358,18220,17751,1608,320,15823,,,,,,,,,,,,,,,,,,,,,1043729,726210,317519,891727,659143,232584,109198,46302,62896,25087,13801,11286,17717,6964,10753,,,,,,,,,,,,,,,
