ACSSF,2019m1,nc,000,0172,0000011,4278,5842,6066,6174,6342,2393,4392,1522,1083,746,861,1382,4085,3741,3092,3403,2405,4278,6410,4617,3943,3713,1299,208,871,2976,3946,3842,3535,1263,390,1539,1689,4181,2941,2146,1383,1124,376,1186,1940,3130,2714,2008,1230,424,1537,1913,3900,2963,2595,1580,1392,1721,2346,1529,3199,3093,2232,1693,1636,2246,1944,4278,6410,4617,3918,3097,3946,3615,2246,4181,2941,1678,2249,3130,2394,2381,3900,2963,1866,2693,3199,2594,2659,4278,6410,4617,1133,4606,3946,1663,3587,4181,2941,1314,2613,3130,1631,2761,3900,2963,2332,2286,3199,2206,2681,4028,8097,7146,4226,6629,2742,9792,8589,5652,6293,4076,9655,8105,6631,4783,3273,7701,6600,5641,3606,3272,9228,8709,8697,3448,1762,4278,6410,5976,5820,2018,424,1703,3786,4181,3453,2404,1696,543,2026,2985,3900,3700,2620,2250,2417,3452,2470,4278,6410,6026,4213,4181,2883,3411,3900,2905,3745,4278,6410,1948,6233,4181,2113,3794,3900,3268,3350
ACSSF,2019m1,nc,000,0172,0000012,5282,9568,10831,11994,12329,4139,7575,3552,2056,1691,1712,3048,8159,6815,5282,5760,4752,5282,11154,8573,8298,7832,2954,765,1591,4913,6085,6023,6097,2304,502,1848,3465,8108,5634,4074,3124,2275,840,2006,3556,5733,5313,3837,2339,1072,2980,2915,8201,5603,4773,3075,2067,2650,3401,3009,5771,4929,3817,2881,2955,3865,3493,5282,11154,8573,8300,5338,6085,6030,3566,8108,5634,3634,4190,5733,4539,4158,8201,5603,3365,4853,5771,4749,5103,5282,11154,8573,2195,8400,6085,1904,6296,8108,5634,2259,5060,5733,3213,4856,8201,5603,3895,4034,5771,4007,5247,4433,14585,13095,7344,12267,5354,18118,15539,10432,10511,7160,18601,16783,13503,8716,5525,13404,11875,10315,6815,5276,18059,17585,16529,5768,2971,5282,11154,11113,11259,4168,885,2505,6716,8108,6781,5001,3234,1354,3780,4934,8201,6902,4769,3573,3722,5454,5286,5282,11154,11299,6920,8108,5660,6192,8201,5285,7243,5282,11154,2891,11298,8108,4258,6939,8201,5800,7122
ACSSF,2019m1,nc,000,0172,0000013,1436,2471,2477,2903,3106,1837,1861,878,622,446,529,635,2558,1846,1633,1281,1400,1436,3177,1785,1648,1733,1092,75,649,1406,2200,2315,2448,846,85,963,823,3031,1782,1447,1070,1275,49,540,1159,2032,1946,1739,682,352,1085,666,2122,1221,1004,775,379,744,616,600,1944,1386,816,728,689,751,1132,1436,3177,1785,1723,1365,2200,2275,1246,3031,1782,1512,1254,2032,1825,1273,2122,1221,838,868,1944,1180,1350,1436,3177,1785,826,1936,2200,1000,2188,3031,1782,574,1770,2032,1105,1840,2122,1221,845,1075,1944,937,1740,634,4034,3346,1495,3138,1597,4561,4200,3441,2730,1261,4679,4227,3856,2291,1143,4538,4488,4261,1942,956,5452,4719,4584,1275,1743,1436,3177,2995,3288,1393,116,1207,1706,3031,2661,2213,1651,349,1246,1338,2122,1622,1032,812,1093,993,1239,1436,3177,3100,1785,3031,2615,1991,2122,1400,1564,1436,3177,1305,3412,3031,1255,2698,2122,1291,1988
ACSSF,2019m1,nc,000,0172,0000014,1249,2006,2161,2597,2578,1304,1761,1209,894,753,755,678,2101,1858,1844,1390,1207,1249,2324,1520,1715,1711,1090,206,359,1119,1925,1936,1768,898,216,625,734,2158,1744,1503,1260,567,123,693,1062,1742,1611,1110,867,301,1020,912,2063,1296,1151,929,781,896,670,584,1544,1354,1060,695,600,604,984,1249,2324,1520,1707,1136,1925,1919,908,2158,1744,1331,1293,1742,1305,1337,2063,1296,1126,954,1544,1221,1099,1249,2324,1520,614,1585,1925,651,1932,2158,1744,754,1623,1742,1105,1415,2063,1296,1107,1091,1544,747,1504,676,3362,2676,1647,2281,1466,3582,3067,2469,2623,1182,4165,3920,3127,2871,1366,3716,3485,3004,1973,816,4960,4615,4017,2590,2054,1249,2324,2558,2464,1401,206,689,1403,2158,2011,1574,1079,326,1240,1288,2063,1858,1553,1087,967,962,1169,1249,2324,2554,1494,2158,1701,1733,2063,1921,1513,1249,2324,876,2401,2158,1251,1916,2063,1408,2065
ACSSF,2019m1,nc,000,0172,0000015,1701,3247,3308,4629,4683,1553,3390,646,483,375,358,432,3100,2683,2174,2613,1902,1701,3953,2485,2664,2835,1080,308,644,1834,3017,2953,3001,1096,216,548,2014,3506,2003,1669,1216,1216,186,585,1362,2652,2331,1907,1076,323,929,1629,3037,1640,1454,845,712,779,980,1001,2550,2248,1447,981,740,1939,1285,1701,3953,2485,2743,2080,3017,2901,2190,3506,2003,1627,1464,2652,2204,1880,3037,1640,1130,1484,2550,1652,2106,1701,3953,2485,927,2548,3017,548,2896,3506,2003,686,1999,2652,935,2524,3037,1640,1286,1272,2550,2011,2133,1451,4728,4095,3263,3042,2892,6706,5949,4666,3829,2551,6736,5772,4953,2676,3172,4755,4150,3515,1838,2031,6849,6535,6118,2473,1713,1701,3953,4344,4860,1665,308,866,2843,3506,3072,2511,1826,366,1203,2306,3037,2621,1735,1293,1139,2255,1858,1701,3953,4419,3227,3506,2972,2633,3037,2057,2769,1701,3953,1126,3891,3506,1267,3342,3037,2502,2690
ACSSF,2019m1,nc,000,0172,0000016,1134,2256,2504,2859,2937,1011,1666,818,571,305,485,445,1992,1675,1440,1361,951,1134,2569,1770,1699,1681,1108,73,359,1365,1505,1465,1401,578,130,363,682,2135,1633,1605,1026,1060,128,454,568,1348,1247,1078,490,216,797,759,2118,1460,1209,579,278,890,602,606,1306,1182,823,1013,689,893,597,1134,2569,1770,1748,1377,1505,1472,702,2135,1633,1547,745,1348,1040,1017,2118,1460,705,1068,1306,1144,1087,1134,2569,1770,485,1855,1505,354,1491,2135,1633,454,1568,1348,816,1158,2118,1460,1119,777,1306,912,1270,914,3510,2836,2243,2077,1734,3018,2828,2379,2462,1173,3173,2969,2917,1650,874,2379,2309,2091,1124,378,3312,3210,3140,1368,585,1134,2569,2555,2431,1431,141,559,1613,2135,2045,1516,1202,128,827,942,2118,1792,1169,1218,1027,948,838,1134,2569,2637,1660,2135,1888,1269,2118,1639,1385,1134,2569,638,2658,2135,849,1953,2118,1308,1746
ACSSF,2019m1,nc,000,0172,0000017,1732,2696,2969,3709,3617,2077,2580,1307,793,724,417,973,2398,2224,1756,1672,990,1732,3101,2326,2208,2290,1121,183,689,1404,2517,2643,2748,1659,168,1585,1114,3015,2349,1839,1809,909,133,770,1615,2626,2355,1932,718,95,1499,1095,2144,1531,1115,465,519,788,827,998,1504,1474,1056,610,789,1016,547,1732,3101,2326,2213,1517,2517,2586,1415,3015,2349,1866,1620,2626,1905,1850,2144,1531,742,1399,1504,1203,927,1732,3101,2326,792,2355,2517,1626,2483,3015,2349,812,2129,2626,1499,2198,2144,1531,1049,1133,1504,1044,1199,848,3540,3017,1778,2738,1065,6811,6180,4406,4872,2336,6364,6310,5242,2800,775,7700,6834,5963,2630,2079,8370,6731,6298,2576,3996,1732,3101,3534,3962,1960,244,1626,1472,3015,2803,2602,1211,166,1731,1873,2144,1961,1143,809,1162,1415,1131,1732,3101,3595,1627,3015,2504,2265,2144,1409,1571,1732,3101,1730,3520,3015,1761,2952,2144,1614,1714
ACSSF,2019m1,nc,000,0172,0000018,843,2600,2193,2648,2571,986,1515,872,415,131,394,765,2396,1893,1156,1583,1039,843,2021,1593,1750,1748,541,153,275,789,1333,1295,1410,382,157,686,821,1886,997,646,570,254,150,247,720,1493,1468,1036,384,336,589,929,1836,1502,1321,210,652,853,777,702,1150,1046,744,560,784,801,629,843,2021,1593,1743,829,1333,1284,827,1886,997,599,787,1493,1170,1314,1836,1502,698,1201,1150,922,977,843,2021,1593,354,1590,1333,785,1285,1886,997,308,952,1493,972,1114,1836,1502,946,969,1150,924,940,622,2218,1864,772,1786,1190,4054,3110,1949,2122,1613,4261,3848,2952,2276,975,4024,3375,3031,1334,1243,3304,3307,2982,1402,201,843,2021,2180,2325,637,219,727,1153,1886,1675,1256,545,363,667,1166,1836,1669,796,871,1165,1101,805,843,2021,2168,1164,1886,1422,1527,1836,1169,1475,843,2021,865,1995,1886,1036,1549,1836,1324,1301
ACSSF,2019m1,nc,000,0172,0000019,799,1310,1460,1828,1901,635,1181,630,595,467,273,137,1132,1092,929,657,574,799,1618,1060,991,994,614,146,148,484,1045,1085,1010,369,216,226,685,1463,1202,756,531,329,119,218,937,991,897,893,454,157,505,433,1058,695,667,610,557,356,272,161,677,660,447,319,258,324,366,799,1618,1060,978,511,1045,1043,680,1463,1202,730,953,991,953,649,1058,695,671,366,677,532,432,799,1618,1060,274,997,1045,226,1033,1463,1202,246,1175,991,504,1015,1058,695,402,657,677,384,637,468,1768,1454,839,1201,774,2128,1671,1402,1276,911,2252,1706,1633,1132,1283,2240,2039,1577,1208,500,3074,2943,2794,1209,703,799,1618,1817,1627,673,146,238,801,1463,1185,1054,619,227,588,965,1058,1029,824,619,457,497,391,799,1618,1718,771,1463,1258,1221,1058,894,659,799,1618,349,1549,1463,625,1415,1058,651,944
ACSSF,2019m1,nc,000,0172,0000020,1193,2425,2390,2916,3022,1083,2291,1186,906,644,589,811,2402,2051,1514,1523,1555,1193,3528,2208,2248,2114,1276,173,249,1275,2515,2514,2226,1187,49,442,1127,2440,1539,1375,1009,870,108,523,1120,1843,1571,1399,476,222,584,1042,2303,1315,1103,698,393,451,725,677,1733,1586,974,705,781,1249,1137,1193,3528,2208,2306,1272,2515,2374,1239,2440,1539,1300,1092,1843,1420,1180,2303,1315,757,1088,1733,1208,1530,1193,3528,2208,607,2450,2515,487,2390,2440,1539,520,1398,1843,576,1710,2303,1315,904,1008,1733,1296,1533,1058,5055,3604,1648,3377,2853,4796,3882,2726,3073,2031,5512,4739,3909,2251,1825,4959,3708,2722,1948,2336,5642,5153,4998,1702,1990,1193,3528,3516,2998,2263,176,608,1824,2440,2254,1800,989,264,945,1554,2303,2037,1290,870,916,1440,1351,1193,3528,3475,1855,2440,1946,1638,2303,1498,1967,1193,3528,777,3717,2440,927,1999,2303,1558,1823
ACSSF,2019m1,nc,000,0172,0000021,865,1783,1779,2059,2040,962,1746,132,124,105,63,39,1723,1470,1404,1190,712,865,1856,1181,1470,1404,593,192,137,985,1756,1748,1751,379,114,872,780,1401,922,814,771,395,183,160,607,1109,1034,1058,335,66,237,643,1601,677,573,363,399,363,528,489,1374,1209,1102,782,711,954,563,865,1856,1181,1455,999,1756,1735,776,1401,922,801,634,1109,1007,652,1601,677,467,714,1374,1133,802,865,1856,1181,258,1188,1756,879,1451,1401,922,168,906,1109,242,1105,1601,677,528,596,1374,1054,969,356,2495,2237,1815,1777,837,3519,2900,2172,2485,1321,2999,2494,2300,1241,1437,2852,2450,2352,1054,1142,3765,3501,3430,1326,715,865,1856,2008,2063,750,217,879,1286,1401,1270,1282,529,193,290,928,1601,1359,1160,947,818,1084,652,865,1856,2002,1300,1401,1277,973,1601,1230,979,865,1856,939,1730,1401,300,1406,1601,1176,1159
ACSSF,2019m1,nc,000,0172,0000022,448,2144,2199,2641,2611,1005,2275,1057,805,682,484,871,2088,1849,1155,1673,1197,448,2353,1664,1692,1653,882,114,459,1259,1402,1516,1481,545,47,447,1304,1796,1128,1104,1098,935,83,310,721,1336,1137,791,162,435,890,755,2194,1549,1419,976,403,783,1159,508,1494,1194,843,433,721,931,1225,448,2353,1664,1662,1300,1402,1519,1292,1796,1128,1167,835,1336,823,1119,2194,1549,1021,1268,1494,893,1564,448,2353,1664,459,1671,1402,456,1511,1796,1128,318,1120,1336,931,1132,2194,1549,1202,1046,1494,1120,1337,407,4250,3771,2190,3125,1216,4224,3131,1764,2653,1835,4269,4051,3263,1940,929,3820,3135,2889,1492,1135,4911,4826,4222,1358,872,448,2353,2487,2460,1169,123,707,2278,1796,1612,1362,974,444,940,1058,2194,1870,1286,550,972,1554,1386,448,2353,2471,2264,1796,1509,1427,2194,1351,2085,448,2353,697,2550,1796,1008,1697,2194,1766,1762
