ACSSF,2019e1,nc,000,0070,0000011,130545,34705,3868,3730,3460,16529,4271,1621,1226,95840,2856,6716,4719,48542,24433,6939,1635,6651,1128,84,226,106,610,38,64,0,5523,27,668,876,2432,1237,224,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17819,3864,562,680,776,1491,244,111,0,13955,1073,1279,1891,9601,111,0,0,9538,2213,679,387,405,471,156,0,115,7325,1296,1375,773,2806,816,112,147,369946,44195,3193,2680,4058,21119,8819,3260,1066,325751,13430,16368,19365,154268,82977,31689,7654,53209,12158,2462,2252,2003,4506,477,458,0,41051,4861,5144,4838,23315,2363,424,106,571542,93971,65320,22216,21231,985,43104,6465,5000,1465,36639,34576,2063,28651,21103,17992,3111,7548,477571,404890,308760,308186,574,96130,25612,24241,1371,70518,66953,3565,72681,63362,54508,8854,9319,571542,93971,65320,22216,43104,6465,36639,28651,477571,404890,308760,96130,25612,70518,72681
ACSSF,2019e1,nc,000,0070,0000012,397903,116825,14938,16208,11076,54311,14026,4239,2027,281078,8813,19010,18469,150524,62736,16194,5332,80741,23651,2620,3265,2672,11071,2859,962,202,57090,3231,3388,5378,33037,9575,2103,378,14266,756,0,0,0,756,0,0,0,13510,644,651,1737,7863,1527,532,556,,,,,,,,,,,,,,,,,,52925,13656,2826,2443,2244,5390,551,111,91,39269,2092,3065,6313,26667,1016,64,52,37316,8944,2675,1503,1430,2867,354,0,115,28372,4784,3998,3646,13022,1893,603,426,1256855,162378,13307,11620,14428,84439,26903,7432,4249,1094477,50854,56244,65589,538813,260234,96448,26295,150221,39756,8291,6937,6206,15968,1561,593,200,110465,9517,13394,14169,65368,6331,1126,560,1926114,347936,246779,71348,67353,3995,175431,33002,24416,8586,142429,134892,7537,101157,72550,58345,14205,28607,1578178,1338227,1009264,1007102,2162,328963,93400,86791,6609,235563,222211,13352,239951,205210,175167,30043,34741,1926114,347936,246779,71348,175431,33002,142429,101157,1578178,1338227,1009264,328963,93400,235563,239951
ACSSF,2019e1,nc,000,0070,0000013,33654,7934,1842,569,1063,3183,993,163,121,25720,1145,1362,1611,15412,4668,1250,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103828,11768,222,1335,910,6353,1410,1335,203,92060,5597,5635,4610,49819,17746,6868,1785,21536,4250,691,931,935,1651,42,0,0,17286,1993,1912,2298,10085,887,111,0,165387,25249,18366,5382,5038,344,12984,2252,1681,571,10732,10330,402,6883,4113,3550,563,2770,140138,119150,96841,96693,148,22309,9334,7968,1366,12975,12238,737,20988,18410,16028,2382,2578,165387,25249,18366,5382,12984,2252,10732,6883,140138,119150,96841,22309,9334,12975,20988
ACSSF,2019e1,nc,000,0070,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116859,8181,589,704,914,3171,1940,798,65,108678,4139,4185,3882,43909,39509,10803,2251,,,,,,,,,,,,,,,,,,141927,13326,9250,5972,5746,226,3278,422,382,40,2856,2856,0,4076,3063,2722,341,1013,128601,109982,90557,89901,656,19425,7538,7284,254,11887,10672,1215,18619,15516,13466,2050,3103,141927,13326,9250,5972,3278,422,2856,4076,128601,109982,90557,19425,7538,11887,18619
ACSSF,2019e1,nc,000,0070,0000015,16464,3704,543,629,69,1161,829,39,434,12760,414,968,1235,7707,1503,177,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212142,19457,679,1283,802,11083,3444,1356,810,192685,10356,9115,11101,103318,42682,11307,4806,,,,,,,,,,,,,,,,,,254547,30942,20319,9605,9369,236,10714,1279,600,679,9435,8743,692,10623,7121,5007,2114,3502,223605,175969,138902,138542,360,37067,11899,10951,948,25168,22548,2620,47636,35945,28172,7773,11691,254547,30942,20319,9605,10714,1279,9435,10623,223605,175969,138902,37067,11899,25168,47636
ACSSF,2019e1,nc,000,0070,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71937,11267,1075,1081,1019,6200,1388,325,179,60670,2193,2702,3246,32435,13307,5077,1710,,,,,,,,,,,,,,,,,,88308,18560,13353,6688,6569,119,6665,2562,2186,376,4103,3823,280,5207,2495,2153,342,2712,69748,60103,47127,47127,0,12976,5313,5085,228,7663,7451,212,9645,8748,7425,1323,897,88308,18560,13353,6688,6665,2562,4103,5207,69748,60103,47127,12976,5313,7663,9645
ACSSF,2019e1,nc,000,0070,0000017,39830,5525,1036,434,531,2712,766,46,0,34305,2137,3379,3139,20939,3463,526,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135250,7226,313,425,280,3624,1607,708,269,128024,8356,9033,10084,71681,20550,5849,2471,,,,,,,,,,,,,,,,,,214542,15760,11557,2671,1962,709,8886,164,0,164,8722,7551,1171,4203,3036,2850,186,1167,198782,181033,140392,139991,401,40641,7577,7546,31,33064,32006,1058,17749,14545,11673,2872,3204,214542,15760,11557,2671,8886,164,8722,4203,198782,181033,140392,40641,7577,33064,17749
ACSSF,2019e1,nc,000,0070,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70634,7247,405,544,770,4201,664,405,258,63387,3541,3672,3695,32524,14316,4137,1502,,,,,,,,,,,,,,,,,,81097,8096,5147,1647,1255,392,3500,910,511,399,2590,2509,81,2949,1890,1384,506,1059,73001,60636,45231,45175,56,15405,5548,5362,186,9857,9514,343,12365,9648,8162,1486,2717,81097,8096,5147,1647,3500,910,2590,2949,73001,60636,45231,15405,5548,9857,12365
ACSSF,2019e1,nc,000,0070,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59351,4912,262,217,465,2306,1134,206,322,54439,2504,2688,3078,25027,15275,4579,1288,,,,,,,,,,,,,,,,,,68408,6080,3143,1624,1524,100,1519,456,387,69,1063,931,132,2937,2252,1849,403,685,62328,52048,42188,42010,178,9860,2091,1907,184,7769,7180,589,10280,8418,6711,1707,1862,68408,6080,3143,1624,1519,456,1063,2937,62328,52048,42188,9860,2091,7769,10280
ACSSF,2019e1,nc,000,0070,0000020,13659,3478,263,540,191,1698,496,164,126,10181,550,844,1188,5247,1807,134,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117339,14315,1388,767,773,7715,2194,1341,137,103024,5337,5620,7246,54662,21584,6221,2354,16117,4691,853,1353,442,2043,0,0,0,11426,373,1268,1917,6935,933,0,0,156634,23316,16883,6514,6221,293,10369,1282,749,533,9087,8340,747,6433,4616,3361,1255,1817,133318,115202,83775,83601,174,31427,12523,11696,827,18904,18239,665,18116,15940,14006,1934,2176,156634,23316,16883,6514,10369,1282,9087,6433,133318,115202,83775,31427,12523,18904,18116
ACSSF,2019e1,nc,000,0070,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51735,2404,388,0,42,1481,336,93,64,49331,1560,2439,3532,22859,12494,4212,2235,,,,,,,,,,,,,,,,,,73477,6139,3950,2081,2081,0,1869,697,0,697,1172,1172,0,2189,1678,1456,222,511,67338,58592,45784,45784,0,12808,6284,5540,744,6524,6304,220,8746,7590,6697,893,1156,73477,6139,3950,2081,1869,697,1172,2189,67338,58592,45784,12808,6284,6524,8746
