ACSSF,2019e1,nc,000,0108,0000012,31052,35710,55434,60879,60921,60306,60864,52351,67153,52711,41354,41064,100957,45845,24088,61894,114775,44406,22484,23249,42158,28056,46034,11739,27484,19033,30924,29964,31778,32378,21935,31254,41721,32108,35808,39684,24542,26920,41365,46434,46962,45746,47072,43039,53435,48081,35029,36708,36644,35046,23364,47227,56186,36925,16945,22872,36240,30228,40844,11599,15606,11962,24918,17463,26616,24067,21178,27293,26369,22647,24515,22013,19381
ACSSF,2019e1,nc,000,0108,0000013,34033,38910,56267,71612,78967,43393,67583,69385,72844,53775,40165,42640,.,41167,25804,51204,250001,49148,27435,.,44868,32048,56510,21423,31621,22292,40662,41483,40331,31298,17383,30799,32206,33739,35865,45215,27807,29665,50299,57249,51989,63284,61447,65063,71442,32013,36421,20482,.,44440,30737,52021,62219,46287,14577,19755,16869,.,.,10022,19333,28899,29692,20543,39978,33774,.,33663,.,22233,22265,33316,21521
ACSSF,2019e1,nc,000,0108,0000014,32163,36526,56594,62179,62272,56896,60739,49727,61515,72762,41001,41209,.,48182,.,52599,101231,21517,27873,.,57656,40601,62088,21439,24331,15103,30535,30519,35107,31737,2499,30042,44416,35283,44456,31019,29785,27666,51208,59868,54777,66641,54760,53197,86821,150385,40633,33441,.,40692,19688,59830,71673,58414,13013,25351,.,.,.,4196,19040,12042,22659,19151,29697,80571,.,.,80967,18773,16230,18396,25159
ACSSF,2019e1,nc,000,0108,0000015,33455,39644,54355,64535,64810,63664,58950,62982,51064,51352,43341,47074,91150,50266,18855,82483,120551,44194,27538,.,40954,37083,41398,20305,28149,23125,35564,46247,21696,28206,16163,25637,38125,36224,36142,41000,18955,30076,41771,42080,42021,42308,54328,55704,2499,60978,38554,43816,105023,38454,28412,50854,51833,41084,17289,23433,38965,.,38965,15605,13938,11626,26719,23055,30786,41707,.,40774,42235,25115,19501,26290,28652
ACSSF,2019e1,nc,000,0108,0000016,31376,35007,50917,47416,49063,44568,58512,32386,59830,53884,42145,43673,.,41812,.,79807,91180,.,28690,30386,32088,.,32386,10320,27087,14256,36911,37388,36339,23845,.,17320,31456,34307,35605,35660,31679,27514,37973,31583,26725,39612,50783,.,.,145219,34360,38155,.,24987,36775,51001,56534,42129,18320,24025,11168,.,.,12918,35027,25439,23467,16602,27778,.,.,.,.,31465,31741,.,.
ACSSF,2019e1,nc,000,0108,0000017,38860,41883,81992,90800,86175,102126,99968,101649,82185,.,40452,51196,122031,53936,16872,91270,110139,83985,20995,21992,41502,40970,64277,12389,31567,10386,47282,54628,41821,40392,.,24794,50282,25934,29538,25861,20343,35404,50261,52299,51916,56039,72704,82334,.,32099,39563,46337,43301,36689,14792,62612,67043,36786,17207,29411,21760,.,.,13082,18295,15956,33493,22439,36425,9177,.,.,.,23606,30236,17880,23637
ACSSF,2019e1,nc,000,0108,0000018,31737,40352,55326,70836,71275,56467,95414,65724,96308,.,38823,.,.,29579,51189,.,.,.,23333,.,37500,.,.,16476,45933,.,41736,45612,41563,35853,.,30622,40739,37845,39841,59316,20840,26438,35263,38929,42020,36287,48285,.,.,19323,25947,31548,.,26428,13321,35640,50034,35625,21604,30030,57803,.,.,16197,6468,18494,27482,21466,31313,.,.,.,.,19893,26613,17709,20042
ACSSF,2019e1,nc,000,0108,0000019,31579,37087,60352,60601,56356,66389,68952,26129,80388,75149,36897,37911,.,32423,.,131956,132150,.,12269,.,36862,.,36862,10578,26651,.,35845,36544,26563,51774,.,58643,41534,29222,37581,35440,23693,28022,41926,46713,51077,34936,70339,63708,71667,66250,32449,40077,.,34750,2499,60385,71869,31637,10832,5638,.,.,.,11925,24023,6538,25831,11229,29110,16060,.,.,.,22685,24821,11897,17016
ACSSF,2019e1,nc,000,0108,0000020,32368,35720,51787,67973,69047,52044,56016,58646,55782,58750,35950,31148,171088,40344,8182,76048,111250,41136,12076,20750,23659,24167,12345,10737,25644,.,40800,44583,30759,32429,.,23724,47956,32232,35592,40245,22015,30229,41550,51614,60719,32549,45855,108117,.,.,31238,38346,.,27089,40297,49209,55401,32075,16569,23820,.,.,.,10940,21225,16163,27081,17404,33924,27240,.,50709,21719,30700,27479,.,32618
ACSSF,2019e1,nc,000,0108,0000021,40073,40701,75586,87293,100712,86799,76450,99310,52123,190368,36585,51930,14679,12122,37127,105741,117568,105711,17205,.,37647,.,.,16520,17183,.,38436,41217,.,31010,.,30733,45621,31698,42671,40859,13363,38084,58852,61937,65335,60213,85253,87285,.,.,21917,.,.,22363,12253,66756,71601,34377,16084,25201,.,.,.,15772,15123,20315,40602,40876,37272,.,.,.,.,19441,20403,.,10994
ACSSF,2019e1,nc,000,0108,0000022,28109,31392,52306,88775,97457,57847,48240,21960,75964,36681,40752,53056,.,46397,2499,26306,26708,.,19597,.,42906,41199,56193,10742,37392,.,26801,26627,35686,35708,.,31839,42411,26751,25990,32188,27158,26368,40138,44483,45880,41699,39665,.,39665,.,23687,42413,22412,17364,23121,48616,57254,22349,15221,17452,37250,37250,.,11685,7129,11357,26943,15948,27120,2499,.,2499,.,40648,39052,51122,40091
ACSSF,2019e1,nc,000,0108,0000023,31100,40237,65536,66484,70683,64411,66605,120631,65834,.,40466,21581,.,41510,50669,76858,77380,.,16258,.,24796,.,24750,14147,29440,14299,28550,25526,31552,36240,.,40585,32658,46154,50559,60980,37378,24798,46653,48875,46538,68292,69493,.,107954,27405,37828,26275,.,24554,.,52195,52423,46502,11932,7247,2499,.,.,12078,15018,19265,23376,24448,21963,.,.,.,.,21621,22846,20639,.
ACSSF,2019e1,nc,000,0108,0000024,29624,32142,55802,56780,52246,71172,75469,70513,75990,98734,46270,40400,46782,52107,21052,67714,100056,56097,22724,19358,35650,19818,45288,16485,27083,9682,30828,31674,26308,30478,20270,27692,36212,31606,36385,36133,21877,25930,41675,49564,48819,51496,78500,93336,33731,.,35201,36247,34139,36188,11815,49232,54640,33067,16540,25468,42981,32083,43481,12341,18547,15326,22481,15578,26512,28996,.,28556,52917,22895,26538,21755,17063
ACSSF,2019e1,nc,000,0108,0000025,36126,41020,62211,64901,75437,53513,71546,81500,71310,.,47836,41031,.,50016,21068,40625,41399,.,21799,.,30812,21140,46037,23953,20243,10898,38113,51370,30366,40904,9891,33462,49367,36168,44029,32581,27650,31689,42961,46553,41532,51994,77188,66841,.,.,40570,37876,43695,40576,50787,53156,62838,42577,23377,29042,.,.,.,14769,16635,21461,30235,25910,31325,31149,.,.,31404,22863,31586,10125,17645
ACSSF,2019e1,nc,000,0108,0000026,41052,42449,68131,68726,75545,68236,76050,81514,72805,62425,50710,54242,66076,24892,63887,65641,69583,56346,25895,50433,51912,31071,.,20000,27565,33796,39551,40060,39397,35871,24858,35386,41131,25703,30455,25581,13244,37933,54471,60644,72044,50884,65982,69357,55143,52932,41284,45727,125434,37908,35864,67025,72081,37554,19818,26657,35030,20078,.,11686,30365,15930,23723,15515,31442,45781,.,40469,75540,25407,23378,37693,25348
ACSSF,2019e1,nc,000,0108,0000027,35389,40519,64716,71032,73576,51587,69929,92772,62410,52653,45528,45014,155144,52679,11261,75150,82383,50820,20474,22011,54408,19305,61538,12619,21028,14579,41322,41438,41148,34162,40014,30808,42090,29235,26894,39717,22303,31284,47679,52015,55512,47706,65711,66388,55241,80890,37245,36029,65791,37378,41222,52297,59206,25704,13325,20981,9320,4086,30489,9007,20175,11632,28049,18155,31294,31152,17310,21218,38730,27520,24709,30532,20882
ACSSF,2019e1,nc,000,0108,0000028,35721,39693,70877,99171,99650,48171,60224,63825,116250,.,51618,51120,.,50802,62485,42405,.,.,30848,.,41450,41250,41860,10506,30533,.,16681,16635,22875,27285,.,26527,40375,38092,41324,59523,15046,32700,48095,53333,50750,78115,55262,55679,.,.,42252,35388,.,50182,.,40640,55176,40580,26232,26776,.,.,.,12479,18036,12365,30023,30565,27032,.,.,.,.,37448,40635,.,19309
ACSSF,2019e1,nc,000,0108,0000029,36291,40924,67250,74301,73311,81991,73450,67947,83119,74350,46908,40667,92049,45072,53963,75444,101354,50032,27618,24383,56038,35925,66358,19739,31910,14690,41330,40816,48453,35876,26250,31133,41732,32047,36669,30803,26636,31464,49322,56103,60990,50625,50477,49655,69651,37223,41916,39414,62042,39318,50600,52469,58432,31569,20784,27823,30841,30426,.,13526,23092,17564,28354,22466,30468,16731,.,.,36188,24593,27325,22439,23476
ACSSF,2019e1,nc,000,0108,0000030,35097,39487,66613,69121,74185,60374,81040,67250,83344,95691,48814,41113,230029,52785,56080,134057,144467,49629,17269,24758,29405,26899,39863,15890,25350,11471,36916,40140,35972,36496,15857,36267,39313,30018,30844,26853,29900,30667,47483,53611,54694,52906,48354,52509,66218,37068,40138,40840,58355,40264,32688,55322,61083,46435,15896,22220,39587,38786,.,11662,21470,8352,26595,16048,31438,35600,.,35706,35404,21317,20754,21946,21372
ACSSF,2019e1,nc,000,0108,0000031,33190,37854,60283,67092,66122,77829,66364,87105,58367,.,46333,40000,.,43080,45820,46737,.,46507,25678,30382,62250,55718,65508,10827,22587,15242,32282,20678,40941,30847,26917,27127,49366,31358,40893,39833,27432,29202,45587,45430,38939,46914,61788,62200,62455,61075,31206,35417,24414,31529,50265,56520,66153,48569,18438,25588,4508,4415,.,16319,19399,9506,21229,11947,32229,72000,.,72000,.,21765,20869,26730,19200
ACSSF,2019e1,nc,000,0108,0000032,32930,39693,68045,80621,85144,70651,54979,46523,81858,.,52019,27400,71294,54047,41798,29382,26753,30193,23108,21731,23734,22549,.,18735,41645,21542,32386,41514,18369,30440,23951,26218,43767,40005,49550,51288,27061,30668,42328,37438,40089,33889,43450,101198,.,.,39323,37391,50032,39467,42902,57923,65571,26219,12480,35585,4330,.,.,14311,15054,11395,27221,16013,31883,11274,.,.,.,28858,29444,.,21826
ACSSF,2019e1,nc,000,0108,0000033,36881,47415,70721,72976,81933,67763,76343,78140,76136,46220,55382,44627,.,56528,37273,71302,71442,.,18799,.,46208,51207,45421,7813,30335,36400,40161,37873,40851,44993,.,42968,46816,40213,40510,44935,31837,29909,42162,59216,56931,61961,70829,71852,.,.,29131,46953,48962,28581,4453,37210,50354,30878,16522,28974,.,.,.,9221,12223,15955,27549,22241,28942,32273,.,20272,46923,25845,25246,86536,27950
ACSSF,2019e1,nc,000,0108,0000034,40593,45428,63246,64007,63456,75419,99764,106137,49583,91278,40275,69078,36582,29667,49186,49114,74208,48372,35709,30254,42461,41986,45707,16127,32453,.,42380,52453,30286,42327,18816,41721,56462,41046,50674,41579,26633,33840,42822,42025,41571,48105,44453,44848,75738,42937,45595,44339,73991,30843,32794,40335,50064,30891,16372,21548,38770,.,.,12449,11776,24491,32027,16238,36351,9882,.,.,.,26396,28122,.,26230
ACSSF,2019e1,nc,000,0108,0000035,40794,49065,80524,85026,87067,80474,48617,45411,82041,.,45739,.,.,46364,26775,137458,137458,.,19506,.,22083,21956,38466,11211,10401,.,38376,39252,31111,50524,.,32140,62366,38976,49048,40037,37808,35761,55449,65815,66843,55232,60565,85709,.,.,45104,48183,39054,41773,.,57150,59528,56004,20321,26753,.,.,.,19523,7775,14817,31253,28362,35530,.,.,.,.,32500,31696,53353,27837
