ACSSF,2019m1,nc,000,0005,0000001,0,657,657,16653,9247,4117,6466,12254,3275,6850,8273,3615,1946,9968,1988,5992,1482,679,1146,3798,2573,208,2845,1541,3682,94,6273,2873,2306,292,5413,0,657,3780,13920,3323,6872,1374,4630,15892,2174,15640,657,18388,5328,3848,1492,1628,16724,5804,3754,3938,0,657,657,0,657,657,16653,9247,4117,6466,12254,5992,6273,0,657,3780,13920,3323,6872,1374,4630,15892,2174,15640,657
ACSSF,2019m1,nc,000,0005,0000002,32584,32320,11356,15739,8050,3558,6390,11461,2888,6225,8115,2570,1931,9359,1923,5919,1240,679,1169,3897,2345,192,2696,1541,3621,94,5465,2580,1898,101,4503,32584,32320,27689,19327,3502,8018,1282,4505,14256,1745,14209,11356,17684,5049,3422,939,289,15489,4968,3000,3673,32584,32320,11356,32584,32320,11356,15739,8050,3558,6390,11461,5919,5465,32584,32320,27689,19327,3502,8018,1282,4505,14256,1745,14209,11356
ACSSF,2019m1,nc,000,0005,0000003,32584,32582,11418,11319,4415,2209,1327,5484,1032,3587,3236,2721,280,2002,467,2451,611,216,447,2131,632,82,727,216,362,216,2982,1144,1256,276,2185,32584,32582,27874,17412,4145,5686,605,1441,6014,1111,5820,11418,10899,1801,1686,1182,1607,8759,3192,2774,1480,32584,32582,11418,32584,32582,11418,11319,4415,2209,1327,5484,2451,2982,32584,32582,27874,17412,4145,5686,605,1441,6014,1111,5820,11418
ACSSF,2019m1,nc,000,0005,0000004,3698,3566,1597,16205,9149,4126,6447,12070,3253,6903,7840,3672,1946,9980,1923,5989,1503,679,1146,3719,2573,208,2845,1541,3683,94,5920,2860,1955,292,4959,3698,3566,4431,14070,3249,6623,1387,4621,15635,2174,15377,1597,18193,5353,3817,1492,1621,16329,5626,3540,3763,3698,3566,1597,3698,3566,1597,16205,9149,4126,6447,12070,5989,5920,3698,3566,4431,14070,3249,6623,1387,4621,15635,2174,15377,1597
ACSSF,2019m1,nc,000,0005,0000005,2195,2157,867,15563,8829,3968,6573,12263,3248,6505,8321,3617,1872,9988,1923,5925,1445,679,1146,3758,2430,208,2567,1541,3667,94,5843,2592,1933,292,4800,2195,2157,4027,12927,2498,6363,1117,4685,14537,2127,14355,867,16628,4536,3434,1397,1608,15392,5440,3325,3605,2195,2157,867,2195,2157,867,15563,8829,3968,6573,12263,5925,5843,2195,2157,4027,12927,2498,6363,1117,4685,14537,2127,14355,867
ACSSF,2019m1,nc,000,0005,0000006,5379,12779,12998,13024,6016,2238,5771,10132,1774,5582,7541,2034,1717,7410,1676,4955,1156,657,875,2491,1781,63,1446,1376,3018,216,4110,1685,471,101,3438,5379,12779,17599,16255,2050,6928,482,3588,10596,1349,10350,12998,14209,4766,2534,652,152,13260,3249,2102,2212,5379,12779,12998,5379,12779,12998,13024,6016,2238,5771,10132,4955,4110,5379,12779,17599,16255,2050,6928,482,3588,10596,1349,10350,12998
ACSSF,2019m1,nc,000,0005,0000007,5835,13221,13102,13938,6604,3196,2692,8400,2120,3682,4084,3052,628,5834,909,4263,686,114,837,2668,1775,199,1954,612,2480,94,4524,1950,1911,276,3537,5835,13221,17091,18248,2193,5654,1127,2602,9574,1377,9431,13102,14598,3685,2562,1198,1609,9939,3845,2607,2622,5835,13221,13102,5835,13221,13102,13938,6604,3196,2692,8400,4263,4524,5835,13221,17091,18248,2193,5654,1127,2602,9574,1377,9431,13102
ACSSF,2019m1,nc,000,0005,0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3075,3140,3216,4616,1851,2043,596,874,3219,188,3207,1254,4806,2744,1192,571,171,3973,1540,1245,873,3075,3140,1254,3075,3140,1254,4501,2232,1091,856,3611,1898,1910,3075,3140,3216,4616,1851,2043,596,874,3219,188,3207,1254
ACSSF,2019m1,nc,000,0005,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9929,10222,9157,7023,1742,1214,326,437,1654,161,1619,3890,3625,1954,1128,571,216,2947,989,782,704,9929,10222,3890,9929,10222,3890,3283,1544,863,698,1676,1659,926,9929,10222,9157,7023,1742,1214,326,437,1654,161,1619,3890
ACSSF,2019m1,nc,000,0005,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10816,10710,9599,7422,2575,1789,508,763,2778,91,2763,3992,4415,1394,494,216,171,4031,1048,900,547,10816,10710,3992,10816,10710,3992,4557,1679,578,543,2959,1006,1605,10816,10710,9599,7422,2575,1789,508,763,2778,91,2763,3992
ACSSF,2019m1,nc,000,0005,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3698,3551,3825,3332,1234,1645,190,252,2145,124,2164,1723,3399,406,283,216,85,3236,1268,893,780,3698,3551,1723,3698,3551,1723,3365,903,472,394,2488,507,2201,3698,3551,3825,3332,1234,1645,190,252,2145,124,2164,1723
ACSSF,2019m1,nc,000,0005,0000012,2195,2179,1192,5097,2529,1221,1102,3534,443,2410,2063,658,239,1236,467,1952,260,216,216,1522,475,216,904,216,790,216,2821,1689,1260,216,1935,2195,2179,2170,5226,2107,2640,594,913,3911,225,3906,1192,5990,2776,1212,571,213,5028,2233,1609,1336,2195,2179,1192,2195,2179,1192,5097,2529,1221,1102,3534,1952,2821,2195,2179,2170,5226,2107,2640,594,913,3911,225,3906,1192
ACSSF,2019m1,nc,000,0005,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,212,1959,192,411,132,75,2009,144,1995,0,3013,556,1675,210,216,3152,323,157,276,0,0,0,0,0,0,2353,667,12,739,1966,1271,387,0,0,212,1959,192,411,132,75,2009,144,1995,0
ACSSF,2019m1,nc,000,0005,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,108,2031,677,388,32,216,2267,108,2265,0
ACSSF,2019m1,nc,000,0005,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2390,1019,652,216,2448,1894,486,0,0,105,1164,743,600,107,101,1334,29,1332,0
ACSSF,2019m1,nc,000,0005,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,393,1143,522,236,553,2085,1181,273,1111,0,882,88,851,216,216,1094,40,216,40,0,0,0,0,0,0,1217,324,216,216,1092,216,688,0,0,393,1143,522,236,553,2085,1181,273,1111,0
ACSSF,2019m1,nc,000,0005,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3268,1668,782,1878,1224,1020,1343,0,0,1431,2718,261,1028,216,1422,2912,595,2789,0
ACSSF,2019m1,nc,000,0005,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,984,867,216,216,218,106,352,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0005,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,62,403,178,251,216,370,528,216,528,0
