ACSSF,2019m1,nc,000,0053,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546,1011,624,702,443,891,1177,2,450,119,229,330,366,450
ACSSF,2019m1,nc,000,0053,0000023,179,119,12,8,80,88,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,1537,827,575,647,1156,1346,474,773,449,348,132,591,590
ACSSF,2019m1,nc,000,0053,0000024,697,544,58,317,204,457,576,842,811,303,573,232,363,678,,,,,,,,2459,1397,323,867,363,711,1469,2960,2060,458,1534,739,527,1594,726,1763,964,850,678,1695,1750,511,1105,604,613,399,1112,1121
ACSSF,2019m1,nc,000,0053,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812,752,173,283,423,239,481,1008,1739,825,794,783,1221,2053,319,455,302,610,625,312,333
ACSSF,2019m1,nc,000,0053,0000026,,,,,,,,1566,908,344,232,338,719,1142,,,,,,,,3410,1887,658,1103,338,946,1804,2290,1236,859,637,488,599,1856,580,1668,842,610,304,1501,1639,828,1257,781,675,488,927,1284
ACSSF,2019m1,nc,000,0053,0000027,,,,,,,,747,570,218,322,218,343,495,,,,,,,,2535,1243,287,691,465,603,1492,3021,1917,439,1185,704,656,1461,804,1829,968,1039,835,1739,1955,750,1409,806,1033,737,916,1428
ACSSF,2019m1,nc,000,0053,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,878,482,454,563,752,718,,,,,,,
ACSSF,2019m1,nc,000,0053,0000029,,,,,,,,554,256,252,276,210,168,452,,,,,,,,,,,,,,,1299,860,236,508,465,308,966,716,1178,770,758,576,947,1279,283,659,587,597,638,466,822
ACSSF,2019m1,nc,000,0053,0000030,,,,,,,,1296,1289,483,888,422,763,984,,,,,,,,3512,1447,329,983,672,517,2698,4757,2874,460,1696,978,1128,2399,1422,2571,1151,1108,1358,2024,2455,827,1453,1038,1019,1012,944,1528
ACSSF,2019m1,nc,000,0053,0000031,,,,,,,,,,,,,,,,,,,,,,2217,1107,429,606,676,242,1417,1116,970,300,723,204,190,505,689,1147,738,802,531,928,1221,523,1153,584,719,856,743,1152
ACSSF,2019m1,nc,000,0053,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453,1245,650,450,646,1129,1260,334,969,387,810,443,692,760
ACSSF,2019m1,nc,000,0053,0000033,,,,,,,,462,399,146,236,175,265,342,,,,,,,,1876,1049,216,599,214,562,1143,2130,1057,235,711,349,372,1510,588,1478,786,936,911,1387,1531,619,916,484,625,554,615,608
ACSSF,2019m1,nc,000,0053,0000034,,,,,,,,,,,,,,,,,,,,,,3445,1353,476,899,289,254,2614,1244,946,544,453,398,196,777,754,1636,740,974,916,1614,1703,515,1164,496,574,744,734,1276
ACSSF,2019m1,nc,000,0053,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,1394,700,602,565,997,1222,569,676,313,399,286,343,343
