ACSSF,2019m1,nc,000,0090,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590,3013,1044,1482,1485,848,1087,683,1186,1180,1068,1069,2600,1177,3438,3836,6471,1765,1564,2625,2289,5984,13179,12260,14441,4687,3989,2692,8014,7569,24231,49094,21838,17992,3152,.,.,.,.,.,.,.,2896,8011,3488,22282,4424,4590,22154,8834,8259,29893,15891,7785,13307,7858,680,1650,1940,1234,1013,2267,1024,1629,6132,5241,2267,5626,3112,15427,683
ACSSF,2019m1,nc,000,0090,0000012,1793,2443,2962,216,2962,216,216,475,527,492,743,659,430,771,684,1281,1400,1451,845,554,434,1175,258,427,720,2749,1597,2413,741,884,1004,471,617,451,657,151,330,512,281,771,116,381,540,121,54,216,205,216,1951,1836,216,1836,311,216,557,251,401,411,627,522,810,762,856,571,521,475,525,166,427,216,366,84,2173,2234,1516,1256,599,636,432,459,424,538,136,817,961,188,78,301,65,216,216,216,216,216,105,939,1376,573,533,561,970,581,425,628,1844,600,669,890,533,1976,1140,2765,1479,1293,1336,2112,1586,3126,3923,3182,1878,3981,2384,4894,13069,10600,13693,3640,8171,14328,,,,,,,,2183,4744,1584,6577,2953,1874,4693,3392,3553,8129,5084,7313,7423,4155,417,705,1325,630,947,1337,506,1303,3180,2391,1965,3531,2112,2479,842
ACSSF,2019m1,nc,000,0090,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1838,3096,3825,2282,3213,5233,3392,3211,2814,2210,1891,2736,3850,2280,4872,3073,8341,4822,2695,9315,5593,,,,,,,,24648,15927,18765,.,7801,707,42840,.,.,.,.,.,.,.,6264,4578,3394,22213,5719,6266,9314,10307,12371,11202,5656,11881,12616,16353,3534,5043,1763,1799,5253,3866,2958,2926,4422,5962,11401,1555,1951,6902,3168
ACSSF,2019m1,nc,000,0090,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2162,4546,4561,2779,3538,7104,2792,2158,5061,4215,4732,3930,6787,2853,12514,13475,33817,10081,13059,41242,10600,,,,,,,,,,,,,,,.,.,.,.,.,.,.,,,,,,,,15795,36001,22878,17715,14266,16503,.,2404,4319,4154,5557,3805,6787,2818,17172,16552,7254,8072,52217,.,6027,4052
ACSSF,2019m1,nc,000,0090,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482,3027,1674,3231,2605,2532,1919,3459,2486,3658,2926,2303,2022,1893,3472,7767,2766,4159,2435,2829,5113,23568,19986,.,.,16106,.,.,9040,1998,3726,.,5323,14767,19906,.,.,.,.,.,.,.,16206,12784,14766,31766,18152,.,4744,4742,4935,790,20451,7714,15454,5351,2963,836,3860,3133,2246,1868,2143,1744,3541,9483,7492,2032,15891,3272,866
ACSSF,2019m1,nc,000,0090,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2419,3143,3072,4039,2068,3763,1413,1819,2500,2116,3179,2305,4737,3245,13158,10295,14899,276,8979,9478,20632,3885,3875,3875,.,.,.,.,13396,2643,22771,32624,11453,110957,20613,.,.,.,.,.,.,.,3969,1841,7814,4914,37524,.,.,6746,2945,.,3443,18544,335,.,1879,2215,2378,3137,2134,4791,2266,2926,7056,10097,4807,17778,632,40427,2020
ACSSF,2019m1,nc,000,0090,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2439,2367,4569,3229,1923,3890,1650,2896,5823,3920,3440,4618,4180,3566,8448,11849,16351,1797,9884,6974,5453,.,.,.,.,.,.,.,25677,35585,28901,.,41711,6730,9072,.,.,.,.,.,.,.,2684,7831,15977,5885,18601,22173,8362,7698,22887,23258,9018,17308,43842,.,1653,6253,4624,3123,5018,3368,3237,6902,16820,3943,13829,6061,8793,11692,4579
ACSSF,2019m1,nc,000,0090,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2186,3512,3769,3907,4035,1934,1089,2122,3763,4389,3685,3810,3027,1841,19948,9143,15924,113,30975,11226,986,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6161,1121,1100,.,25066,3966,98963,32472,6274,.,.,.,.,.,2405,3648,4234,3684,3782,3096,1736,13819,20589,22895,10350,17778,9489,21964,2465
ACSSF,2019m1,nc,000,0090,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,4034,7099,2116,2929,4248,1912,1481,3201,6367,2706,2989,4365,2461,9957,11205,18743,10036,10055,8362,.,,,,,,,,51376,.,.,.,72024,72024,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,1453,3199,6834,2706,3131,4486,2755,18399,26545,26430,.,10647,57916,1323,3731
ACSSF,2019m1,nc,000,0090,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083,3404,1760,1198,3359,2396,1476,2587,3827,4594,2177,3597,3357,2930,3608,5661,3209,4917,7399,5848,2303,23647,22743,.,.,.,.,.,3843,4270,4162,7262,29447,14601,5934,.,.,.,.,.,.,.,4125,5731,5446,20775,1804,2944,10041,,,,,,,,2758,4048,4472,3405,3171,4281,2907,5707,6082,6780,10410,6003,5299,32805,3078
