ACSSF,2019m1,nc,000,0157,0000011,5188,5162,1747,1059,930,959,635,235,41,4072,1827,1171,2314,2862,2452,1791,2906,1196,834,1246,1666,1779,2586,4191,2625,2166,1231,834,451,259,216,3034,1823,1395,1476,1231,968,379,1726,609,752,930,694,674,753,5188,5162,2947,2225,178,11,12,74,1720,2658,2326,367,449,103,16,1292,3453,3012,171,144,10,13,1957,3128,2281,216,20,216,11,1910,3135,2912,15,13,216,216,923,4191,3439,2340,1288,761,476,255,2019,2042,1522,522,287,76,304,1083,1410,970,474,147,350,102,1048,1223,409,187,110,180,255,1009,870,740,85,26,216,216,350
ACSSF,2019m1,nc,000,0157,0000012,8383,8824,2811,2029,1771,1583,1153,510,107,7204,3308,2508,3978,5199,4067,2866,4260,1780,1291,1989,2993,2884,4413,7559,4827,4536,2151,1439,684,405,242,5649,3875,2718,2679,2069,1391,703,3041,1693,1058,1796,1323,1189,1022,8383,8824,5379,4672,500,351,296,63,2545,4258,3737,390,480,131,24,2421,6204,5572,322,611,10,13,3049,4797,3705,339,54,216,118,2562,5464,5127,168,13,216,216,2012,7559,6340,4157,3383,2706,1196,1118,3146,3980,2713,1739,750,511,530,1671,2638,1551,979,674,759,304,1837,1793,1127,623,198,189,255,1252,1265,1020,209,204,216,216,454
ACSSF,2019m1,nc,000,0157,0000013,1763,1892,996,694,659,443,161,220,216,1782,806,1043,1365,1485,855,685,1089,338,504,514,790,670,1029,2027,1319,1230,521,392,104,216,216,1613,1255,770,535,975,363,400,774,460,298,461,302,101,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000014,2550,2335,979,379,770,284,96,216,216,1807,1025,1163,1137,1263,771,433,1053,791,760,850,1053,634,618,1430,1049,852,507,339,111,216,216,904,485,530,456,439,216,216,591,442,279,261,136,216,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000015,3462,3077,971,667,655,388,275,176,248,2151,1278,1317,1349,1656,1189,830,1605,636,709,698,994,914,1376,2840,1810,1960,856,808,127,121,216,2178,1446,1364,1137,1154,170,177,1384,823,418,602,724,240,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000016,1496,1563,677,592,346,132,252,216,125,1338,1046,498,801,867,1034,736,760,364,225,228,739,713,1029,1470,883,708,590,214,196,216,106,1261,1015,465,446,506,78,107,514,200,305,60,207,220,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000017,1914,2536,1203,972,637,427,226,268,94,2263,1044,1022,1268,2081,1114,732,1144,332,476,388,860,555,804,2267,1645,1106,1438,240,518,216,216,1386,980,1082,789,346,136,123,891,508,406,343,257,142,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000018,1464,1589,707,555,394,219,213,194,216,1385,784,613,449,1238,1124,785,951,368,166,300,485,644,878,1491,614,527,286,115,216,216,216,1206,987,251,777,530,311,194,710,236,65,341,340,70,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000019,1649,1327,435,289,296,149,325,74,216,1031,398,331,400,779,447,306,668,470,279,638,616,451,531,1391,764,636,437,101,104,216,216,1085,735,560,373,308,33,216,550,410,115,114,313,87,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000020,1772,2082,1114,750,507,200,406,623,216,1460,1172,668,853,1628,1054,660,1214,569,306,419,867,697,1033,1827,1392,1084,647,721,273,291,216,1481,822,662,935,721,142,123,717,470,304,304,336,265,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000021,947,1539,615,500,59,194,454,216,216,1084,846,581,804,856,876,455,993,409,463,535,516,672,742,1272,1137,1298,757,342,73,216,216,1158,529,537,651,277,37,571,641,341,139,326,408,293,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
