ACSSF,2019e1,nc,000,0114,0000011,36624,35380,35217,60625,38094,36853,42338,29268,50256,50632,44037,26923,37768,37455,41932,37730,50545,.,35380,36647,40275,35197,24469,31925,21321,33917,42918,41226,36675,36512,60625,38250,41498,44846,36552,51948,51976,44927,65446,50729,51294,34926,39056,77165,.,37933,42970,43169,42453,30040,31734,25999,38583,44990,31608,30164,30164,.,37377,29965,33412,26094,30764,31297,27232,26318,36112,35878,71063,34365,35961,.,21829,34884,37547,33184,20180,32435,18732,23617,40164,174905,95348,7746,7131,615,17241,18483,2279,8803,8349,6861,1488,531,2672,1594,1078,5885,1798,26,4061,8391,3241,5150,5833,1798,4035,4249,4886,79557,1544,1544,0,1461,8070,555,8384,2114,1648,466,1213,5077,4356,721,4370,3014,73,1283,34499,10429,24070,6176,879,5297,2874,3220
ACSSF,2019e1,nc,000,0114,0000012,38180,36131,35596,55225,39488,37233,45320,30658,45986,45019,48287,38909,41613,42028,40149,39707,56876,78767,31862,39317,41378,37321,24946,33194,22299,35081,45846,41315,36975,36446,60265,39292,41298,47207,32470,49793,49403,50774,47764,58259,78317,46561,41850,71997,.,34431,44291,42566,46311,28881,33718,25808,40200,49351,35090,30564,30811,.,40544,30513,39618,27485,40520,40503,40619,32598,39195,39743,32026,36004,46681,52336,27083,38012,41119,36322,22087,32469,20759,25910,41478,592263,323072,15690,13782,1908,51043,70472,10076,31363,24633,18640,5993,3745,9788,5846,3942,21843,8720,85,13038,28796,13025,15771,20797,5326,15471,14362,20464,269191,3272,3167,105,3741,31404,3849,24817,8355,6945,1410,2270,18241,13928,4313,16618,8662,157,7799,112993,34355,78638,18170,4235,13935,10677,14784
ACSSF,2019e1,nc,000,0114,0000013,42434,35904,31780,.,37067,51534,51377,31541,40162,40486,37035,37772,50829,51083,48547,47647,52415,.,32232,45837,46606,45336,25308,45809,22405,30827,52395,45206,35904,31780,.,37457,54500,51197,41464,41493,41792,36381,39958,88450,122005,33876,47471,52476,.,31942,51270,45186,51964,26641,45103,25904,33781,51438,40019,.,.,.,19063,44444,51805,24471,22300,21435,39375,34457,50767,50500,55708,47676,52162,.,35914,42848,47112,40887,21521,.,21401,28153,56766,59557,31906,428,341,87,5726,5140,1091,3562,2765,2237,528,513,1055,776,279,2136,802,48,1286,4251,1969,2282,1664,309,1355,1640,1935,27651,0,0,0,177,2512,720,3166,849,629,220,226,3216,2631,585,1390,930,0,460,11217,4735,6482,1926,48,1878,1062,1190
ACSSF,2019e1,nc,000,0114,0000014,44037,.,.,.,33558,60566,50643,27203,51962,32012,90105,61194,43966,50163,43750,50601,80145,.,34883,51400,50398,53260,30193,23536,30968,24889,53057,44788,.,.,.,33453,58500,50558,30951,57771,32151,90966,60737,62229,60477,102152,45336,52438,.,39188,43946,43494,53095,30926,23990,45465,55792,61157,42963,.,.,.,.,71454,50765,25158,40076,25060,65893,75331,39489,39658,39408,61798,95428,.,15434,52015,51354,53427,24683,.,30115,.,50789,38663,21012,0,0,0,3625,2338,876,2500,2457,1087,1370,471,701,487,214,1629,828,0,801,2214,1078,1136,1833,250,1583,1118,1250,17651,0,0,0,90,1278,290,2472,712,465,247,343,1812,874,938,1021,678,0,343,7104,2122,4982,1288,163,1125,325,916
ACSSF,2019e1,nc,000,0114,0000015,40951,40772,25808,.,31224,46935,54521,32170,40866,40456,123427,73313,40810,49068,40413,51780,56977,.,31807,43373,42434,43940,28450,50750,27294,41423,42295,42215,41016,26673,.,30482,47025,50512,46674,41007,40639,.,56186,67896,60957,100069,72963,80871,.,34645,51873,51311,56390,31163,30011,31407,45597,49357,38508,.,.,.,36975,41757,60850,27980,37320,36700,.,74858,34994,39731,32266,33913,40227,.,21602,40993,41398,40725,26504,105149,25613,26603,41839,88415,49180,409,179,230,7608,7860,1396,3635,3390,3150,240,584,1545,786,759,5782,3931,0,1851,6728,2965,3763,6616,1011,5605,1797,1830,39235,45,45,0,497,1956,594,3609,962,900,62,337,3066,1509,1557,3361,2660,0,701,15314,4768,10546,5809,575,5234,1214,2471
ACSSF,2019e1,nc,000,0114,0000016,36596,23846,23846,.,25657,41070,39412,36710,44814,44814,.,55230,40897,40426,46143,26688,40362,.,26040,38270,36080,40417,23389,.,23322,37014,43783,40047,23846,23846,.,24734,46851,35953,45059,48078,48078,.,55433,34729,.,45464,27467,58038,.,26197,38393,24775,41453,22415,.,22316,38972,42906,32642,.,.,.,.,31341,.,33329,.,.,.,.,46842,45592,.,25602,25689,.,25457,38244,37441,40183,23446,.,23446,27098,70295,29054,16567,257,257,0,1907,5025,735,1169,579,579,0,167,339,176,163,1462,309,0,1153,1140,304,836,1177,34,1143,1213,1397,12487,0,0,0,88,2054,307,976,58,58,0,89,506,431,75,715,387,0,328,5667,2237,3430,1280,0,1280,474,273
ACSSF,2019e1,nc,000,0114,0000017,49718,32750,20957,.,50044,43469,71362,45630,51335,29500,91607,62075,64837,71818,36357,47420,50693,.,39063,46902,46955,46882,40098,72087,37757,37493,70664,55256,21498,20676,.,44720,58946,71810,41729,51667,40774,90992,65220,103543,111529,47286,52203,60168,.,41176,69269,60198,89620,25389,92323,21846,40901,81202,42831,.,.,.,50223,35044,54118,50666,50497,26564,100508,50995,51260,55483,31978,40399,42714,.,35453,44829,44903,44809,41291,26554,41474,29615,47115,77270,41893,551,478,73,4979,6627,1647,3823,3058,2160,898,1012,4272,3609,663,5185,3835,54,1296,3687,2292,1395,3903,847,3056,1431,1718,35377,94,25,69,815,3420,198,3209,915,550,365,325,5309,4467,842,3066,1965,83,1018,13116,3377,9739,2646,393,2253,902,1362
ACSSF,2019e1,nc,000,0114,0000018,37465,.,.,.,43152,41333,50669,26711,58555,58281,60648,47686,72921,39232,74315,46908,48857,.,45921,35321,36696,31876,20903,.,20696,36257,37197,43506,.,.,.,43348,43174,52031,33114,58438,58691,42188,38870,73972,31455,74736,47031,.,.,46435,67007,47255,68565,16963,.,16652,36280,42926,31660,.,.,.,.,30653,29448,26031,60278,38958,.,.,45530,46766,.,37281,48037,.,.,31614,35154,30676,21420,.,21420,36237,36702,28534,16070,30,30,0,1464,5442,1584,2231,762,563,199,362,774,179,595,856,145,0,711,1060,488,572,581,92,489,560,364,12464,0,0,0,126,1908,441,1435,160,133,27,241,401,310,91,646,473,0,173,4403,1374,3029,1346,0,1346,545,812
ACSSF,2019e1,nc,000,0114,0000019,42306,34697,34697,.,42384,42440,71989,37309,60967,61391,50156,80806,36941,36522,37525,32473,60278,.,24861,45203,44206,47724,24334,46131,22988,35567,52726,52473,60758,60758,.,49063,45142,59510,73502,61741,61727,72534,82097,37098,.,45367,60698,71346,.,31091,61074,51466,66546,29522,31947,28557,35585,54981,38590,.,.,.,41782,39280,90858,27785,40598,60182,40408,.,36826,37054,32306,20038,30906,.,16784,42845,43210,42136,23195,46320,22300,35300,36170,20671,10938,269,269,0,1723,1455,429,1091,931,785,146,176,393,75,318,701,436,0,265,828,369,459,703,187,516,791,1448,9733,155,155,0,439,336,243,906,370,251,119,72,1082,757,325,719,308,57,354,3171,1449,1722,1218,244,974,142,880
ACSSF,2019e1,nc,000,0114,0000020,38377,6963,.,.,30544,37190,47137,33567,46128,42236,54295,41911,56985,75229,55107,37369,51633,.,32902,43087,42203,43904,24814,30749,24416,27402,47500,40852,.,.,.,31350,39353,85061,41528,45122,42187,75152,41672,76645,100313,56865,42223,57312,.,33802,49966,39794,90141,20111,.,20792,29831,46755,35332,.,.,.,.,35906,32196,27564,49839,48266,.,.,43869,45363,.,34128,36186,.,23110,42589,43516,41068,25575,32419,24668,26314,48773,58024,32337,251,198,53,1856,14446,961,2549,2555,2204,351,682,1219,940,279,2603,1474,47,1082,1776,771,1005,1196,229,967,1153,1090,25687,60,60,0,234,6119,697,2237,804,765,39,154,932,669,263,1652,695,0,957,7030,2010,5020,3775,243,3532,1385,608
