ACSSF,2019m1,nc,000,0178,0000040,1697,1270,2098,1359,397,1697,804,2028,4326,5090,2309,3427,1458,2878,3171,4172,4214
ACSSF,2019m1,nc,000,0178,0000041,1418,750,1036,1345,613,1418,869,1175,2710,3218,1276,2425,2224,2702,2308,3277,5615
ACSSF,2019m1,nc,000,0178,0000042,1460,638,978,1248,162,1460,1164,1963,3488,3253,2365,3058,2054,1802,4147,4616,3167
ACSSF,2019m1,nc,000,0178,0000043,1086,659,909,1020,859,1086,1212,2308,2982,2745,1981,1888,1268,1285,2933,3152,2307
ACSSF,2019m1,nc,000,0178,0000044,547,368,337,344,259,547,627,1750,1844,1722,1054,1353,751,1004,2562,2506,2998
ACSSF,2019m1,nc,000,0178,0000045,868,565,1375,903,162,868,1005,1765,2487,2327,1285,1238,820,1202,2272,2598,3853
ACSSF,2019m1,nc,000,0178,0000046,1295,713,978,646,332,1295,1117,1830,3034,2785,2114,1967,1463,1386,2130,2292,3851
ACSSF,2019m1,nc,000,0178,0000047,564,641,633,1109,658,564,1089,1686,2004,2013,1431,1566,760,756,2266,2371,3615
ACSSF,2019m1,nc,000,0178,0000048,764,655,468,504,362,764,753,1406,1821,1499,1355,1343,629,913,1765,1773,4398
ACSSF,2019m1,nc,000,0178,0000049,1786,873,1450,1192,726,1786,938,1867,2796,2987,2080,2706,2377,1838,2195,3007,5046
ACSSF,2019m1,nc,000,0178,0000050,6062,2943,3578,2852,1178,6062,1979,3673,8068,7178,4640,7656,6949,6730,6153,9024,2572
ACSSF,2019m1,nc,000,0178,0000051,1181,752,872,912,464,1181,794,1601,2493,2467,2023,1516,953,1272,2085,2286,2833
ACSSF,2019m1,nc,000,0178,0000052,1085,627,864,517,614,1085,841,1343,2190,2000,1335,1557,629,1095,1776,1620,5345
ACSSF,2019m1,nc,000,0178,0000053,1283,1074,948,700,109,1283,917,1894,2288,2106,1434,1457,908,1415,1915,2288,4895
ACSSF,2019m1,nc,000,0178,0000054,3287,1983,2422,2430,1979,3287,659,1266,2133,1979,1616,2492,1404,3351,1482,3395,3208
ACSSF,2019m1,nc,000,0178,0000055,4056,2574,2776,2652,2046,4056,338,802,2080,2318,1216,3457,2428,4029,1361,4216,7155
ACSSF,2019m1,nc,000,0178,0000056,6443,3684,3972,4027,3027,6443,2482,2925,6709,8833,4644,8416,4616,6951,5374,7724,3359
ACSSF,2019m1,nc,000,0178,0000057,2344,2498,2234,2488,1761,2344,858,1546,2763,1939,1686,2295,1946,2409,1434,2670,7186
