ACSSF,2019m1,nc,000,0115,0000001,21707,3505,3110,1469,12114,12753,6776,14759,9727,9586,3816,5181,9201,8665,5194,13162,9645,1460,9482,18431,12141,14104,15350,5442,14179,10057,6752,24071,2314,2195,729,5384,6827,2553,4538,3792,2582,2418,3893,7392,6843,3070,9298,8876,1349,3698,16368,10301,11195,6431,2729,5746,4349,5186,16010,1030,1030,216,996,2394,717,2646,1367,909,931,827,2451,1253,1907,6367,1268,97,6256,9408,4398,8523,11813,4052,11118,5552,4793,16454,815,799,272,1812,4391,4249,10831,5067,4924,1408,2456,5872,5107,3383,5726,4009,503,3970,7972,3115,6545,5364,1652,4924,3397,2965,14375,2738,2552,678,10907,3696,1614,3445,2792,1824,2029,1781,1617,642,1363,2425,1519,157,1858,2657,1515,1811,1400,1090,1161,3706,1486,16473,1526,996,1096,2856,11156,3258,6743,6919,6996,1642,942,848,371,743,3604,1707,183,3164,2199,1930,1492,2491,1272,2237,2988,1453
ACSSF,2019m1,nc,000,0115,0000002,27769,2242,2053,967,9317,11542,5468,12239,8713,7848,3286,4966,9013,8229,4590,11541,8704,1210,7707,15173,8912,11974,13252,4900,12221,7979,6105,20996,1105,1151,481,4563,5724,2310,3914,3362,2291,2246,3832,6377,6131,2921,8519,8102,1155,3035,13084,7988,9440,4724,2618,4166,3387,4710,14205,463,463,216,757,1753,573,2373,643,661,219,771,2044,1242,1444,5762,1055,97,5671,8026,3777,6494,10602,3614,9975,4841,3806,15011,586,544,206,1833,3938,3506,9227,4300,4115,960,2216,5318,4404,3087,5032,3623,447,3465,5920,2516,5010,4154,1452,3808,2980,2600,11181,1604,1502,544,8646,3051,1320,2466,2212,1426,1700,1634,1375,637,1083,2059,1488,113,1282,1783,1022,1346,1342,1005,1106,2707,992,14385,655,365,541,2115,8738,2571,5713,6078,5806,1409,853,778,377,656,3384,1543,216,2950,1638,1339,1283,2358,1213,2010,2231,1342
ACSSF,2019m1,nc,000,0115,0000003,25116,3158,2830,1083,7408,7676,3427,7676,5681,5464,2303,2274,5001,4062,3023,5977,4830,553,4505,11317,7449,8357,8166,2691,7503,5561,4654,14556,2254,2089,549,2798,3762,1179,2066,1366,1036,1021,2020,3546,3056,1392,4309,4226,454,1896,9189,5905,6343,4279,1577,3563,1987,2600,9798,904,904,216,553,1618,472,1160,1176,602,970,247,995,234,939,3349,876,216,3271,4369,2229,4377,5138,1737,5169,2796,3413,9992,697,677,176,1190,2197,2616,5499,2293,2193,861,957,3332,2557,2149,2582,1844,216,2002,4848,2057,3742,2901,1014,2820,2078,1652,9389,2105,1991,449,6579,2635,879,2058,1803,1290,1159,925,1015,111,1019,1385,379,110,1419,1880,1078,1227,561,495,229,2712,1020,8498,1329,900,963,1827,6225,1805,2707,4060,4254,906,256,354,119,321,1472,688,183,1405,1393,1191,683,1104,403,1021,1591,919
ACSSF,2019m1,nc,000,0115,0000004,21910,3371,3091,1436,11748,12670,6470,14461,9430,9125,3844,5170,8752,8402,5073,12866,9474,1448,9204,17958,11383,14217,14816,5525,13853,10065,6560,22911,2126,2054,706,5281,6654,2506,4443,3791,2504,2451,3923,7169,6714,2989,9025,8618,1325,3640,15504,9896,10741,6300,2818,5512,4177,4969,15514,1012,1012,216,819,2200,709,2605,1334,906,908,827,2278,1275,1717,6136,1239,97,6022,9054,4135,8226,11154,3864,10704,5519,4550,15832,787,728,269,1796,4401,4206,10657,4955,4791,1376,2347,5639,4900,3430,5624,3848,503,3811,7796,3024,6419,5229,1606,4796,3203,2902,13822,2529,2425,643,10646,3659,1606,3386,2689,1791,2018,1780,1618,642,1364,2433,1520,157,1767,2391,1478,1616,1416,1117,1161,3575,1403,15089,1292,656,1049,2691,10831,3240,6654,6484,6537,1677,942,848,371,743,3586,1729,183,3151,2013,1754,1433,2438,1246,2214,2968,1466
ACSSF,2019m1,nc,000,0115,0000005,20843,3004,2697,1255,10754,11657,6326,13933,9347,8675,3534,5058,8965,8412,4579,12793,9221,1406,9012,17038,10771,13437,14464,5118,13140,9853,6442,21677,1806,1754,704,4792,6355,2547,4413,3694,2431,2343,3886,7191,6666,2830,9416,8732,1294,3538,14634,9159,10504,5863,2499,5177,4086,5084,14825,892,892,216,818,2004,613,2578,1265,828,886,826,1975,1157,1579,6280,1223,97,6135,8338,3697,7270,10365,3566,9877,5237,4444,15389,594,584,209,1753,4298,4086,11019,4664,4447,1260,2385,5692,4856,3119,5330,3557,499,3801,7066,2923,5629,4876,1618,4343,3051,2842,13404,2201,2138,578,10141,3444,1455,3234,2656,1757,1892,1743,1540,637,1315,2266,1524,120,1578,2287,1505,1410,1318,1111,1031,3491,1299,13999,955,367,868,2394,9659,3101,6266,6132,6068,1466,876,808,374,705,3508,1587,183,3084,1923,1728,1363,2545,1232,2295,2650,1495
ACSSF,2019m1,nc,000,0115,0000006,17851,1169,978,561,6685,9458,4773,9597,6666,6297,2524,3638,6901,6384,3272,8827,7062,985,6109,9950,6467,8654,9569,3116,8851,5951,4812,13526,730,724,283,2839,4071,1981,3110,2428,1696,1687,2655,5134,5084,1747,7192,6518,927,2505,8315,5493,6801,4157,2206,3239,2612,3131,11336,289,289,216,686,1627,563,1687,631,631,216,544,1434,949,1007,4415,525,97,4438,6202,3073,4745,7345,2216,6832,3373,3079,10457,365,323,164,1197,2730,3095,6859,3525,3317,743,1788,4381,3344,2684,3825,2756,299,2595,4721,2072,4007,3043,1130,2780,1988,1484,7776,687,547,414,6241,1723,1057,1586,1372,705,1189,938,966,642,721,1675,1505,216,706,1436,668,1276,1002,526,832,1771,824,9400,312,133,301,1079,5826,1919,4003,4572,4499,892,713,658,353,489,2399,930,216,2266,1380,1000,993,1939,926,1806,1870,815
ACSSF,2019m1,nc,000,0115,0000007,17833,2879,2637,1069,10259,8957,4752,10106,6534,5963,2509,3377,5809,4561,3619,10121,7329,902,6835,13471,8545,10475,10675,3586,9734,7068,5007,16550,1798,1624,635,3813,5252,1586,2833,2471,2006,1499,2806,4397,3727,1822,7046,6681,779,2662,10961,7224,7819,4694,1665,4197,2866,3684,11445,842,842,216,505,1439,236,1767,996,507,886,619,1240,628,1136,4929,1140,216,4899,5623,2223,5407,7555,2875,6900,4039,3292,11440,529,510,166,1465,3234,3137,8428,2770,2627,886,1287,4335,3543,2677,3485,2588,378,2532,5085,2187,4032,3810,1375,3364,2372,2430,11221,2078,2032,423,8745,3117,1037,2606,1916,1448,1239,1568,1165,70,1170,1597,532,120,1485,1540,1326,666,1092,998,626,3015,1073,9362,959,336,860,2034,7370,2338,4099,4937,4834,1234,501,492,156,504,2567,1316,183,2229,1755,1499,1021,1353,830,1224,1980,1116
ACSSF,2019m1,nc,000,0115,0000008,8728,2242,2067,664,3583,5993,1724,4186,3444,3002,1291,1249,3189,2368,1929,3705,2164,154,2949,6153,4659,4895,4268,1937,3831,2815,2734,7398,1033,1056,178,1584,2079,745,1151,816,541,574,1086,2191,1971,878,1938,1768,103,1122,4961,3708,3434,1886,1146,1568,1547,1715,7372,386,386,216,104,858,393,889,452,356,239,79,689,400,465,2319,282,216,2300,3746,1313,3666,3945,1425,3542,1606,1727,4527,447,413,167,609,1390,1052,3135,1477,1321,518,436,1886,1294,1362,1357,1020,49,868,2347,1050,2165,1733,502,1549,1157,1194,4031,1534,1508,312,3163,1660,516,1174,748,439,654,372,613,111,617,627,113,101,623,767,603,441,532,266,478,1292,526,6420,862,533,532,968,5114,952,2258,2507,2484,629,255,285,80,272,1197,529,216,1072,635,444,493,797,181,775,1167,645
ACSSF,2019m1,nc,000,0115,0000009,7010,733,684,230,1899,3311,902,2143,966,867,425,702,1719,1154,1274,1996,1282,49,1558,3372,2045,2620,2508,1162,2201,1598,1432,3959,470,470,216,980,1085,423,565,306,206,281,635,1146,1019,571,1170,980,216,622,3075,1897,2074,698,515,499,961,862,3492,108,108,216,216,437,216,232,216,216,216,216,397,356,87,971,264,216,937,1687,750,1430,2294,864,2106,1062,822,3085,163,163,216,226,942,596,1694,459,436,112,172,1257,663,991,1007,812,49,605,1130,509,1137,911,381,802,677,529,2218,477,445,230,1536,765,107,404,190,162,114,175,216,216,216,122,216,216,122,228,216,228,185,216,185,693,367,3527,304,304,216,558,2509,560,1272,783,727,190,195,216,216,216,696,216,216,696,201,132,159,450,216,450,380,455
ACSSF,2019m1,nc,000,0115,0000010,8785,2115,1997,608,2780,5223,1575,3721,3342,2969,1236,1107,2520,1986,1430,3240,1776,146,2593,5151,3686,4283,3847,1715,3551,2227,2453,6311,971,994,178,1197,1844,648,1058,740,522,503,938,1692,1549,753,1607,1507,103,967,4039,2841,3072,1785,1014,1510,1149,1594,6597,379,379,216,104,750,393,843,452,356,239,79,494,178,450,2049,183,216,2039,3246,971,3280,3298,1249,2993,1284,1572,4183,420,394,167,561,1271,974,3129,1453,1319,496,412,1408,1159,890,955,558,216,725,2094,910,1749,1373,312,1347,989,965,3541,1443,1432,213,2635,1458,502,1088,703,425,643,334,613,111,617,613,113,101,609,742,603,393,532,266,452,1126,438,5834,778,447,532,799,4594,831,1863,2320,2284,616,170,285,80,272,866,529,216,692,591,430,459,669,181,653,1050,505
