ACSSF,2019e1,nc,000,0044,0000011,114144,113719,17304,11024,4586,18245,21656,20754,20150,425,95691,59913,8570,5043,2421,20391,23488,35778,7417,1810,1087,299,2660,1561,28361,3225,3228,546,11135,10227,113709,67366,11089,4816,30438,113719,36415,36268,12851,1930,21487,147,77304,76640,54515,6944,15181,664,113709,95691,89758,1593,4340,13647,2116,2255,593806,570999,236571,110972,30127,80845,125599,42373,83226,111464,1004,12890,236,156882,147848,2237,6797,19587,5760,4495,1573,1483,5833,787,12434,22807,141961,138111,95347,49379,29062,20317,37721,3203,899,3625,520,42764,40663,13378,12059,1319,27285,26378,907,2101,3850,457280,72490,224245,26285,61035,57685,15540,102148,3376,22774,10910,41553,16132,7403,217021,30677,125074,13413,18224,24672,4961,138111,38437,76397,1962,1258,16881,3176,593806,570999,236571,110972,125599,112468,13126,156882,19587,5760,4495,8889,13221,22807
ACSSF,2019e1,nc,000,0044,0000012,403841,402233,59124,41689,19466,63201,74701,75798,68254,1608,339202,199425,27113,21181,9154,63707,78270,139777,31993,6299,3954,1399,10114,10227,107784,15390,11337,5158,40328,35571,402146,225046,43164,19330,114606,402233,139009,138290,40817,14733,82740,719,263224,259805,184229,22920,52656,3419,402146,339202,313495,7245,18462,43828,9724,9392,1988223,1927557,783227,372994,97398,275596,410233,136114,274119,359490,3328,43481,1281,538037,497641,11435,28961,63457,22626,18061,4100,6192,22007,1942,60328,60666,426490,415213,286070,147259,88641,58618,113084,12766,2326,9434,1201,129143,120722,39172,35094,4078,81550,78830,2720,8421,11277,1525324,233502,724884,90036,198562,204541,73799,371436,22399,80395,38297,138237,56392,35716,738675,97179,414630,45058,58182,95903,27723,415213,113924,229859,6681,2143,52246,10360,1988223,1927557,783227,372994,410233,362818,44762,538037,63457,22626,18061,32299,62270,60666
ACSSF,2019e1,nc,000,0044,0000013,37366,37339,6809,3158,2100,6348,6988,5526,6410,27,32647,21644,3343,1371,1598,8111,7221,11003,3310,817,116,42,1355,980,7693,1302,1386,376,2508,2121,37339,23681,5679,1412,6567,37339,10829,10820,2523,1480,6817,9,26510,26244,21158,2936,2150,266,37339,32647,29010,544,3093,2699,1452,541,169509,165007,64316,30882,7972,22910,33434,11606,21828,31795,44,4013,183,49140,43361,576,5203,4269,1423,2537,582,523,1842,9,4331,4502,29060,28329,19398,9430,6183,3247,7908,1260,572,194,34,8931,8544,2590,2481,109,5954,5643,311,387,731,127668,19578,63463,8593,16394,14585,5055,36355,2449,9241,3491,13402,5326,2446,62984,9005,38342,4477,2984,5813,2363,28329,8124,15880,625,8,3446,246,169509,165007,64316,30882,33434,31839,4196,49140,4269,1423,2537,2947,4340,4502
ACSSF,2019e1,nc,000,0044,0000014,20783,20773,3297,1905,1186,4280,3154,3088,3863,10,17876,13219,1733,1040,671,5196,4579,4657,898,248,152,26,252,220,3759,586,448,306,1073,1346,20659,15043,1037,881,3698,20773,7738,7651,4841,719,2091,87,13035,13035,10202,551,2282,0,20659,17876,16277,485,1114,2563,97,123,142820,142007,58385,28269,6668,21601,30116,9520,20596,34196,52,2622,127,32225,28473,879,2873,4160,1576,1833,371,957,1665,0,3838,813,46735,46358,37048,18464,11229,7235,16062,1106,371,832,213,9310,8491,3015,2721,294,5476,5161,315,819,377,121234,16188,68680,5313,14349,12417,4287,21795,1037,5504,1500,8955,3704,1095,53081,7269,30194,2873,5075,5303,2367,46358,7882,32982,940,319,3410,825,142820,142007,58385,28269,30116,34248,2749,32225,4160,1576,1833,2993,3838,813
ACSSF,2019e1,nc,000,0044,0000015,47865,47658,5121,7381,2921,6763,7917,9044,8511,207,41991,30594,3570,5212,1868,9202,10742,11397,2784,241,176,105,906,1356,8613,623,1354,320,3214,3102,47658,33187,3686,2735,8050,47658,6772,6772,3152,1076,2544,0,40886,40670,30035,2472,8163,216,47658,41991,39230,1341,1420,2988,1791,888,261191,254373,106741,52467,13600,38867,54274,19579,34695,49060,955,6096,716,60399,56796,1701,1902,5085,2304,3912,711,1737,2915,213,13529,6818,54116,51655,34211,17363,10479,6884,13724,1159,288,1214,463,17444,15752,4764,4322,442,10988,10368,620,1692,2461,206715,33179,99819,13856,18408,23590,17863,54417,5634,12104,5779,13375,7836,9689,100643,12855,59340,6811,4720,10785,6132,51655,14690,28375,1266,313,4969,2042,261191,254373,106741,52467,54274,50015,6812,60399,5085,2304,3912,5363,13742,6818
ACSSF,2019e1,nc,000,0044,0000016,16628,16497,2721,1508,860,2118,3397,3002,2891,131,15137,10186,1693,907,450,3493,3643,4951,1592,104,106,339,505,538,3359,639,187,71,1166,1296,16497,10723,2237,295,3242,16497,6453,6387,2565,1338,2484,66,10044,10044,8158,579,1307,0,16497,15137,13707,956,474,986,218,156,90485,87720,36634,18415,4144,14271,18219,5434,12785,18835,161,1900,0,23717,21687,1250,780,1426,844,1017,0,230,620,0,2336,2765,18709,18385,13288,7093,4520,2573,5225,770,0,175,25,5097,4759,1540,1467,73,3219,3179,40,338,324,71223,9578,37700,4079,8568,8276,3022,16358,867,5594,1381,5824,1429,1263,36480,4065,21470,2464,2708,4288,1485,18385,4646,10636,234,36,2559,274,90485,87720,36634,18415,18219,18996,1900,23717,1426,844,1017,850,2336,2765
ACSSF,2019e1,nc,000,0044,0000017,54990,54791,6782,6789,3058,7729,11809,9149,9475,199,50969,37408,4537,4542,2312,13092,12925,13561,1114,53,184,0,445,432,12447,1102,1322,639,4800,4584,54791,39512,4021,1104,10154,54791,10066,10066,3561,91,6414,0,44725,44725,35951,1252,7522,0,54791,50969,46956,2526,1487,2554,851,417,216453,214520,68798,31951,5550,26401,36847,8973,27874,38811,361,3472,209,79334,73111,3055,3168,5494,2071,4460,1576,2137,3595,147,4055,1933,30519,29570,22608,9215,5740,3475,6197,3569,1344,1345,938,6962,6395,2038,1924,114,4357,4195,162,567,949,159729,14523,78149,7550,28365,26904,4238,47454,1427,9932,3352,21994,8889,1860,82705,6977,54371,3761,6214,10369,1013,29570,6119,13846,437,157,7646,1365,216453,214520,68798,31951,36847,39172,3681,79334,5494,2071,4460,7308,4202,1933
ACSSF,2019e1,nc,000,0044,0000018,16337,16328,2044,1848,786,3227,2286,2368,3769,9,12743,9058,1315,1315,365,2430,3633,3685,1552,213,216,0,543,580,2133,218,0,421,1046,448,16328,10448,1460,808,3612,16328,4215,4215,1549,454,2212,0,12113,12015,8899,1453,1663,98,16328,12743,11549,367,827,2388,469,728,82178,81152,32513,17189,4171,13018,15324,5375,9949,14924,0,1450,82,21091,19248,700,1143,3039,659,1039,723,812,1064,184,3572,1026,16270,15978,10697,5320,3446,1874,3903,1009,100,274,91,5281,5073,2021,1426,595,3052,2969,83,208,292,64824,9546,29821,3095,8348,9943,4071,15643,885,3011,1243,6509,2135,1860,33203,4266,18651,1341,1658,5542,1745,15978,4395,8159,511,181,2266,466,82178,81152,32513,17189,15324,14924,1532,21091,3039,659,1039,2599,3756,1026
ACSSF,2019e1,nc,000,0044,0000019,11777,11764,1195,1542,889,2013,1500,2214,2411,13,,,,,,,,,,,,,,,,,,,,,11764,8389,940,410,2025,11764,2245,2181,1138,53,990,64,9519,9519,7251,630,1638,0,11764,9294,8751,257,286,1419,794,257,69473,68355,28962,13969,3001,10968,14993,5559,9434,14959,59,1904,0,15802,15020,337,445,2017,917,444,66,80,1303,100,1742,1118,17866,17558,11602,6161,3799,2362,4844,226,66,211,94,5956,5271,1722,1193,529,3549,3383,166,685,308,56591,8560,30072,3773,6508,5223,2455,11126,762,2312,1507,4759,1078,708,27907,3222,17722,1897,1749,2707,610,17558,4576,10038,369,0,1438,1137,69473,68355,28962,13969,14993,15018,1904,15802,2017,917,444,1449,1842,1118
ACSSF,2019e1,nc,000,0044,0000020,34920,34893,4297,3648,2255,5706,5497,6522,6968,27,28093,17622,1816,1514,915,5297,8080,10471,4003,584,442,0,979,1998,6468,315,751,150,2717,2535,34893,19810,2570,2990,9523,34893,8174,8174,1867,600,5707,0,26719,26719,17943,4337,4439,0,34893,28093,26269,841,983,6126,226,448,159551,156816,62417,31282,7868,23414,31135,9499,21636,29540,0,3964,225,41755,38301,1390,2064,7642,798,3268,153,1724,2105,233,2992,2735,29308,28345,20035,10286,6543,3743,7299,1451,153,642,204,8310,8113,2481,2319,162,5632,5520,112,197,963,121923,17367,59582,7889,13662,19538,3885,32080,2908,7232,3190,10245,6355,2150,61498,6620,37165,4274,3296,8807,1336,28345,7839,15185,425,121,4376,399,159551,156816,62417,31282,31135,29540,4189,41755,7642,798,3268,3982,3225,2735
ACSSF,2019e1,nc,000,0044,0000021,14810,14768,2519,1709,121,2659,2002,3055,2703,42,12602,9170,1255,1033,70,3212,3600,3432,1607,440,80,0,229,858,1825,619,393,0,391,422,14768,9476,1112,1728,2452,14768,3485,3485,1694,432,1359,0,11283,11283,7782,2133,1368,0,14768,12602,11875,279,448,714,982,470,74470,73854,30674,14422,3012,11410,16252,5141,11111,16943,77,1539,0,18402,17512,442,448,975,1611,855,0,63,549,0,2166,616,18908,18461,12981,6147,3624,2523,5665,642,0,188,339,5480,4802,1803,1647,156,2999,2842,157,678,447,59086,8153,34308,2800,5800,5962,2063,12762,587,4127,353,4188,2889,618,27863,3077,18526,1726,1612,2086,836,18461,4489,11655,721,0,987,609,74470,73854,30674,14422,16252,17020,1539,18402,975,1611,855,612,2166,616
ACSSF,2019e1,nc,000,0044,0000022,21444,21342,3314,1873,1061,3188,5439,2919,3548,102,17135,8977,1494,819,584,3278,2802,8158,2411,843,283,347,591,347,5747,522,552,130,2892,1651,21342,12291,3206,705,5140,21342,6760,6760,1912,1751,3097,0,14582,14582,10379,694,3509,0,21342,17135,15698,482,955,3217,312,678,97947,96264,30599,16428,3754,12674,14171,4475,9696,14865,114,1651,0,34428,31463,1167,1798,4749,1607,1764,753,1161,881,551,3141,1683,18607,18380,13467,6516,4231,2285,4567,1492,248,628,16,4913,3834,1252,1038,214,2582,2409,173,1079,227,74922,8229,29945,3326,17277,12477,3668,19310,207,3054,1295,9302,3696,1756,37232,4575,17134,1894,7942,5169,518,18380,3447,9757,137,33,3612,1394,97947,96264,30599,16428,14171,14979,1651,34428,4749,1607,1764,2795,3692,1683
ACSSF,2019e1,nc,000,0044,0000023,21753,21715,3600,2871,1119,3968,4434,2672,3051,38,18984,15606,3060,1792,877,5581,4296,3378,631,0,224,0,343,64,2747,85,541,202,1113,806,21398,16533,1109,705,3051,21715,5085,4686,2113,687,1886,399,16630,16131,14420,521,1190,499,21398,18984,17966,177,841,1370,184,860,102139,96989,42221,21015,4703,16312,21206,6878,14328,22815,44,1787,50,24931,23447,435,1049,1422,856,599,111,32,71,0,2050,5150,20122,19640,13159,6985,4620,2365,5633,360,72,88,21,6481,5822,2297,1966,331,3525,3320,205,659,482,75274,11264,45781,3618,5947,6586,2078,22008,1656,11879,1661,4592,1302,918,33626,4322,22279,1147,1355,3790,733,19640,5286,11623,810,0,1494,427,102139,96989,42221,21015,21206,22859,1837,24931,1422,856,599,214,2050,5150
ACSSF,2019e1,nc,000,0044,0000024,83039,82811,14887,10239,5875,12460,13794,12967,12589,228,72423,40721,7598,5366,2781,12976,12000,31702,4259,827,700,130,1290,1312,27443,3475,2959,2059,9293,9657,82701,44825,5629,3806,28441,82811,28984,28628,9587,915,18126,356,53827,53265,35348,4339,13578,562,82701,72423,66432,1927,4064,6238,1983,2057,335509,319016,128135,63252,19164,44088,64883,23726,41157,51132,178,5425,490,100923,91374,2639,6910,8565,3839,4170,749,813,4337,614,9646,16493,40648,39800,27075,13696,8893,4803,8384,2695,631,1373,296,12725,12257,3424,3184,240,8833,8565,268,468,848,236205,42890,102396,11952,28407,38722,11838,86231,10979,27130,6782,21708,12476,7156,110174,20162,56998,4426,6466,18050,4072,39800,11749,18268,744,233,8196,610,335509,319016,128135,63252,64883,51310,5915,100923,8565,3839,4170,5899,10260,16493
ACSSF,2019e1,nc,000,0044,0000025,35704,35620,4792,4204,2727,5497,6646,5718,6036,84,30264,19750,2504,2379,1102,6407,7358,10514,2665,67,920,416,568,694,7849,1239,427,618,3352,2213,35620,22399,2678,2774,7769,35620,11692,11417,5017,962,5438,275,23928,23566,17382,2249,3935,362,35620,30264,26832,885,2547,3380,946,1030,167609,165949,69938,35824,7658,28166,34114,8778,25336,36468,95,5456,85,41263,36625,1501,3137,4286,525,1752,129,864,1731,167,3190,1660,31367,30738,22483,12379,7997,4382,8379,1179,50,477,19,8255,7857,2689,2254,435,5168,5007,161,398,629,130329,16436,73159,11065,10999,15863,2807,32014,2146,9341,5122,9179,4897,1329,67577,7029,45583,4843,1820,7020,1282,30738,7261,18235,1100,0,3946,196,167609,165949,69938,35824,34114,36563,5541,41263,4286,525,1752,2724,3357,1660
ACSSF,2019e1,nc,000,0044,0000026,66035,65975,10181,10021,3517,10700,10899,10336,10321,60,59746,37710,6419,4646,2034,13294,11317,22036,4813,539,581,181,1762,1750,17223,2411,2708,1224,5043,5837,65975,40017,6582,2614,16762,65975,15035,14909,3215,571,11123,126,50940,50660,36802,4884,8974,280,65975,59746,56821,1240,1685,3601,2222,406,321488,305563,131140,59036,16910,42126,72104,26284,45820,50201,1063,9391,906,80722,75784,1860,3078,6066,3541,3458,2410,376,4517,0,11772,15925,44730,42874,30858,15495,8400,7095,10128,1475,2196,1275,289,12016,11796,2772,2698,74,9024,8745,279,220,1856,239588,43194,102479,20648,20976,35277,17014,81221,10470,20620,11916,15485,10104,12626,115493,21281,60450,8286,5403,16101,3972,42874,11443,21409,446,88,9072,416,321488,305563,131140,59036,72104,51264,10297,80722,6066,3541,3458,7303,11772,15925
ACSSF,2019e1,nc,000,0044,0000027,86836,86731,11818,10404,4483,15955,13542,15481,15048,105,75356,45417,6830,4927,2865,15199,15596,29939,5842,1028,1297,272,1755,1490,24097,2040,1849,1272,8879,10057,86731,49919,4331,4576,27905,86731,23289,23265,6945,1026,15294,24,63442,63442,42974,5580,14888,0,86731,75356,71345,2529,1482,7542,3230,603,382295,371491,148151,66826,21275,45551,81325,28321,53004,63500,488,6232,605,114899,107521,4184,3194,10134,5266,5160,960,920,2983,519,11674,10804,61594,60661,38647,18737,11574,7163,15508,2802,683,534,383,22014,20663,7337,6145,1192,13326,12730,596,1351,933,284760,49596,127646,14004,39543,39111,14860,79607,8748,17040,5498,29525,11535,7261,144492,21973,80021,6064,9950,20095,6389,60661,18875,30585,2442,68,7481,1210,382295,371491,148151,66826,81325,63988,6837,114899,10134,5266,5160,4863,12193,10804
ACSSF,2019e1,nc,000,0044,0000028,15295,15256,2051,900,997,2943,3272,2882,2211,39,,,,,,,,,,,,,,,,,,,,,15256,8764,2803,13,3676,15256,2079,2079,1026,166,887,0,13177,13177,7738,663,4776,0,15256,14139,12180,638,1321,1082,35,0,69685,68208,26720,12231,2032,10199,14489,3044,11445,14069,52,2635,0,19959,17648,832,1479,1839,265,64,164,267,238,0,1936,1477,,,,,,,,,,,,,,,,,,,,,,52952,5076,28574,4935,5820,6250,2297,13353,107,3564,2259,4223,1968,1232,28125,2676,17044,2269,1597,3538,1001,11474,2293,7966,407,0,744,64,69685,68208,26720,12231,14489,14121,2635,19959,1839,265,64,669,1936,1477
ACSSF,2019e1,nc,000,0044,0000029,49853,49800,7386,5944,2592,8493,7767,9092,8526,53,41123,27881,3531,2416,1813,8754,11367,13242,4384,819,543,160,1309,1553,8858,1076,1405,399,3056,2922,49800,30938,5510,3519,9833,49800,11561,11561,4462,1708,5391,0,38239,37638,26476,4109,7053,601,49800,41123,38054,670,2399,5967,1171,1539,224529,221278,85705,41863,10984,30879,43842,12604,31238,39594,348,6220,505,62253,57804,810,3639,8560,2749,2753,941,953,4051,381,6265,3251,37745,36672,24718,12277,6936,5341,8544,1904,834,918,241,11954,11349,4089,3573,516,7260,6855,405,605,1073,171478,23588,79492,13848,21130,26582,6838,47221,1823,12532,6978,15597,6622,3669,87585,11337,49823,5918,5507,12675,2325,36672,10428,17137,952,26,7285,844,224529,221278,85705,41863,43842,39942,6725,62253,8560,2749,2753,5945,6646,3251
ACSSF,2019e1,nc,000,0044,0000030,118894,118654,17893,13492,4442,18963,18855,24676,20333,240,106804,65599,10341,8494,2400,19265,25099,41205,8333,754,1075,182,3791,2531,32872,5027,3097,921,11303,12524,118555,68718,8375,6299,35163,118654,34814,34749,10542,2385,21822,65,83840,83099,58176,7489,17434,741,118555,106804,98729,3083,4992,6588,2697,2466,537174,514845,206950,97637,24772,72865,109313,36290,73023,86516,500,12190,431,158652,147713,4149,6790,8118,6842,7751,930,1222,4979,80,19684,22329,82932,80758,56962,28416,17587,10829,20010,5879,801,1342,514,23796,21912,6505,5647,858,15407,14898,509,1884,2174,396191,61062,174282,24986,51848,60011,24002,116205,12015,21654,14307,40194,15020,13015,199228,28502,110481,9382,11298,31090,8475,80758,20545,42147,1297,356,13901,2512,537174,514845,206950,97637,109313,87016,12621,158652,8118,6842,7751,7131,19764,22329
ACSSF,2019e1,nc,000,0044,0000031,34986,34947,5790,3511,2939,4874,5123,6352,6358,39,31314,21375,4557,2271,2250,5992,6305,9939,3039,198,54,33,1665,1089,6900,425,898,336,1445,3796,34947,22222,2436,2119,8170,34947,9759,9759,2916,1871,4972,0,25188,24877,19306,2034,3537,311,34947,31314,30164,223,927,2749,312,572,135976,132666,46416,24407,6215,18192,22009,6928,15081,23158,223,2677,12,45010,42645,522,1843,3515,1302,1992,601,1899,1795,259,3807,3310,17135,16715,11724,5656,3339,2317,4342,1228,217,269,12,4991,4698,1699,1635,64,2999,2859,140,293,420,97719,13143,46846,5299,13680,14528,4223,31508,1909,11183,1787,10844,3583,2202,49496,6740,26842,3252,2803,8087,1772,16715,4494,8821,260,33,2858,249,135976,132666,46416,24407,22009,23381,2689,45010,3515,1302,1992,4295,4066,3310
