ACSSF,2019m1,nc,000,0116,0000012,10440,2759,4566,6700,2029,5244,3943,1346,3777,4457,7450,5147,3374,2979,8416,1485,2063,2439,835,1337,937,1081,2286,2250,5870,2281,1795,1968,7678,445,304,1173,395,1026,527,79,1000,2654,4347,4451,1988,2147,5491,562,864,1321,1067,3619,1674,704,2405,1578,2596,1965,1270,1283,4848,1817,3910,2008,614,1448,1022,388,607,736,1084,562,1773,722,8152,1241,1280,5882,1185,2672,3188,255,285,1289,929,936,1275,628
ACSSF,2019m1,nc,000,0116,0000013,2963,234,2283,1608,991,2160,1432,491,1355,1167,2300,1851,1299,1121,2643,147,826,760,449,659,272,418,859,799,1968,432,540,595,2158,109,104,121,88,234,216,156,132,520,1280,1451,580,573,2133,81,213,797,623,1632,845,128,973,437,752,427,373,726,2177,115,2040,382,216,618,262,131,216,158,214,216,568,82,2005,115,453,1190,446,585,947,69,65,422,494,506,543,82
ACSSF,2019m1,nc,000,0116,0000014,2524,129,1340,1226,658,1818,1124,571,1080,1096,2099,1677,1421,969,2003,216,604,677,195,339,403,350,486,764,1957,529,309,488,2286,216,216,318,216,447,113,216,216,645,748,1614,798,677,2256,216,104,115,389,1616,560,296,1005,369,690,443,799,332,1696,129,1067,876,139,273,432,269,216,268,64,45,555,78,1416,216,483,510,349,885,793,216,183,65,127,216,273,94
ACSSF,2019m1,nc,000,0116,0000015,3423,553,2592,1918,997,2344,1632,562,1364,2192,3434,3188,1380,1403,3853,499,697,1239,189,595,1106,497,731,1731,2676,1398,771,1016,2606,216,216,926,216,195,140,216,196,752,1585,2312,690,889,2704,216,640,906,699,1959,313,223,1290,870,952,781,245,577,2896,215,2412,768,216,292,325,132,143,233,431,756,349,77,2298,216,216,1143,621,760,1274,104,83,506,246,152,628,149
ACSSF,2019m1,nc,000,0116,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0116,0000017,3106,849,2441,2620,721,2521,1244,783,2008,1900,3136,3393,1341,1041,3408,199,916,1098,517,512,570,668,1570,1431,2742,1100,484,637,3247,306,216,322,216,770,216,216,216,1086,1322,3099,893,733,3089,118,165,1056,381,1907,628,277,1279,576,963,630,491,232,1857,740,1896,950,170,264,254,213,245,237,823,243,344,121,2714,162,136,1920,395,988,963,315,113,327,408,511,547,216
ACSSF,2019m1,nc,000,0116,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0116,0000019,1608,766,1036,654,412,880,582,200,572,752,1013,1568,633,620,1449,203,377,348,355,439,183,182,327,409,841,209,192,405,1562,216,216,216,216,216,216,216,177,424,420,1453,122,202,1211,299,457,122,187,642,141,35,476,142,236,377,273,367,907,457,569,259,216,97,111,68,103,83,48,58,85,155,1143,216,105,503,133,564,472,216,63,324,252,239,514,264
ACSSF,2019m1,nc,000,0116,0000020,2767,399,1277,2679,746,1427,1150,648,952,1659,1691,2455,1362,745,2599,165,353,1603,419,457,483,269,424,941,1474,1866,832,441,2369,351,216,167,216,381,216,202,512,1309,657,1384,858,513,1913,89,216,891,500,1170,543,414,669,361,593,695,386,279,1449,18,1249,437,216,340,528,195,239,288,71,216,161,214,2565,216,89,2215,452,850,884,216,57,268,381,92,206,63
ACSSF,2019m1,nc,000,0116,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0116,0000022,2328,369,988,1850,435,1119,1328,161,403,1126,1718,1059,668,865,1870,369,539,653,216,483,161,139,331,517,1203,561,246,764,1681,24,216,87,216,309,202,79,216,898,864,900,535,213,1615,216,216,490,189,930,232,216,119,141,1081,93,167,411,1010,216,789,488,148,216,197,50,127,216,233,216,142,19,1950,216,183,1605,326,516,1290,216,80,244,146,513,193,216
ACSSF,2019m1,nc,000,0116,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0116,0000024,3271,294,1394,1488,757,2203,1217,685,1036,1558,2294,1912,1436,1542,2762,280,531,709,124,645,317,385,577,1051,1896,715,632,920,2663,216,216,345,216,531,421,216,247,766,1214,1422,933,1057,2762,216,398,473,467,1790,613,326,557,765,1078,1047,454,629,1777,190,1285,386,234,385,405,415,549,455,451,179,417,337,2203,216,379,1308,453,865,898,129,220,661,492,283,445,329
ACSSF,2019m1,nc,000,0116,0000025,3416,244,1446,2135,710,1365,1330,832,915,1678,2029,1484,1319,703,2590,132,252,1192,46,380,356,253,505,1053,1550,597,455,459,2140,167,216,216,216,656,216,447,216,753,1045,1242,979,288,2021,216,167,715,549,908,751,277,670,370,780,288,648,341,1486,132,1297,584,371,286,340,557,164,442,193,386,570,62,2646,216,765,1828,298,666,1012,57,220,729,539,141,634,131
ACSSF,2019m1,nc,000,0116,0000026,4617,257,2020,2041,1177,2461,1533,686,1657,2932,4164,2734,2064,1247,4714,133,809,1232,387,663,260,580,1315,2466,3892,1401,870,1041,3271,126,216,83,216,554,216,163,454,1226,1815,2230,1671,269,3767,74,356,650,989,2518,938,296,1055,1070,1795,1036,815,525,2568,142,1734,622,300,252,478,216,216,477,1133,216,898,603,2629,216,263,1195,502,1615,1117,205,216,355,299,246,530,216
ACSSF,2019m1,nc,000,0116,0000027,4732,321,1756,2853,824,2848,2128,584,2028,2328,3525,2783,1601,1595,4032,164,805,1291,376,1031,423,519,1689,1580,2903,1260,1057,966,3661,216,216,81,216,928,216,216,204,1421,2145,1984,865,1040,3278,216,668,716,595,2308,813,369,1239,836,1481,996,294,411,2297,245,1499,1117,205,415,896,109,180,361,278,216,537,113,2999,135,400,2334,509,1031,1376,216,216,661,488,525,498,73
ACSSF,2019m1,nc,000,0116,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0116,0000029,2897,328,1340,1982,928,1626,1400,891,1206,1338,2062,1416,1329,1056,2518,33,658,984,321,245,517,734,794,957,1671,498,594,558,2468,204,358,278,34,321,71,59,172,815,1596,1155,922,651,2325,216,211,806,622,1384,651,119,768,680,836,587,381,488,1636,251,1191,767,114,229,518,415,522,335,150,216,390,216,2346,65,326,1459,492,691,1015,44,216,436,422,283,542,61
ACSSF,2019m1,nc,000,0116,0000030,6326,742,2578,3214,1872,3603,2651,1574,2400,2653,4432,3967,1931,1553,5402,174,1109,1464,941,1058,701,667,1890,1657,3737,1159,751,1077,4219,563,341,370,91,532,411,216,172,1413,2266,2821,1458,570,4705,181,693,635,1140,2479,1059,1237,1621,1146,1697,1379,388,685,2504,370,1900,677,500,490,532,567,502,192,271,558,825,128,3628,216,483,2662,890,2026,2057,596,266,981,901,731,243,663
ACSSF,2019m1,nc,000,0116,0000031,2414,419,1813,1433,506,1173,754,621,576,1168,1635,1333,520,1249,1905,200,590,584,54,249,118,400,310,801,1442,619,257,602,1387,323,216,334,216,417,216,216,216,502,794,837,263,715,1732,68,163,325,191,846,390,417,371,372,336,833,152,796,1650,179,1556,353,61,70,257,216,160,175,394,99,226,274,1302,34,244,1010,477,655,643,169,216,158,164,196,124,134
ACSSF,2019m1,nc,000,0116,0000032,2793,523,1348,1534,650,1865,537,437,942,1523,1550,1403,1187,905,2525,77,446,918,395,593,203,409,736,757,1410,586,389,836,1826,139,216,114,216,464,152,216,216,1130,863,1199,1036,215,1505,216,277,393,300,928,384,153,497,529,299,573,452,170,1485,495,1373,311,434,182,267,150,168,103,148,216,279,162,2135,216,508,1230,161,1359,434,216,201,324,286,156,193,216
ACSSF,2019m1,nc,000,0116,0000033,2335,536,1724,2142,793,1809,1185,541,819,1796,2295,1441,1006,460,2387,486,1062,1077,298,795,381,482,611,1155,1707,734,465,240,1822,216,216,196,216,376,78,121,216,1007,1136,1120,650,261,1928,112,366,695,642,1577,444,238,604,760,849,518,331,242,1347,107,1079,672,173,434,346,80,60,212,241,305,636,125,2318,216,248,1674,206,660,803,216,62,391,54,175,524,105
ACSSF,2019m1,nc,000,0116,0000034,3860,535,2563,2029,1464,2833,2031,1065,1488,2428,2915,2964,1602,2253,3822,242,1026,979,376,557,1147,1003,859,1292,2538,814,353,1715,2905,216,130,50,216,544,178,244,216,1067,1346,2003,1041,1066,3562,216,417,606,1035,2363,487,305,1148,1083,1258,1240,625,473,2630,473,2335,720,143,297,717,147,190,214,170,216,497,108,2798,216,557,1729,946,1033,949,94,170,611,216,283,902,216
ACSSF,2019m1,nc,000,0116,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0116,0000036,7858,667,3040,4335,2884,5199,4430,2324,5219,5581,6029,4712,3858,2109,7094,648,1676,2198,1461,1617,1615,1926,4039,4111,4457,1952,1283,1308,6971,216,487,555,191,907,474,341,1250,2881,3589,3355,2455,1409,6414,216,576,1718,1966,4256,2167,1038,2886,1919,2161,1876,1249,669,3000,202,2806,725,864,999,466,558,639,812,528,523,1144,115,5107,216,630,2619,1124,2016,3151,76,452,1574,624,1136,1305,201
ACSSF,2019m1,nc,000,0116,0000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0116,0000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0116,0000039,3612,426,1466,1694,620,2648,1325,1338,1648,2450,3264,2955,1361,1064,3035,264,656,770,249,674,878,938,1318,2012,2616,861,348,698,3061,216,98,449,216,481,216,232,434,860,1340,2529,640,692,2989,138,145,517,524,2172,302,544,1147,843,1034,705,349,331,1611,217,1170,343,216,646,152,823,240,171,364,381,470,86,1814,216,216,1205,319,704,902,72,286,674,161,422,816,216
ACSSF,2019m1,nc,000,0116,0000040,5332,708,2670,993,258,2744,924,347,1336,1832,2183,3033,1191,1604,3163,365,819,572,134,524,258,326,941,1491,1945,701,188,1116,2948,291,216,216,216,214,216,216,704,672,1026,2429,609,579,3053,216,234,322,145,2636,403,130,430,840,543,1303,435,723,2897,273,2707,509,216,903,338,216,216,335,386,151,750,319,1617,61,435,637,170,775,710,216,81,238,655,184,642,352
ACSSF,2019m1,nc,000,0116,0000041,2909,295,1005,1215,411,1317,546,771,947,1798,2825,1518,973,855,3142,214,714,869,210,734,77,700,555,1535,2341,749,300,426,2082,216,216,285,216,148,216,293,275,639,1179,1284,717,645,1536,216,320,516,123,816,81,153,691,411,707,465,493,190,941,177,719,216,149,216,400,81,216,216,317,216,141,225,1396,216,50,786,289,836,375,216,216,243,364,124,397,339
ACSSF,2019m1,nc,000,0116,0000042,4029,927,1327,1823,994,2337,1255,850,956,1674,3055,2746,1487,1418,2823,463,647,709,216,492,318,763,717,1041,2658,953,666,603,3291,124,216,1109,216,385,667,216,216,748,1784,2462,1097,1127,2966,216,206,526,840,2040,385,452,631,774,835,617,376,271,1244,483,1186,230,216,279,136,216,216,216,203,216,449,216,1647,380,362,939,653,1033,857,291,211,717,286,646,482,216
ACSSF,2019m1,nc,000,0116,0000043,2964,661,1241,2097,858,1638,1185,766,955,1490,1587,1591,767,714,2010,284,561,780,244,937,392,679,512,973,1182,766,329,257,1555,216,197,237,216,255,553,216,317,841,922,1116,569,430,2048,65,192,551,802,1140,342,216,812,377,637,690,231,328,1256,594,936,542,79,304,203,356,23,46,114,216,260,216,1971,216,334,1730,172,517,942,216,216,549,247,235,281,494
ACSSF,2019m1,nc,000,0116,0000044,2285,469,1007,1382,399,915,592,321,619,732,1526,848,481,724,1411,321,235,464,169,172,212,99,339,270,1087,319,224,419,1317,61,216,357,216,216,216,216,114,425,849,641,307,533,1038,216,171,191,298,560,277,136,375,356,462,403,148,265,1210,290,930,361,92,407,196,216,175,231,298,66,261,188,1397,198,151,1007,259,512,392,256,216,282,130,97,258,45
ACSSF,2019m1,nc,000,0116,0000045,2231,261,819,1237,769,1112,1130,211,705,1157,1639,1266,992,787,1770,216,287,413,307,82,480,132,424,557,1110,167,177,245,1808,216,216,132,216,90,72,83,216,907,1059,818,593,484,1537,216,203,311,138,936,489,115,577,610,759,823,312,484,1279,152,680,443,53,493,34,216,377,216,216,216,604,216,1419,228,502,1096,631,566,912,216,216,276,156,190,130,264
ACSSF,2019m1,nc,000,0116,0000046,3440,812,1503,1759,866,1009,970,346,784,1165,2053,1583,1063,1018,2602,265,532,967,146,515,195,163,613,997,1631,825,668,647,1957,102,216,166,216,133,216,216,132,391,1346,1281,373,613,1600,216,257,647,427,779,432,41,463,346,667,274,453,289,1890,756,1461,455,337,229,360,337,36,210,110,308,586,115,2029,216,649,1365,775,559,644,216,19,245,120,459,405,141
ACSSF,2019m1,nc,000,0116,0000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0116,0000048,1997,302,836,993,270,890,795,135,398,754,1518,836,702,328,1717,170,557,534,239,466,216,108,245,600,1244,124,155,161,1267,216,216,181,216,270,216,216,216,421,1004,492,416,249,1249,216,101,332,107,716,361,216,218,266,345,572,393,241,904,213,739,237,58,341,125,98,147,84,84,166,314,216,1122,89,255,800,117,432,545,216,246,141,167,49,64,216
