ACSSF,2019m1,nc,000,0076,0000011,3972,1790,1151,109,109,109,1161,1159,140,216,140,1160,1429,216,216,216,1429,1373,216,216,216,1373,1527,216,216,216,1527,2789,2137,489,280,222,445,66,203,2049,2496,432,216,123,424,216,44,2343,2784,547,216,287,496,230,37,2695,2725,480,216,133,435,197,230,2760,3936,688,112,337,418,88,272,3695,4203,3085,1241,443,333,1080,915,538,976,2813,4052,2432,1068,805,1251,1986,925,1508,3853,5247,2457,1181,1044,1359,2123,885,1594,4428,5322,2093,821,740,1003,1689,791,1449,4640,7735,3881,2198,1770,2123,2742,1447,2041,7492,4031,3486,1131,1125,770,962,93,3438,3645,3766,4419,1924,4278,3427,3247,2159,3006,1420,5251,6469,6746,3325,5312,2876,3381,3396,2897,3324,402,3667,3589,3114,3730,467,1552,3937,3175,4942,1415,2527,1406,3972,4679,1418,4443,6144,2421,6005,7715,2522,6946,7563,2120,6975,10673,3861,10306
ACSSF,2019m1,nc,000,0076,0000012,5064,3099,2604,117,109,117,2607,2613,420,246,352,2592,2310,73,67,73,2305,1847,216,216,216,1847,2772,408,275,312,2683,3990,4391,791,284,340,729,95,309,4202,4739,1045,473,333,993,257,218,4745,4873,719,279,282,696,272,137,4813,4987,936,211,279,874,417,385,4964,7010,1275,175,598,1126,266,439,7020,4859,6864,2885,1167,1447,1841,1853,1045,1834,6224,7900,3986,1747,1561,2130,3419,1756,2950,6581,8596,3753,2301,2048,2063,2962,1765,2593,7326,11177,3859,1609,1392,1938,3047,1767,1938,8953,16434,6271,3413,2729,3737,4480,2590,3489,15886,3817,3760,2333,2254,1120,1958,737,4000,4922,7320,7756,3039,5282,7352,6202,4288,5304,3132,9244,12119,11558,6246,9851,2974,4298,4291,4334,4299,553,5001,5037,4616,5295,878,948,1843,2972,2602,561,1859,566,5064,10775,3053,10044,11798,4107,11095,12160,3730,11196,15553,3983,13305,21727,6353,21435
ACSSF,2019m1,nc,000,0076,0000013,597,109,992,216,216,216,992,416,216,216,216,416,803,216,216,216,803,909,216,216,216,909,876,216,216,216,876,282,1457,375,216,216,375,216,216,1476,1825,231,216,216,231,216,162,1833,1152,186,216,216,186,216,216,1112,1220,119,216,216,216,119,119,1199,2177,537,302,143,380,95,45,2119,576,1598,573,189,186,514,463,128,339,1573,2310,861,509,567,377,765,548,531,2093,2235,805,313,256,276,683,295,511,1985,2210,883,404,273,662,663,326,604,1977,3542,1357,1037,511,872,953,592,736,3430,372,1208,727,727,577,445,30,1329,1425,2719,2361,774,1436,1466,1285,856,1135,683,1798,2906,3118,2212,2473,746,1341,1338,1087,1338,110,1240,1240,1287,1317,216,1836,6390,17311,9797,2296,3331,3226,597,3193,751,3155,3956,909,3875,3480,862,3282,3543,896,3397,5395,1439,5240
ACSSF,2019m1,nc,000,0076,0000014,672,462,351,216,216,216,351,379,216,216,216,379,325,216,216,216,325,588,216,216,216,588,801,215,215,216,735,469,1261,199,184,216,85,184,216,1264,1051,182,163,216,163,216,96,932,608,152,216,216,152,216,216,578,986,265,216,216,265,216,216,891,1576,569,216,216,569,216,216,1501,790,1536,426,330,246,259,321,170,220,1528,1342,395,282,198,366,342,37,374,1166,1541,346,204,142,159,299,14,171,1487,2124,691,549,111,222,330,278,309,1941,3556,1541,1025,742,969,1506,757,984,3642,674,994,737,738,586,631,40,964,1165,2086,1916,875,1249,1355,1347,1161,713,640,1667,2404,2532,1965,2216,737,1332,1332,1169,1332,216,1250,1288,1480,1265,264,2175,10259,24620,5851,2300,3879,5094,672,2481,464,2428,2109,444,1875,2056,378,1977,3033,737,2782,4718,1701,4567
ACSSF,2019m1,nc,000,0076,0000015,1589,871,472,216,216,216,472,621,216,216,216,621,1218,216,216,216,1218,960,216,216,216,960,1326,216,216,216,1326,1160,812,216,216,216,216,216,216,812,1985,220,173,216,220,216,216,1911,1516,125,216,216,125,216,216,1514,1386,365,169,169,232,216,85,1358,1892,487,216,209,463,138,197,1922,1239,1551,339,110,104,299,157,216,108,1513,2564,1486,732,702,1074,1249,356,1154,2027,3365,1269,489,463,1029,1072,566,849,3062,3450,1501,496,504,985,1061,651,780,2909,4243,2261,949,1043,1528,1819,1116,1430,4349,1179,1099,771,771,414,788,216,1162,2169,3268,3023,1997,1701,2705,2345,1724,2038,1059,3054,4509,4899,1996,3866,1029,1320,1320,1033,1320,216,1625,1625,2030,1642,216,1469,5679,9528,4376,2701,3647,2543,1589,2427,339,2396,4332,1536,3928,4822,1287,4574,4785,1597,4281,5651,2276,5558
ACSSF,2019m1,nc,000,0076,0000016,903,545,151,216,216,216,151,737,216,216,216,737,223,216,216,216,223,447,216,216,216,447,516,216,216,216,516,564,714,67,216,216,216,67,216,711,1470,257,216,257,257,216,216,1484,773,198,216,84,124,216,216,730,613,25,216,216,25,216,216,613,1207,173,216,216,173,123,123,1186,842,1388,658,201,587,310,654,367,343,1189,1881,1150,418,547,835,713,366,612,1475,1575,662,458,314,422,359,177,321,1414,1426,935,498,570,666,784,320,529,1009,3044,1601,978,672,748,1647,752,861,3172,890,651,400,385,164,364,67,768,826,1758,1689,282,1134,1630,1583,1323,1193,493,2005,2859,2862,1329,1920,561,1133,1133,1285,1120,216,1160,1157,994,1130,44,2009,6060,21584,7712,1609,3130,3207,903,1766,661,1620,3274,1314,3061,2156,679,1994,1993,935,1722,3926,1617,4039
ACSSF,2019m1,nc,000,0076,0000017,873,600,762,216,216,216,762,576,216,216,216,576,719,216,216,216,719,1194,216,216,216,1194,1579,216,216,216,1579,427,1084,400,216,400,400,216,216,790,1348,216,216,216,216,216,216,1348,1392,630,216,216,630,216,354,1256,2686,153,216,216,153,153,153,2672,2741,753,440,304,629,356,356,2755,665,1395,502,91,229,239,405,238,361,1348,1834,377,129,57,228,254,213,288,1727,3467,1021,280,80,763,740,454,816,3040,3126,702,294,258,436,588,414,524,2936,5065,2314,1118,889,1413,1371,706,1333,5151,769,1567,1081,1081,674,895,216,1885,2407,3034,2518,1715,1732,2093,1848,1604,1320,997,2630,3374,3463,2417,2691,466,1429,1428,1084,1403,72,1409,1407,1593,1495,91,2346,9741,18345,17511,2941,2405,2790,873,2499,636,2267,3003,377,2938,4645,1365,4124,5740,702,5583,7332,2496,7349
ACSSF,2019m1,nc,000,0076,0000018,622,497,184,216,216,216,184,115,216,216,216,115,530,216,216,216,530,732,216,216,216,732,739,176,216,176,710,547,479,125,216,216,125,125,125,469,782,452,216,216,452,216,216,579,511,98,216,216,98,216,216,495,1060,176,216,216,114,109,216,988,1266,303,34,150,137,61,259,1239,561,1123,478,81,59,459,30,33,87,862,1324,811,327,252,379,694,322,283,929,2928,2171,433,1147,337,1616,945,617,1910,2367,1398,262,503,1015,960,796,817,1703,3547,1425,715,571,610,1310,740,798,3444,561,654,790,785,355,689,34,887,1118,1592,1779,695,843,2259,1765,1317,1302,1057,2464,2709,2726,1397,1576,461,1169,1169,893,1127,216,1213,1202,943,1208,133,2143,4654,14674,12385,2192,3511,3423,622,1224,482,984,1920,968,1325,3369,2164,2522,3505,1423,2843,4551,1478,4444
ACSSF,2019m1,nc,000,0076,0000019,480,398,176,216,216,216,176,169,216,216,216,169,167,216,216,216,167,356,216,216,216,356,500,63,63,216,510,373,456,164,216,216,164,216,164,404,558,58,216,216,58,216,216,551,232,15,216,216,15,216,216,231,642,202,30,30,202,216,216,533,843,121,39,39,121,216,97,866,505,761,288,250,72,117,127,60,255,628,871,445,254,282,313,378,277,295,591,951,543,483,517,97,567,511,514,698,1342,491,156,64,328,347,165,366,1334,2134,1233,714,418,578,930,347,577,2013,461,842,410,410,289,260,216,982,1236,1154,1278,604,799,841,793,653,602,505,1067,1485,1698,741,1396,322,751,760,678,760,60,744,744,835,764,216,1873,19063,22919,20658,1908,2957,2937,480,1003,340,862,1305,461,1056,1117,545,877,1772,543,1736,2554,1248,2472
ACSSF,2019m1,nc,000,0076,0000020,1091,1028,1071,127,216,127,1025,569,216,216,216,569,354,216,216,216,354,727,216,216,216,727,1369,216,216,216,1369,903,1319,138,216,216,138,216,216,1303,1446,249,216,177,168,216,216,1432,1324,216,216,216,216,216,216,1324,1728,253,76,216,216,216,242,1575,2108,660,624,596,612,314,353,2057,1040,2802,962,316,426,578,782,546,468,2443,2103,776,236,195,276,594,429,369,1653,2429,680,454,234,420,563,374,359,2320,2048,1052,937,400,1032,863,398,444,1995,4495,1890,1367,1251,1155,1442,1147,1189,4185,1031,562,820,742,336,670,314,1071,2466,2499,2649,2518,1193,1886,1770,1331,1121,962,2154,2924,3130,1755,2596,688,1346,1346,857,1316,216,1512,1513,1406,1512,82,1087,7690,14183,3807,1141,3388,3613,1091,4489,1020,4115,3521,854,3052,3167,680,3110,3408,1054,3426,6044,2074,5745
