ACSSF,2019e1,nc,000,0096,0000011,348393,170653,11129,4599,0,4599,4227,372,6530,10294,8208,188,8020,7450,570,2086,69803,55654,0,55654,53965,1689,14149,30685,18767,0,18767,18196,571,11918,14415,4653,4635,18,9762,34327,4329,4299,30,29998,177740,7898,3269,0,3269,3121,148,4629,10787,6858,0,6858,6437,421,3929,66035,50052,0,50052,47874,2178,15983,33927,17810,0,17810,17610,200,16117,17562,3085,3067,18,14477,41531,3642,3538,104,37889,493849,242766,17407,7216,0,7216,6346,870,10191,16744,13239,188,13051,10825,2226,3505,65248,47663,58,47605,45288,2317,17585,38424,28824,0,28824,28088,736,9600,41828,23368,0,23368,22769,599,18460,37453,9387,9149,238,28066,25662,1957,1957,0,23705,251083,13488,4478,0,4478,3932,546,9010,15513,10178,0,10178,9513,665,5335,62603,48194,0,48194,46158,2036,14409,34126,25308,0,25308,24622,686,8818,46507,25115,0,25115,24841,274,21392,44575,7614,7477,137,36961,34271,1421,1421,0,32850
ACSSF,2019e1,nc,000,0096,0000012,1156781,558570,33754,14557,0,14557,12554,2003,19197,41985,32674,1073,31601,28774,2827,9311,232903,196920,4349,192571,185612,6959,35983,100308,64247,0,64247,62595,1652,36061,45172,15353,15155,198,29819,104448,13111,13036,75,91337,598211,33947,13939,0,13939,11390,2549,20008,37609,26231,131,26100,23979,2121,11378,234867,175102,470,174632,166275,8357,59765,109109,60455,0,60455,59032,1423,48654,53855,11403,11231,172,42452,128824,10617,9912,705,118207,1630812,784392,54875,21325,0,21325,18233,3092,33550,64404,50010,1169,48841,41930,6911,14394,216241,173543,4440,169103,159856,9247,42698,125029,97659,472,97187,94498,2689,27370,135646,82686,69,82617,80124,2493,52960,114381,28730,28165,565,85651,73816,6071,6042,29,67745,846420,53132,21017,0,21017,16478,4539,32115,57332,40179,263,39916,36174,3742,17153,224558,170535,402,170133,159748,10385,54023,123518,89190,68,89122,86537,2585,34328,149587,82453,0,82453,80381,2072,67134,133900,25482,24388,1094,108418,104393,4028,3818,210,100365
ACSSF,2019e1,nc,000,0096,0000013,97326,45352,3399,1585,0,1585,1515,70,1814,3454,2314,0,2314,1980,334,1140,20600,19151,0,19151,18682,469,1449,7961,5589,7,5582,5511,71,2372,2854,971,971,0,1883,7084,890,890,0,6194,51974,4090,1545,0,1545,1440,105,2545,3850,2468,0,2468,2379,89,1382,21822,16538,0,16538,16132,406,5284,8792,5626,0,5626,5582,44,3166,3683,1288,1288,0,2395,9737,606,606,0,9131,135963,62393,4228,2085,0,2085,1906,179,2143,5947,4622,0,4622,4175,447,1325,19746,18438,0,18438,17807,631,1308,10056,9028,0,9028,8896,132,1028,10185,6964,7,6957,6551,406,3221,7303,2000,2000,0,5303,4928,529,529,0,4399,73570,6286,2836,0,2836,2577,259,3450,5380,3659,0,3659,3508,151,1721,22280,16997,0,16997,16385,612,5283,11165,8830,0,8830,8823,7,2335,11630,8024,0,8024,7839,185,3606,9204,2148,2148,0,7056,7625,402,402,0,7223
ACSSF,2019e1,nc,000,0096,0000014,108165,51100,1987,791,0,791,771,20,1196,2226,2078,0,2078,1638,440,148,16019,13607,251,13356,12425,931,2412,10025,5336,0,5336,5299,37,4689,6868,2069,2049,20,4799,13975,1490,1410,80,12485,57065,2857,1852,0,1852,1837,15,1005,1227,658,0,658,658,0,569,17537,13572,0,13572,12859,713,3965,13056,6588,0,6588,6330,258,6468,7574,1553,1480,73,6021,14814,1136,1108,28,13678,124926,59659,2703,939,0,939,919,20,1764,2632,2427,0,2427,1903,524,205,14038,12487,251,12236,11405,831,1551,6294,5280,0,5280,4912,368,1014,11570,6397,0,6397,6360,37,5173,14919,3474,3374,100,11445,7503,511,511,0,6992,65267,3043,1944,0,1944,1929,15,1099,1769,1021,0,1021,1021,0,748,14651,11978,0,11978,11206,772,2673,6993,5701,0,5701,5701,0,1292,14498,7278,0,7278,7020,258,7220,16489,2727,2557,170,13762,7824,317,289,28,7507
ACSSF,2019e1,nc,000,0096,0000015,196032,92716,4430,2111,0,2111,1848,263,2319,6144,4836,0,4836,4693,143,1308,45645,41121,278,40843,40042,801,4524,14685,8768,0,8768,8693,75,5917,6746,2285,2144,141,4461,15066,2155,2155,0,12911,103316,4252,1997,0,1997,1984,13,2255,5930,3783,72,3711,3638,73,2147,47217,39036,0,39036,38660,376,8181,17738,9000,0,9000,8975,25,8738,8500,2491,2491,0,6009,19679,984,813,171,18695,218727,102848,5243,2478,0,2478,2178,300,2765,6392,4932,0,4932,4789,143,1460,35992,32959,278,32681,32278,403,3033,15646,13281,0,13281,12830,451,2365,15957,9662,0,9662,9587,75,6295,14546,3792,3651,141,10754,9072,860,860,0,8212,115879,6459,2956,0,2956,2706,250,3503,7000,4632,72,4560,4330,230,2368,35956,30473,0,30473,30144,329,5483,17339,12756,0,12756,12709,47,4583,18627,9530,0,9530,9505,25,9097,17446,3428,3342,86,14018,13052,363,278,85,12689
ACSSF,2019e1,nc,000,0096,0000016,64099,31125,1552,550,0,550,550,0,1002,2058,1668,0,1668,1508,160,390,13930,11496,0,11496,10937,559,2434,5935,3553,0,3553,3501,52,2382,2588,886,886,0,1702,5062,248,248,0,4814,32974,1510,253,0,253,253,0,1257,1504,1163,0,1163,848,315,341,14016,10862,0,10862,10673,189,3154,6389,3301,0,3301,3256,45,3088,2640,252,252,0,2388,6915,955,955,0,5960,75446,37394,1841,550,0,550,550,0,1291,3126,2563,136,2427,2267,160,563,10561,7785,0,7785,7443,342,2776,7079,5998,0,5998,5781,217,1081,6654,4093,0,4093,4041,52,2561,4771,1181,1181,0,3590,3362,62,62,0,3300,38052,1608,351,0,351,269,82,1257,1694,1353,0,1353,1038,315,341,10790,8015,0,8015,7826,189,2775,6356,4622,0,4622,4564,58,1734,7028,3899,0,3899,3854,45,3129,5549,590,590,0,4959,5027,668,668,0,4359
ACSSF,2019e1,nc,000,0096,0000017,118970,58129,4180,1957,0,1957,1660,297,2223,3904,3054,0,3054,3054,0,850,29876,28092,0,28092,27061,1031,1784,9369,6988,0,6988,6988,0,2381,3198,1303,1244,59,1895,7602,861,826,35,6741,60841,3428,1018,0,1018,998,20,2410,3182,2892,0,2892,2784,108,290,30490,24512,0,24512,24034,478,5978,9910,6680,0,6680,6680,0,3230,3945,1674,1674,0,2271,9886,408,408,0,9478,168601,81206,6821,3806,0,3806,3509,297,3015,6447,5149,0,5149,4935,214,1298,27822,26513,35,26478,24627,1851,1309,15256,14350,0,14350,14184,166,906,11536,8027,0,8027,8027,0,3509,8176,2147,2088,59,6029,5148,590,555,35,4558,87395,7091,2091,0,2091,2002,89,5000,5287,3867,0,3867,3759,108,1420,29470,24841,0,24841,24223,618,4629,15820,13115,0,13115,12659,456,2705,12532,8592,0,8592,8549,43,3940,10319,2040,2040,0,8279,6876,188,188,0,6688
ACSSF,2019e1,nc,000,0096,0000018,60726,29318,1460,773,0,773,458,315,687,1694,1400,0,1400,1400,0,294,13437,11219,93,11126,10892,234,2218,5496,3718,0,3718,3688,30,1778,2972,1280,1280,0,1692,4259,498,464,34,3761,31408,1857,701,0,701,348,353,1156,1465,1060,0,1060,1021,39,405,13591,10621,0,10621,9730,891,2970,5921,3617,0,3617,3540,77,2304,2761,757,757,0,2004,5813,720,720,0,5093,67804,31900,1870,924,0,924,609,315,946,2205,1911,0,1911,1911,0,294,8765,7581,0,7581,7347,234,1184,6218,4429,93,4336,4336,0,1789,5569,3791,0,3791,3761,30,1778,4488,1528,1494,34,2960,2785,250,250,0,2535,35904,2589,1084,0,1084,731,353,1505,1798,1379,0,1379,1340,39,419,8888,7066,0,7066,6765,301,1822,6667,5320,0,5320,4606,714,1347,6965,4078,0,4078,4001,77,2887,5043,1428,1428,0,3615,3954,332,332,0,3622
ACSSF,2019e1,nc,000,0096,0000019,53624,25904,1706,1080,0,1080,1046,34,626,873,743,123,620,620,0,130,10187,8927,285,8642,8440,202,1260,5361,3156,0,3156,3049,107,2205,2681,885,885,0,1796,5096,698,698,0,4398,27720,1237,658,0,658,658,0,579,1306,1089,0,1089,1040,49,217,10385,8216,0,8216,7782,434,2169,5766,3163,0,3163,3119,44,2603,3216,822,777,45,2394,5810,637,637,0,5173,59318,28235,1801,1080,0,1080,1046,34,721,1626,1392,219,1173,1064,109,234,6380,5683,158,5525,5497,28,697,4507,3776,127,3649,3475,174,731,5692,3303,69,3234,3127,107,2389,4943,1501,1501,0,3442,3286,194,194,0,3092,31083,1901,1322,0,1322,1264,58,579,1536,1284,0,1284,1235,49,252,7239,6290,0,6290,5710,580,949,4697,3287,0,3287,3230,57,1410,6073,3410,0,3410,3366,44,2663,5877,1325,1280,45,4552,3760,181,181,0,3579
ACSSF,2019e1,nc,000,0096,0000020,105792,50911,3036,1453,0,1453,1184,269,1583,3666,2671,0,2671,2302,369,995,22894,19972,341,19631,19133,498,2922,9715,7466,0,7466,7391,75,2249,3310,1429,1429,0,1881,8290,1223,1223,0,7067,54881,2785,1289,0,1289,1041,248,1496,3182,2622,0,2622,2599,23,560,24194,18701,0,18701,18267,434,5493,9890,6540,0,6540,6375,165,3350,4391,1076,1076,0,3315,10439,1052,1052,0,9387,129612,63007,4465,2273,0,2273,1976,297,2192,5055,3622,0,3622,2838,784,1433,18951,16667,341,16326,16134,192,2284,10787,9362,0,9362,9056,306,1425,10622,8319,0,8319,8201,118,2303,8073,2546,2546,0,5527,5054,436,436,0,4618,66605,4365,1891,0,1891,1561,330,2474,4560,3519,0,3519,3310,209,1041,18743,15435,0,15435,14739,696,3308,11169,8112,0,8112,7819,293,3057,11587,7653,0,7653,7456,197,3934,9560,1944,1944,0,7616,6621,344,344,0,6277
