ACSSF,2019e1,nc,000,0157,0000011,236571,172145,10981,4523,2043,2837,1228,327,23,84224,10362,5971,14047,23609,19749,10486,76940,5491,2832,6285,16761,14408,31163,64426,18529,11443,4508,1752,588,238,0,32795,11129,6137,7588,5211,2109,621,13102,2189,2379,2713,2230,1570,2021,236571,172145,31222,23885,207,6,7,52,7065,23169,16922,374,368,58,13,5434,41598,29851,176,97,6,7,11461,34484,21208,0,9,0,6,13261,41672,36412,8,6,0,0,5246,64426,37785,18226,5359,2616,973,392,10219,12053,6736,1165,385,107,323,3337,8029,3531,960,165,519,107,2747,3917,1116,201,80,186,159,2175,2642,2023,92,16,0,0,511
ACSSF,2019e1,nc,000,0157,0000012,783227,542231,40715,16558,9616,9728,3671,1012,130,280191,34551,24685,48242,85181,56827,30705,221325,14033,8278,18150,47901,40530,92433,240996,73922,50430,13298,7391,1813,735,255,120418,46060,23348,25937,17568,5476,2029,46656,12726,6506,9742,8422,4969,4291,783227,542231,107721,86138,1021,588,222,92,19660,76120,58903,519,571,101,33,15993,136753,103735,444,1016,6,7,31545,98369,69205,448,39,0,78,28599,123268,107549,166,6,0,0,15547,240996,152368,64421,23918,20871,5742,4405,33011,43070,20742,8008,2312,1096,1232,9680,27803,11885,3743,1657,1523,500,8495,11180,4905,1520,256,224,159,4116,6575,5118,231,230,0,0,996
ACSSF,2019e1,nc,000,0157,0000013,64316,44067,4064,1638,1349,751,200,126,0,24805,3827,3204,4451,7454,4146,1723,15198,789,1081,1182,3281,1620,7245,20249,7239,5546,1041,595,57,0,0,10234,3904,1792,1726,2067,427,318,2776,1015,470,752,394,59,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0157,0000014,58385,49317,2047,766,918,295,68,0,0,22362,5371,3837,4264,6081,2112,697,24908,3269,3133,4514,8537,2756,2699,9068,3218,2216,539,402,61,0,0,3803,1379,1141,784,499,0,0,2047,769,533,442,121,0,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0157,0000015,106741,66293,4563,1837,1595,589,283,107,152,35762,6073,5803,6350,9418,5941,2177,25968,1863,2287,2639,5248,4407,9524,40448,14233,10451,2297,1339,73,73,0,19068,8958,3677,3590,2504,157,182,7147,2452,804,1640,1672,282,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0157,0000016,36634,27563,2112,1169,407,147,315,0,74,15016,2275,965,2061,3730,4185,1800,10435,554,295,242,1394,2101,5849,9071,2846,1652,730,219,174,0,71,4808,2369,720,855,707,43,114,1417,228,413,32,325,182,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0157,0000017,68798,50749,5238,2618,1581,690,160,135,54,32855,5089,4123,5408,11660,4894,1681,12656,560,1858,802,3121,1676,4639,18049,5627,2866,2063,399,299,0,0,9468,3364,3064,2196,655,112,77,2954,731,677,681,420,140,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0157,0000018,32513,24126,2150,965,649,192,204,140,0,13619,1591,937,941,4751,3198,2201,8357,371,127,575,1371,1473,4440,8387,1550,1170,273,107,0,0,0,4801,1892,346,1415,756,251,141,2036,342,40,518,455,42,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0157,0000019,28962,21031,1336,483,398,114,299,42,0,10319,1846,1094,1560,3347,1890,582,9376,1155,509,1587,2444,1738,1943,7931,1817,1250,415,87,65,0,0,4058,1990,976,726,346,20,0,2056,971,202,143,496,89,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0157,0000020,62417,45051,4635,2491,820,245,518,561,0,25012,4174,2303,3685,8409,4460,1981,15404,1039,605,891,3151,2476,7242,17366,5848,3476,1135,868,187,182,0,8523,2697,1409,2600,1601,92,124,2995,896,585,594,533,295,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
