ACSSF,2019e1,nc,000,0060,0000011,430697,69154,25814,16964,8313,537,0,0,43340,39221,3393,327,181,218,147166,71396,66785,3960,149,442,60,75770,72832,2519,105,192,122,137285,77411,72560,4346,217,222,66,59874,57734,1528,457,155,0,77092,44230,41571,1684,414,441,120,32862,31405,712,267,478,0,430697,69154,25814,16964,8313,537,43340,39221,3393,726,147166,71396,66785,3960,651,75770,72832,2519,419,137285,77411,72560,4346,505,59874,57734,1528,612,77092,44230,41571,1684,975,32862,31405,712,745
ACSSF,2019e1,nc,000,0060,0000012,1401069,209010,79523,54834,23491,857,323,18,129487,118096,10054,482,358,497,438583,220168,206463,10515,1135,1757,298,218415,212326,4794,630,363,302,457195,276871,262458,10985,1318,1952,158,180324,173074,4185,1583,804,678,296281,183815,173953,4568,3670,1366,258,112466,106500,3273,1373,1184,136,1401069,209010,79523,54834,23491,1198,129487,118096,10054,1337,438583,220168,206463,10515,3190,218415,212326,4794,1295,457195,276871,262458,10985,3428,180324,173074,4185,3065,296281,183815,173953,4568,5294,112466,106500,3273,2693
ACSSF,2019e1,nc,000,0060,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114122,14521,6668,3127,3383,158,7853,6359,1450,44,34596,19657,17110,2161,386,14939,14051,362,526,36068,25843,23495,1370,978,10225,9819,169,237,28937,21192,19194,914,1084,7745,7181,138,426
ACSSF,2019e1,nc,000,0060,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114779,7648,3637,3509,41,87,4011,3372,639,0,30257,14526,13211,1248,67,15731,15021,333,377,39043,19736,18860,521,355,19307,18975,308,24,37831,18251,17348,666,237,19580,18218,375,987
ACSSF,2019e1,nc,000,0060,0000015,193633,15553,5563,3192,2185,186,0,0,9990,7854,837,1208,91,0,46011,23577,20103,2484,990,0,0,22434,21569,202,638,25,0,53763,35146,33211,1194,741,0,0,18617,18114,154,335,0,14,78306,52818,49507,1128,1769,388,26,25488,23919,686,673,134,76,193633,15553,5563,3192,2185,186,9990,7854,837,1299,46011,23577,20103,2484,990,22434,21569,202,663,53763,35146,33211,1194,741,18617,18114,154,349,78306,52818,49507,1128,2183,25488,23919,686,883
ACSSF,2019e1,nc,000,0060,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67177,11908,4546,2430,1202,914,7362,5766,1300,296,22081,10912,10520,210,182,11169,10484,78,607,20708,13282,11973,701,608,7426,7050,77,299,12480,8173,8009,0,164,4307,4234,0,73
ACSSF,2019e1,nc,000,0060,0000017,142955,12960,5995,3588,2407,0,0,0,6965,6146,280,150,86,303,37386,23849,21993,1242,120,288,206,13537,12362,323,393,76,383,43402,30543,27800,1268,360,690,425,12859,12323,191,158,187,0,49207,40016,34610,1761,1939,1102,604,9191,7023,402,1094,273,399,142955,12960,5995,3588,2407,0,6965,6146,280,539,37386,23849,21993,1242,614,13537,12362,323,852,43402,30543,27800,1268,1475,12859,12323,191,345,49207,40016,34610,1761,3645,9191,7023,402,1766
ACSSF,2019e1,nc,000,0060,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0060,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52454,4749,2639,2392,221,26,2110,2053,57,0,13771,6969,6272,498,199,6802,6744,0,58,17815,9870,9365,363,142,7945,7290,129,526,16119,9472,9075,40,357,6647,6051,407,189
ACSSF,2019e1,nc,000,0060,0000020,111167,14990,7407,4214,2935,0,258,0,7583,6923,395,46,219,0,32022,18216,15970,1735,146,365,0,13806,12984,362,220,142,98,38138,26595,23209,1579,172,1635,0,11543,10999,480,64,0,0,26017,18600,15701,1233,262,1265,139,7417,7290,0,0,127,0,111167,14990,7407,4214,2935,258,7583,6923,395,265,32022,18216,15970,1735,511,13806,12984,362,460,38138,26595,23209,1579,1807,11543,10999,480,64,26017,18600,15701,1233,1666,7417,7290,0,127
