ACSSF,2019m1,nc,000,0107,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614,1866,3641,3467,13281,11016,15196,9460,6563,3249,2581,67854,7188,7196,6371,5183,3509,1600,2848,2898,10983,6565,1429,1511,7961,1031,3691,1598,5136,2613,2296,2004,2771,1449,5662,3207,6289,4462,2798,2007,1799,784,945,604,629,477,1326,505,206,673,972,1165,654,952,2710,257,946,451,888,1559,1686,386,1996,1401,1220,2946,1066,2181,1668,2743,1756,1872,1583,4133,2876,1944,1754,945,651,538,258,363,2072,595,467,1835,596,1774,1277,1368,3144,1761,658,523,323,2079,1340,1121,2509,1818,2223,1083,645,403,773,1947,1585,596,1268
ACSSF,2019m1,nc,000,0107,0000012,3282,2547,1199,1148,1096,235,437,401,163,216,474,285,216,189,305,286,274,84,1717,488,503,386,267,1161,1041,148,1168,1032,604,1932,922,1770,730,2236,1410,1050,1328,2145,1175,550,575,155,353,241,216,304,908,381,216,610,575,474,349,350,1446,789,303,216,303,956,832,611,1566,1307,1032,658,606,227,146,1295,1196,149,465,369,1152,1513,2951,4143,3645,6634,6495,8609,1112,2776,8817,1948,8121,2733,2605,2721,1400,1947,1486,7363,2002,626,1311,2498,537,1935,587,891,3480,849,1350,693,640,3256,2621,10440,8583,5368,3560,3249,1741,2264,1542,1369,735,2124,986,408,1402,1379,1835,1178,1270,4544,1032,1908,1257,1507,2803,2813,912,3325,2722,2462,4734,1426,3874,3057,6230,4488,2914,3125,6742,5955,3931,2782,2454,1203,934,724,630,4105,1509,748,3382,1467,3717,2484,2086,6046,3511,1462,1066,1052,3558,2121,2065,5289,3260,4923,1467,950,554,818,4130,3097,1063,2434
ACSSF,2019m1,nc,000,0107,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2679,2744,4695,11539,8913,15768,14594,24279,19222,5244,25743,.,6056,6410,4181,29462,4912,5538,13655,8468,17826,21153,2277,11003,9731,6798,5455,6078,3282,53786,6155,21946,1953,3622,9167,11469,2963,1721,1626,1254,1096,471,900,620,616,232,852,414,216,603,409,511,220,511,1169,93,547,408,347,766,552,283,1415,1202,1037,2025,112,1856,910,1296,914,737,692,2446,1954,1117,946,782,555,367,308,289,1365,875,216,1120,402,996,748,616,1910,1040,480,463,116,1406,481,671,1707,1338,1337,264,23,265,216,1402,1246,264,565
ACSSF,2019m1,nc,000,0107,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2121,2895,3536,3831,27767,27024,4344,69921,57078,2550,4265,93234,8196,38541,9956,43013,13312,4549,8148,21651,21028,12149,14128,4404,9541,4594,7036,6137,4654,60911,6182,28562,4721,11718,9881,20041,2524,1935,1270,1085,946,466,651,352,499,272,826,545,138,556,83,404,161,378,1336,290,610,401,438,882,776,202,1177,1140,469,1405,152,1118,825,1089,625,881,577,1820,1693,839,658,511,460,325,194,280,1093,352,135,996,230,1167,700,839,1643,669,263,216,263,1161,489,698,1652,1378,1091,623,83,147,604,613,364,462,402
ACSSF,2019m1,nc,000,0107,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2955,3170,4080,7285,6155,7339,9156,14904,19723,1619,3386,4377,2185,6319,13164,13812,13027,1846,7677,2276,11066,2463,2025,6262,10231,1651,2820,2974,3101,8857,6062,12274,5645,3538,4957,17638,3423,1863,2451,1853,1787,719,1282,946,758,528,1610,929,596,1003,1145,948,936,242,1633,180,471,321,360,1550,1380,284,1796,1622,855,2719,175,2146,1397,1838,1087,1167,801,2907,2801,1698,1557,835,801,562,467,279,2207,999,214,1421,738,1122,959,615,2529,1430,826,216,826,1630,756,793,1769,1329,1470,866,73,182,848,947,714,484,537
ACSSF,2019m1,nc,000,0107,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433,4697,9203,13274,5342,12455,70606,24494,21297,7320,12955,.,20366,2172,9861,9446,12392,3606,7621,30161,985,10474,2047,6362,14171,3824,8978,2160,8184,.,9843,20917,2647,3133,27248,5978,2596,1809,1046,698,648,252,536,260,447,196,578,503,216,288,216,351,325,119,872,291,466,104,458,241,649,215,762,659,279,1723,19,1297,870,1145,831,922,680,1753,1504,709,572,409,277,216,198,187,1174,397,122,1090,109,706,621,359,1076,511,471,457,71,617,445,605,975,623,847,216,216,216,216,892,868,123,187
ACSSF,2019m1,nc,000,0107,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3978,3560,8183,8142,18835,14653,6127,19365,20724,6985,9124,3720,3980,4166,6547,12599,26550,2643,3652,13353,20845,19899,3490,16348,4578,2196,8611,1960,10190,.,13031,12243,2515,5510,12008,6075,3106,2448,2199,1359,1401,779,1223,1073,712,176,1416,294,143,658,1294,810,672,447,2138,687,1078,1032,325,1709,658,407,1735,1401,1090,1933,197,1887,1515,2143,1293,1259,1119,2447,2285,1755,1560,1004,685,527,249,375,1507,1029,526,1206,690,1572,1327,576,2361,971,379,323,211,2221,635,1197,2333,1754,1436,723,699,216,220,1236,1106,225,651
ACSSF,2019m1,nc,000,0107,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2748,4769,13395,17625,13839,46233,42139,91805,23217,9616,11662,.,9809,24949,17913,45868,7250,6120,2860,20526,45762,27386,3150,28297,44034,5723,12378,6193,8984,.,6840,7954,4936,6477,24944,13244,2153,1472,969,675,645,242,433,264,338,216,622,75,216,324,552,193,193,216,792,216,173,72,159,592,580,216,1069,908,620,932,4,778,742,1364,921,615,917,1727,1750,857,479,568,305,132,229,176,1375,236,216,1274,280,674,518,449,1181,774,290,56,283,757,335,222,1232,949,767,79,79,216,216,1140,814,548,614
ACSSF,2019m1,nc,000,0107,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2673,4713,8442,12536,8465,13078,54365,18011,34660,7256,4290,.,11757,.,28633,26983,22886,2838,16583,25644,.,1448,5469,4522,4640,2588,10248,3824,15594,62324,63606,6699,6852,5302,28916,11154,1608,909,910,640,567,377,312,150,207,99,309,251,39,231,51,371,373,58,1013,216,194,216,194,783,581,111,527,471,243,778,230,580,399,1084,559,774,729,1247,1009,502,274,323,374,344,123,94,785,272,70,667,312,438,417,177,747,367,175,138,95,736,219,233,1078,665,804,249,228,102,216,469,224,160,387
ACSSF,2019m1,nc,000,0107,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1691,5691,10844,8371,19424,26707,92559,30086,62057,6658,11088,171958,11196,36142,7654,16020,2205,7853,6510,21354,5907,52054,846,6578,11144,5905,7562,4147,14402,.,6311,6458,1543,4906,13448,10046,2767,2101,1719,1537,1503,425,927,380,742,339,989,780,261,427,480,337,283,186,1611,121,518,283,500,822,1294,341,1298,1128,744,1193,18,1007,734,2026,1622,738,996,1897,1981,1863,1745,515,279,225,181,96,1313,678,216,1098,355,1147,898,713,1351,423,253,184,185,974,753,633,1526,1125,1293,790,216,724,314,1299,877,236,711
