ACSSF,2019e1,nc,000,0056,0000011,77092,31071,6037,2392,452,1122,395,1676,12695,5433,926,2067,829,3440,12339,4732,868,2603,2205,1931,46021,9811,1938,1560,1103,2850,2360,21079,4418,3438,3889,4437,4897,15131,1693,1830,1645,7368,2595,82225,2238,5552,2361,2435,5693,3728,454,9362,12854,18870,2979,4579,3165,1288,6667,10594,2408,962,1898,3099,2227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62192,16861,7296,9798,14385,13852,1900,578,330,355,104,533
ACSSF,2019e1,nc,000,0056,0000012,296281,128248,25553,8857,1518,5851,940,8387,56215,22297,3614,13658,3510,13136,46480,18173,2858,10197,6021,9231,168033,40242,9710,7997,4339,7697,10499,77553,17477,12821,14760,17294,15201,50238,6511,6079,4843,22428,10377,318426,10173,17828,10948,13786,20833,15291,2256,37540,55729,60669,11141,18009,11072,8566,24585,35248,7550,3691,7161,8890,7956,7235,1873,1216,1169,1674,1303,3652,1772,920,366,69,525,,,,,,,1507,478,411,203,77,338,3248,1027,480,280,583,878,239698,68656,27331,43496,46108,54107,7995,2565,1112,1242,566,2510
ACSSF,2019e1,nc,000,0056,0000013,28937,11995,3160,1916,82,139,89,934,6076,2075,179,1628,351,1843,2759,1134,41,616,216,752,16942,6076,2082,578,1569,596,1251,7209,1640,1099,1315,1513,1642,3657,535,635,417,1461,609,31079,1042,2875,1255,1032,2580,1100,359,2926,5917,4559,1133,1848,1065,771,2617,3902,930,243,1087,199,1443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22087,7084,2204,4050,3553,5196,,,,,,
ACSSF,2019e1,nc,000,0056,0000014,37831,18644,2584,584,0,754,117,1129,5403,1720,479,2051,475,678,10657,3866,429,3391,1061,1910,19187,3356,960,191,378,1007,820,8125,1955,1098,2013,1819,1240,7706,1823,950,904,2737,1292,40714,1130,1481,1307,1916,3054,2594,198,3414,9972,7706,1271,1395,704,1822,2750,2103,219,244,665,315,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33965,10185,2903,7947,6788,6142,,,,,,
ACSSF,2019e1,nc,000,0056,0000015,78306,35687,10518,3521,370,1066,273,5288,14175,6794,335,3038,561,3447,10994,5562,614,2017,914,1887,42619,13663,4077,1699,1170,1690,5027,19676,5488,2236,2862,2644,6446,9280,1930,750,528,3622,2450,85535,2029,5600,4202,5260,7256,3748,1512,7406,11158,10019,5161,5102,6489,4467,6126,2153,314,63,512,255,1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72368,26044,5445,9600,9224,22055,,,,,,
ACSSF,2019e1,nc,000,0056,0000016,12480,5422,1306,430,269,0,483,124,2416,959,338,275,307,537,1700,440,285,164,147,664,7058,1380,221,283,0,475,401,3748,669,902,603,835,739,1930,265,412,60,599,594,13118,360,1215,131,473,464,604,0,2518,1102,2997,352,1283,136,363,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12081,2791,2427,1102,2782,2979,,,,,,
ACSSF,2019e1,nc,000,0056,0000017,49207,22018,7603,3525,314,970,194,2600,11376,5879,800,2368,265,2064,3039,1352,212,474,241,760,27189,11901,2893,1970,2365,1315,3358,12827,2304,2318,3179,1393,3633,2461,823,241,116,675,606,52834,2430,3522,2619,2144,3509,3891,540,6184,9711,4292,1394,3265,2690,2611,4032,6463,2257,471,1053,0,2682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34111,10689,3952,6342,3994,9134,,,,,,
ACSSF,2019e1,nc,000,0056,0000018,9980,4202,1245,395,111,127,40,572,1827,600,110,551,120,446,1130,332,81,424,40,253,5778,1677,374,412,67,474,350,2598,107,633,912,716,230,1503,317,154,0,800,232,11153,130,410,109,319,505,835,0,1818,2101,2586,68,564,452,617,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9326,1727,1501,2081,2190,1827,,,,,,
ACSSF,2019e1,nc,000,0056,0000019,16119,7704,1657,921,0,388,12,336,3035,1410,156,284,197,988,3012,1161,74,738,390,649,8415,2322,741,172,128,631,650,3759,1466,442,547,544,760,2334,439,315,330,740,510,18155,838,1544,1114,1360,1413,899,171,1334,2596,2578,680,845,618,769,1396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14603,5591,1058,2206,2375,3373,,,,,,
ACSSF,2019e1,nc,000,0056,0000020,26017,12092,3245,1377,422,318,88,1040,5228,1435,372,1822,234,1365,3619,1693,87,791,416,632,13925,3941,754,665,461,940,1121,7047,1391,900,1811,1244,1701,2937,495,936,150,1110,246,28045,703,1192,888,2341,938,1514,215,3483,5911,4079,854,1516,764,544,3103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21803,5943,3382,4301,3213,4964,,,,,,
ACSSF,2019e1,nc,000,0056,0000021,24223,9805,1173,423,218,273,0,259,4917,2950,126,696,232,913,3715,1892,373,634,96,720,14418,3445,680,915,826,141,883,6908,2297,1011,1607,822,1171,4065,1029,353,742,973,968,26788,1562,3049,868,1104,1935,1160,86,3267,4974,2589,963,1160,1815,1461,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19363,7952,1560,3658,1766,4427,,,,,,
ACSSF,2019e1,nc,000,0056,0000022,12451,5268,861,240,70,224,0,327,2742,721,161,1266,109,485,1665,639,245,362,107,312,7183,2262,165,1026,2,359,710,3176,535,388,532,900,821,1745,210,266,118,673,478,13705,256,250,77,940,732,407,0,2441,2722,2444,396,1166,601,452,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10504,2322,1637,2009,1936,2600,,,,,,
ACSSF,2019e1,nc,000,0056,0000023,14873,7396,1957,853,141,34,440,489,2748,1542,104,324,184,594,2691,1548,43,612,191,297,7477,1880,318,184,492,387,499,3247,846,441,494,772,694,2350,263,0,352,1051,684,15863,477,539,698,580,1197,1958,199,992,2380,3138,309,1291,309,368,1428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12833,4963,854,1623,2421,2972,,,,,,
ACSSF,2019e1,nc,000,0056,0000024,51839,21404,7005,2707,244,1199,655,2200,10189,3858,729,2456,538,2608,4210,1555,210,860,230,1355,30435,11468,3832,1902,1729,1174,2831,13538,2519,2307,2992,2905,2815,5429,478,623,1154,2024,1150,55885,1952,2612,1773,3045,4749,1555,407,6325,11063,7775,1738,3697,1088,1196,6910,17484,4511,1264,3681,3217,4811,,,,,,,2449,764,509,408,69,699,,,,,,,1266,314,24,301,366,261,1974,718,255,373,149,479,25945,7540,3607,5150,3510,6138,4148,1607,424,628,581,908
ACSSF,2019e1,nc,000,0056,0000025,22738,10513,2527,1001,339,354,52,781,4891,1665,477,1326,565,858,3095,1232,93,990,600,180,12225,3787,706,677,749,1308,347,6698,1720,1223,1375,1158,1222,1740,233,89,189,866,363,25326,920,1606,929,1147,1700,1172,205,3260,5262,4881,797,565,543,617,1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19653,5968,2255,4127,4177,3126,,,,,,
ACSSF,2019e1,nc,000,0056,0000026,110031,47037,19131,12637,521,2309,248,3416,19436,9987,1186,2980,613,4670,8470,4800,149,721,919,1881,62994,27210,12756,3810,2294,758,7592,25805,10046,3637,3836,2029,6257,9979,1836,1847,433,2978,2885,121362,6129,13310,6782,9671,11904,8284,1000,12263,13127,8052,9607,5461,4987,4421,6364,27211,11216,2557,3875,2077,7486,,,,,,,7868,5346,769,1049,177,527,,,,,,,,,,,,,3237,1543,342,98,132,1122,67695,31660,7038,7174,4907,16916,3734,2321,116,377,252,668
ACSSF,2019e1,nc,000,0056,0000027,85875,37832,10697,3362,720,2417,540,3658,18946,7472,1098,5270,1006,4100,8189,3515,359,2643,474,1198,48043,14631,3817,2443,2995,1313,4063,23699,5826,4184,5055,1880,6754,9713,1828,1689,689,3313,2194,92277,3531,5343,2735,4295,7159,4540,889,10777,19663,8939,4246,5456,3594,4083,7027,14181,3621,1918,2487,1665,4490,,,,,,,4493,2390,466,776,211,650,,,,,,,,,,,,,1255,409,194,158,0,494,62769,18521,7517,15070,6067,15594,3320,1055,327,578,475,885
