ACSSF,2019e1,nc,000,0005,0000012,1988223,1833901,154322,108169,10570,2962,1666,16993,376,7072,6084,833,240,2132,256,5275,244,0,0,2706,387,0,1237,0,701,0,8687,2144,1073,0,5470,1988223,1833901,1290501,414632,80345,14325,858,1852,31388,307,31081,154322,88148,4662,2039,467,161,51861,6984,4589,2395,1988223,1833901,154322,1988223,1833901,154322,108169,10570,2962,1666,16993,5275,8687,1988223,1833901,1290501,414632,80345,14325,858,1852,31388,307,31081,154322
ACSSF,2019e1,nc,000,0005,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169509,147379,106519,33612,238,2884,72,74,3980,83,3897,22130,11448,695,1233,124,0,8358,272,103,169,169509,147379,22130,169509,147379,22130,15529,1116,7,656,2920,1588,314,169509,147379,106519,33612,238,2884,72,74,3980,83,3897,22130
ACSSF,2019e1,nc,000,0005,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142820,135778,7042,,,,,,,,,,,142820,135778,117498,10666,835,940,15,0,5824,64,5760,7042
ACSSF,2019e1,nc,000,0005,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261191,243321,17870,261191,243321,17870,8938,1249,961,0,3894,2265,563,261191,243321,217641,16789,1170,3348,56,61,4256,14,4242,17870
ACSSF,2019e1,nc,000,0005,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90485,84630,73323,3572,305,3192,314,2052,1872,286,1586,5855,1135,47,935,0,0,3718,20,0,20,90485,84630,5855,90485,84630,5855,1842,329,0,0,2659,0,1025,90485,84630,73323,3572,305,3192,314,2052,1872,286,1586,5855
ACSSF,2019e1,nc,000,0005,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216453,192419,24034,216453,192419,24034,12499,2695,686,1702,3447,1537,1468,216453,192419,136079,40040,162,9020,0,1153,5965,393,5572,24034
ACSSF,2019e1,nc,000,0005,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82178,77324,4854,82178,77324,4854,3040,941,0,0,280,84,509,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0005,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69473,66406,3067,,,,,,,,,,,69473,66406,60077,3431,301,593,0,253,1751,0,1751,3067
ACSSF,2019e1,nc,000,0005,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159551,143376,16175,159551,143376,16175,13384,1103,382,0,888,328,90,159551,143376,119524,14154,217,7190,0,0,2291,0,2291,16175
ACSSF,2019e1,nc,000,0005,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74470,65444,9026,,,,,,,,,,,74470,65444,52126,7830,0,1205,0,1629,2654,18,2636,9026
ACSSF,2019e1,nc,000,0005,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97947,94257,3690,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0005,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102139,94369,7770,102139,94369,7770,5174,940,0,247,1115,120,174,102139,94369,66921,22099,663,2310,46,0,2330,84,2246,7770
ACSSF,2019e1,nc,000,0005,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335509,294937,141820,120257,4887,9338,1216,1447,15972,454,15518,40572,22751,3636,243,0,94,9377,4471,1363,3108,335509,294937,40572,335509,294937,40572,14222,12221,1358,1557,5914,2977,2323,335509,294937,141820,120257,4887,9338,1216,1447,15972,454,15518,40572
ACSSF,2019e1,nc,000,0005,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167609,155158,12451,167609,155158,12451,6559,2103,0,0,3108,304,377,167609,155158,133051,17435,161,2643,127,56,1685,0,1685,12451
ACSSF,2019e1,nc,000,0005,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321488,277561,43927,321488,277561,43927,16264,2336,950,1153,20662,2095,467,321488,277561,138100,113632,168,14204,197,1239,10021,462,9559,43927
