ACSSF,2019m1,nc,000,0013,0000011,3201,2311,1824,1819,58,1481,1278,1277,28,724,724,216,2254,2271,640,2061,961,1147,640,3068,3923,3661,1426,3766,2100,1689,1359,1583,1451,408,3499,3451,614,3184,2204,1992,614,3201,3910,1954,1817,523,208,3774,3393,2087,4394,3950,2783,2127,860,2401,2398,1686,4409,4436,3884,1347,1849,2138,2032,655,3288,3085,3768,1816,562,1303,908,903,607,970,3698,4531,3288,,,,3288,1811,216,343,96,560,788,737,904,1008,746,1020,715,447,435,480,439,256,214,205,2653,640,886,537,639,959,613,920,660,825,701,375,519,673,555,310,436,232,413,3288,1811,343,565,956,1304,990,848,563,604,2653,1075,1074,1122,1046,822,646,848,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3201,2311,2351,644,2192,1549,1732,643,3068,3184,1430,3185,1873,2298,1434,3201,4710,4071,2161,4409,3883,2155
ACSSF,2019m1,nc,000,0013,0000012,4461,4140,3276,3266,210,2945,1763,1708,201,1367,1367,216,4555,4500,640,4062,1587,1698,640,4525,6765,6658,1802,6070,2941,2728,1460,2257,2167,406,6310,6230,771,5681,3028,2772,767,4461,7230,4174,3285,1894,993,7036,6475,3332,7312,5989,5034,2526,1185,4546,4574,1855,8209,7601,6245,2467,2477,5169,5028,1166,5059,4459,5082,2279,1544,1678,1815,1103,642,1738,2195,5168,5059,,,,5059,2940,208,511,270,912,1208,1587,1382,1328,1378,1411,1265,925,778,711,535,332,276,458,3857,640,911,715,959,1327,980,1288,1592,1293,1318,973,887,1017,822,402,533,368,685,5059,2940,545,948,1705,1791,1880,1529,923,907,3857,1097,1417,1556,1928,1749,1228,1260,1043,5059,737,330,644,574,210,608,216,216,216,766,216,766,1694,403,1627,739,395,504,4109,2163,3142,956,884,451,497,155,463,4080,2715,3097,4461,4140,4147,674,3766,2702,2769,672,4525,4644,1862,4887,2971,3267,1561,4461,8601,7793,3678,8209,6832,3876
ACSSF,2019m1,nc,000,0013,0000013,675,726,979,977,53,892,556,556,216,374,374,216,841,841,216,851,274,274,216,911,1954,1961,302,1750,967,953,302,532,532,216,1983,1983,216,1759,1019,1019,216,675,2671,1316,502,1233,216,2559,2230,1273,2277,1752,734,1495,216,1395,1429,419,2528,2245,1870,1031,708,1164,1095,315,2311,2291,1193,610,849,574,172,146,589,546,0,2311,2311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2311,1510,216,22,771,934,578,599,419,490,1191,53,296,658,609,468,545,485,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,726,725,53,843,642,642,216,911,1019,302,990,585,698,302,675,2522,2071,1307,2528,2127,1126
ACSSF,2019m1,nc,000,0013,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1436,914,1140,198,534,518,510,188,127,582,0,1436,1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,1855,1862,219,1872,1854,768
ACSSF,2019m1,nc,000,0013,0000015,1472,1248,1624,1658,605,1679,1025,1018,605,201,201,216,1189,1149,565,1156,565,78,565,1631,2397,2346,609,2088,1609,1422,588,662,662,216,1984,1975,447,1692,1006,1003,336,1472,2202,1899,768,1705,216,1705,1158,1218,2606,2238,1740,1692,216,1674,1661,234,2448,2472,2456,855,765,1510,1510,216,3796,3368,2423,993,1684,617,727,461,83,791,0,3796,3796,,,,3796,2509,691,147,336,518,853,633,694,616,606,931,486,525,244,216,173,216,195,169,1974,216,236,64,812,643,592,808,557,672,761,744,199,389,166,441,425,417,57,3796,2509,710,612,1044,807,954,702,244,316,1974,236,820,794,1146,902,796,409,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472,1248,1366,814,1412,1002,1050,814,1631,1742,718,1594,1764,1718,677,1472,2415,2423,1668,2448,2481,1170
ACSSF,2019m1,nc,000,0013,0000016,496,515,581,581,216,567,161,161,216,216,216,216,461,461,216,618,386,386,216,521,1202,1157,277,1015,474,347,228,172,172,216,1194,1146,119,1088,980,897,119,496,1732,1522,1292,577,216,1560,1260,1157,1245,1107,1009,328,73,749,749,216,1474,1296,1235,309,160,558,335,445,1537,1448,1228,394,274,699,287,441,385,221,0,1537,1537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,515,515,216,660,428,428,216,521,488,233,651,783,778,174,496,1507,1475,972,1474,1275,636
ACSSF,2019m1,nc,000,0013,0000017,814,1154,1516,1542,139,1426,904,904,139,1000,1000,216,1310,1310,216,1257,666,666,216,1250,2562,2407,830,2594,1372,1017,815,1809,1832,145,2571,2571,216,2477,713,713,216,814,2170,472,322,216,376,2154,2146,173,3256,2066,1461,1311,276,2958,2699,1128,3395,3060,2825,1202,2045,1961,1926,436,3289,2044,2516,1320,1664,981,885,677,968,467,0,3289,3289,,,,3289,1960,216,276,145,360,245,733,1108,772,644,909,318,263,195,479,528,660,126,120,1892,216,139,644,372,216,550,444,557,466,792,616,186,263,865,850,269,126,109,3289,1960,276,383,785,1358,912,395,519,841,1892,139,880,550,718,897,654,896,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814,1154,1170,139,1499,1124,1123,139,1250,1342,830,1997,1923,1764,827,814,3226,2979,1602,3395,3286,2044
ACSSF,2019m1,nc,000,0013,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1074,1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897,657,657,216,591,328,328,216,903,918,182,844,594,600,72,897,1544,1386,619,1634,1509,685
ACSSF,2019m1,nc,000,0013,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735,510,468,230,173,114,94,190,117,238,0,735,735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759,570,570,216,571,381,381,216,614,620,45,594,431,431,216,759,943,933,138,1028,829,729
ACSSF,2019m1,nc,000,0013,0000020,1589,1602,1420,1420,216,1127,689,689,216,604,604,216,1476,1476,216,1419,311,311,216,1516,2108,2164,318,1958,1025,1062,295,1274,1273,131,2312,2312,216,2322,727,727,216,,,,,,,,,,,,,,,,,,,,,,,,,,1530,1369,1173,486,560,315,543,540,124,428,0,1530,1530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530,778,216,260,345,427,750,501,143,230,1041,216,279,546,554,712,280,345,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589,1602,1602,216,1326,941,941,216,1516,1530,318,2058,1414,1427,318,1589,2773,2599,1468,2703,2545,1455
