ACSSF,2019e1,nc,000,0032,0000001,4937952,55621,369398,574902,121447,539020,245818,75994,313087,543544,1097192,480703,232123,191741,97362,3958871,37471,266835,482545,100485,451005,205709,59779,241181,387366,926929,368672,190216,173018,67660,431414,8111,61290,53505,6561,44394,14783,3796,17130,39251,83045,57294,18812,10480,12962,55608,374,1785,3377,487,5787,1935,1062,4973,7381,13812,13108,728,587,212,87959,2307,3675,5882,1447,8311,2123,727,6241,6815,16111,15010,3955,1340,14015,72844,893,8724,6836,1241,9944,7436,944,2906,8992,10350,10167,2584,1213,614,331256,6465,27089,22757,11226,19579,13832,9686,40656,93739,46945,16452,15828,5103,1899,4937952,55621,369398,574902,121447,539020,245818,389081,543544,1097192,480703,232123,191741,97362,3958871,37471,266835,482545,100485,451005,205709,300960,387366,926929,368672,190216,173018,67660,431414,8111,61290,53505,6561,44394,14783,20926,39251,83045,57294,18812,10480,12962,55608,374,1785,3377,487,5787,1935,6035,7381,13812,13108,728,587,212,160803,3200,12399,12718,2688,18255,9559,10818,15807,26461,25177,6539,2553,14629,331256,6465,27089,22757,11226,19579,13832,50342,93739,46945,16452,15828,5103,1899
ACSSF,2019e1,nc,000,0032,0000002,3400683,15703,222810,358114,85599,369047,162751,58869,241795,413203,764769,352261,157055,118331,80376,2679288,11674,157147,293306,69548,304192,135318,46268,183978,290237,635973,264750,127908,105283,53706,293131,2083,37849,34487,4650,30460,9370,2016,12290,29998,56807,41653,13310,6594,11564,51180,12,1589,2703,487,5272,1836,1062,4652,6931,12649,12596,728,587,76,72594,175,2363,4744,1197,6616,1357,615,5580,5926,14600,13550,2114,1022,12735,55235,553,5503,5961,1192,7739,5176,816,2205,6669,8722,7235,2035,906,523,249255,1206,18359,16913,8525,14768,9694,8092,33090,73442,36018,12477,10960,3939,1772,3400683,15703,222810,358114,85599,369047,162751,300664,413203,764769,352261,157055,118331,80376,2679288,11674,157147,293306,69548,304192,135318,230246,290237,635973,264750,127908,105283,53706,293131,2083,37849,34487,4650,30460,9370,14306,29998,56807,41653,13310,6594,11564,51180,12,1589,2703,487,5272,1836,5714,6931,12649,12596,728,587,76,127829,728,7866,10705,2389,14355,6533,9216,12595,23322,20785,4149,1928,13258,249255,1206,18359,16913,8525,14768,9694,41182,73442,36018,12477,10960,3939,1772
ACSSF,2019e1,nc,000,0032,0000003,1537269,39918,146588,216788,35848,169973,83067,17125,71292,130341,332423,128442,75068,73410,16986,1279583,25797,109688,189239,30937,146813,70391,13511,57203,97129,290956,103922,62308,67735,13954,138283,6028,23441,19018,1911,13934,5413,1780,4840,9253,26238,15641,5502,3886,1398,4428,362,196,674,0,515,99,0,321,450,1163,512,0,0,136,15365,2132,1312,1138,250,1695,766,112,661,889,1511,1460,1841,318,1280,17609,340,3221,875,49,2205,2260,128,701,2323,1628,2932,549,307,91,82001,5259,8730,5844,2701,4811,4138,1594,7566,20297,10927,3975,4868,1164,127,1537269,39918,146588,216788,35848,169973,83067,88417,130341,332423,128442,75068,73410,16986,1279583,25797,109688,189239,30937,146813,70391,70714,97129,290956,103922,62308,67735,13954,138283,6028,23441,19018,1911,13934,5413,6620,9253,26238,15641,5502,3886,1398,4428,362,196,674,0,515,99,321,450,1163,512,0,0,136,32974,2472,4533,2013,299,3900,3026,1602,3212,3139,4392,2390,625,1371,82001,5259,8730,5844,2701,4811,4138,9160,20297,10927,3975,4868,1164,127
ACSSF,2019e1,nc,000,0032,0000004,4702152,43449,345097,543810,118143,509969,232756,74134,304247,529872,1041722,458155,221774,181908,97116,3764952,29118,249126,455916,97453,426667,196013,58544,233483,377357,877613,350465,181684,164099,67414,406541,6213,56365,50555,6403,41659,13222,3236,16737,38163,78708,54329,17970,10019,12962,55131,361,1731,3368,487,5634,1839,1062,4973,7381,13660,13108,728,587,212,85070,1888,3600,5583,1410,7869,1990,727,6021,6479,15933,14781,3604,1170,14015,68826,752,8296,6778,1241,9305,6534,917,2883,8677,9857,9551,2350,1071,614,321632,5117,25979,21610,11149,18835,13158,9648,40150,91815,45951,15921,15438,4962,1899,4702152,43449,345097,543810,118143,509969,232756,378381,529872,1041722,458155,221774,181908,97116,3764952,29118,249126,455916,97453,426667,196013,292027,377357,877613,350465,181684,164099,67414,406541,6213,56365,50555,6403,41659,13222,19973,38163,78708,54329,17970,10019,12962,55131,361,1731,3368,487,5634,1839,6035,7381,13660,13108,728,587,212,153896,2640,11896,12361,2651,17174,8524,10548,15156,25790,24332,5954,2241,14629,321632,5117,25979,21610,11149,18835,13158,49798,91815,45951,15921,15438,4962,1899
ACSSF,2019e1,nc,000,0032,0000005,4116311,29993,298574,457316,105639,444830,204268,69187,278624,487140,904756,398848,194224,152433,90479,3278978,18947,214507,382645,86861,371236,171105,54947,212508,346282,758565,304432,158788,136656,61499,355791,4985,48858,42815,5699,36076,11448,2834,15406,35230,67973,47478,15865,8375,12749,53436,361,1660,2699,487,5608,1764,1062,4973,7310,13182,12803,728,587,212,72684,1215,2886,3754,1229,6615,1696,542,5884,5418,12980,12960,2835,1020,13650,59074,383,6872,6099,1006,8312,5845,917,2163,7739,8756,7258,2143,1036,545,296348,4102,23791,19304,10357,16983,12410,8885,37690,85161,43300,13917,13865,4759,1824,4116311,29993,298574,457316,105639,444830,204268,347811,487140,904756,398848,194224,152433,90479,3278978,18947,214507,382645,86861,371236,171105,267455,346282,758565,304432,158788,136656,61499,355791,4985,48858,42815,5699,36076,11448,18240,35230,67973,47478,15865,8375,12749,53436,361,1660,2699,487,5608,1764,6035,7310,13182,12803,728,587,212,131758,1598,9758,9853,2235,14927,7541,9506,13157,21736,20218,4978,2056,14195,296348,4102,23791,19304,10357,16983,12410,46575,85161,43300,13917,13865,4759,1824
ACSSF,2019e1,nc,000,0032,0000006,1793508,4686,106036,153152,47153,188448,89775,34116,141565,236382,407862,194232,78836,55314,55951,1373649,3318,69584,123967,37510,150629,72811,27151,107257,165748,332219,138720,62629,48695,33411,153558,580,19177,14148,2585,16738,5251,1378,6006,16514,29596,23917,6904,3022,7742,43281,0,1224,1993,410,4579,1616,1062,3947,5669,10892,10574,728,587,0,51342,0,1339,1879,699,3794,1220,320,4824,3998,9658,9669,824,366,12752,32194,32,2895,2811,765,5569,3265,570,1039,3845,4511,4586,1415,460,431,139484,756,11817,8354,5184,7139,5612,3635,18492,40608,20986,6766,6336,2184,1615,1793508,4686,106036,153152,47153,188448,89775,175681,236382,407862,194232,78836,55314,55951,1373649,3318,69584,123967,37510,150629,72811,134408,165748,332219,138720,62629,48695,33411,153558,580,19177,14148,2585,16738,5251,7384,16514,29596,23917,6904,3022,7742,43281,0,1224,1993,410,4579,1616,5009,5669,10892,10574,728,587,0,83536,32,4234,4690,1464,9363,4485,6753,7843,14169,14255,2239,826,13183,139484,756,11817,8354,5184,7139,5612,22127,40608,20986,6766,6336,2184,1615
ACSSF,2019e1,nc,000,0032,0000007,2322803,25307,192538,304164,58486,256382,114493,35071,137059,250758,496894,204616,115388,97119,34528,1905329,15629,144923,258678,49351,220607,98294,27796,105251,180534,426346,165712,96159,87961,28088,202233,4405,29681,28667,3114,19338,6197,1456,9400,18716,38377,23561,8961,5353,5007,10155,361,436,706,77,1029,148,0,1026,1641,2290,2229,0,0,212,21342,1215,1547,1875,530,2821,476,222,1060,1420,3322,3291,2011,654,898,26880,351,3977,3288,241,2743,2580,347,1124,3894,4245,2672,728,576,114,156864,3346,11974,10950,5173,9844,6798,5250,19198,44553,22314,7151,7529,2575,209,2322803,25307,192538,304164,58486,256382,114493,172130,250758,496894,204616,115388,97119,34528,1905329,15629,144923,258678,49351,220607,98294,133047,180534,426346,165712,96159,87961,28088,202233,4405,29681,28667,3114,19338,6197,10856,18716,38377,23561,8961,5353,5007,10155,361,436,706,77,1029,148,1026,1641,2290,2229,0,0,212,48222,1566,5524,5163,771,5564,3056,2753,5314,7567,5963,2739,1230,1012,156864,3346,11974,10950,5173,9844,6798,24448,44553,22314,7151,7529,2575,209
ACSSF,2019e1,nc,000,0032,0000008,585841,13456,46523,86494,12504,65139,28488,4947,25623,42732,136966,59307,27550,29475,6637,485974,10171,34619,73271,10592,55431,24908,3597,20975,31075,119048,46033,22896,27443,5915,50750,1228,7507,7740,704,5583,1774,402,1331,2933,10735,6851,2105,1644,213,1695,0,71,669,0,26,75,0,0,71,478,305,0,0,0,12386,673,714,1829,181,1254,294,185,137,1061,2953,1821,769,150,365,9752,369,1424,679,235,993,689,0,720,938,1101,2293,207,35,69,25284,1015,2188,2306,792,1852,748,763,2460,6654,2651,2004,1573,203,75,585841,13456,46523,86494,12504,65139,28488,30570,42732,136966,59307,27550,29475,6637,485974,10171,34619,73271,10592,55431,24908,24572,31075,119048,46033,22896,27443,5915,50750,1228,7507,7740,704,5583,1774,1733,2933,10735,6851,2105,1644,213,1695,0,71,669,0,26,75,0,71,478,305,0,0,0,22138,1042,2138,2508,416,2247,983,1042,1999,4054,4114,976,185,434,25284,1015,2188,2306,792,1852,748,3223,6654,2651,2004,1573,203,75
ACSSF,2019e1,nc,000,0032,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139816,1811,9774,23328,3543,13127,3511,8346,10686,34966,14572,6992,6551,2609,110783,1361,7136,19503,3081,10689,2824,6802,6739,28195,10676,5520,5783,2474,13812,231,1492,2665,199,1409,257,501,830,3383,1266,818,695,66,241,0,0,0,0,0,37,0,14,152,38,0,0,0,8667,171,523,437,186,781,85,206,1122,2471,2162,419,35,69,6313,48,623,723,77,248,308,837,1981,765,430,235,38,0
ACSSF,2019e1,nc,000,0032,0000010,446025,11645,36749,63166,8961,52012,24977,3717,18507,32046,102000,44735,20558,22924,4028,375191,8810,27483,53768,7511,44742,22084,2586,15184,24336,90853,35357,17376,21660,3441,36938,997,6015,5075,505,4174,1517,353,879,2103,7352,5585,1287,949,147,1454,0,71,669,0,26,38,0,0,57,326,267,0,0,0,6757,624,580,1552,181,473,247,112,86,179,908,798,537,115,365,6714,247,1035,519,49,993,651,0,638,698,675,1154,20,35,0,18971,967,1565,1583,715,1604,440,666,1720,4673,1886,1574,1338,165,75,446025,11645,36749,63166,8961,52012,24977,22224,32046,102000,44735,20558,22924,4028,375191,8810,27483,53768,7511,44742,22084,17770,24336,90853,35357,17376,21660,3441,36938,997,6015,5075,505,4174,1517,1232,2103,7352,5585,1287,949,147,1454,0,71,669,0,26,38,0,57,326,267,0,0,0,13471,871,1615,2071,230,1466,898,836,877,1583,1952,557,150,365,18971,967,1565,1583,715,1604,440,2386,4673,1886,1574,1338,165,75
