ACSSF,2019e1,nc,000,0076,0000011,571296,27736,4435,73,73,73,4362,4344,82,0,82,4262,5627,0,0,0,5627,4080,0,0,0,4080,9250,0,0,0,9250,84298,9835,1323,365,234,1089,41,207,8512,10518,596,0,89,548,0,27,9922,12393,1056,0,247,776,219,23,11337,11856,994,0,85,898,202,255,10862,39696,1759,63,372,961,51,360,37937,459262,26033,6148,986,667,3804,3434,1122,3710,19885,38806,14210,3088,2520,4903,9444,3053,5842,24596,53797,14664,4427,2968,4613,9950,3002,6246,39133,50869,12463,2791,2113,3999,8517,2735,6056,38406,289757,49637,18546,9227,14481,27295,7512,15847,240120,574644,121986,6660,6587,2157,4787,73,115326,107927,50773,62214,7399,314154,44730,38746,19029,25889,5984,269424,204718,176773,38542,64706,138504,51885,51639,29724,51193,246,86619,85920,55195,84797,699,29050,24959,32079,17489,29312,34916,25013,571296,40303,7544,32759,53668,14888,38780,71817,15720,56097,66805,13457,53348,338703,51396,287307
ACSSF,2019e1,nc,000,0076,0000012,1919647,99598,19297,92,73,92,19205,15704,441,160,281,15263,15568,54,39,54,15514,9287,0,0,0,9287,39742,553,285,293,39189,295368,40225,2923,389,542,2455,89,515,37302,39619,3037,559,577,1878,163,179,36582,39239,2490,346,432,1868,299,140,36749,34784,3123,211,415,2558,676,671,31661,141501,6329,220,1297,4640,287,804,135172,1524681,103286,23303,5143,5339,11713,12105,4582,10626,79983,129696,45483,9359,9546,16493,29865,10755,18734,84213,162045,49819,14429,10748,15629,33221,10611,22173,112226,150195,37597,10940,6961,12222,24194,8425,15222,112598,979459,157473,59516,28542,45788,84161,24565,50608,821986,1944411,433168,21539,20404,6275,15205,1135,411629,387445,188638,213872,24184,1095220,154424,128914,63145,84990,25510,940796,744195,649616,127714,196601,416023,158181,157497,91306,156484,684,257842,256141,162435,251736,1701,29226,21458,25092,18081,30072,34105,25766,1919647,162808,26318,136490,185019,48961,136058,216852,52363,164489,194266,40720,153546,1160702,164355,996347
ACSSF,2019e1,nc,000,0076,0000013,165380,9954,1489,0,0,0,1489,474,0,0,0,474,826,0,0,0,826,1715,0,0,0,1715,5450,0,0,0,5450,27149,3553,331,0,0,331,0,0,3222,3824,203,0,0,203,0,79,3621,1974,102,0,0,102,0,0,1872,2556,68,0,0,0,68,68,2488,15242,726,184,112,428,56,24,14516,128277,6359,1374,267,217,553,905,133,511,4985,9550,2429,620,665,1062,1907,836,1112,7121,9442,2120,441,289,558,1374,405,949,7322,10924,2235,482,331,1172,1466,548,1107,8689,92002,10144,3993,1041,3240,5126,1613,3307,81858,168552,41017,1609,1593,891,912,16,39408,38114,21504,17066,1294,99074,8304,7164,3969,4765,1140,90770,76215,68999,9532,14555,28461,9819,9756,5238,9731,63,18642,18642,12035,17954,0,32261,19446,31171,15864,32673,37601,28759,165380,11401,1705,9696,13848,2632,11216,12242,2222,10020,15195,2303,12892,112694,10870,101824
ACSSF,2019e1,nc,000,0076,0000014,141678,5202,446,0,0,0,446,452,0,0,0,452,432,0,0,0,432,1080,0,0,0,1080,2792,129,129,0,2663,15448,2208,155,116,0,39,116,0,2053,1267,159,99,0,99,0,60,1108,1081,79,0,0,79,0,0,1002,1977,160,0,0,160,0,0,1817,8915,1162,0,0,1162,0,0,7753,121028,4897,848,431,205,362,402,101,213,4049,4056,833,231,279,421,429,36,371,3223,6341,639,259,116,141,450,8,159,5702,8620,1365,524,105,275,606,263,399,7255,97114,13562,5101,1885,3226,7599,1965,4267,83552,141801,22998,1976,1953,1001,1533,23,21022,20034,11604,9967,988,72445,6797,5655,3882,2524,1142,65648,54902,49523,9179,10746,46358,10318,10318,7045,10318,0,36040,35831,27161,35248,209,30456,27385,39551,25697,30567,32293,25067,141678,7551,1003,6548,5775,992,4783,7854,718,7136,11677,1525,10152,108821,14853,93968
ACSSF,2019e1,nc,000,0076,0000015,254197,12243,799,0,0,0,799,942,0,0,0,942,2342,0,0,0,2342,1392,0,0,0,1392,6768,0,0,0,6768,34527,1231,0,0,0,0,0,0,1231,5016,185,106,0,185,0,0,4831,4022,109,0,0,109,0,0,3913,3898,385,104,104,281,0,49,3513,20360,781,0,134,647,83,188,19579,207427,6353,559,67,110,381,208,0,95,5794,16601,4993,1145,795,2400,3094,703,3341,11608,21146,5176,1016,744,2569,3705,1004,2749,15970,19911,4605,921,865,2464,2372,1034,1997,15306,143416,15619,4111,2669,5561,8353,3367,6756,127797,257339,50971,1939,1939,780,1428,0,49032,44641,31813,13666,4391,154390,16091,13625,6605,9024,2466,138299,110947,102344,11356,27352,51978,15300,15300,6654,15300,0,36678,36678,19836,35840,0,31951,18541,19908,16449,32715,38184,29808,254197,8383,559,7824,22559,5178,17381,27510,5285,22225,25201,4990,20211,170544,16400,154144
ACSSF,2019e1,nc,000,0076,0000016,88172,4201,188,0,0,0,188,1497,0,0,0,1497,217,0,0,0,217,918,0,0,0,918,1381,0,0,0,1381,12217,904,38,0,0,0,38,0,866,3973,148,0,148,148,0,0,3825,1626,148,0,48,100,0,0,1478,996,13,0,0,13,0,0,983,4718,167,0,0,167,74,74,4551,71754,4834,1695,140,854,853,1316,918,912,3139,7164,2380,648,674,1339,1474,490,1125,4784,5428,1488,490,393,679,549,145,447,3940,6281,2436,929,770,1272,1540,333,940,3845,48047,9613,3947,1681,1833,5621,1690,2602,38434,88251,17701,514,476,125,402,38,17187,16667,7532,10608,520,52165,8969,8157,3438,5376,812,43196,34332,31529,4513,8864,18385,8643,8643,5666,8548,0,9742,9717,5504,9427,25,30409,23623,26441,20997,30884,34149,27238,88172,5926,1733,4193,12634,2528,10106,7271,1636,5635,8195,2449,5746,54146,9780,44366
ACSSF,2019e1,nc,000,0076,0000017,214507,13173,674,0,0,0,674,754,0,0,0,754,1091,0,0,0,1091,1587,0,0,0,1587,9067,0,0,0,9067,41201,1107,239,0,239,239,0,0,868,1972,0,0,0,0,0,0,1972,2615,430,0,0,430,0,218,2185,4412,85,0,0,85,85,85,4327,31095,1557,463,179,1079,327,327,29538,160133,5043,992,67,197,332,727,299,517,4051,6210,838,127,43,251,572,184,456,5372,12126,2794,401,48,1281,1704,648,1774,9332,10536,1826,406,403,472,1138,281,702,8710,126218,12482,3840,2416,3154,4853,1760,4060,113736,214932,58705,2311,2311,1320,1147,0,56394,52958,39327,14286,3436,126462,9927,8502,5323,4308,1425,116535,101777,95771,10598,14758,29765,9005,8964,4726,8856,41,20760,20684,11553,18756,76,36154,25719,24723,28804,36628,41151,32090,214507,6824,1231,5593,8936,838,8098,15832,3224,12608,16535,1911,14624,166380,14039,152341
ACSSF,2019e1,nc,000,0076,0000018,81004,3824,117,0,0,0,117,109,0,0,0,109,707,0,0,0,707,950,0,0,0,950,1941,103,0,103,1838,12272,803,75,0,0,75,75,75,728,975,342,0,0,342,0,0,633,1121,56,0,0,56,0,0,1065,2026,158,0,0,92,66,0,1868,7347,445,18,132,122,34,262,6902,64908,2558,511,65,30,371,19,25,64,2047,3534,1580,392,275,498,1060,309,283,1954,9121,3528,657,1073,432,2340,904,1055,5593,8918,2836,258,413,1288,1773,1024,1149,6082,40777,6318,2141,826,956,4490,1141,1827,34459,81236,17913,1480,1462,442,1020,18,16433,15399,7763,8041,1034,47337,8377,6527,2964,4539,1850,38960,31236,28149,4502,7724,15986,6226,6226,3033,6095,0,9760,9664,5196,9556,96,30486,30087,40141,19990,30587,39300,25073,81004,3478,586,2892,4618,1922,2696,10949,3584,7365,11894,2994,8900,50065,6866,43199
ACSSF,2019e1,nc,000,0076,0000019,67929,2737,109,0,0,0,109,149,0,0,0,149,122,0,0,0,122,370,0,0,0,370,1987,37,37,0,1950,8963,465,100,0,0,100,0,100,365,713,33,0,0,33,0,0,680,396,8,0,0,8,0,0,388,907,149,18,18,149,0,0,758,6482,140,22,22,140,0,58,6342,56229,2358,495,234,61,151,178,47,277,1863,2286,1095,267,340,491,879,413,466,1191,3105,1006,539,421,128,739,413,520,2099,5401,1140,268,54,506,598,237,667,4261,43079,6741,2599,941,2468,3353,916,2107,36338,68160,13106,665,665,348,317,0,12441,11508,7614,4151,933,37496,4388,3459,2297,1992,929,33108,27774,25710,2991,5334,17558,5955,5919,3547,5919,36,11603,11603,7746,11441,0,30392,27637,28997,20768,30613,36157,25859,67929,2932,595,2337,3148,1128,2020,3623,1014,2609,6678,1289,5389,51548,6918,44630
ACSSF,2019e1,nc,000,0076,0000020,156293,7712,1445,80,0,80,1365,547,0,0,0,547,401,0,0,0,401,973,0,0,0,973,4346,0,0,0,4346,26776,2041,74,0,0,74,0,0,1967,3113,204,0,102,102,0,0,2909,2590,0,0,0,0,0,0,2590,2916,198,46,0,0,0,152,2718,16116,958,640,585,810,209,346,15158,121805,9572,2509,366,422,851,1645,451,667,7063,6598,1687,421,250,336,1061,601,544,4911,8504,2086,666,378,737,1287,545,725,6418,11065,3125,1521,962,1886,1984,621,1101,7940,86066,11614,4933,4555,4961,7106,3751,4692,74452,157574,36036,1595,1386,527,1032,209,34441,28544,14713,14665,5897,93065,11561,8695,5155,4522,2866,81504,65236,60324,6447,16268,28473,9494,9494,4186,9403,0,18979,18934,10117,18354,45,31279,25538,27891,21765,31605,34008,29307,156293,13058,2663,10395,10258,1891,8367,11495,2086,9409,14954,3323,11631,106528,12572,93956
