ACSSF,2019e1,nc,000,0094,0000011,236571,39956,20527,19429,196615,105269,91346,236571,39956,14242,4050,10097,952,9145,95,25714,3955,4365,929,3436,17394,196615,45172,30718,14023,4220,9803,431,151443,73054,11844,3931,7913,66545,236571,39956,18914,21042,196615,18975,177640,172491,19146,153345,54750,18992,35758,2153,473,1680,1124,24,1100,,,,3798,350,3448,2255,971,1284,165161,18140,147021,11764,1793,9971,152106,22467,8005,1764,2368,3044,2510,534,829,787,42,14462,1881,347,966,568,0,12581,3539,7053,1534,455,129639,103772,26738,28165,39128,35812,3316,9741,8597,1144,25867,8151,887,5156,1797,311,17716,2535,9294,5165,722,44724,19507,50322,236571,39956,20735,19221,196615,60435,136180,236571,39956,196615
ACSSF,2019e1,nc,000,0094,0000012,783227,128491,54135,74356,654736,328657,326079,783227,128491,56024,14480,40978,5995,34983,566,72467,10144,12802,2984,9818,49521,654736,151953,102938,46947,14243,32704,2068,502783,234504,42674,13831,28843,225605,783227,128491,67096,61395,654736,68765,585971,567427,62710,504717,161241,53501,107740,29083,7753,21330,4321,172,4149,,,,12577,2046,10531,8395,2309,6086,545263,59583,485680,37387,5849,31538,505467,78404,24624,6387,7279,8339,6724,1615,2619,2461,158,53780,8979,2086,5688,1078,127,44801,13685,24281,5857,978,427063,337442,77813,87510,139304,128038,11266,32815,29328,3487,89621,28074,2872,16816,6913,1473,61547,8748,32302,16760,3737,46149,18675,52919,783227,128491,61767,66724,654736,194846,459890,783227,128491,654736
ACSSF,2019e1,nc,000,0094,0000013,64316,8103,2593,5510,56213,23330,32883,64316,8103,5561,1625,3930,400,3530,6,2542,344,776,94,682,1422,56213,15577,11942,3414,1850,1564,221,40636,17713,2049,308,1741,20874,64316,8103,4260,3843,56213,5014,51199,46185,3656,42529,14047,3895,10152,,,,,,,,,,1776,460,1316,,,,44065,3485,40580,4523,723,3800,41793,6675,1969,363,476,1055,611,444,75,75,0,4706,494,0,229,209,56,4212,1307,2506,399,0,35118,29655,5106,6057,14236,13264,972,4256,3672,584,5463,2158,84,1340,386,348,3305,277,1352,1330,346,58490,19395,65992,64316,8103,3015,5088,56213,12139,44074,64316,8103,56213
ACSSF,2019e1,nc,000,0094,0000014,58385,6390,1856,4534,51995,34757,17238,58385,6390,2763,1306,1357,373,984,100,3627,728,559,137,422,2340,51995,7019,5533,1486,241,1245,0,44976,26865,1972,821,1151,16139,58385,6390,1606,4784,51995,3903,48092,51759,4841,46918,3751,705,3046,,,,,,,,,,,,,1719,707,1012,50672,4643,46029,1720,259,1461,39806,3950,2034,51,427,948,870,78,608,608,0,1916,510,0,294,61,155,1406,285,948,173,0,35856,32398,13522,8732,8278,7595,683,1866,1789,77,3458,1062,144,472,354,92,2396,318,1378,688,12,63668,35452,66872,58385,6390,2154,4236,51995,12238,39757,58385,6390,51995
ACSSF,2019e1,nc,000,0094,0000015,106741,7477,3344,4133,99264,44437,54827,106741,7477,2711,803,1908,495,1413,0,4766,588,834,284,550,3344,99264,23029,16422,6499,1905,4594,108,76235,31991,4630,1493,3137,39614,106741,7477,3511,3966,99264,9414,89850,97999,5677,92322,5969,1354,4615,,,,,,,,,,,,,,,,93400,5429,87971,5633,321,5312,63675,4133,1391,419,710,262,110,152,0,0,0,2742,779,0,705,74,0,1963,249,1254,460,0,59542,48413,9049,13120,22808,20912,1896,3436,2723,713,11129,3398,257,1958,1149,34,7731,1482,3998,1682,569,54970,18385,59747,106741,7477,3666,3811,99264,19871,79393,106741,7477,99264
ACSSF,2019e1,nc,000,0094,0000016,36634,5352,1477,3875,31282,14800,16482,36634,5352,3049,1024,1886,774,1112,139,2303,634,275,98,177,1394,31282,6189,4682,1507,443,1064,0,25093,12364,3019,1347,1672,9710,36634,5352,3420,1932,31282,2631,28651,31909,3684,28225,1228,182,1046,,,,594,204,390,,,,1686,1055,631,,,,31524,3684,27840,1726,548,1178,25391,3819,1658,449,434,625,538,87,150,150,0,2161,872,73,799,0,0,1289,110,908,271,0,21572,17046,3978,3823,7510,7182,328,1735,1568,167,4526,1790,215,709,538,328,2736,395,1295,998,48,47361,17538,53673,36634,5352,2873,2479,31282,10127,21155,36634,5352,31282
ACSSF,2019e1,nc,000,0094,0000017,68798,5254,1885,3369,63544,22777,40767,68798,5254,3023,774,2249,38,2211,0,2231,286,251,0,251,1694,63544,22496,17305,5191,680,4511,0,41048,20612,4549,1261,3288,15887,68798,5254,1780,3474,63544,3818,59726,51408,2485,48923,11491,2503,8988,,,,2496,43,2453,,,,1932,194,1738,,,,48714,2142,46572,4746,418,4328,51217,3560,1060,146,151,763,512,251,0,0,0,2500,38,0,38,0,0,2462,387,770,1305,0,47657,37917,4452,7637,20111,19519,592,5717,5271,446,9740,1941,151,751,653,386,7799,730,4836,1927,306,72333,26036,76604,68798,5254,1877,3377,63544,12034,51510,68798,5254,63544
ACSSF,2019e1,nc,000,0094,0000018,32513,3097,831,2266,29416,14660,14756,32513,3097,1790,589,1201,175,1026,0,1307,164,156,46,110,987,29416,7833,5163,2484,876,1608,186,21583,8981,2237,881,1356,10365,32513,3097,1046,2051,29416,2306,27110,29674,2720,26954,1940,377,1563,,,,,,,,,,,,,,,,29233,2592,26641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48737,29227,49516,32513,3097,1450,1647,29416,10135,19281,32513,3097,29416
ACSSF,2019e1,nc,000,0094,0000019,28962,2653,1255,1398,26309,14975,11334,28962,2653,839,369,422,33,389,48,1814,280,236,69,167,1298,26309,5498,3926,1572,438,1134,0,20811,10479,1008,360,648,9324,28962,2653,1285,1368,26309,1922,24387,26792,2362,24430,1151,195,956,,,,,,,,,,,,,,,,26233,2290,23943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60186,22183,63196,28962,2653,1353,1300,26309,7684,18625,28962,2653,26309
ACSSF,2019e1,nc,000,0094,0000020,62417,6506,3162,3344,55911,24329,31582,62417,6506,3046,466,2580,336,2244,0,3460,654,594,125,469,2212,55911,14272,9427,4845,2732,2113,0,41639,19495,3800,988,2812,18344,62417,6506,3480,3026,55911,5666,50245,53455,4789,48666,4476,1364,3112,,,,1685,85,1600,,,,2044,192,1852,,,,51603,4609,46994,4123,372,3751,41861,4294,1120,274,473,94,94,0,279,43,236,3174,461,97,214,150,0,2713,1341,1009,206,157,37567,28922,4266,6607,13683,12789,894,4366,4105,261,8645,3720,1084,1283,597,756,4925,993,1496,1992,444,52436,20536,56022,62417,6506,3411,3095,55911,14116,41795,62417,6506,55911
