ACSSF,2019e1,nc,000,0107,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30729,42322,51212,51803,44500,55869,50254,66153,41204,33311,33784,45344,33620,28448,47474,58593,38614,18784,20008,39378,28756,44506,11225,21749,17826,25895,22341,27201,32423,22533,31836,42271,30048,30415,38139,21522,242386,124422,29303,16573,14083,2490,3985,1582,1567,836,5820,1335,252,2237,1996,2925,1353,1572,17788,584,3613,1022,2591,5809,7141,641,13045,8934,4111,31783,4118,18132,9533,32503,13490,10817,8196,117964,44273,13331,10001,3330,1836,1092,243,501,16539,1838,919,12483,1299,12567,6068,6499,28983,9746,1323,949,374,9953,4105,3856,30252,13781,16471,2653,1091,493,1069,11803,7015,1091,3697
ACSSF,2019e1,nc,000,0107,0000012,65012,40818,3997,2533,2293,240,643,504,139,0,620,270,0,123,227,201,153,48,6375,458,571,263,308,2040,3114,192,2905,1984,921,16451,2793,11980,1678,11090,5561,1946,3583,24194,4231,1265,1098,167,291,146,0,145,2094,406,0,1074,614,581,311,270,7956,1465,221,0,221,3133,2303,834,6254,3728,2526,1296,1015,192,89,4457,3698,122,637,31052,45657,52111,53524,49185,56025,50855,63750,48612,36193,37480,45840,36978,23477,50435,60081,37794,19569,22930,40884,28357,45225,11676,21834,12354,25983,23176,27102,31860,21696,31165,41078,30311,31398,37933,22635,836372,428848,103808,54986,44644,10342,17778,7758,7569,2451,21142,5392,1105,8910,5735,9902,6217,3685,66499,3797,13366,4917,8449,21051,24870,3415,50056,32633,17423,96662,8128,55667,32867,111823,51558,30885,29380,407524,158336,47407,31759,15648,6949,3846,1737,1366,60127,8809,2144,43169,6005,43853,25662,18191,97128,31092,6126,3304,2822,31636,13963,14311,104608,42995,61613,5456,2305,1512,1639,41996,24728,4012,13256
ACSSF,2019e1,nc,000,0107,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34033,51992,62150,64159,56250,62231,68167,71843,51429,38089,33404,.,42929,26830,51487,78583,46528,17879,20401,41197,28319,56233,10814,30045,28848,33879,23851,40181,31577,42793,31196,32206,30321,29429,42987,22098,83546,41864,12481,5763,4432,1331,2826,1625,984,217,2688,675,0,1491,522,1204,396,808,5281,56,1276,655,621,1933,1533,483,7244,4469,2775,8474,97,5950,2427,8384,3805,2159,2420,41682,16186,5580,3272,2308,1204,651,284,269,5841,1225,0,3785,831,3561,1956,1605,9725,2719,450,358,92,4328,964,1264,11559,4606,6953,243,14,229,0,3969,2906,270,793
ACSSF,2019e1,nc,000,0107,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32163,51934,61246,60948,66389,60019,51556,85143,73576,40797,40749,60719,40936,19598,59427,74399,56713,20752,24701,58563,40601,62281,8179,21709,12073,25650,21890,29798,33023,36806,30281,58367,30366,39848,25833,28730,59107,29384,8994,4922,3879,1043,1735,432,930,373,1662,566,104,920,72,675,163,512,5087,244,1149,497,652,1502,2006,186,4962,3794,1168,6044,147,3812,2085,4297,1733,1823,741,29723,11656,3269,2196,1073,966,508,190,268,4114,659,104,3051,300,3307,1554,1753,6183,1378,215,0,215,2942,721,927,9794,4903,4891,682,50,90,542,1408,496,447,465
ACSSF,2019e1,nc,000,0107,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33455,47924,51494,51888,50710,58135,59704,50186,51567,40272,44655,91153,40444,21208,54367,62058,41628,19174,23564,39397,37083,39426,16393,19463,12174,30572,30822,30366,28678,15382,26202,40545,30927,30271,40722,26875,129187,66173,26211,9997,7920,2077,5692,2383,2375,934,7825,1835,930,2511,2549,2697,2341,356,10462,134,935,520,415,5189,3700,504,9392,6504,2888,11305,207,7712,3386,8803,3296,3103,2404,63014,28034,9148,6664,2484,2135,1095,434,606,11197,2647,323,6047,2180,5554,3899,1655,15110,3716,600,0,600,6837,1547,2410,15599,7446,8153,1163,45,184,934,3108,1619,670,819
ACSSF,2019e1,nc,000,0107,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31376,43331,37741,32452,42147,57636,32386,58869,54033,38427,39630,.,36816,36775,56761,62516,42473,23900,26109,30696,11078,32183,12035,27103,25356,26930,21814,28408,23845,.,17320,31456,32657,33214,35605,30770,40134,21325,5168,2011,1635,376,1521,414,904,203,1051,719,0,332,0,585,499,86,3098,409,567,63,504,539,1280,303,1874,1224,650,4815,8,2577,2230,6370,3182,1500,1688,18809,7632,2241,1479,762,273,0,113,160,3145,565,72,2409,99,1973,1332,641,4533,1231,344,301,43,1283,665,1010,4093,1834,2259,0,0,0,0,2551,2298,109,144
ACSSF,2019e1,nc,000,0107,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38860,56869,64407,64323,64798,91673,101021,80803,31110,40038,46540,43465,40937,16683,66284,70112,55063,20317,27022,41172,40241,70792,12758,26505,15795,36563,36403,36657,40000,.,24794,46968,25616,30024,25588,21433,111345,57925,20615,9303,7159,2144,5416,3306,2004,106,4079,588,157,1441,1893,1817,1329,488,9300,604,2205,1746,459,4740,1262,489,8101,5339,2762,9878,111,5533,4234,10031,3913,3220,2898,53420,24932,8464,5258,3206,1647,1125,167,355,8846,2151,795,4594,1306,5975,4441,1534,11158,2007,368,245,123,4938,1064,2781,13762,6638,7124,648,483,0,165,2920,1899,295,726
ACSSF,2019e1,nc,000,0107,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31737,39082,49676,60931,37829,51067,66086,95083,19323,28508,32202,.,26875,38331,36230,51329,35625,21781,30030,43351,45199,43165,16408,26671,18494,31863,26749,32971,36126,.,30622,40739,28543,32169,50776,20188,38911,19708,4358,2180,1771,409,782,290,492,0,1281,46,0,575,660,115,115,0,1802,0,182,51,131,643,977,0,3551,2500,1051,3422,2,1812,1608,6575,3013,1719,1843,19203,6932,2150,1092,1058,411,104,148,159,2904,271,0,2324,309,1467,885,582,3928,1730,232,30,202,1232,460,274,4289,2145,2144,46,46,0,0,4008,2338,661,1009
ACSSF,2019e1,nc,000,0107,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31579,46757,52479,55484,52077,69191,60982,72135,66563,34520,38043,.,34615,2499,82368,91385,35197,11797,5638,35655,.,36362,11020,26034,7617,26902,24276,28840,46657,27083,57607,41534,27252,36922,26205,19858,32170,15904,5034,2973,2089,884,627,202,306,119,864,331,24,477,32,570,535,35,2600,0,216,0,216,1333,984,67,1589,1246,343,2478,196,1360,922,4203,1310,1613,1280,16266,6673,1726,996,730,635,401,138,96,3082,436,39,2243,364,1230,1017,213,2873,490,140,82,58,1516,299,428,5511,2579,2932,270,191,79,0,939,234,206,499
ACSSF,2019e1,nc,000,0107,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32368,45912,60513,62486,36962,55330,59714,55191,41954,32003,32185,171088,28609,31299,50103,57388,32828,14768,23610,23620,22656,38398,10827,23969,12411,31138,27942,33043,32236,.,26403,46027,31803,32795,34446,27192,78360,41187,12391,6253,5447,806,2357,484,1439,434,3109,1350,252,831,676,672,476,196,5177,120,1043,452,591,1631,2185,198,6052,4167,1885,4750,8,2192,2550,12817,8125,1917,2775,37173,14980,5719,4394,1325,401,231,111,59,4642,1213,0,2943,486,4218,2921,1297,6472,922,229,116,113,2312,1337,1672,9085,3862,5223,1071,0,691,380,5565,3998,173,1394
