ACSSF,2019m1,nc,000,0010,0000011,3825,3138,2318,2314,150,216,150,1887,1916,719,528,513,2450,1662,1654,84,84,216,1985,2132,730,619,371,1723,1663,1351,1259,468,216,468,1467,1280,1414,1271,1498,1772,1043,1874,1802,1631,982,1190,1113,1360,1055,1471,0.7,1.2,1.2,0.6,1.1,0.9,2.5,3.8,5.1,9.2,8.8,14.8,3.9,4.7,4.2,3384,2370,386,2383,810,2197,2269,292,2249,2018,1705,1663,290,1647,1120,1690,1564,656,1547,1419,725,,,,,,,,,,,,,,,,,,,,,,3698,4182,3098,3067,455,3219,3061,1805,3671,2772,3002,1804,2176,2702,1755,3384,2370,386,2383,2269,292,2249,1663,290,1647,1564,656,1547
ACSSF,2019m1,nc,000,0010,0000012,2170,2552,2606,2617,238,216,238,1247,2062,1617,841,1267,2729,2294,2285,86,86,216,1346,2011,1425,1214,762,1192,2894,2298,2171,823,583,493,2383,2129,2300,2433,2070,3133,2175,2535,1890,1631,1181,1859,2047,2189,1526,2160,0.3,0.5,0.3,0.3,0.6,0.4,1.9,1.8,2.9,4.9,5.1,6.5,1.5,1.7,2.6,5288,3690,913,3495,1437,2926,3837,632,3823,2967,2707,2946,1465,2746,1657,2768,2508,1377,2299,2174,985,,,,,,,,,,,,,,,,,,,,,,2195,4848,4518,4517,937,3194,3874,2892,4770,3852,3837,1944,2835,3437,3181,5288,3690,913,3495,3837,632,3823,2946,1465,2746,2508,1377,2299
ACSSF,2019m1,nc,000,0010,0000013,212,131,216,216,216,216,216,131,487,459,442,137,85,216,8,8,8,216,85,367,355,278,213,0,371,326,327,22,216,22,219,644,697,537,924,371,325,396,292,292,216,219,701,630,699,891,0.6,1.5,0.8,0.7,2.0,0.8,1.7,2.3,1.4,9.9,16.6,2.6,1.6,3.7,1.8,2384,1796,150,1803,506,1674,1366,105,1369,946,1020,1033,265,984,629,997,781,307,685,775,419,,,,,,,,,,,,,,,,,,,,,,0,949,900,900,22,398,1446,1509,949,900,902,294,399,1133,1158,2384,1796,150,1803,1366,105,1369,1033,265,984,781,307,685
ACSSF,2019m1,nc,000,0010,0000014,108,108,216,216,216,216,216,108,677,657,623,272,216,216,216,216,216,216,216,604,604,362,418,0,758,671,671,216,216,216,372,464,484,294,458,758,671,671,216,216,216,372,551,459,459,216,0.5,1.1,0.7,0.7,1.2,0.7,3.1,2.4,4.7,3.5,7.4,17.3,8.8,32.9,5.9,1570,711,216,711,74,657,611,142,568,443,474,552,109,533,454,240,1066,354,973,927,342,,,,,,,,,,,,,,,,,,,,,,0,1068,831,831,216,757,944,941,1068,916,916,216,641,960,832,1570,711,216,711,611,142,568,552,109,533,1066,354,973
ACSSF,2019m1,nc,000,0010,0000015,105,101,216,330,330,294,147,101,1708,1715,1230,1394,29,216,508,508,29,501,29,1495,1495,1104,993,0,977,895,1116,1198,216,1198,473,704,739,481,800,977,896,924,249,81,236,474,785,762,775,987,0.7,0.7,1.0,0.7,0.8,1.4,4.3,7.3,4.9,5.7,5.9,7.8,6.0,7.2,6.6,3792,3453,151,3455,612,3353,2525,216,2525,2021,1913,1330,344,1312,942,1030,1137,692,841,749,613,,,,,,,,,,,,,,,,,,,,,,0,1343,1115,1324,1230,719,2027,2002,1343,1133,1257,579,784,1948,1826,3792,3453,151,3455,2525,216,2525,1330,344,1312,1137,692,841
ACSSF,2019m1,nc,000,0010,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,2.1,0.9,1.3,1.4,0.9,4.5,5.5,7.5,6.8,4.3,11.8,5.7,8.2,4.0,1481,260,184,187,188,19,1018,226,1141,992,829,993,78,974,442,915,741,338,667,560,467,,,,,,,,,,,,,,,,,,,,,,0,788,400,384,119,635,1037,991,788,407,472,277,630,1039,708,1481,260,184,187,1018,226,1141,993,78,974,741,338,667
ACSSF,2019m1,nc,000,0010,0000017,1431,428,253,253,216,216,216,187,1426,1422,1313,472,1043,317,317,216,216,216,801,1185,877,752,407,0,1236,1154,1208,265,216,265,445,1045,1067,635,987,1236,1154,1154,216,216,216,445,894,901,848,740,0.9,1.0,1.1,1.1,1.4,1.3,2.8,6.9,2.2,2.7,3.2,5.3,7.2,7.4,10.8,3450,2163,427,2102,1111,1551,2503,541,2449,1688,1471,1633,251,1588,1316,682,1090,565,977,962,941,,,,,,,,,,,,,,,,,,,,,,0,1517,1475,1557,391,445,1923,1911,1517,1475,1692,854,445,1553,1489,3450,2163,427,2102,2503,541,2449,1633,251,1588,1090,565,977
ACSSF,2019m1,nc,000,0010,0000018,216,216,216,216,216,216,216,216,394,394,218,346,216,216,216,216,216,216,216,372,372,164,314,0,487,482,488,135,135,216,114,398,405,87,381,487,482,488,72,72,216,114,383,357,79,372,0.6,0.8,1.2,0.6,1.2,1.2,6.4,19.1,6.9,25.9,24.4,39.9,6.4,8.5,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,876,637,638,135,511,628,606,876,637,646,72,510,758,546,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0010,0000019,62,62,216,216,216,216,216,62,246,239,200,167,216,216,216,216,216,216,216,209,209,194,128,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,0.7,0.5,0.9,0.8,8.5,6.1,9.9,5.9,3.7,12.1,8.7,11.7,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,528,453,453,216,543,693,444,528,473,499,373,495,541,360,922,411,216,411,391,149,395,483,386,281,460,289,320
ACSSF,2019m1,nc,000,0010,0000020,216,216,216,93,93,93,216,216,446,446,399,178,216,216,216,216,216,216,216,510,510,348,323,0,873,828,828,216,216,216,349,607,561,633,698,873,828,883,267,216,267,349,704,667,478,659,0.6,1.2,1.2,0.9,1.1,1.6,2.9,7.3,2.4,4.1,7.1,4.2,2.6,2.6,6.7,1407,840,229,757,249,693,1081,152,1075,595,937,1150,220,1118,758,925,1086,505,1031,623,835,,,,,,,,,,,,,,,,,,,,,,0,967,901,890,168,390,802,770,967,902,986,267,391,981,995,1407,840,229,757,1081,152,1075,1150,220,1118,1086,505,1031
