ACSSF,2019m1,nc,000,0114,0000011,689,6399,6632,58335,3799,1898,4005,2858,2611,2135,15617,7271,4310,3228,35081,2349,21736,.,6692,1925,2283,3417,5099,2768,3881,4629,3206,1045,3119,2902,58335,4087,2414,5874,2581,6024,5932,32301,65440,13545,23752,33671,1966,46376,.,5835,4063,2719,10239,7506,2486,6908,6896,7484,853,5422,5422,.,18744,3232,15822,1172,11788,15538,23709,1411,2109,2284,56444,6830,9034,.,7561,2826,4690,3263,3464,19919,3180,8635,4972,6587,4603,1467,1359,503,2444,2153,813,1377,1734,1612,704,325,1036,729,770,1425,647,45,1249,1468,826,1188,1750,743,1514,1055,1312,4289,684,684,216,717,1744,268,1444,1006,859,422,587,1339,1227,454,1066,856,125,578,3213,1779,2554,1731,522,1590,952,781
ACSSF,2019m1,nc,000,0114,0000012,831,1709,2225,28673,2486,1143,3564,1195,3755,4892,4604,7135,1309,2079,7683,4373,5723,33281,3655,1287,862,1338,2141,3704,1546,3593,1611,563,2539,1569,29463,2619,917,2910,3820,2308,2897,9291,20974,8963,22676,12863,7903,12981,.,5219,3176,3066,5842,4798,4441,2836,3976,2307,974,4051,3102,.,4764,1228,9809,1382,5059,5539,13912,7306,2118,1939,7879,4602,5162,52471,7656,1347,767,1189,1490,5203,1100,4182,2568,11176,8592,2164,1838,780,4066,4920,1666,3186,2625,2402,1301,999,1582,1250,1194,2612,1280,107,2135,3124,2085,2074,3198,1282,2866,2131,2434,6350,913,900,167,932,3138,1015,2467,1915,1646,640,841,2246,2165,1046,2408,1730,166,1689,5481,3040,4854,2391,1010,2261,1816,1594
ACSSF,2019m1,nc,000,0114,0000013,3237,14687,8421,.,7580,3721,1110,7497,7164,8309,16147,17914,3029,3052,13097,5120,11982,.,9510,7540,10988,9027,5087,12572,5546,5053,4669,3756,14687,8421,.,9367,8560,3535,8838,2909,3287,13974,63002,93875,26651,7546,11520,56508,.,13917,5465,13841,14965,3242,16763,1959,18538,1714,5257,.,.,.,13956,20960,8869,1648,22687,10553,33399,2410,3603,5894,26609,5049,12778,.,14075,7352,14631,8501,2589,.,2450,10328,5876,3353,1798,230,217,101,1388,954,552,1056,1063,994,323,392,450,397,185,792,574,77,570,919,574,687,783,254,732,842,922,2301,216,216,216,160,836,350,1355,589,567,240,201,1261,1125,519,503,415,216,301,1659,1154,1299,755,81,752,559,702
ACSSF,2019m1,nc,000,0114,0000014,4078,.,.,.,4402,11420,19019,4503,14068,13527,24001,32210,26366,32846,39525,18649,39654,.,14499,4989,9101,12939,12644,8855,15353,46887,10709,4600,.,.,.,5400,10808,23452,3112,16175,17664,16708,60590,85066,46009,99210,14545,63336,.,13276,15420,26144,34370,34803,2583,57570,55013,16273,7104,.,.,.,.,41460,85704,5339,38216,37421,112265,53924,15372,42644,19033,36076,35987,.,6389,7812,4295,14016,14608,.,15034,.,15379,2440,1673,216,216,216,999,858,498,919,871,700,609,426,410,340,217,645,491,216,410,846,645,554,828,222,825,699,565,2014,216,216,216,147,777,231,1024,552,513,242,267,759,482,629,490,382,216,280,1497,779,1262,679,211,649,531,577
ACSSF,2019m1,nc,000,0114,0000015,863,18476,125497,.,5563,7610,15021,6309,3100,5344,885,31712,10385,27064,13267,6496,13900,.,10663,3856,5837,5779,4249,36767,4083,2125,10121,1510,13754,212869,.,4381,7369,22467,9033,3277,3975,.,30380,24572,40309,90987,22978,19304,.,31878,5617,13533,19160,6396,25295,8642,9635,12748,2522,.,.,.,22432,41014,19480,3580,13533,15854,.,32511,10859,22990,13987,7227,17021,.,9652,1673,3182,3404,3459,92804,5356,6456,8515,3991,2530,417,175,378,2035,1655,889,1104,1437,1419,302,317,573,481,456,1426,1090,216,867,1552,1032,1344,1791,464,1800,747,780,3035,73,73,216,474,790,441,1105,491,480,104,322,1086,641,942,1067,907,216,572,2567,1465,2048,2064,498,2046,616,1067
ACSSF,2019m1,nc,000,0114,0000016,2002,10229,10229,.,12373,5041,13879,12412,8228,8228,.,31514,10189,8945,52401,3888,26655,.,2347,5308,18100,7012,2405,.,2313,5633,15234,3969,10229,10229,.,11604,5508,3104,11078,8213,8213,.,19596,5037,.,135041,7476,13287,.,2581,10586,26169,47684,42383,.,37978,8332,16765,3732,.,.,.,.,2582,.,4358,.,.,.,.,18349,27755,.,6108,20785,.,70206,6363,18540,8730,2844,.,2844,13704,59561,2549,1728,348,348,216,1134,1127,563,751,322,322,216,104,268,217,151,761,252,216,725,471,314,356,748,57,747,663,722,1540,216,216,216,144,775,394,364,98,98,216,105,363,320,102,445,333,216,290,1249,1046,973,713,216,713,330,221
ACSSF,2019m1,nc,000,0114,0000017,4661,30250,14948,.,16108,11350,27034,7102,14840,30992,15798,25239,12268,23850,12487,6391,14849,.,6378,4352,7200,12392,16453,51662,20403,14246,9279,4351,28154,12999,.,16101,27657,23273,6354,16419,26237,22426,23362,20595,16196,27160,16930,28402,.,2106,28500,32551,24217,14097,13132,4197,11057,22145,4207,.,.,.,16976,8342,169252,6678,44569,13440,20543,95924,7049,9355,4176,9437,12379,.,9917,4634,7934,6027,905,42646,931,50582,32716,3154,2202,403,384,113,1496,1689,583,1335,1033,963,506,507,1253,1209,425,1189,1152,86,535,1325,1082,685,1471,476,1425,566,806,2373,123,41,118,664,1496,181,1271,513,357,380,256,1320,1231,599,985,773,145,609,1882,853,1875,1592,437,1482,630,618
ACSSF,2019m1,nc,000,0114,0000018,2722,.,.,.,13108,3509,18346,10796,25179,35931,86659,18052,52022,15195,19430,4377,27610,.,10675,5837,8781,7630,3800,.,4531,9798,4096,4026,.,.,.,13547,7020,15005,20838,21488,26409,136429,23424,36122,10902,2035,3257,.,.,15206,33106,23204,19710,8127,.,4464,19226,27532,1998,.,.,.,.,3977,29723,5205,112052,99825,.,.,21784,9713,.,23342,19453,.,.,2397,7274,4990,1050,.,1050,13741,1209,2031,1630,59,59,216,667,1319,817,981,387,341,160,300,639,177,599,510,200,216,513,618,323,531,578,161,559,380,257,1371,216,216,216,150,674,484,800,141,147,44,357,305,263,117,417,333,216,249,1181,771,1159,756,216,756,402,518
ACSSF,2019m1,nc,000,0114,0000019,4040,49797,49797,.,13416,9952,29272,24675,12237,9106,31688,67603,8157,14332,7425,19155,26136,.,12166,4091,3867,15223,8542,10011,1904,7671,11448,6736,31472,31472,.,23817,9689,26942,30463,12610,12953,49189,69364,19979,.,26268,11904,48305,.,13335,12966,20044,90883,6862,60692,8671,16344,11523,4291,.,.,.,12308,45544,7709,6185,28875,56681,50362,.,8505,17647,12011,21081,14125,.,10965,3400,3323,8939,8342,803,2114,14507,21641,1603,1128,248,248,216,658,582,311,514,403,360,150,175,244,121,223,344,265,216,206,315,238,233,339,156,286,629,425,1040,171,171,216,456,234,248,412,222,192,135,96,438,404,192,435,225,103,369,741,503,583,619,285,562,94,416
ACSSF,2019m1,nc,000,0114,0000020,3046,72631,.,.,7431,2687,34908,9437,13176,14211,47666,70690,22510,35659,22609,8223,30831,.,6045,6125,5441,15429,7754,21543,7573,2948,6374,1798,.,.,.,11586,4193,23166,15077,12165,12019,56803,63213,35641,52266,26031,18216,58710,.,7272,22497,8149,64065,22644,.,23893,5203,19960,2365,.,.,.,.,2159,27959,10197,25949,25978,.,.,4867,22848,.,7858,17888,.,18650,7139,4701,12756,11546,41950,10835,2125,5771,3492,2257,351,341,89,895,2184,471,883,961,918,317,510,530,485,243,811,625,80,591,593,384,503,630,313,552,672,508,2430,99,99,216,346,1149,484,742,595,602,64,129,468,350,401,622,386,216,468,1388,901,1179,1889,223,1877,871,322
