ACSSF,2019e1,nc,000,0177,0000011,236571,202747,148761,13961,179661,36160,115529,4181,2926,0,33824,236571,179205,1270,177935,151969,32859,128341,21452,23442,3737,69,6982,50384,236571,202747,1270,175810,25667,33824,236571,16716,66,8405,8245,31944,59,17691,14194,43063,439,28480,14144,38379,225,30357,7797,46656,165,38710,7781,59813,316,54292,5205,570999,113719,110107,232,99049,10826,3612,319169,299481,1090,261904,36487,19688,138111,108042,999,94964,12079,30069,411348,62755,47492,75,40256,7161,15263,272340,242206,1645,209034,31527,30134,76253,73228,314,67793,5121,3025,470935,252196,241122,228261,1020,202172,25069,12861,11074,10460,0,8008,2452,614,218739,182279,1069,159427,21783,36460,570999,517630,2321,455917,375011,320664,54347,80906,59392,53369,402198,367091,2017,327785,37289,35107,130449,114500,288,94517,19695,15949,6693,6361,16,6087,258,332,,,,,,,,,,,,,17806,16400,0,14832,1568,1406,,,,,,,370035,337716,2017,300608,35091,32319,52575,48381,0,44693,3688,4194,236571,202747,148761,13961,188786,53986,33824,236571,179205,1270,128341,23442,2042,6982,50384
ACSSF,2019e1,nc,000,0177,0000012,783227,687399,523072,40715,616734,108526,403550,11834,11827,179,95828,783227,609421,2253,607168,519898,98620,466919,75587,61064,8573,583,31244,142562,783227,687399,2173,598485,86741,95828,783227,63238,140,33331,29767,99276,118,55908,43250,134659,932,92704,41023,120651,314,95483,24854,141357,358,121662,19337,224046,391,208080,15575,1927557,402233,392241,420,344117,47704,9992,1110111,1055474,1583,933646,120245,54637,415213,329945,1853,286549,41543,85268,1362391,195999,150418,263,122066,28089,45581,872604,790030,2715,690136,97179,82574,293788,285964,403,268600,16961,7824,1564099,879499,831467,799906,1192,719513,79201,31561,48032,45870,59,39617,6194,2162,684600,577903,2185,496009,79709,106697,1927557,1777660,3856,1564312,1322514,1135629,186885,241798,209492,149897,1342219,1252125,3402,1130480,118243,90094,398605,351991,438,285269,66284,46614,80824,71998,16,58961,13021,8826,14273,13756,0,11469,2287,517,,,,,,,52934,50269,0,42319,7950,2665,37718,36537,0,34926,1611,1181,1257519,1171015,3157,1057067,110791,86504,149667,143290,245,126173,16872,6377,783227,687399,523072,40715,646684,164327,95828,783227,609421,2253,466919,61064,5278,31244,142562
ACSSF,2019e1,nc,000,0177,0000013,64316,59120,46960,2397,55002,7934,39782,663,690,0,5196,64316,52170,91,52079,44180,5814,44687,7329,2612,447,0,2134,10012,64316,59120,77,51601,7442,5196,64316,3899,8,2314,1577,7461,77,4433,2951,9025,0,5547,3478,7743,6,6121,1616,13592,0,11753,1839,22596,0,21911,685,165007,37339,37047,0,34102,2945,292,99339,97453,0,88796,8657,1886,28329,23643,77,20000,3566,4686,112628,13752,11867,0,10102,1765,1885,69939,66025,77,58146,7802,3914,28937,28241,0,26878,1363,696,131462,86241,83320,82485,0,75250,7235,835,2921,2802,0,2604,198,119,45221,39603,77,34260,5266,5618,165007,158143,77,142898,127956,111378,16578,14942,15168,6864,114830,109709,72,101220,8417,5121,33399,31677,5,27103,4569,1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103753,98674,72,90838,7764,5079,,,,,,,64316,59120,46960,2397,56723,12160,5196,64316,52170,91,44687,2612,82,2134,10012
ACSSF,2019e1,nc,000,0177,0000014,58385,56983,48285,2821,51582,4551,39632,839,1342,0,1402,58385,53788,105,53683,48887,6382,45776,4362,2895,188,41,1511,3086,58385,56983,105,53461,3417,1402,58385,2827,0,2104,723,4443,0,3528,915,7212,0,6192,1020,7672,57,7173,442,11555,0,10802,753,24676,48,23884,744,142007,20773,20519,0,18937,1582,254,74876,74424,0,71489,2935,452,46358,44864,165,42335,2364,1494,114033,7371,7102,42,6620,440,269,68919,67356,38,63695,3623,1563,37743,37710,85,36389,1236,33,123864,62208,59085,58822,38,56556,2228,263,3123,3095,0,2981,114,28,61656,60001,127,56803,3071,1655,142007,139807,165,132761,118614,108499,10115,14147,6881,2200,121779,120070,165,115906,3999,1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116982,115273,165,111109,3999,1709,,,,,,,58385,56983,48285,2821,54162,8698,1402,58385,53788,105,45776,2895,357,1511,3086
ACSSF,2019e1,nc,000,0177,0000015,106741,96190,80365,4299,88796,9495,59467,714,1625,70,10551,106741,89490,523,88967,79829,14242,71651,8364,4156,390,137,3058,14193,106741,96190,485,88414,7291,10551,106741,4290,0,2524,1766,12165,0,6214,5951,17407,290,12967,4150,14074,108,12831,1135,20421,43,18914,1464,38384,82,35517,2785,254373,47658,45501,0,42638,2863,2157,155060,147459,560,137158,9741,7601,51655,42863,617,39006,3240,8792,189368,14295,9178,0,7484,1694,5117,97617,89306,792,81439,7075,8311,77456,75162,385,71634,3143,2294,211619,130204,127816,124666,497,116027,8142,3150,2388,2139,0,2085,54,249,81415,68421,680,62750,4991,12994,254373,235823,1177,218802,185136,167940,17196,33666,15844,18550,225435,210913,906,196478,13529,14522,16180,12969,271,11732,966,3211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212348,199543,906,188361,10276,12805,17427,15076,0,10525,4551,2351,106741,96190,80365,4299,91891,15825,10551,106741,89490,523,71651,4156,405,3058,14193
ACSSF,2019e1,nc,000,0177,0000016,36634,32079,23711,1279,29722,5883,19773,291,311,67,4555,36634,28638,0,28638,25078,3789,22807,3108,2738,335,0,712,7284,36634,32079,0,28405,3674,4555,36634,2264,0,1547,717,4635,0,1965,2670,6342,0,4337,2005,5830,0,4556,1274,8105,0,7307,798,9458,0,8926,532,87720,16497,16270,0,14974,1296,227,52838,50609,0,45306,5303,2229,18385,13970,0,12750,1220,4415,65064,10815,8899,0,6178,2721,1916,41769,37567,0,34651,2916,4202,12480,11954,0,11746,208,526,72594,41577,40117,38730,0,35013,3717,1387,1460,1402,0,1364,38,58,31017,25795,0,23027,2768,5222,87720,80849,0,73030,63522,56694,6828,9508,7819,6871,72417,66629,0,61144,5485,5788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71385,65597,0,60241,5356,5788,,,,,,,36634,32079,23711,1279,30800,8368,4555,36634,28638,0,22807,2738,231,712,7284
ACSSF,2019e1,nc,000,0177,0000017,68798,65128,55959,2431,60941,4746,45674,1016,1081,0,3670,68798,62064,279,61785,48833,4221,54063,10349,4199,1831,653,1321,5413,68798,65128,279,61453,3396,3670,68798,2903,0,1970,933,4649,41,3489,1119,6664,0,5129,1535,8665,0,7920,745,12708,188,11243,1277,33209,50,32034,1125,214520,54791,54674,0,53903,771,117,130159,126360,338,121092,4930,3799,29570,25911,681,23872,1358,3659,141304,12202,9975,0,8911,1064,2227,79895,75952,978,71273,3701,3943,49207,47919,41,46769,1109,1288,166664,115165,111280,108537,351,104760,3426,2743,3885,3885,0,3706,179,0,51499,46784,668,43233,2883,4715,214520,206945,1019,198867,188250,152974,35276,10617,7059,7575,147241,143894,681,138016,5197,3347,39841,35976,0,34964,1012,3865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134985,131638,681,126202,4755,3347,,,,,,,68798,65128,55959,2431,62697,9169,3670,68798,62064,279,54063,4199,785,1321,5413
ACSSF,2019e1,nc,000,0177,0000018,32513,28352,21892,2058,25096,4098,16548,293,307,0,4161,32513,27609,0,27609,25396,4942,20850,2029,1922,29,0,169,4735,32513,28352,0,27404,948,4161,32513,1317,0,884,433,3872,0,1498,2374,6818,0,5804,1014,4927,0,4517,410,5813,0,5674,139,9766,0,9232,534,81152,16328,16257,0,15972,285,71,48846,46298,0,45366,932,2548,15978,12615,0,12213,402,3363,58425,12512,9703,0,9316,387,2809,35982,32960,0,32117,843,3022,9931,9851,0,9811,40,80,66694,40976,38909,37130,0,36335,795,1779,2067,2027,0,2027,0,40,25718,21626,0,21054,572,4092,81152,75170,0,73551,59416,55312,4104,14135,1619,5982,72090,66634,0,65316,1318,5456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70631,65241,0,63923,1318,5390,,,,,,,32513,28352,21892,2058,26294,6460,4161,32513,27609,0,20850,1922,192,169,4735
ACSSF,2019e1,nc,000,0177,0000019,28962,26616,22563,1144,24763,2716,17262,99,549,0,2346,28962,25805,80,25725,23221,2855,21938,2354,1721,104,0,673,2484,28962,26616,80,25076,1460,2346,28962,1947,0,1463,484,2332,0,1344,988,4151,0,3280,871,4112,51,3778,283,5141,0,4812,329,11279,29,11048,202,68355,11764,11485,188,10837,460,279,39033,38254,40,36991,1223,779,17558,15305,130,14159,1016,2253,51678,4395,3922,90,3597,235,473,31164,28920,51,27428,1441,2244,16119,15804,29,15565,210,315,57734,33364,32079,31681,0,30707,974,398,1285,1189,0,1095,94,96,24370,21832,170,20560,1102,2538,68355,65044,358,61987,54984,51421,3563,7003,2699,3311,61903,59102,358,56419,2325,2801,3043,2692,0,2318,374,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59385,56584,113,54204,2267,2801,,,,,,,28962,26616,22563,1144,25472,4053,2346,28962,25805,80,21938,1721,215,673,2484
ACSSF,2019e1,nc,000,0177,0000020,62417,56406,43904,2132,52347,7904,35198,660,1470,0,6011,62417,53396,76,53320,47246,6178,45096,5629,3435,250,0,811,8210,62417,56406,76,52939,3391,6011,62417,6092,0,3998,2094,4473,39,2367,2067,9648,37,7953,1658,9711,0,7784,1927,12112,0,10984,1128,20381,0,20234,147,156816,34893,34464,0,33336,1128,429,93578,90381,37,86802,3542,3197,28345,23854,39,21953,1862,4491,109363,14674,13144,0,11670,1474,1530,68860,63776,37,60808,2931,5084,25829,25308,39,24734,535,521,126561,81531,78137,76044,37,73455,2552,2093,3394,3025,0,2982,43,369,45030,39804,39,36956,2809,5226,156816,148699,76,142091,126963,114182,12781,15128,6532,8117,124225,117276,76,110861,6339,6949,13487,12494,0,12301,193,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117701,110752,76,105053,5623,6949,,,,,,,62417,56406,43904,2132,54274,12502,6011,62417,53396,76,45096,3435,364,811,8210
