ACSSF,2019e1,nc,000,0095,0000011,493849,242766,17407,7216,0,7216,6346,870,10191,6625,5391,0,5391,4266,1125,1234,10119,7848,188,7660,6559,1101,2271,18002,13505,0,13505,12562,943,4497,13294,8964,0,8964,8386,578,4330,33952,25194,58,25136,24340,796,8758,38424,28824,0,28824,28088,736,9600,20134,13705,0,13705,13240,465,6429,9104,4242,0,4242,4242,0,4862,12590,5421,0,5421,5287,134,7169,19403,6102,6000,102,13301,18050,3285,3149,136,14765,25662,1957,1957,0,23705,251083,13488,4478,0,4478,3932,546,9010,6436,3980,0,3980,3685,295,2456,9077,6198,0,6198,5828,370,2879,15725,11834,0,11834,11231,603,3891,13983,11015,0,11015,10764,251,2968,32895,25345,0,25345,24163,1182,7550,34126,25308,0,25308,24622,686,8818,22614,14246,0,14246,14177,69,8368,10630,6436,0,6436,6323,113,4194,13263,4433,0,4433,4341,92,8830,23745,4526,4493,33,19219,20830,3088,2984,104,17742,34271,1421,1421,0,32850
ACSSF,2019e1,nc,000,0095,0000012,1630812,784392,54875,21325,0,21325,18233,3092,33550,27189,21326,526,20800,17014,3786,5863,37215,28684,643,28041,24916,3125,8531,56268,45457,1177,44280,41011,3269,10811,49405,39568,1257,38311,36103,2208,9837,110568,88518,2006,86512,82742,3770,22050,125029,97659,472,97187,94498,2689,27370,67050,48306,69,48237,46726,1511,18744,27886,15216,0,15216,14711,505,12670,40710,19164,0,19164,18687,477,21546,58874,18596,18314,282,40278,55507,10134,9851,283,45373,73816,6071,6042,29,67745,846420,53132,21017,0,21017,16478,4539,32115,25762,16829,131,16698,14903,1795,8933,31570,23350,132,23218,21271,1947,8220,57976,44522,171,44351,40789,3562,13454,52684,40926,0,40926,38602,2324,11758,113898,85087,231,84856,80357,4499,28811,123518,89190,68,89122,86537,2585,34328,74270,47029,0,47029,46031,998,27241,31232,17705,0,17705,17139,566,13527,44085,17719,0,17719,17211,508,26366,72491,16142,15570,572,56349,61409,9340,8818,522,52069,104393,4028,3818,210,100365
ACSSF,2019e1,nc,000,0095,0000013,135963,62393,4228,2085,0,2085,1906,179,2143,2251,1496,0,1496,1194,302,755,3696,3126,0,3126,2981,145,570,4586,4090,0,4090,3941,149,496,5581,5357,0,5357,4972,385,224,9579,8991,0,8991,8894,97,588,10056,9028,0,9028,8896,132,1028,5582,3774,7,3767,3547,220,1808,1769,1350,0,1350,1350,0,419,2834,1840,0,1840,1654,186,994,3688,1335,1335,0,2353,3615,665,665,0,2950,4928,529,529,0,4399,73570,6286,2836,0,2836,2577,259,3450,2193,866,0,866,777,89,1327,3187,2793,0,2793,2731,62,394,5524,3911,0,3911,3911,0,1613,5745,4350,0,4350,3920,430,1395,11011,8736,0,8736,8554,182,2275,11165,8830,0,8830,8823,7,2335,6513,5029,0,5029,4985,44,1484,2743,1943,0,1943,1802,141,800,2374,1052,0,1052,1052,0,1322,4957,1664,1664,0,3293,4247,484,484,0,3763,7625,402,402,0,7223
ACSSF,2019e1,nc,000,0095,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0095,0000015,218727,102848,5243,2478,0,2478,2178,300,2765,2426,1712,0,1712,1712,0,714,3966,3220,0,3220,3077,143,746,8641,7730,0,7730,7647,83,911,10042,9595,139,9456,9456,0,447,17309,15634,139,15495,15175,320,1675,15646,13281,0,13281,12830,451,2365,7797,4738,0,4738,4663,75,3059,3592,2320,0,2320,2320,0,1272,4568,2604,0,2604,2604,0,1964,7636,2497,2356,141,5139,6910,1295,1295,0,5615,9072,860,860,0,8212,115879,6459,2956,0,2956,2706,250,3503,1898,1289,0,1289,1132,157,609,5102,3343,72,3271,3198,73,1759,8739,7788,0,7788,7692,96,951,10078,8617,0,8617,8617,0,1461,17139,14068,0,14068,13835,233,3071,17339,12756,0,12756,12709,47,4583,8536,5089,0,5089,5064,25,3447,4090,2331,0,2331,2331,0,1759,6001,2110,0,2110,2110,0,3891,8834,2751,2751,0,6083,8612,677,591,86,7935,13052,363,278,85,12689
ACSSF,2019e1,nc,000,0095,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0095,0000017,168601,81206,6821,3806,0,3806,3509,297,3015,3603,2944,0,2944,2730,214,659,2844,2205,0,2205,2205,0,639,6855,6746,0,6746,5968,778,109,7084,6480,35,6445,6240,205,604,13883,13287,0,13287,12419,868,596,15256,14350,0,14350,14184,166,906,6550,5210,0,5210,5210,0,1340,1742,1063,0,1063,1063,0,679,3244,1754,0,1754,1754,0,1490,4275,1455,1396,59,2820,3901,692,692,0,3209,5148,590,555,35,4558,87395,7091,2091,0,2091,2002,89,5000,2354,1294,0,1294,1294,0,1060,2933,2573,0,2573,2465,108,360,6182,4470,0,4470,4256,214,1712,9069,8141,0,8141,7954,187,928,14219,12230,0,12230,12013,217,1989,15820,13115,0,13115,12659,456,2705,6851,5194,0,5194,5151,43,1657,2480,1504,0,1504,1504,0,976,3201,1894,0,1894,1894,0,1307,4417,1684,1684,0,2733,5902,356,356,0,5546,6876,188,188,0,6688
ACSSF,2019e1,nc,000,0095,0000018,67804,31900,1870,924,0,924,609,315,946,853,823,0,823,823,0,30,1352,1088,0,1088,1088,0,264,2404,2390,0,2390,2156,234,14,2254,1611,0,1611,1611,0,643,4107,3580,0,3580,3580,0,527,6218,4429,93,4336,4336,0,1789,2812,2287,0,2287,2287,0,525,1102,738,0,738,738,0,364,1655,766,0,766,736,30,889,2980,1280,1280,0,1700,1508,248,214,34,1260,2785,250,250,0,2535,35904,2589,1084,0,1084,731,353,1505,593,579,0,579,579,0,14,1205,800,0,800,761,39,405,2804,2168,0,2168,2168,0,636,2059,1749,0,1749,1448,301,310,4025,3149,0,3149,3149,0,876,6667,5320,0,5320,4606,714,1347,3165,2810,0,2810,2810,0,355,1463,651,0,651,574,77,812,2337,617,0,617,617,0,1720,2844,840,840,0,2004,2199,588,588,0,1611,3954,332,332,0,3622
ACSSF,2019e1,nc,000,0095,0000019,59318,28235,1801,1080,0,1080,1046,34,721,770,613,94,519,519,0,157,856,779,125,654,545,109,77,1582,1357,29,1328,1328,0,225,1453,1284,0,1284,1284,0,169,3345,3042,129,2913,2885,28,303,4507,3776,127,3649,3475,174,731,2426,1745,69,1676,1634,42,681,1289,833,0,833,768,65,456,1977,725,0,725,725,0,1252,2739,909,909,0,1830,2204,592,592,0,1612,3286,194,194,0,3092,31083,1901,1322,0,1322,1264,58,579,1094,925,0,925,876,49,169,442,359,0,359,359,0,83,1478,1133,0,1133,1087,46,345,1808,1643,0,1643,1453,190,165,3953,3514,0,3514,3170,344,439,4697,3287,0,3287,3230,57,1410,2592,1667,0,1667,1646,21,925,1369,760,0,760,737,23,609,2112,983,0,983,983,0,1129,3580,822,777,45,2758,2297,503,503,0,1794,3760,181,181,0,3579
ACSSF,2019e1,nc,000,0095,0000020,129612,63007,4465,2273,0,2273,1976,297,2192,2210,1480,0,1480,1431,49,730,2845,2142,0,2142,1407,735,703,5057,4451,341,4110,4110,0,606,5151,4276,0,4276,4084,192,875,8743,7940,0,7940,7940,0,803,10787,9362,0,9362,9056,306,1425,5948,4977,0,4977,4859,118,971,1790,1364,0,1364,1364,0,426,2884,1978,0,1978,1978,0,906,3893,1507,1507,0,2386,4180,1039,1039,0,3141,5054,436,436,0,4618,66605,4365,1891,0,1891,1561,330,2474,1766,1066,0,1066,869,197,700,2794,2453,0,2453,2441,12,341,5281,4767,0,4767,4653,114,514,4211,3664,0,3664,3152,512,547,9251,7004,0,7004,6934,70,2247,11169,8112,0,8112,7819,293,3057,6374,4452,0,4452,4287,165,1922,2336,1453,0,1453,1421,32,883,2877,1748,0,1748,1748,0,1129,5167,1146,1146,0,4021,4393,798,798,0,3595,6621,344,344,0,6277
ACSSF,2019e1,nc,000,0095,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0095,0000022,79429,37073,2028,1070,0,1070,879,191,958,2825,2152,0,2152,1831,321,673,1512,733,0,733,597,136,779,2025,1709,0,1709,1363,346,316,2424,2169,0,2169,2098,71,255,6084,5071,0,5071,4808,263,1013,5513,3913,0,3913,3757,156,1600,3701,2631,0,2631,2543,88,1070,1453,832,0,832,832,0,621,1330,929,0,929,929,0,401,2338,1039,1039,0,1299,2719,288,288,0,2431,3121,486,486,0,2635,42356,3142,859,0,859,599,260,2283,1393,1075,0,1075,838,237,318,2289,1492,0,1492,1271,221,797,2710,2508,0,2508,2418,90,202,3189,2519,0,2519,2321,198,670,5626,4037,0,4037,3511,526,1589,6406,3652,0,3652,3148,504,2754,4229,2255,0,2255,2217,38,1974,1192,648,0,648,648,0,544,1751,546,0,546,458,88,1205,2765,880,849,31,1885,3339,347,347,0,2992,4325,218,218,0,4107
ACSSF,2019e1,nc,000,0095,0000023,82522,40490,2070,1511,633,878,872,6,559,2222,1849,1589,260,241,19,373,4226,4153,2482,1671,1201,470,73,3600,3400,699,2701,2425,276,200,2783,2747,339,2408,2356,52,36,5348,4754,419,4335,4259,76,594,5199,4317,62,4255,3996,259,882,2898,1689,64,1625,1625,0,1209,1089,646,0,646,646,0,443,1823,926,0,926,926,0,897,3795,1535,1535,0,2260,1931,251,251,0,1680,3506,209,209,0,3297,42032,2292,1209,33,1176,836,340,1083,1748,1180,33,1147,1053,94,568,2085,1315,0,1315,1315,0,770,4004,2669,92,2577,2360,217,1335,3266,2521,35,2486,2486,0,745,5092,3839,0,3839,3559,280,1253,5824,4744,0,4744,4559,185,1080,3386,2061,0,2061,1831,230,1325,687,219,0,219,219,0,468,2758,1237,0,1237,1192,45,1521,3214,589,589,0,2625,3672,863,728,135,2809,4004,251,227,24,3753
ACSSF,2019e1,nc,000,0095,0000024,260615,127955,9516,4376,1521,2855,2296,559,5140,7907,7201,4477,2724,2545,179,706,12267,10831,6498,4333,3946,387,1436,17464,15373,7663,7710,6573,1137,2091,12040,11057,2644,8413,8271,142,983,19309,16670,3374,13296,12521,775,2639,16156,13054,827,12227,11574,653,3102,8734,5483,90,5393,5350,43,3251,3151,1726,50,1676,1578,98,1425,4431,2105,0,2105,2045,60,2326,6328,1921,1736,185,4407,4700,851,851,0,3849,5952,932,932,0,5020,132660,9191,3787,126,3661,3067,594,5404,4436,3664,543,3121,2720,401,772,8687,6488,1280,5208,4131,1077,2199,14609,10519,877,9642,8875,767,4090,12764,9913,425,9488,8849,639,2851,20959,16706,267,16439,15828,611,4253,18634,14042,232,13810,12968,842,4592,10005,6290,0,6290,6008,282,3715,4749,2874,0,2874,2810,64,1875,4958,2391,0,2391,2305,86,2567,7476,1836,1802,34,5640,5867,581,581,0,5286,10325,282,282,0,10043
ACSSF,2019e1,nc,000,0095,0000025,136283,65482,3593,1005,0,1005,960,45,2588,1032,702,0,702,702,0,330,3678,3518,0,3518,3379,139,160,5244,4279,0,4279,3962,317,965,4487,4312,0,4312,4272,40,175,7947,6598,0,6598,6512,86,1349,13038,11011,0,11011,10819,192,2027,7085,5231,0,5231,5000,231,1854,1543,524,0,524,524,0,1019,3969,2618,0,2618,2618,0,1351,4416,1451,1359,92,2965,4267,454,454,0,3813,5183,367,367,0,4816,70801,3770,582,0,582,582,0,3188,2109,1147,0,1147,1003,144,962,1976,1921,0,1921,1808,113,55,4490,3627,0,3627,3330,297,863,6356,4064,0,4064,3772,292,2292,9000,6285,0,6285,6029,256,2715,12834,7760,0,7760,7645,115,5074,6374,4333,0,4333,4333,0,2041,3287,2095,0,2095,2071,24,1192,3104,1531,0,1531,1531,0,1573,5491,1280,1280,0,4211,4214,135,135,0,4079,7796,226,226,0,7570
ACSSF,2019e1,nc,000,0095,0000026,259730,122726,6335,1096,0,1096,1018,78,5239,5732,2919,10,2909,2529,380,2813,6353,4968,0,4968,4968,0,1385,14205,12049,0,12049,11455,594,2156,14268,13365,0,13365,13003,362,903,22320,19709,0,19709,19073,636,2611,18234,15005,0,15005,14353,652,3229,6902,4824,0,4824,4702,122,2078,3514,2099,0,2099,2010,89,1415,5876,2844,0,2844,2789,55,3032,6429,2859,2848,11,3570,6142,887,887,0,5255,6416,849,687,162,5567,137004,6627,2247,0,2247,2247,0,4380,4983,2466,0,2466,2337,129,2517,6453,4412,0,4412,4210,202,2041,15453,12506,0,12506,12022,484,2947,14959,12729,0,12729,12729,0,2230,23648,18846,0,18846,18666,180,4802,19348,16892,81,16811,15975,836,2456,9876,7453,84,7369,6756,613,2423,4392,2396,0,2396,2396,0,1996,5522,3489,0,3489,3489,0,2033,9577,3542,3464,78,6035,6037,880,816,64,5157,10129,564,511,53,9565
ACSSF,2019e1,nc,000,0095,0000027,305833,142840,11140,3930,0,3930,3536,394,7210,4550,2515,0,2515,2349,166,2035,8017,5966,180,5786,4321,1465,2051,12558,10527,0,10527,9340,1187,2031,11575,10498,62,10436,10233,203,1077,21647,19299,176,19123,18473,650,2348,23487,19139,182,18957,17969,988,4348,12920,10349,0,10349,10225,124,2571,5053,4135,0,4135,4135,0,918,5854,3668,0,3668,3273,395,2186,8415,3009,3009,0,5406,7441,1898,1898,0,5543,10183,855,855,0,9328,162993,10878,3503,0,3503,2651,852,7375,7683,5071,0,5071,4602,469,2612,5131,3674,0,3674,3265,409,1457,13717,11140,0,11140,10663,477,2577,13045,10190,0,10190,9580,610,2855,24377,18128,0,18128,17337,791,6249,25071,19058,0,19058,18634,424,6013,15046,8697,0,8697,8293,404,6349,5531,3039,0,3039,2943,96,2492,6959,3669,0,3669,3575,94,3290,10466,3353,3334,19,7113,9715,1945,1945,0,7770,15374,933,888,45,14441
ACSSF,2019e1,nc,000,0095,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
