ACSSF,2019m1,nc,000,0056,0000011,5050,2972,1534,840,451,736,292,665,1681,1220,552,669,454,1090,1460,855,424,653,715,540,3550,1981,764,835,593,1058,903,2163,1010,1117,1006,1135,1019,1806,467,659,677,1125,810,5636,681,1203,819,736,1318,988,300,1598,2008,2193,804,1156,1057,483,1277,2123,865,718,748,972,948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4359,1896,1361,1582,1902,1846,718,452,258,307,124,402
ACSSF,2019m1,nc,000,0056,0000012,10070,5684,2789,1522,623,1433,478,1645,3837,2809,981,1999,909,1658,2638,1843,811,1242,1070,1517,7041,3858,1814,1495,1217,1789,2025,3917,2097,1816,2030,1896,1653,3074,1250,1149,978,2098,1696,11120,1609,2561,1739,1660,2147,2105,852,2995,4678,3571,1937,1992,2033,1431,2636,3488,1730,1561,1834,1681,1460,1301,525,644,490,654,507,1228,623,718,342,60,342,,,,,,,609,378,305,258,123,294,1028,526,396,257,437,532,8172,4185,2343,3954,3038,3919,1704,1147,561,535,420,1037
ACSSF,2019m1,nc,000,0056,0000013,2963,1694,859,647,108,158,159,512,1113,492,181,588,269,903,640,438,67,339,199,424,1897,1295,823,367,969,395,609,1200,719,419,496,508,568,719,368,404,289,500,304,3272,445,801,502,464,1028,582,322,795,1238,994,453,670,501,511,960,1491,571,191,809,202,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330,1442,673,1046,824,1030,,,,,,
ACSSF,2019m1,nc,000,0056,0000014,2329,1416,911,348,216,682,136,792,1047,611,290,784,342,402,1000,730,281,751,405,524,1680,887,600,171,384,432,458,1365,671,739,785,537,455,975,624,409,383,626,473,2562,512,541,592,608,886,742,186,1025,1635,1128,590,510,325,714,864,936,285,314,410,250,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2311,1561,920,1288,1060,1103,,,,,,
ACSSF,2019m1,nc,000,0056,0000015,4621,2512,1868,1172,309,679,199,1576,1714,1354,242,1063,321,881,1232,1067,330,656,366,717,3133,2035,1202,682,688,777,1187,2177,1036,877,936,780,1661,1181,677,297,335,926,755,4983,743,1109,1163,1218,1521,1128,687,1187,2107,1685,1289,1059,1311,1473,1734,968,250,110,376,426,871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4347,2658,1208,1987,1521,2819,,,,,,
ACSSF,2019m1,nc,000,0056,0000016,1870,1077,597,309,262,216,390,157,687,455,230,291,325,283,469,324,189,141,175,403,1251,518,189,292,216,308,290,944,434,627,327,667,510,574,237,364,100,373,359,1942,324,584,138,330,330,358,216,983,503,941,244,513,106,382,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1881,813,974,503,911,923,,,,,,
ACSSF,2019m1,nc,000,0056,0000017,4279,2509,1921,1261,264,617,270,1528,1560,1346,359,676,226,761,758,542,184,307,199,368,2572,1620,1146,928,985,717,1124,1767,739,972,1042,608,1046,924,653,209,149,326,351,4799,936,1247,997,770,1055,1207,752,1353,1798,979,576,945,1645,825,1146,2049,1156,555,782,216,1598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2845,1854,958,1117,958,1490,,,,,,
ACSSF,2019m1,nc,000,0056,0000018,1847,931,606,295,183,134,72,525,721,464,179,380,191,309,436,266,123,264,72,223,1346,719,438,343,83,323,287,856,199,358,545,373,204,608,415,160,216,449,225,2207,130,408,140,284,470,432,216,813,731,893,117,388,478,376,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652,575,598,726,745,761,,,,,,
ACSSF,2019m1,nc,000,0056,0000019,1786,894,543,461,216,301,19,210,593,350,98,166,150,511,494,370,95,293,248,331,1158,676,394,178,126,393,468,675,370,254,256,296,301,517,238,194,197,305,209,2264,441,603,563,410,504,337,130,422,634,566,246,299,465,390,595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653,985,382,601,548,674,,,,,,
ACSSF,2019m1,nc,000,0056,0000020,2932,1929,1149,805,342,224,146,614,1026,489,333,736,211,719,757,581,106,455,300,327,2003,1191,494,476,414,630,537,1243,578,466,649,467,662,754,260,737,188,453,193,3236,439,597,326,1097,406,612,218,1137,1272,1083,475,797,434,352,847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2582,1370,1143,1091,809,1267,,,,,,
ACSSF,2019m1,nc,000,0056,0000021,2554,1432,489,366,230,258,216,273,1018,1052,164,348,264,506,710,587,258,361,119,423,1773,1379,451,871,930,180,586,1426,976,615,878,670,630,895,447,279,652,541,517,3222,930,1054,497,588,720,483,104,1169,1544,898,553,558,928,981,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2257,1553,585,1090,619,1154,,,,,,
ACSSF,2019m1,nc,000,0056,0000022,1867,1183,501,203,117,234,216,301,879,432,161,709,129,307,567,367,282,245,165,198,1612,1238,207,881,6,397,481,927,290,231,422,470,477,524,281,178,113,355,315,2095,236,239,97,493,374,245,216,985,920,796,280,656,457,416,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646,740,660,734,713,803,,,,,,
ACSSF,2019m1,nc,000,0056,0000023,1859,1059,751,621,224,56,385,339,667,569,116,230,152,361,743,732,73,307,195,206,1189,700,248,136,388,277,396,691,372,355,327,395,564,746,196,216,309,694,379,1951,362,304,341,335,557,884,235,440,678,1027,183,586,209,283,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1707,1098,441,538,955,980,,,,,,
ACSSF,2019m1,nc,000,0056,0000024,3235,1798,1248,825,292,527,378,676,1258,893,345,733,307,693,866,517,194,458,201,454,2181,1394,885,568,678,474,795,1763,710,749,878,805,836,1089,342,359,427,706,491,3427,645,750,602,830,1040,697,221,1136,1499,1249,588,757,506,515,1169,2009,1106,484,934,835,977,,,,,,,816,510,376,298,113,448,,,,,,,595,284,41,263,345,289,772,370,245,261,171,347,2054,1133,755,1029,772,996,966,555,368,384,392,458
ACSSF,2019m1,nc,000,0056,0000025,2574,1624,895,595,431,279,86,445,1084,599,538,492,428,428,738,519,151,378,372,193,1818,1120,522,423,455,725,208,1254,894,532,425,564,565,531,210,149,192,352,253,2916,393,542,639,597,780,457,227,953,1098,1171,435,336,277,437,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495,1223,785,978,1071,828,,,,,,
ACSSF,2019m1,nc,000,0056,0000026,5447,2982,1816,1668,330,763,232,965,2015,1698,634,830,488,959,1130,1113,174,388,451,655,3903,2397,2251,1132,942,361,2039,2664,1886,1044,1224,836,1689,1230,596,705,301,746,756,6145,1306,1960,1525,1972,2249,1477,516,2071,2156,1298,1900,1001,1568,1186,1571,3319,2129,1302,1394,818,2472,,,,,,,1259,1177,556,584,224,401,,,,,,,,,,,,,1118,765,271,185,253,692,3329,2498,1426,1448,897,1797,1375,1110,130,313,290,415
ACSSF,2019m1,nc,000,0056,0000027,5193,2760,1383,991,479,775,345,1047,2239,1511,559,1275,694,940,981,598,230,627,272,425,3492,1964,998,1260,970,514,1009,2293,1130,1107,1117,575,1720,1150,589,512,418,896,639,5461,1015,1088,819,1058,1217,1042,425,2175,2199,1430,1298,1170,863,1183,1523,2660,1349,1176,991,814,1745,,,,,,,714,745,308,530,182,459,,,,,,,,,,,,,529,321,168,197,216,341,4038,2005,1861,1847,1194,2073,1090,601,313,482,460,395
ACSSF,2019m1,nc,000,0056,0000028,1860,1073,486,216,216,179,145,410,773,627,151,531,169,258,490,308,141,216,216,347,1229,526,458,334,129,181,357,849,496,402,597,336,264,641,152,119,313,490,285,2114,575,402,168,428,766,315,134,617,986,739,316,573,257,195,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1349,912,567,738,518,750,,,,,,
ACSSF,2019m1,nc,000,0056,0000029,3309,1895,952,503,166,551,161,580,1425,651,489,675,246,875,810,417,432,526,295,336,2213,1286,633,478,708,218,739,1667,514,551,892,690,644,682,198,412,231,463,227,3545,437,513,375,633,503,598,409,1286,1535,1083,455,579,546,482,924,1487,547,875,602,496,869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2482,1155,583,1139,877,1080,,,,,,
ACSSF,2019m1,nc,000,0056,0000030,6180,3569,1750,1315,424,1238,185,1450,2576,1863,979,1288,328,1413,1344,965,270,687,441,715,3743,2364,1475,1372,1053,1259,1237,2502,1259,1522,1689,999,1790,1502,665,470,601,863,746,7333,1227,1243,1244,1460,1933,1493,639,2605,3352,1948,1209,1262,1260,1584,2170,4036,2040,1638,1978,1352,2080,,,,,,,1596,1197,426,739,138,718,,,,,,,,,,,,,652,393,263,238,301,316,4044,2450,1452,2090,1292,2280,1457,937,306,578,329,617
ACSSF,2019m1,nc,000,0056,0000031,2483,1534,948,606,215,459,184,708,1079,696,127,678,100,421,390,235,42,168,176,171,1663,969,344,669,421,227,621,1129,675,288,474,737,424,447,198,66,85,247,255,2540,295,632,238,602,775,369,253,794,1239,875,358,407,540,524,832,739,654,143,253,552,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1884,840,725,925,570,1056,1097,640,206,686,222,180
ACSSF,2019m1,nc,000,0056,0000032,2631,1521,685,274,72,497,168,273,932,518,300,512,185,504,805,546,202,552,243,475,1778,881,603,447,244,269,529,1071,552,444,630,442,820,830,280,409,281,608,607,2838,368,439,290,637,707,473,444,716,1218,948,688,663,511,426,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2473,1225,652,1078,846,1448,,,,,,
