ACSSF,2019e1,nc,000,0007,0000001,2085083,0,464,40,149101,11829,785,94,0,5353,207,391,1580,1365,2632,3643,0,795,10288,264,3345,2511,50592,379,768,8190,0,1045,3198,121,15307,3997,12338,58811,7766,545618,618,47224,7711,128160,21587,667067,526,20626,921,21583,386,1994,559094,812,231628,1383,8403,261,26,756,171,4571,37238,917,111628,10417,4728,25016,13706,118302,139336,2090,2015,8413,1815,0,23688,258,789,732,413,377,2875,434,377,0,1810,67,0,80,14485,2653,46102,11295,889,9127,51686,14048,193,420,279,292,844,56,1808,6871,919,383,2896,0,1750,685833,2085083,149101,11829,50592,15307,12338,58811,545618,47224,128160,21587,667067,20626,21583,559094,231628,8403,37238,111628,10417,25016,118302,139336,8413,23688,46102,11295,9127,51686,14048
ACSSF,2019e1,nc,000,0007,0000002,1479812,0,438,40,103981,10121,732,94,0,4395,123,391,1536,1341,2065,3038,0,741,7833,264,2496,2210,38360,379,543,6054,0,689,2206,121,9561,3327,9716,40065,6101,379993,402,33021,4463,91771,13714,456710,137,14591,796,15859,386,1922,389171,630,173901,1164,6830,189,0,220,160,3714,27947,675,81470,7715,4268,19827,10379,80308,99050,1820,1618,6201,1634,0,19957,258,789,679,122,377,2603,434,377,0,1249,67,0,80,12323,2261,35828,8455,889,7104,39212,12289,83,420,279,276,769,56,1503,6015,919,383,2424,0,1694,481481,1479812,103981,10121,38360,9561,9716,40065,379993,33021,91771,13714,456710,14591,15859,389171,173901,6830,27947,81470,7715,19827,80308,99050,6201,19957,35828,8455,7104,39212,12289
ACSSF,2019e1,nc,000,0007,0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605271,45120,1708,12232,5746,2622,18746,165625,14203,36389,7873,210357,6035,5724,169923,57727,1573,9291,30158,2702,5189,37994,40286,2212,3731,10274,2840,2023,12474,1759
ACSSF,2019e1,nc,000,0007,0000004,2003645,0,464,40,142744,11691,785,94,0,5215,207,391,1580,1365,2632,3529,0,777,9363,264,3274,2272,49454,379,543,7866,0,785,3158,121,14451,3942,12029,56815,7660,520736,618,44114,7491,122994,20943,643241,526,20379,921,21256,386,1994,538978,812,225213,1383,8249,261,26,756,160,4538,36077,917,108699,10189,4728,24265,13167,109843,131814,2090,2015,8324,1815,0,23270,258,789,732,413,377,2875,434,377,0,1810,67,0,80,14148,2572,44391,10689,889,9087,49406,13868,193,420,279,292,844,56,1692,6871,919,383,2832,0,1750,658966,2003645,142744,11691,49454,14451,12029,56815,520736,44114,122994,20943,643241,20379,21256,538978,225213,8249,36077,108699,10189,24265,109843,131814,8324,23270,44391,10689,9087,49406,13868
ACSSF,2019e1,nc,000,0007,0000005,1802893,0,360,40,127354,10523,742,94,0,4328,123,391,1536,1305,2560,3420,0,734,8574,264,3129,2096,45028,379,543,7174,0,743,3020,121,12669,3758,11011,51866,6853,462318,618,38427,6051,109605,19375,580432,526,19326,921,19005,268,1994,486232,732,208841,1291,7647,261,26,756,126,4283,31914,866,99662,8773,4636,22497,12185,95652,117119,2090,1963,7903,1481,0,21955,258,789,653,347,377,2875,434,377,0,1810,67,0,80,13034,2516,40627,9490,857,7759,43837,13106,193,420,226,292,844,56,1692,6162,919,383,2832,0,1589,589424,1802893,127354,10523,45028,12669,11011,51866,462318,38427,109605,19375,580432,19326,19005,486232,208841,7647,31914,99662,8773,22497,95652,117119,7903,21955,40627,9490,7759,43837,13106
ACSSF,2019e1,nc,000,0007,0000006,731283,0,200,0,60425,7260,633,94,0,2670,123,320,1184,1224,1568,1086,0,574,3469,0,1458,1193,18687,126,489,3317,0,162,1511,121,5635,1742,4747,17621,3029,177895,362,14970,1654,43836,6397,216395,72,7239,199,6320,218,1630,179913,428,80559,634,3041,92,0,145,126,1851,14514,380,38840,4074,2149,9199,6418,35353,49201,1324,1208,3807,786,0,12079,0,789,473,122,0,2326,434,0,0,715,67,0,80,6607,1640,16587,3756,255,2996,18314,7493,83,372,116,276,745,0,1003,4258,264,0,1096,0,859,259901,731283,60425,7260,18687,5635,4747,17621,177895,14970,43836,6397,216395,7239,6320,179913,80559,3041,14514,38840,4074,9199,35353,49201,3807,12079,16587,3756,2996,18314,7493
ACSSF,2019e1,nc,000,0007,0000007,1071610,0,160,40,66929,3263,109,0,0,1658,0,71,352,81,992,2334,0,160,5105,264,1671,903,26341,253,54,3857,0,581,1509,0,7034,2016,6264,34245,3824,284423,256,23457,4397,65769,12978,364037,454,12087,722,12685,50,364,306319,304,128282,657,4606,169,26,611,0,2432,17400,486,60822,4699,2487,13298,5767,60299,67918,766,755,4096,695,0,9876,258,0,180,225,377,549,0,377,0,1095,0,0,0,6427,876,24040,5734,602,4763,25523,5613,110,48,110,16,99,56,689,1904,655,383,1736,0,730,329523,1071610,66929,3263,26341,7034,6264,34245,284423,23457,65769,12978,364037,12087,12685,306319,128282,4606,17400,60822,4699,13298,60299,67918,4096,9876,24040,5734,4763,25523,5613
ACSSF,2019e1,nc,000,0007,0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200752,15390,1168,4426,1782,1018,4949,58418,5687,13389,1568,62809,1053,2251,52746,16372,602,4163,9037,1416,1768,14191,14695,421,1315,3764,1199,1328,5569,762
ACSSF,2019e1,nc,000,0007,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48995,3152,43,1280,233,359,1173,13321,1618,2543,467,14032,80,541,12463,4399,265,1024,1421,154,250,2774,3212,145,285,1468,339,637,1078,497
ACSSF,2019e1,nc,000,0007,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151757,12238,1125,3146,1549,659,3776,45097,4069,10846,1101,48777,973,1710,40283,11973,337,3139,7616,1262,1518,11417,11483,276,1030,2296,860,691,4491,265
ACSSF,2019e1,nc,000,0007,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81438,6357,138,1138,856,309,1996,24882,3110,5166,644,23826,247,327,20116,6415,154,1161,2929,228,751,8459,7522,89,418,1711,606,40,2280,180
ACSSF,2019e1,nc,000,0007,0000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282190,21747,1306,5564,2638,1327,6945,83300,8797,18555,2212,86635,1300,2578,72862,22787,756,5324,11966,1644,2519,22650,22217,510,1733,5475,1805,1368,7849,942
ACSSF,2019e1,nc,000,0007,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31779,1845,258,908,44,260,1623,9874,755,1219,399,12584,300,295,8812,1986,156,380,1693,21,163,2433,1730,227,176,416,40,42,1080,437
ACSSF,2019e1,nc,000,0007,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40507,966,0,709,675,467,1734,13742,587,3171,258,12713,297,762,12376,5768,465,781,2700,0,154,2394,3158,68,156,550,104,75,1355,259
ACSSF,2019e1,nc,000,0007,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60560,1921,250,1863,634,1157,1944,22866,1039,3994,551,20566,1704,737,14892,5901,106,1709,2180,157,701,6356,5486,413,283,2060,411,229,1693,140
ACSSF,2019e1,nc,000,0007,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0007,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41458,1484,111,1829,111,492,1341,6912,998,1457,243,15318,147,78,9894,5947,0,578,2256,41,329,3853,2070,470,1947,656,119,209,1747,118
ACSSF,2019e1,nc,000,0007,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0007,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20682,1766,126,224,132,79,1034,7405,578,1721,165,5683,216,253,6388,1533,0,466,1107,553,129,782,1464,39,272,370,58,0,399,53
ACSSF,2019e1,nc,000,0007,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0007,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0007,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0007,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20622,1030,0,941,0,52,385,4930,462,1180,852,5542,200,0,6712,2725,0,202,1574,266,99,733,1499,80,448,603,155,221,519,587
ACSSF,2019e1,nc,000,0007,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68686,5574,142,1717,272,649,1311,14063,1328,4343,802,18891,1017,651,13513,7472,156,1517,3218,554,328,1649,3842,282,1298,3023,466,189,753,289
ACSSF,2019e1,nc,000,0007,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22762,1811,68,185,28,177,1391,6253,671,1179,0,12017,286,79,7421,1990,102,54,992,58,0,1385,1410,48,0,286,0,0,243,0
ACSSF,2019e1,nc,000,0007,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70103,7085,1056,1731,586,678,639,18558,1225,4863,1067,19483,543,622,14175,7541,846,1276,4535,437,1091,3903,3234,330,838,2089,320,321,1394,1276
ACSSF,2019e1,nc,000,0007,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76510,4930,366,1446,619,470,2321,21098,2208,4087,576,27730,645,663,20658,8320,454,1485,3151,642,680,3377,7326,136,832,1415,606,0,2832,864
ACSSF,2019e1,nc,000,0007,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0007,0000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37292,2330,247,1736,65,0,1362,7730,1790,1307,518,14024,152,334,12625,2857,93,414,1239,89,239,2832,2328,108,793,524,43,66,750,211
