ACSSF,2019m1,nc,000,0094,0000011,5188,3012,2283,2498,4819,3805,4432,5188,3012,2353,1211,2043,441,1947,153,2406,1032,1051,498,964,2365,4819,2873,2434,1733,1266,1504,305,4233,2967,1730,1013,1457,3418,5188,3012,2407,2285,4819,2129,4653,4448,2592,3854,2063,2034,2212,465,261,388,598,26,599,,,,952,327,915,740,502,545,4236,2474,3631,1518,911,1254,5074,2554,1602,730,816,1111,1002,361,456,449,58,2285,653,187,448,450,216,2164,1179,1630,605,313,4211,3636,2220,2820,2844,2504,915,1852,1669,538,2273,1482,471,1305,697,306,2002,761,1566,1089,433,1446,1767,1607,5188,3012,2666,2770,4819,3154,4653,5188,3012,4819
ACSSF,2019m1,nc,000,0094,0000012,8383,6142,3426,5105,9044,5673,7754,8383,6142,4474,2413,4007,1394,3712,364,4471,1527,1683,962,1423,4162,9044,5821,4834,3758,2339,3047,957,7965,5803,3448,1957,3381,6986,8383,6142,4839,4136,9044,4462,8354,6593,4591,6995,4263,3322,4083,1294,1013,1450,1121,171,1149,,,,1637,811,1655,1932,818,1495,6057,4233,6454,2764,1479,2700,9628,4729,2834,1380,1426,1670,1690,693,914,897,147,4636,1825,685,1390,497,104,4154,2008,3074,1276,461,8259,7290,3646,4493,5056,4625,1586,3465,3330,932,4942,2899,778,2176,1378,846,4158,1621,3189,2069,1107,840,1407,1265,8383,6142,4479,4740,9044,6329,8902,8383,6142,9044
ACSSF,2019m1,nc,000,0094,0000013,1763,1984,902,1649,2256,1303,2130,1763,1984,1640,675,1371,409,1325,13,958,244,555,108,554,700,2256,1902,1478,1145,978,606,267,2182,1516,713,315,637,2269,1763,1984,1476,1203,2256,1126,2385,1880,1191,1975,1346,1334,1250,,,,,,,,,,678,398,661,,,,1779,1148,1938,598,425,605,2466,1843,717,280,352,551,421,394,107,107,216,1569,413,216,354,182,95,1543,740,1195,517,216,2144,1825,835,1104,1656,1635,511,857,850,470,1250,1068,110,880,335,389,798,284,549,569,296,3688,5837,4285,1763,1984,871,1642,2256,1580,2160,1763,1984,2256
ACSSF,2019m1,nc,000,0094,0000014,2550,1353,618,1120,2370,1508,1939,2550,1353,873,758,652,348,566,157,1080,422,303,144,280,896,2370,1546,1388,540,244,541,216,2102,1456,581,379,510,2010,2550,1353,878,1186,2370,1201,2399,2453,1168,2351,605,430,564,,,,,,,,,,,,,830,478,639,2421,1188,2284,625,335,656,2318,1080,873,74,283,615,601,124,586,586,216,720,399,216,277,111,243,606,293,463,178,216,2074,1861,1203,1389,1421,1367,370,691,663,131,819,435,169,281,247,119,782,211,587,381,19,3211,5677,5618,2550,1353,929,1155,2370,1529,2472,2550,1353,2370
ACSSF,2019m1,nc,000,0094,0000015,3462,1408,1035,965,3488,2189,2867,3462,1408,894,458,771,471,635,216,1137,415,515,407,354,1058,3488,2912,2525,1386,742,1162,145,3570,2372,1117,580,987,3082,3462,1408,1043,1189,3488,1559,3156,3185,1150,3237,1171,777,1028,,,,,,,,,,,,,,,,3019,1161,3024,716,347,740,3718,1142,569,373,421,228,132,183,216,216,216,977,585,216,577,121,216,725,240,690,290,216,3607,3361,1153,1975,2909,2763,831,1066,899,469,1757,964,228,720,627,57,1409,624,1054,608,375,3586,2807,3216,3462,1408,1225,995,3488,2017,3410,3462,1408,3488
ACSSF,2019m1,nc,000,0094,0000016,1496,1242,607,1243,1635,936,1446,1496,1242,1069,469,1045,898,580,207,716,439,220,167,219,641,1635,1262,1160,637,335,531,216,1757,1361,944,673,726,1485,1496,1242,1221,653,1635,1031,1547,1389,871,1322,452,171,488,,,,203,184,264,,,,1084,1042,359,,,,1394,871,1350,416,417,375,1784,1126,655,354,382,338,339,155,174,174,216,1077,896,127,888,216,216,623,134,527,333,216,1641,1671,962,911,1465,1456,173,738,718,203,1102,730,264,480,378,416,920,298,602,599,84,4705,3499,5106,1496,1242,789,1029,1635,1371,1944,1496,1242,1635
ACSSF,2019m1,nc,000,0094,0000017,1914,1734,699,1628,2245,1716,2485,1914,1734,1531,379,1495,68,1496,216,887,206,201,216,201,815,2245,2174,2010,1488,431,1457,216,2348,2118,1244,573,993,1854,1914,1734,712,1726,2245,1223,2403,1950,709,2023,1570,1606,1431,,,,692,72,700,,,,782,237,754,,,,1895,684,2005,985,343,962,2515,1540,398,145,117,359,297,223,216,216,216,1500,68,216,68,216,216,1502,274,549,1496,216,2405,2606,944,1500,2115,2142,319,1132,1172,371,1903,730,168,454,460,364,1779,386,1641,729,234,4891,15012,4782,1914,1734,699,1578,2245,1605,2554,1914,1734,2245
ACSSF,2019m1,nc,000,0094,0000018,1464,1099,475,976,1578,1117,1601,1464,1099,996,448,791,223,715,216,562,176,139,78,113,508,1578,1313,964,1044,560,865,289,1765,1316,960,550,733,1811,1464,1099,568,898,1578,788,1645,1396,959,1490,861,442,821,,,,,,,,,,,,,,,,1380,905,1476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3982,20100,5186,1464,1099,673,830,1578,1621,1868,1464,1099,1578
ACSSF,2019m1,nc,000,0094,0000019,1649,591,368,513,1630,819,1282,1649,591,383,275,250,57,253,80,488,197,177,107,144,456,1630,850,788,539,367,442,216,1380,1120,394,202,336,1330,1649,591,504,428,1630,752,1598,1477,520,1488,294,177,250,,,,,,,,,,,,,,,,1412,498,1420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3916,7264,3571,1649,591,435,363,1630,1020,1648,1649,591,1630
ACSSF,2019m1,nc,000,0094,0000020,1772,1364,872,1109,2167,1502,1847,1772,1364,1036,376,967,324,937,216,966,319,342,201,269,737,2167,1863,1621,1411,1087,888,216,2528,1997,1480,639,1179,2047,1772,1364,1145,750,2167,1315,2227,1843,1102,2240,770,551,741,,,,352,118,375,,,,830,297,799,,,,1620,1071,2018,809,368,811,2096,1129,446,227,362,136,136,216,258,73,244,1050,373,121,298,209,216,1014,830,522,177,189,2235,2372,834,1379,1885,1770,515,924,887,198,1818,1322,654,657,567,766,1307,671,592,1090,395,3854,8083,2978,1772,1364,1055,1017,2167,1766,2415,1772,1364,2167
