ACSSF,2019m1,nc,000,0177,0000011,5188,5450,5118,1671,5445,3479,5091,840,635,216,2897,5188,5176,628,5207,5366,3362,4479,2276,2307,1002,113,1371,3403,5188,5450,628,5354,2708,2897,5188,2000,82,1359,1535,2933,83,2308,1810,3068,403,2663,2001,3382,328,3163,1498,3354,172,2972,1574,4193,293,4264,1077,4059,2921,3659,259,4304,2546,2182,4077,4419,753,5699,4630,3548,2926,3567,492,3810,1876,2802,4596,4864,4122,84,3794,1581,2414,6376,6627,743,7775,4029,3310,5034,4896,375,4547,1443,1093,4521,6043,6277,5844,731,6427,3797,2686,1627,1544,216,1403,988,464,5633,6494,504,6491,2880,3260,4059,6502,1076,9299,10402,11360,5810,8186,6876,5766,5247,5952,1038,7742,5731,4637,3340,3876,390,4829,4414,2372,1247,1217,28,1241,207,273,,,,,,,,,,,,,3219,3298,216,3292,887,1348,,,,,,,4323,4490,1038,6657,5241,3761,1725,3343,216,4034,2062,2874,5188,5450,5118,1671,5591,4021,2897,5188,5176,628,4479,2307,881,1371,3403
ACSSF,2019m1,nc,000,0177,0000012,8383,8638,8474,3224,9010,6520,8487,1505,1503,170,4721,8383,9860,671,9791,9819,5262,8129,3638,4097,1461,366,2830,5895,8383,8638,675,9655,5541,4721,8383,4203,146,2716,2989,4992,118,4316,3003,6113,437,4813,4004,5551,345,4708,2701,6709,242,6106,2579,7858,325,7644,1913,4243,2703,3836,468,6576,6392,2866,4568,6754,768,10791,8568,5399,3027,5229,674,6550,4070,4682,6171,7877,7041,248,6717,3386,3896,10900,11516,846,13485,7594,5969,9984,9906,353,9542,2827,1412,5614,9319,10460,10656,768,11963,5989,4252,3596,3474,104,3392,1342,765,8652,10097,761,10784,7084,6013,4243,9506,1274,18150,21835,21101,10668,12618,15126,8934,6754,9982,1312,14780,11854,6809,5953,6944,448,9647,8477,4638,2450,3084,28,4227,2578,1656,2582,2602,216,2532,1299,457,,,,,,,5047,4940,216,5841,3331,1400,4743,4802,216,4779,813,608,2992,7139,1172,13552,11558,6574,1476,3173,481,6311,4872,2972,8383,8638,8474,3224,9195,7256,4721,8383,9860,671,8129,4097,1475,2830,5895
ACSSF,2019m1,nc,000,0177,0000013,1763,2215,2530,656,2219,1647,2653,357,305,216,1224,1763,2162,126,2184,2658,1251,2360,1607,589,282,216,873,1557,1763,2215,124,2190,1479,1224,1763,977,16,754,668,1585,124,1221,1045,1539,216,1148,1219,1394,11,1275,646,1636,216,1656,811,1810,216,1829,367,634,19,317,216,1806,1762,318,857,1146,216,2344,2272,875,754,1193,124,1428,1253,1135,1007,2267,2166,216,2088,854,717,3175,3104,124,3208,2238,1084,2963,2861,216,2786,754,475,1062,3029,2998,3048,216,3243,2236,462,899,892,216,849,268,133,2774,2944,124,2749,1589,1348,634,1628,124,3716,4942,5742,4154,3472,3669,1654,3052,3078,123,3591,2382,1329,2029,2306,10,3329,2413,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,1393,123,2458,2303,1320,,,,,,,1763,2215,2530,656,2202,1928,1224,1763,2162,126,2360,589,93,873,1557
ACSSF,2019m1,nc,000,0177,0000014,2550,2552,2392,767,2595,1468,2296,461,513,216,487,2550,2570,112,2573,2591,1468,2576,1093,706,191,67,574,866,2550,2552,112,2536,978,487,2550,812,216,823,379,1122,216,1047,535,1181,216,1045,511,1237,69,1311,266,1559,216,1635,558,1814,86,1778,361,657,378,559,216,1387,1250,405,870,891,216,1577,1306,301,737,1016,182,1161,862,789,1279,1389,1372,74,1325,329,311,2648,2739,62,2942,1246,730,2327,2324,103,2331,658,40,824,2271,2532,2525,62,2708,1262,216,1262,1264,216,1258,194,49,2399,2300,168,2327,979,823,657,1150,182,2853,3822,4300,2516,3061,2692,1009,1671,1665,182,1841,1092,791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,829,182,1352,1092,791,,,,,,,2550,2552,2392,767,2650,1869,487,2550,2570,112,2576,706,344,574,866
ACSSF,2019m1,nc,000,0177,0000015,3462,3449,3471,923,3210,1943,3124,367,691,114,1754,3462,3389,375,3298,3486,2341,3349,1457,972,275,170,1053,2002,3462,3449,367,3278,1510,1754,3462,1117,216,865,751,1873,216,1500,1478,2170,286,1913,1086,1936,134,1610,732,2503,72,2523,713,2641,131,2639,1208,1421,646,1682,216,2180,1854,1495,1484,2881,913,4314,3001,2861,991,1717,457,1771,1373,1387,1592,2665,2020,216,1897,866,2222,4750,4965,641,4909,2484,1762,4618,4414,509,4203,1438,1120,1682,3398,3357,3651,710,4385,2865,1359,624,565,216,570,89,298,3598,3743,503,3791,1512,2511,1421,4233,1073,6029,6772,7253,3239,5757,4265,4123,2863,4307,708,5318,4102,3600,1242,1676,451,2042,841,1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1052,3158,708,4462,3409,2985,237,2031,216,3229,2671,2024,3462,3449,3471,923,3312,2740,1754,3462,3389,375,3349,972,286,1053,2002
ACSSF,2019m1,nc,000,0177,0000016,1496,1761,1844,526,1817,1407,1761,264,243,118,1060,1496,1901,216,1901,1891,1053,1713,908,885,363,216,477,1430,1496,1761,216,1868,1226,1060,1496,849,216,806,390,1219,216,745,1146,1157,216,971,719,1378,216,1233,654,1205,216,1182,427,1311,216,1352,394,904,171,292,216,959,937,225,1009,1450,216,2177,1968,1037,561,1242,216,1250,549,1230,1047,1689,1650,216,1182,1302,750,1986,2557,216,2561,1159,1290,1870,1808,216,1771,300,575,865,2401,2596,2655,216,2768,1639,883,801,818,216,814,69,102,2427,2701,216,2588,1270,1416,904,2055,216,2989,3873,3896,2053,2887,2677,1833,1151,1903,216,2499,2043,1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,1636,216,2337,2034,1526,,,,,,,1496,1761,1844,526,1787,1585,1060,1496,1901,216,1713,885,277,477,1430
ACSSF,2019m1,nc,000,0177,0000017,1914,2101,2551,786,2077,1238,2574,621,511,216,922,1914,2335,252,2344,2732,961,2669,2488,1149,1082,815,583,1307,1914,2101,252,2313,1074,922,1914,844,216,765,546,1393,71,1189,644,1523,216,1355,658,1961,216,1883,494,1984,230,1860,630,2239,82,2351,811,843,146,249,216,789,749,217,686,2159,565,2822,2014,2099,555,1015,721,1258,489,956,1827,2348,2259,216,2121,596,1067,4625,4908,867,4807,1482,1159,4279,3893,71,3821,943,1354,1467,2797,3090,3369,502,3542,1565,2102,1430,1430,216,1376,231,216,2820,2703,713,2749,1087,1219,843,2417,907,3564,4842,8274,7390,2795,2610,2334,5019,5152,721,5620,2031,1043,2722,3543,216,3591,842,2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520,1904,721,2643,1774,1043,,,,,,,1914,2101,2551,786,2153,2234,922,1914,2335,252,2669,1149,844,583,1307
ACSSF,2019m1,nc,000,0177,0000018,1464,1773,1567,660,1918,970,1702,212,243,216,1383,1464,1758,216,1758,1966,1214,1560,643,746,49,216,260,1366,1464,1773,216,1802,504,1383,1464,540,216,499,348,1237,216,572,1251,1490,216,1444,460,1203,216,1195,315,1394,216,1381,115,1580,216,1559,401,605,19,119,216,443,380,117,630,1357,216,1595,785,1286,455,1073,216,1082,333,947,727,2294,2224,216,2199,360,1380,2673,2866,216,2985,584,1061,1855,1830,216,1821,72,131,933,2557,2153,2224,216,2345,747,866,1018,1011,216,1011,216,65,2493,2816,216,2830,400,1584,605,1995,216,2348,3782,3908,1381,3915,1166,1950,961,1750,216,1869,843,1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,1653,216,1897,843,1596,,,,,,,1464,1773,1567,660,1884,1097,1383,1464,1758,216,1560,746,151,260,1366
ACSSF,2019m1,nc,000,0177,0000019,1649,1734,1508,389,1678,794,1452,95,256,216,755,1649,1755,84,1749,1751,658,1636,803,498,105,216,387,701,1649,1734,84,1808,588,755,1649,727,216,669,341,793,216,575,550,842,216,832,332,750,71,753,168,865,216,865,204,1202,49,1198,182,355,428,564,374,781,398,362,584,670,68,959,572,480,322,1098,156,1093,496,1070,650,1326,1330,127,1270,327,260,1728,1657,71,1683,638,1162,1786,1803,49,1754,204,371,717,1403,1594,1627,216,1740,467,304,664,589,216,572,124,155,1346,1507,204,1564,527,1127,355,1365,546,1744,2400,2622,1164,1805,979,1356,701,1448,546,1691,918,1302,416,562,216,611,361,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,1339,124,1583,892,1302,,,,,,,1649,1734,1508,389,1730,910,755,1649,1755,84,1636,498,245,387,701
ACSSF,2019m1,nc,000,0177,0000020,1772,1916,2299,657,2022,1698,2405,373,820,216,1043,1772,2033,109,2049,1916,1096,2408,1449,874,315,216,475,1208,1772,1916,109,2052,921,1043,1772,1463,216,1266,861,906,65,728,649,1424,62,1412,601,1827,216,1624,813,1887,216,1782,589,1880,216,1881,138,829,19,453,216,1364,1284,455,900,1442,62,2010,1560,1227,729,1218,65,1347,639,1189,1156,2269,2292,216,2359,839,484,3410,3320,62,3471,967,1277,2929,3002,65,2990,450,307,1764,2673,2753,2911,62,2865,1146,792,1196,1074,216,1061,71,549,2567,2897,65,2474,1624,1360,829,1767,109,3064,4842,5389,3433,3465,2847,1685,2343,2541,109,3475,2845,1548,1374,1545,216,1577,198,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,1505,109,2675,2619,1548,,,,,,,1772,1916,2299,657,1949,2009,1043,1772,2033,109,2408,874,292,475,1208
