ACSSF,2019m1,nc,000,0034,0000011,6688,1824,2031,1831,3667,2715,3757,2742,2717,1686,1947,1584,1027,2597,2081,6215,1548,1620,1740,3021,2559,3496,2539,2743,1640,1759,1366,879,2528,1946,3299,805,968,346,1796,785,1238,804,366,438,426,773,594,659,489,281,216,116,216,128,174,123,163,216,216,216,216,216,216,18,831,38,204,216,216,264,307,210,456,211,321,80,16,146,137,1208,216,277,152,588,101,471,269,503,107,58,153,144,406,281,338162,119268,118578,71297,202354,94541,142157,81431,75411,42697,63177,46963,19998,105208,72040,6688,1824,2031,1831,3667,2715,3757,2742,2717,1686,3923,6215,1548,1620,1740,3021,2559,3496,2539,2743,1640,3521,3299,805,968,346,1796,785,1238,804,366,438,1428,281,216,116,216,128,174,123,163,216,216,18,1469,38,373,152,588,285,536,338,639,232,680
ACSSF,2019m1,nc,000,0034,0000012,11853,2950,3166,3327,5805,5020,6634,5535,3882,3390,3209,3050,1697,5172,4936,10807,2768,2558,3157,5151,4704,6255,5537,3686,3161,2992,2908,1612,4908,4403,5762,1211,1543,849,1986,1638,2157,1284,1237,908,1124,895,926,1400,973,817,74,120,15,381,209,409,504,70,154,20,216,25,185,142,2527,377,227,266,644,618,369,759,897,651,788,203,515,871,1133,2295,480,351,228,1013,342,951,408,869,398,358,229,152,835,708,553453,212770,176441,148804,257924,185434,223931,159877,118235,71546,133958,131028,42501,172849,141946,11853,2950,3166,3327,5805,5020,6634,5535,3882,3390,7703,10807,2768,2558,3157,5151,4704,6255,5537,3686,3161,7119,5762,1211,1543,849,1986,1638,2157,1284,1237,908,2454,817,74,120,15,381,209,409,504,70,154,237,3498,608,426,368,1146,795,984,815,1234,783,2047
ACSSF,2019m1,nc,000,0034,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163560,144363,32595,32899,46751,57443,60204,41751,38820,9631,23393,22868,5904,34718,37946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0034,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88016,26586,16070,29377,40013,38021,46459,40998,31921,31190,41433,37938,16684,30240,20698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0034,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144498,31964,29996,20135,44693,56314,91286,60990,55135,40655,44327,33901,14467,47980,32853,4577,1069,1006,794,1607,1775,3218,2691,2094,2176,3928,4389,1007,937,784,1448,1640,3077,2457,2113,2029,3521,1403,295,323,162,459,296,510,764,256,531,971,579,199,216,8,216,182,216,55,303,201,307,1926,153,216,216,216,476,677,171,235,203,1655
ACSSF,2019m1,nc,000,0034,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121810,74654,27790,57825,32777,31020,37833,20178,34900,9759,10298,9360,5187,17507,33247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0034,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172371,88185,30960,58600,94014,63806,148934,54475,96762,56046,42219,39108,8155,34480,50615,3361,1750,1027,1299,2816,2069,3089,1857,2339,1211,2958,4417,1324,854,1092,2527,1896,2120,1805,2394,1056,2756,2890,1171,609,716,938,754,1537,521,411,519,845,814,216,216,216,216,273,491,302,216,153,90,2181,360,216,127,374,161,1189,137,303,216,1082
ACSSF,2019m1,nc,000,0034,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122465,31767,43015,42805,46640,54720,42899,24300,27240,53425,23815,22980,28587,29464,41288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0034,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57084,9303,14507,21707,32639,18041,41127,23769,17641,8632,16905,15921,11074,13468,25977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0034,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172428,32586,33279,25148,111147,98148,52987,37127,44995,17292,43670,44760,5810,45248,55582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0034,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0034,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138875,16042,46086,18317,37396,114037,38399,28680,34943,9524,31703,11616,9455,36015,58925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0034,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65155,19029,26843,23265,29109,23902,40903,29567,26731,14874,33637,9650,4015,16351,17916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0034,0000024,2904,1030,1417,1628,2228,1893,2246,2229,1591,1463,2884,788,745,1862,1663,3644,985,1374,1353,1701,1670,2048,1954,1386,1199,1386,789,678,1604,1495,2080,331,359,486,602,738,678,792,436,718,294,199,236,526,623,510,85,89,32,195,216,124,216,192,216,231,216,216,253,216,2982,36,158,1472,1186,288,292,217,193,216,2553,60,140,355,323,965,144,91,172,303,260,147,138,217,251,351,129,90,428,321,164614,31995,54397,64353,45934,52521,112025,55280,46216,27871,31572,16111,21066,43903,50132,2904,1030,1417,1628,2228,1893,2246,2229,1591,1463,3552,3644,985,1374,1353,1701,1670,2048,1954,1386,1199,2428,2080,331,359,486,602,738,678,792,436,718,1027,510,85,89,32,195,216,124,216,192,216,342,3218,149,198,1488,1188,414,330,306,291,251,2625
ACSSF,2019m1,nc,000,0034,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131967,33913,30445,40492,65332,58934,70227,43523,45842,18915,42381,24466,16814,27677,21785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0034,0000026,4848,1124,1062,937,2919,2563,3217,2683,2951,2649,2096,1718,1047,2524,1521,5282,1068,969,923,2941,2483,2960,2317,2507,2480,1628,1452,921,2487,1454,2305,192,263,216,198,737,1384,989,452,425,365,332,345,332,515,1622,193,283,105,134,364,1153,264,995,332,522,568,216,319,364,1330,216,216,216,148,188,119,188,149,233,900,386,216,369,177,752,216,216,216,147,88,87,257,187,207,114,450,216,170,114,180435,21503,34433,38145,94113,66748,134390,56939,69460,70638,43258,36547,33758,41149,38398,4848,1124,1062,937,2919,2563,3217,2683,2951,2649,3743,5282,1068,969,923,2941,2483,2960,2317,2507,2480,3323,2305,192,263,216,198,737,1384,989,452,425,889,1622,193,283,105,134,364,1153,264,995,332,953,1536,216,216,216,203,210,149,322,242,314,1334
ACSSF,2019m1,nc,000,0034,0000027,4751,1993,1311,1394,2681,2035,2688,3210,2308,1672,1727,1214,796,2275,1846,4991,1691,1053,1302,2497,1829,2706,2982,2057,1608,1525,1049,756,2309,1529,2302,687,558,216,740,732,465,926,504,464,538,502,354,494,635,959,216,216,487,216,216,150,444,360,177,265,303,216,217,53,1173,55,646,216,216,372,216,350,455,364,280,137,216,248,667,966,147,216,47,238,597,130,95,84,216,298,216,216,499,278,193349,112806,40830,40255,103793,63778,99936,75630,74656,44782,41071,32662,21997,60205,40929,4751,1993,1311,1394,2681,2035,2688,3210,2308,1672,4012,4991,1691,1053,1302,2497,1829,2706,2982,2057,1608,3737,2302,687,558,216,740,732,465,926,504,464,1156,959,216,216,487,216,216,150,444,360,177,524,1430,160,646,47,238,721,130,359,494,364,1005
ACSSF,2019m1,nc,000,0034,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124115,44426,21789,38463,45794,72436,79224,31951,27200,8042,26635,71848,12081,16298,21736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0034,0000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116811,26396,45972,55842,52850,56355,59124,50009,34592,20656,32622,12625,12456,59077,30890,3108,1027,973,1336,1303,1692,1963,1993,1480,853,2714,3241,1018,829,1264,1131,1640,1891,1862,1371,832,2298,1772,171,497,222,687,427,721,695,346,187,1085,458,122,216,122,216,74,138,359,216,216,91,892,498,295,216,216,261,331,79,375,63,306
ACSSF,2019m1,nc,000,0034,0000030,6334,1639,1497,1774,2649,2700,3124,2886,3206,2233,2533,2034,1236,3176,2645,6483,1491,1102,1650,2522,2653,3207,2871,3068,1967,2283,2003,1075,2463,2246,3162,483,346,494,847,573,1049,1208,1723,577,772,450,163,899,778,1860,36,680,91,205,216,470,129,368,178,474,90,216,1234,943,1778,216,216,216,216,22,236,276,568,427,742,120,585,1156,378,1767,216,593,335,593,529,181,228,704,135,231,216,52,1106,662,277338,52171,54980,73757,148380,79614,124922,94261,86316,58977,60198,40903,25921,94008,69315,6334,1639,1497,1774,2649,2700,3124,2886,3206,2233,4315,6483,1491,1102,1650,2522,2653,3207,2871,3068,1967,4068,3162,483,346,494,847,573,1049,1208,1723,577,1486,1860,36,680,91,205,216,470,129,368,178,1550,2666,216,593,335,593,550,286,364,910,453,1894
ACSSF,2019m1,nc,000,0034,0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96388,38234,33788,43304,57764,51985,54316,33866,42364,13216,22766,12186,7029,25806,49227,2245,829,894,988,1973,1457,1215,1280,1194,346,1814,2360,768,918,942,1970,1435,1192,1162,1063,285,1599,1007,231,384,198,279,320,271,199,143,206,491,42,216,216,216,42,216,216,216,216,216,216,951,123,180,170,195,216,216,408,392,216,399
ACSSF,2019m1,nc,000,0034,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110630,33928,15462,39373,21884,38871,57365,52747,28199,26543,25157,13633,14457,25692,29214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0034,0000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125344,29483,18955,62467,71241,53082,53503,58810,40480,35592,31247,18517,10035,23986,27906,2486,877,625,1183,1788,1764,1856,1725,1512,1064,2354,3164,875,516,1026,1717,1338,1811,1581,1225,1015,2192,1857,144,238,773,346,987,506,682,612,265,584,196,216,216,216,216,216,195,16,216,216,216,899,112,123,211,216,216,70,98,608,216,534
ACSSF,2019m1,nc,000,0034,0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259143,54003,107671,60826,91550,122738,135845,63515,71371,71079,51349,25545,49707,32889,31913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0034,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0034,0000036,8584,2727,3044,3075,3690,4575,5062,4784,5083,3178,3744,2103,1725,3854,4547,8448,2302,2334,2950,3401,4006,4556,4052,4904,3024,3265,1724,1558,3182,4151,4879,1666,774,767,1403,1250,1654,1629,1253,599,1661,693,361,1228,1810,2466,290,560,381,584,580,930,616,846,870,504,515,388,860,475,2334,134,110,216,452,223,194,737,796,1097,1226,429,118,685,455,2147,584,1130,154,495,652,356,541,846,136,238,504,279,577,403,431815,99290,185524,90113,199579,144799,174043,160555,151500,95975,98630,81253,75973,100817,103462,8584,2727,3044,3075,3690,4575,5062,4784,5083,3178,6824,8448,2302,2334,2950,3401,4006,4556,4052,4904,3024,6183,4879,1666,774,767,1403,1250,1654,1629,1253,599,3090,2466,290,560,381,584,580,930,616,846,870,1310,3014,592,1136,154,709,678,434,944,1066,1095,1888
ACSSF,2019m1,nc,000,0034,0000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0034,0000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130583,41266,36854,45594,79547,42369,46849,22347,23519,15245,38847,5278,7030,30246,26303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0034,0000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162302,19257,23133,35476,69818,33566,70263,78286,55376,18412,40781,23206,14199,76190,38104,3774,957,957,1376,1620,1420,2293,1935,2368,1333,3229,4238,757,962,1271,1606,1451,2127,1869,2391,1290,3438,1676,380,216,212,288,362,947,481,429,298,1014,414,216,216,216,216,216,238,216,291,216,183,1154,335,24,388,216,170,50,199,199,272,937
ACSSF,2019m1,nc,000,0034,0000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161193,52577,48265,38451,81996,68087,107836,93361,62425,18886,26414,17966,7909,19569,30894,4934,1577,1418,2050,2524,2639,3565,2794,2224,1011,2546,4559,1425,1316,1694,2209,2371,2880,1849,2253,855,1758,3238,442,185,350,1407,760,1267,1758,160,374,1582,138,216,216,216,216,216,138,216,216,216,216,2529,499,366,586,529,784,677,264,1735,350,815
