ACSSF,2019e1,nc,000,0176,0000011,574644,471197,331418,329171,292946,227722,129744,36225,2247,1973,838,1608,274,139779,32137,29241,21543,11100,13705,7698,2896,1844,838,1070,1052,107642,101529,86243,35730,59539,15286,6113,3739,2180,2151,2374,103447,84465,72500,64774,40975,48230,7726,11965,9172,6264,4202,2793,18982,13303,8004,7173,5679,45895,24571,5954,4500,1454,18617,11503,7114,21324,7383,6016,1367,13941,9443,4498,45895,24571,5954,3486,2468,18617,9660,8957,21324,7383,4743,2640,13941,6874,7067,574644,471197,331418,294919,36499,139779,32137,23387,8750,107642,89982,17660,103447,87249,16198
ACSSF,2019e1,nc,000,0176,0000012,1944411,1583725,1077166,1069466,961258,751668,404835,108208,7700,6010,2854,3772,1690,506559,127328,111070,86458,47677,48452,24612,16258,10603,5177,5636,5655,379231,356956,306587,135682,199742,50369,22275,13558,8568,5907,8717,360686,276632,232530,208799,134258,145420,23731,44102,34401,26425,12890,9701,84054,66922,49106,23347,17132,172475,89712,31593,27648,3945,58119,38824,19295,82763,32893,28959,3934,49870,36244,13626,172475,89712,31593,24574,7019,58119,32889,25230,82763,32893,25289,7604,49870,24319,25551,1944411,1583725,1077166,967268,109898,506559,127328,97061,30267,379231,320145,59086,360686,310122,50564
ACSSF,2019e1,nc,000,0176,0000013,168552,137537,102244,101724,93240,76512,29511,8484,520,43,34,9,477,35293,11586,9649,8395,5692,3074,1254,1937,1875,1496,379,62,23707,22568,19858,7146,14215,2710,1139,701,379,393,438,31015,22523,19578,18208,13746,10179,1370,2945,2456,2209,560,489,8492,6708,5422,1640,1784,16647,8319,3208,2813,395,5111,3850,1261,8328,4069,3358,711,4259,3522,737,16647,8319,3208,2544,664,5111,3199,1912,8328,4069,3345,724,4259,2604,1655,168552,137537,102244,93283,8961,35293,11586,10270,1316,23707,20559,3148,31015,27372,3643
ACSSF,2019e1,nc,000,0176,0000014,141801,119135,96432,95514,89423,73145,46686,6091,918,764,580,184,154,22703,7960,7666,6392,4430,2862,1274,294,212,172,40,82,14743,13528,11659,6505,7216,1869,1215,540,472,87,675,22666,18463,16072,14548,10885,9797,1524,2391,1908,1674,676,483,4203,3247,2353,1221,956,6116,3190,961,653,308,2229,1947,282,2926,638,638,0,2288,1632,656,6116,3190,961,653,308,2229,1636,593,2926,638,638,0,2288,1125,1163,141801,119135,96432,90187,6245,22703,7960,6604,1356,14743,12199,2544,22666,19703,2963
ACSSF,2019e1,nc,000,0176,0000015,257339,196730,148490,147681,132458,108276,43558,15223,809,809,419,390,0,48240,13552,11551,8222,5097,3388,3329,2001,1740,890,850,261,34688,31291,25845,15764,13228,5446,3397,2412,2228,649,985,60609,43066,33179,29595,18632,17857,3584,9887,7504,6035,2095,2383,17543,14545,10691,4599,2998,21435,9586,3035,2242,793,6551,4044,2507,11849,4433,4051,382,7416,5428,1988,21435,9586,3035,2242,793,6551,3457,3094,11849,4433,3607,826,7416,4177,3239,257339,196730,148490,133267,15223,48240,13552,9962,3590,34688,28257,6431,60609,51644,8965
ACSSF,2019e1,nc,000,0176,0000016,88251,73371,53679,53560,48236,36504,19507,5324,119,55,55,0,64,19692,7926,7271,6163,3454,3134,1108,655,221,130,91,434,11766,11274,10034,5598,7571,1240,492,383,210,173,109,14880,11243,9578,8641,5895,5997,937,1665,1175,734,501,490,3637,3084,1214,1900,553,6110,3589,1268,1211,57,2321,1600,721,2521,461,461,0,2060,1752,308,6110,3589,1268,1149,119,2321,1161,1160,2521,461,461,0,2060,1522,538,88251,73371,53679,48291,5388,19692,7926,6384,1542,11766,10417,1349,14880,12900,1980
ACSSF,2019e1,nc,000,0176,0000017,214932,193007,143229,141953,130709,113284,29244,11244,1276,952,786,166,324,49778,7741,7546,6816,5198,2310,730,195,164,104,60,31,42037,39557,35540,23880,15445,4017,2480,1656,329,1327,824,21925,17581,14523,13412,9294,7910,1111,3058,2351,2325,351,707,4344,3596,2820,1138,748,16964,9252,2562,2291,271,6690,4977,1713,7712,2775,2332,443,4937,3824,1113,16964,9252,2562,2214,348,6690,4611,2079,7712,2775,1693,1082,4937,3086,1851,214932,193007,143229,131661,11568,49778,7741,6980,761,42037,37196,4841,21925,19359,2566
ACSSF,2019e1,nc,000,0176,0000018,81236,65922,46886,46337,42124,31460,17158,4213,549,234,50,184,315,19036,6589,5873,4561,2149,2561,1312,716,594,233,361,122,12447,12023,10251,5262,6383,1772,424,424,81,343,0,15314,11538,9546,8260,5273,5423,1286,1992,1659,942,968,333,3776,2407,2097,372,1369,5536,3012,782,672,110,2230,1881,349,2524,226,115,111,2298,1800,498,5536,3012,782,672,110,2230,1716,514,2524,226,115,111,2298,1273,1025,81236,65922,46886,42358,4528,19036,6589,5155,1434,12447,10675,1772,15314,12326,2988
ACSSF,2019e1,nc,000,0176,0000019,68160,54741,43431,43153,39019,32109,14874,4134,278,244,144,100,34,11310,2478,2225,1789,1100,894,436,253,217,217,0,36,8832,8111,7081,4783,3065,1030,721,528,371,157,193,13419,10641,8531,7869,5435,5661,662,2110,1778,1231,931,332,2778,2403,1872,1129,375,4520,2049,470,407,63,1579,1035,544,2471,1489,1465,24,982,874,108,4520,2049,470,407,63,1579,954,625,2471,1489,1440,49,982,750,232,68160,54741,43431,39263,4168,11310,2478,2006,472,8832,7609,1223,13419,12050,1369
ACSSF,2019e1,nc,000,0176,0000020,157574,132149,90613,89822,77643,62368,25772,12179,791,742,254,568,49,41536,13886,12445,9942,5171,5405,2503,1441,969,794,215,472,27650,26238,20325,9782,11988,5913,1412,985,985,0,427,25425,20556,17367,15605,11314,8346,1762,3189,2585,1808,1032,604,4869,3493,2546,1097,1376,14325,6925,1697,1433,264,5228,3533,1695,7400,3093,2585,508,4307,2182,2125,14325,6925,1697,1433,264,5228,3264,1964,7400,3093,2514,579,4307,1676,2631,157574,132149,90613,78385,12228,41536,13886,10911,2975,27650,21310,6340,25425,21683,3742
