ACSSF,2019e1,nc,000,0116,0000011,242386,12456,24560,31581,3493,29592,13242,1860,9207,14704,57550,23628,10680,9833,73576,4865,3368,5326,529,2259,1315,690,3051,4988,37018,4507,2352,3308,46771,238,243,1120,66,1040,196,0,852,5276,13783,15974,3968,4015,43297,642,1142,2144,1347,17844,1703,1105,5198,2735,4175,2481,1088,1693,34436,5146,17958,3360,427,1563,1168,65,106,691,1172,87,2123,570,44306,1565,1849,19631,1124,6886,8860,0,0,1014,1402,579,1149,247
ACSSF,2019e1,nc,000,0116,0000012,836372,26137,72033,120059,16196,96786,42638,6825,35329,59099,198098,84500,39010,39662,262144,9254,12086,19913,3353,9349,4435,3968,14655,23705,122441,14514,9622,14849,163627,847,297,3625,450,3701,703,45,2014,19638,50229,55042,12362,14674,154664,1387,2874,10805,6280,55240,7546,1800,17029,8913,18950,11208,6045,6587,102118,11140,52141,10727,1377,6057,3698,769,1315,1873,3025,1060,6869,2067,153819,3509,4635,74989,4736,22439,26256,243,316,4970,3453,2676,4112,1485
ACSSF,2019e1,nc,000,0116,0000013,83546,498,8639,9275,2626,10516,4683,967,4484,5403,20711,8102,4226,3416,28667,158,1745,2092,547,1521,463,550,2096,2309,13893,947,1005,1341,15006,92,60,100,50,186,0,96,156,1506,4131,6033,1392,1204,18803,51,232,1917,1377,6784,1221,134,2194,1022,1838,808,452,773,8717,111,5907,481,0,601,304,145,0,144,267,0,708,49,12353,86,695,4685,652,1424,2695,42,38,422,582,314,669,49
ACSSF,2019e1,nc,000,0116,0000014,59107,79,5508,4252,1521,9158,3799,999,3629,5175,13162,6651,2796,2378,20650,0,1385,1917,268,568,755,286,774,2547,9903,913,502,832,11270,0,0,263,0,390,95,0,0,1595,1775,5095,899,1158,14756,0,76,118,676,6534,822,383,2699,660,1308,616,577,287,6726,79,3551,834,144,228,576,330,0,333,38,27,542,44,5705,0,496,1120,433,1438,1551,0,156,40,138,0,276,57
ACSSF,2019e1,nc,000,0116,0000015,129187,859,10988,12249,2263,12282,5129,1393,6475,13534,31750,22055,5531,4679,54245,607,1532,3965,280,1498,1160,1041,2362,8850,23245,5198,2188,2319,25572,0,0,1092,0,246,141,0,117,1996,5461,13690,1644,1185,24991,0,834,2005,1247,8369,365,212,3823,2065,2393,2268,369,1041,12468,252,8622,836,0,366,261,78,123,239,383,743,521,44,11911,0,0,4351,736,1803,3202,62,50,384,268,156,809,90
ACSSF,2019e1,nc,000,0116,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0116,0000017,111345,1261,7989,11479,2059,13028,5029,2099,11281,10556,24750,13841,4806,3167,45547,228,1528,3054,866,1033,908,1462,7235,6377,17390,2661,1458,1347,20458,274,0,213,0,984,0,0,0,2525,3853,9375,1682,1552,21863,69,245,2217,678,8026,1368,262,3809,1047,2407,1016,522,197,10526,594,6109,1187,176,307,327,181,144,218,668,180,364,71,12951,96,107,4808,339,2678,2426,194,93,389,432,609,780,0
ACSSF,2019e1,nc,000,0116,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0116,0000019,32170,904,2694,2147,890,4439,1658,260,1903,2599,6360,4636,1236,2444,11707,267,887,547,514,578,342,179,547,1227,4869,428,249,1073,5473,0,0,0,0,0,0,0,165,873,805,3224,172,234,7100,250,475,127,268,2702,141,20,1054,249,412,681,244,477,2748,387,1244,291,0,97,130,61,88,51,27,48,72,252,5142,0,88,1182,108,1062,1045,0,49,199,247,255,499,408
ACSSF,2019e1,nc,000,0116,0000020,78360,415,3119,22056,2189,8280,3544,1094,3049,6951,13304,8377,3865,2117,27371,96,447,5096,742,795,757,262,930,3126,9380,3457,1577,706,11649,258,0,129,0,453,0,124,335,2327,1964,3832,1357,870,15137,53,0,2622,901,4543,880,552,1559,618,1464,1037,577,331,5821,8,2618,1231,0,364,487,156,191,379,43,0,169,175,18382,0,54,12978,546,2125,1420,0,34,501,453,51,185,35
