ACSSF,2019e1,nc,000,0008,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593806,447425,365987,81438,146381,13143,133238,593806,99188,1019,2962,979,379,3999,45512,8570,6740,858,34285,402,650,30446,9977,198,2243,4324,271,989,16464,11554,372,2820,2371,877,120,2587,903,146381,593806,447425,365987,81438,146381
ACSSF,2019e1,nc,000,0008,0000012,1988223,0,202,0,364993,2980,204,0,0,1826,165,0,122,492,193,260,0,102,2232,0,303,618,12609,68,293,2545,0,704,401,0,3306,589,1586,10695,2320,156839,17,32731,1823,22206,4174,124936,0,1645,0,3541,118,59,110093,122,34540,200,941,118,0,75,45,1405,7506,115,16852,2563,247,3577,2871,49041,41195,79,285,973,334,0,11600,0,517,79,117,0,441,0,0,0,20,0,25,0,10248,153,6885,2414,426,1710,9328,3190,35,0,143,0,30,0,461,1965,371,0,185,0,361,727707,446192,1988223,1542031,1259841,282190,446192,46479,399713,1988223,364993,2980,12609,3306,1586,10695,156839,32731,22206,4174,124936,1645,3541,110093,34540,941,7506,16852,2563,3577,49041,41195,973,11600,6885,2414,1710,9328,3190,446192,1988223,1542031,1259841,282190,446192
ACSSF,2019e1,nc,000,0008,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169509,109635,77856,31779,59874,3153,56721,169509,14552,299,1252,44,260,1794,17060,3022,1587,579,16235,546,421,12147,3339,156,467,2100,21,342,3563,2804,279,1421,595,40,42,1318,588,59874,169509,109635,77856,31779,59874
ACSSF,2019e1,nc,000,0008,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142820,106701,66194,40507,36119,4981,31138,142820,14147,620,1634,765,569,2059,21210,3344,4253,465,17192,297,762,19006,10087,618,1517,3814,120,345,3999,4500,246,156,782,166,147,1469,406,36119,142820,106701,66194,40507,36119
ACSSF,2019e1,nc,000,0008,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261191,204917,144357,60560,56274,6195,50079,261191,21146,354,2813,895,1276,2165,55014,6248,5951,625,29407,2532,799,23681,10258,106,2154,3190,273,2689,10781,8929,480,534,2274,411,2304,2066,315,56274,261191,204917,144357,60560,56274
ACSSF,2019e1,nc,000,0008,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90485,74617,60670,13947,15868,3030,12838,90485,32052,684,203,73,269,194,5579,1733,744,248,8613,0,118,5600,1177,0,161,454,0,102,1898,1099,0,986,573,275,0,483,0,15868,90485,74617,60670,13947,15868
ACSSF,2019e1,nc,000,0008,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216453,158547,117089,41458,57906,6604,51302,216453,41792,1724,2848,195,557,1743,11113,4096,1914,379,22539,291,78,14001,8534,0,745,3092,122,329,5970,2942,560,3468,934,119,885,1785,985,57906,216453,158547,117089,41458,57906
ACSSF,2019e1,nc,000,0008,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82178,71550,57839,13711,10628,1952,8676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82178,71550,57839,13711,10628
ACSSF,2019e1,nc,000,0008,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69473,54730,34048,20682,14743,1744,12999,69473,7798,126,1061,170,79,1218,12924,1697,1894,547,7582,243,253,9142,1850,24,556,1552,622,171,1858,2480,57,428,485,92,31,454,77,14743,69473,54730,34048,20682,14743
ACSSF,2019e1,nc,000,0008,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159551,122978,90286,32692,36573,3241,33332,159551,19600,237,1637,151,0,2305,10872,3437,2706,710,24199,125,412,16200,3376,0,469,2230,274,859,3319,3114,49,377,491,379,274,717,261,36573,159551,122978,90286,32692,36573
