ACSSF,2019e1,nc,000,0018,0000011,587837,22390,85785,16708,32257,33727,27277,33716,33131,34083,38467,42748,45587,43148,38880,59933,526368,19110,75201,14201,26503,27902,21138,29283,30525,31513,35328,39908,41871,40826,36804,56255,26777,1437,6102,726,2502,2451,3027,2641,548,1199,794,1241,1010,769,917,1413,21561,1143,2134,1249,2504,2436,2051,1366,1533,871,1753,840,1635,443,590,1013,11987,700,1911,532,633,938,927,426,357,324,550,752,1071,1110,560,1196,1144,0,437,0,115,0,134,0,168,176,42,7,0,0,9,56,587837,22390,85785,48965,61004,66847,72550,88335,82028,59933,526368,19110,75201,40704,49040,59808,66841,81779,77630,56255,26777,1437,6102,3228,5478,3189,1993,2251,1686,1413,21561,1143,2134,3753,4487,2899,2624,2475,1033,1013,11987,700,1911,1165,1865,783,874,1823,1670,1196,1144,0,437,115,134,168,218,7,9,56
ACSSF,2019e1,nc,000,0018,0000012,1967412,80058,302972,61577,121736,114244,102089,112664,111802,119910,128637,141320,143913,131365,116916,178209,1731473,64469,266082,45434,94554,91668,81766,97928,100967,109286,116719,130007,130601,123367,111688,166937,114763,9690,20569,4643,14572,9895,9859,8406,5663,5346,4696,4351,5325,3396,2453,5899,76298,3496,9858,9097,9215,8164,5932,4071,3294,3843,5049,3895,4057,2240,1328,2759,40373,2297,5350,2295,3092,4108,4110,1936,1110,1105,2131,2815,3889,2354,1395,2386,4505,106,1113,108,303,409,422,323,768,330,42,252,41,8,52,228,1967412,80058,302972,183313,216333,224466,248547,285233,248281,178209,1731473,64469,266082,139988,173434,198895,226005,260608,235055,166937,114763,9690,20569,19215,19754,14069,10042,9676,5849,5899,76298,3496,9858,18312,14096,7365,8892,7952,3568,2759,40373,2297,5350,5387,8218,3046,3236,6704,3749,2386,4505,106,1113,411,831,1091,372,293,60,228
ACSSF,2019e1,nc,000,0018,0000013,166988,7446,27399,6694,11327,10110,11326,12351,8239,10513,10708,12095,9720,8645,7862,12553,143513,6728,22135,5128,8610,7112,9713,10150,7049,9248,10350,11387,9177,8213,6979,11534,9519,230,1812,346,1757,1146,663,579,757,518,302,232,99,73,286,719,9899,430,3039,328,748,1331,950,918,212,489,8,249,406,82,557,152,3692,58,413,892,110,521,0,586,200,163,48,227,38,277,40,119,365,0,0,0,102,0,0,118,21,95,0,0,0,0,0,29,166988,7446,27399,18021,21436,20590,21221,21815,16507,12553,143513,6728,22135,13738,16825,17199,19598,20564,15192,11534,9519,230,1812,2103,1809,1336,820,331,359,719,9899,430,3039,1076,2281,1130,497,655,639,152,3692,58,413,1002,521,786,211,265,317,119,365,0,0,102,0,139,95,0,0,29
ACSSF,2019e1,nc,000,0018,0000014,141363,3745,15581,2857,4401,7092,7619,5404,8574,6089,7198,11163,14905,16215,15193,15327,121498,2666,12845,2605,3801,5062,5964,4221,6722,4374,6262,10169,13435,14357,14344,14671,6211,475,817,128,12,1317,497,504,399,350,175,319,249,728,160,81,7085,361,1408,0,453,658,704,343,482,844,178,197,549,405,316,187,6328,243,511,124,135,55,454,336,971,521,507,478,672,725,284,312,241,0,0,0,0,0,0,0,0,0,76,0,0,0,89,76,141363,3745,15581,7258,14711,13978,13287,26068,31408,15327,121498,2666,12845,6406,11026,10943,10636,23604,28701,14671,6211,475,817,140,1814,903,525,568,888,81,7085,361,1408,453,1362,825,1022,746,721,187,6328,243,511,259,509,1307,1028,1150,1009,312,241,0,0,0,0,0,76,0,89,76
ACSSF,2019e1,nc,000,0018,0000015,259484,10821,35337,6301,13392,17380,20120,17349,17099,17639,15346,16333,18251,16470,15522,22124,229559,9929,32090,4784,10654,14278,15969,15110,14297,15449,13141,15064,17479,15873,14794,20648,13903,77,2015,244,983,1545,2045,679,1689,1378,703,723,261,219,326,1016,7260,275,496,1002,771,575,508,575,850,548,508,247,152,107,263,383,7343,540,590,257,869,713,1598,985,116,264,266,299,359,271,139,77,1419,0,146,14,115,269,0,0,147,0,728,0,0,0,0,0,259484,10821,35337,19693,37500,34448,32985,34584,31992,22124,229559,9929,32090,15438,30247,29407,28590,32543,30667,20648,13903,77,2015,1227,3590,2368,2081,984,545,1016,7260,275,496,1773,1083,1425,1056,399,370,383,7343,540,590,1126,2311,1101,530,658,410,77,1419,0,146,129,269,147,728,0,0,0
ACSSF,2019e1,nc,000,0018,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0018,0000017,213409,10545,41401,6774,11734,13037,16153,14931,13171,17031,14045,13401,10667,8692,9803,12024,187815,8592,37746,5769,9099,10139,13165,13153,11807,15263,13366,11908,10215,7669,9232,10692,12398,1184,2445,474,954,1396,1421,741,663,540,184,619,251,365,448,713,9352,586,913,531,1302,1020,859,780,374,760,424,427,149,597,123,507,3623,183,297,0,379,482,593,151,327,468,71,447,52,61,0,112,221,0,0,0,0,0,115,106,0,0,0,0,0,0,0,0,213409,10545,41401,18508,29190,28102,31076,24068,18495,12024,187815,8592,37746,14868,23304,24960,28629,22123,16901,10692,12398,1184,2445,1428,2817,1404,724,870,813,713,9352,586,913,1833,1879,1154,1184,576,720,507,3623,183,297,379,1075,478,539,499,61,112,221,0,0,0,115,106,0,0,0,0
ACSSF,2019e1,nc,000,0018,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0018,0000019,68943,2207,9040,2080,3162,3060,3261,3654,3644,4120,5084,5018,6747,6319,4501,7046,57587,1746,7520,1736,2332,2557,2282,3051,2897,3463,4268,4318,5894,5412,3869,6242,5307,103,787,344,199,296,290,245,367,259,496,302,282,625,242,470,3227,305,552,0,249,66,168,358,277,347,101,268,253,93,62,128,2822,53,181,0,382,141,521,0,103,51,219,130,318,189,328,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68943,2207,9040,5242,6321,7298,9204,11765,10820,7046,57587,1746,7520,4068,4839,5948,7731,10212,9281,6242,5307,103,787,543,586,612,755,584,867,470,3227,305,552,249,234,635,448,521,155,128,2822,53,181,382,662,103,270,448,517,206,0,0,0,0,0,0,0,0,0,0
ACSSF,2019e1,nc,000,0018,0000020,157702,6096,26975,3849,9615,10338,9362,8752,9242,11030,10926,12322,9887,9060,8573,11675,139326,4642,24505,3474,8391,8127,7194,7470,8303,10017,9539,11310,8806,8491,8156,10901,8962,838,1528,262,579,921,1108,638,318,373,480,385,493,382,174,483,6709,497,646,0,645,1290,556,389,440,443,783,484,219,67,31,219,2137,119,179,34,0,0,439,184,91,197,124,143,310,120,125,72,568,0,117,79,0,0,65,71,90,0,0,0,59,0,87,0,157702,6096,26975,13464,19700,17994,21956,22209,17633,11675,139326,4642,24505,11865,15321,15773,19556,20116,16647,10901,8962,838,1528,841,2029,956,853,878,556,483,6709,497,646,645,1846,829,1226,703,98,219,2137,119,179,34,439,275,321,453,245,72,568,0,117,79,65,161,0,59,87,0
ACSSF,2019e1,nc,000,0018,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0018,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0018,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100927,5259,15282,12507,13653,10440,11023,12641,12612,7510,86049,3905,12444,9110,11613,9263,9197,11807,11948,6762,7316,582,2111,1018,1051,427,1122,383,338,284,2210,0,98,675,342,59,460,261,172,143,4336,681,383,1431,452,691,33,190,154,321,1016,91,246,273,195,0,211,0,0,0
ACSSF,2019e1,nc,000,0018,0000024,330354,19983,57901,10562,33297,32073,24804,20762,19506,17129,17661,18739,17289,13804,10567,16277,258176,13321,45326,7371,18775,22213,17797,16593,15803,14929,15024,17405,16123,12009,9832,15655,37077,3347,7458,1188,6867,4240,3419,2500,1861,1229,1757,965,591,895,463,297,9040,775,1879,550,1081,1028,1222,441,622,156,380,149,248,241,32,236,22967,1842,3158,1422,5950,3717,2182,1097,1092,632,340,220,327,659,240,89,3094,698,80,31,624,875,184,131,128,183,160,0,0,0,0,0,330354,19983,57901,43859,56877,40268,34790,36028,24371,16277,258176,13321,45326,26146,40010,32396,29953,33528,21841,15655,37077,3347,7458,8055,7659,4361,2986,1556,1358,297,9040,775,1879,1631,2250,1063,536,397,273,236,22967,1842,3158,7372,5899,2189,972,547,899,89,3094,698,80,655,1059,259,343,0,0,0
ACSSF,2019e1,nc,000,0018,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165308,6747,26656,11780,20577,16947,25872,25362,18388,12979,151817,6106,24317,10725,17073,15613,24339,23486,17894,12264,8058,398,2052,627,2263,645,535,644,399,495,3021,164,153,251,899,412,365,590,0,187,2047,79,134,89,342,277,505,493,95,33,365,0,0,88,0,0,128,149,0,0
ACSSF,2019e1,nc,000,0018,0000026,318387,17111,45823,8685,23521,29658,29227,26616,19352,19525,18057,16778,19304,16006,12179,16545,259831,14830,39117,5965,14673,17815,22641,22052,16845,17216,15267,14760,17608,15188,11385,14469,29598,979,3970,1019,4228,6741,3037,2187,860,603,1811,1137,696,576,554,1200,10256,60,590,412,1312,2018,1666,1002,105,931,573,474,262,240,147,464,14330,859,1546,819,2068,2714,1578,1109,1446,411,128,407,738,2,93,412,4372,383,600,470,1240,370,305,266,96,364,278,0,0,0,0,0,318387,17111,45823,32206,58885,45968,37582,36082,28185,16545,259831,14830,39117,20638,40456,38897,32483,32368,26573,14469,29598,979,3970,5247,9778,3047,2414,1833,1130,1200,10256,60,590,1724,3684,1107,1504,736,387,464,14330,859,1546,2887,4292,2555,539,1145,95,412,4372,383,600,1710,675,362,642,0,0,0
ACSSF,2019e1,nc,000,0018,0000027,378246,18209,64578,11644,25381,26275,24620,22833,23191,24378,24180,27966,23397,18881,17156,25557,325180,14677,57120,8487,18992,20272,20743,18226,20899,21428,21446,24843,20848,17494,16265,23440,29699,2631,5797,1389,2872,3044,2130,2661,1534,2429,799,1417,1328,818,348,502,11732,641,804,685,1864,1051,795,1096,127,455,1315,926,696,397,289,591,10040,260,798,815,1568,1639,952,691,631,66,547,694,338,172,254,615,1595,0,59,268,85,269,0,159,0,0,73,86,187,0,0,409,378246,18209,64578,37025,50895,46024,48558,51363,36037,25557,325180,14677,57120,27479,41015,39125,42874,45691,33759,23440,29699,2631,5797,4261,5174,4195,3228,2745,1166,502,11732,641,804,2549,1846,1223,1770,1622,686,591,10040,260,798,2383,2591,1322,613,1032,426,615,1595,0,59,353,269,159,73,273,0,409
ACSSF,2019e1,nc,000,0018,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0018,0000029,222286,11087,36523,5270,12261,15683,15088,14241,13490,16511,15203,13973,15211,13561,9278,14906,191730,9046,31921,4179,7224,12513,11806,12469,10916,14685,13956,13014,14210,13034,8808,13949,16648,1421,3051,554,1702,1602,1939,801,1741,1304,337,492,690,349,310,355,9164,380,1152,206,2029,1201,900,832,681,361,536,357,146,178,47,158,4699,240,399,331,1306,367,443,139,152,161,374,110,165,0,113,399,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,222286,11087,36523,17531,30771,27731,31714,29184,22839,14906,191730,9046,31921,11403,24319,23385,28641,27224,21842,13949,16648,1421,3051,2256,3541,2542,1641,1182,659,355,9164,380,1152,2235,2101,1513,897,503,225,158,4699,240,399,1637,810,291,535,275,113,399,45,0,0,0,0,0,0,0,0,45
ACSSF,2019e1,nc,000,0018,0000030,531126,25401,87445,23232,35731,38802,35482,31467,33456,35476,33896,35833,31973,26045,22133,34754,445152,22172,73360,14403,24403,27276,28577,27653,26980,30135,30816,33568,29800,23346,20757,31906,49305,2379,10006,2155,4702,6566,4313,2007,4389,4004,2159,991,1346,1773,790,1725,18053,363,2064,4301,3497,2094,1242,643,1035,425,359,622,157,453,84,714,14922,413,1345,2182,2209,2722,728,1013,816,857,479,299,606,342,502,409,3694,74,670,191,920,144,622,151,236,55,83,353,64,131,0,0,531126,25401,87445,58963,74284,64923,69372,67806,48178,34754,445152,22172,73360,38806,55853,54633,60951,63368,44103,31906,49305,2379,10006,6857,10879,6396,6163,2337,2563,1725,18053,363,2064,7798,3336,1678,784,779,537,714,14922,413,1345,4391,3450,1829,1336,905,844,409,3694,74,670,1111,766,387,138,417,131,0
ACSSF,2019e1,nc,000,0018,0000031,133947,7277,25680,5442,7752,9811,10466,9342,7774,9173,8708,8278,7109,5316,5072,6747,115549,5966,22061,3860,5903,6953,8691,8264,6538,8544,8266,7692,6814,4951,4861,6185,5230,94,1121,583,710,403,353,167,512,609,132,172,73,95,58,148,8614,684,1274,740,621,1788,1032,471,709,20,184,414,141,160,48,328,3981,533,1153,190,487,459,246,432,15,0,116,0,49,110,105,86,573,0,71,69,31,208,144,8,0,0,10,0,32,0,0,0,133947,7277,25680,13194,20277,17116,17881,15387,10388,6747,115549,5966,22061,9763,15644,14802,16810,14506,9812,6185,5230,94,1121,1293,756,679,741,245,153,148,8614,684,1274,1361,2820,1180,204,555,208,328,3981,533,1153,677,705,447,116,49,215,86,573,0,71,100,352,8,10,32,0,0
ACSSF,2019e1,nc,000,0018,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116366,4500,16510,6743,12295,13516,15255,16622,17318,13607,102534,3874,14353,4764,9877,11653,13514,15698,16222,12579,4050,47,509,1182,164,597,643,260,236,412,6906,512,1239,797,1848,1075,747,426,181,81,2785,67,409,0,406,191,351,238,656,467,91,0,0,0,0,0,0,0,23,68
