ACSSF,2019e1,nc,000,0053,0000020,,,,,,,,6885,2377,307,987,363,720,4508,,,,,,,,7448,3378,44,1939,674,721,4070,3302,1792,131,605,699,357,1510,116485,20862,2285,9551,4638,4388,95623,15608,5800,197,3273,1225,1105,9808
ACSSF,2019e1,nc,000,0053,0000021,,,,,,,,,,,,,,,,,,,,,,4817,1916,258,1089,569,0,2901,,,,,,,,50995,9055,775,3270,2865,2145,41940,8360,2960,129,1534,1146,151,5400
ACSSF,2019e1,nc,000,0053,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69168,15023,1188,6245,3073,4517,54145,3690,1995,60,1166,458,311,1695
ACSSF,2019e1,nc,000,0053,0000023,687,200,17,68,74,41,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65147,13246,2119,4842,2237,4048,51901,7129,2570,488,1397,85,600,4559
ACSSF,2019e1,nc,000,0053,0000024,4815,1308,41,479,258,530,3507,9157,2293,428,974,154,737,6864,,,,,,,,10594,3904,392,1665,383,1464,6690,18094,8809,720,4636,1944,1509,9285,136277,32521,3989,12214,5332,10986,103756,38121,13305,1535,5634,1892,4244,24816
ACSSF,2019e1,nc,000,0053,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1835,1047,121,327,474,125,788,130451,24784,2318,11210,7168,4088,105667,11335,4247,254,2698,989,306,7088
ACSSF,2019e1,nc,000,0053,0000026,,,,,,,,13961,4479,428,214,276,3561,9482,,,,,,,,9694,4111,760,1993,370,988,5583,9654,4319,1010,1516,769,1024,5335,133994,26020,3066,8060,2689,12205,107974,40661,14829,1314,8348,2866,2301,25832
ACSSF,2019e1,nc,000,0053,0000027,,,,,,,,8710,2323,455,841,257,770,6387,,,,,,,,8372,3194,257,1206,794,937,5178,8487,4456,701,2041,897,817,4031,208977,44592,4431,15455,9355,15351,164385,47869,19850,2623,10416,4211,2600,28019
ACSSF,2019e1,nc,000,0053,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42310,8942,904,3680,2435,1923,33368,,,,,,,
ACSSF,2019e1,nc,000,0053,0000029,,,,,,,,3445,1031,292,441,155,143,2414,,,,,,,,,,,,,,,4439,2162,275,1035,582,270,2277,154859,30605,2894,14155,7146,6410,124254,15956,5800,829,2836,1446,689,10156
ACSSF,2019e1,nc,000,0053,0000030,,,,,,,,25860,7572,1105,2189,1842,2436,18288,,,,,,,,14896,3924,328,1855,759,982,10972,16759,8857,708,4456,1206,2487,7902,256840,52824,4931,19288,11509,17096,204016,42895,17289,2133,8221,3889,3046,25606
ACSSF,2019e1,nc,000,0053,0000031,,,,,,,,,,,,,,,,,,,,,,5476,2054,297,746,804,207,3422,4338,2741,507,1707,290,237,1597,79183,19588,2612,6851,3852,6273,59595,17297,7357,760,2763,2405,1429,9940
ACSSF,2019e1,nc,000,0053,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95436,16536,1216,7557,3956,3807,78900,11657,4282,507,2428,831,516,7375
ACSSF,2019e1,nc,000,0053,0000033,,,,,,,,4923,1347,145,526,334,342,3576,,,,,,,,4938,1631,0,654,173,804,3307,6118,2331,220,1254,381,476,3787,133000,28860,2758,12598,7374,6130,104140,14001,5781,660,2314,1677,1130,8220
ACSSF,2019e1,nc,000,0053,0000034,,,,,,,,,,,,,,,,,,,,,,9153,2475,599,1432,303,141,6678,3140,1757,423,616,548,170,1383,135331,32595,2608,14747,7421,7819,102736,28086,10513,1229,5240,2618,1426,17573
ACSSF,2019e1,nc,000,0053,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70828,14654,2344,6139,3301,2870,56174,5345,1507,339,578,169,421,3838
ACSSF,2019e1,nc,000,0053,0000036,,,,,,,,61422,17483,2213,6478,2801,5991,43939,,,,,,,,70722,22828,2447,13600,5108,1673,47894,32146,14981,2926,6269,3051,2735,17165,494052,106832,12386,40603,21130,32713,387220,142816,48274,6726,24100,10489,6959,94542
ACSSF,2019e1,nc,000,0053,0000037,,,,,,,,,,,,,,,,,,,,,,3150,1479,0,517,368,594,1671,,,,,,,,75330,16136,2280,5925,3099,4832,59194,6508,2813,104,981,761,967,3695
ACSSF,2019e1,nc,000,0053,0000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44530,9122,941,3194,2368,2619,35408,,,,,,,
ACSSF,2019e1,nc,000,0053,0000039,,,,,,,,,,,,,,,,,,,,,,4362,1636,0,1023,332,281,2726,6601,3037,359,1249,290,1139,3564,176623,42322,3866,12649,6417,19390,134301,12968,5280,0,2838,995,1447,7688
ACSSF,2019e1,nc,000,0053,0000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11639,5088,962,2186,497,1443,6551,123706,31276,4108,11562,4294,11312,92430,23675,7919,303,3496,1078,3042,15756
ACSSF,2019e1,nc,000,0053,0000041,,,,,,,,11536,4660,285,742,668,2965,6876,,,,,,,,,,,,,,,2638,2105,253,1033,161,658,533,100798,33511,2724,7529,3998,19260,67287,12627,6091,888,2300,1322,1581,6536
ACSSF,2019e1,nc,000,0053,0000042,,,,,,,,,,,,,,,,,,,,,,8404,3126,469,1873,269,515,5278,6141,3426,184,1832,797,613,2715,95035,27367,1853,6703,3254,15557,67668,11249,4901,491,2656,484,1270,6348
ACSSF,2019e1,nc,000,0053,0000043,,,,,,,,,,,,,,,,,,,,,,6237,2197,418,960,485,334,4040,3434,1917,326,620,741,230,1517,111054,19862,1998,10306,4436,3122,91192,15922,6158,824,3560,723,1051,9764
ACSSF,2019e1,nc,000,0053,0000044,50528,13456,945,6274,3455,2782,37072,,,,,,,,,,,,,,,8255,3561,0,2192,1045,324,4694,,,,,,,,31212,5906,397,2204,1144,2161,25306,10725,4555,158,2817,1172,408,6170
ACSSF,2019e1,nc,000,0053,0000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63877,11872,1751,4683,3664,1774,52005,5710,2181,82,1314,715,70,3529
ACSSF,2019e1,nc,000,0053,0000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4356,2532,545,524,427,1036,1824,98043,21461,1989,8484,4671,6317,76582,11956,4512,1017,2098,1193,204,7444
ACSSF,2019e1,nc,000,0053,0000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54291,11405,1338,4564,2033,3470,42886,,,,,,,
ACSSF,2019e1,nc,000,0053,0000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58394,11359,1195,5166,2545,2453,47035,7905,2748,137,1852,619,140,5157
ACSSF,2019e1,nc,000,0053,0000049,,,,,,,,7659,2457,619,1051,219,568,5202,,,,,,,,6280,2870,215,2181,234,240,3410,5353,2271,388,678,829,376,3082,166928,45005,4872,19726,12588,7819,121923,26043,11033,1361,5540,2357,1775,15010
ACSSF,2019e1,nc,000,0053,0000050,,,,,,,,80649,23854,2184,9670,5096,6904,56795,,,,,,,,43738,14914,1055,8111,3460,2288,28824,24928,12663,2450,5753,1669,2791,12265,641691,160303,21900,57278,33332,47793,481388,108674,39507,5385,18387,8201,7534,69167
ACSSF,2019e1,nc,000,0053,0000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2629,1428,139,237,314,738,1201,63087,13604,1203,5492,2646,4263,49483,14123,5358,122,3274,1324,638,8765
ACSSF,2019e1,nc,000,0053,0000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57776,9920,1232,5029,2248,1411,47856,,,,,,,
ACSSF,2019e1,nc,000,0053,0000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37111,8063,847,2847,1803,2566,29048,8662,3021,122,1920,810,169,5641
ACSSF,2019e1,nc,000,0053,0000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69134,13709,2009,5518,2542,3640,55425,6457,2292,220,916,300,856,4165
ACSSF,2019e1,nc,000,0053,0000055,,,,,,,,33231,9570,891,4844,2415,1420,23661,,,,,,,,3180,1531,31,761,333,406,1649,,,,,,,,104535,26354,2430,11841,7672,4411,78181,10056,3352,317,1056,1006,973,6704
ACSSF,2019e1,nc,000,0053,0000056,,,,,,,,53025,15354,2129,5564,2157,5504,37671,,,,,,,,64575,21131,2245,12292,4980,1614,43444,25950,12311,2534,5822,1908,2047,13639,347538,70742,9025,25723,12936,23058,276796,123894,42816,5962,20769,9591,6494,81078
ACSSF,2019e1,nc,000,0053,0000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56282,13752,1435,4691,3950,3676,42530,12637,4211,252,2726,1097,136,8426
ACSSF,2019e1,nc,000,0053,0000058,,,,,,,,13709,4331,354,214,276,3487,9378,,,,,,,,8755,3562,577,1627,370,988,5193,8538,4197,1010,1516,769,902,4341,110070,22343,2661,6614,1890,11178,87727,33817,12437,876,6557,2703,2301,21380
ACSSF,2019e1,nc,000,0053,0000059,,,,,,,,6996,1529,274,820,0,435,5467,,,,,,,,6071,2099,204,856,276,763,3972,12220,5211,720,2184,949,1358,7009,73116,17082,1799,6184,1888,7211,56034,26278,8676,1373,3098,1386,2819,17602
ACSSF,2019e1,nc,000,0053,0000060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2741,1604,104,771,508,221,1137,38266,8968,646,4342,2167,1813,29298,8378,2831,47,1417,813,554,5547
ACSSF,2019e1,nc,000,0053,0000061,,,,,,,,16192,4063,596,931,1022,1514,12129,,,,,,,,9637,2804,272,1567,163,802,6833,11191,5562,588,3202,339,1433,5629,110885,22832,2028,6337,4193,10274,88053,26322,10714,1086,5949,1594,2085,15608
ACSSF,2019e1,nc,000,0053,0000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4383,2423,89,1329,392,613,1960,43895,15877,817,1529,578,12953,28018,,,,,,,
ACSSF,2019e1,nc,000,0053,0000063,,,,,,,,7553,2965,471,1170,647,677,4588,,,,,,,,,,,,,,,3630,2105,52,826,754,473,1525,48542,10151,982,3312,2180,3677,38391,10490,4884,609,1817,1685,773,5606
ACSSF,2019e1,nc,000,0053,0000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35335,8351,790,3089,808,3664,26984,15664,6167,167,2462,878,2660,9497
ACSSF,2019e1,nc,000,0053,0000065,,,,,,,,18553,6022,409,1971,229,3413,12531,,,,,,,,27024,8256,741,5462,748,1305,18768,10508,3824,542,1967,608,707,6684,242538,59632,8352,15742,8535,27003,182906,56408,18951,1981,10807,3015,3148,37457
ACSSF,2019e1,nc,000,0053,0000066,,,,,,,,,,,,,,,,,,,,,,2647,1244,0,716,332,196,1403,3306,1176,0,477,48,651,2130,85851,23187,1997,4703,2302,14185,62664,8019,3509,0,1768,627,1114,4510
ACSSF,2019e1,nc,000,0053,0000067,,,,,,,,5182,1710,251,613,152,694,3472,,,,,,,,5549,2092,209,587,725,571,3457,6610,3692,487,1787,794,624,2918,105855,26084,2454,8714,4798,10118,79771,38102,15958,2227,8940,3073,1718,22144
ACSSF,2019e1,nc,000,0053,0000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69134,13709,2009,5518,2542,3640,55425,6457,2292,220,916,300,856,4165
ACSSF,2019e1,nc,000,0053,0000069,,,,,,,,53025,15354,2129,5564,2157,5504,37671,,,,,,,,64575,21131,2245,12292,4980,1614,43444,25950,12311,2534,5822,1908,2047,13639,347538,70742,9025,25723,12936,23058,276796,123894,42816,5962,20769,9591,6494,81078
ACSSF,2019e1,nc,000,0053,0000070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56282,13752,1435,4691,3950,3676,42530,12637,4211,252,2726,1097,136,8426
ACSSF,2019e1,nc,000,0053,0000071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2741,1604,104,771,508,221,1137,38266,8968,646,4342,2167,1813,29298,8378,2831,47,1417,813,554,5547
ACSSF,2019e1,nc,000,0053,0000072,,,,,,,,13509,4331,354,214,276,3487,9178,,,,,,,,8755,3562,577,1627,370,988,5193,8538,4197,1010,1516,769,902,4341,109888,22343,2661,6614,1890,11178,87545,33817,12437,876,6557,2703,2301,21380
ACSSF,2019e1,nc,000,0053,0000073,,,,,,,,6996,1529,274,820,0,435,5467,,,,,,,,6071,2099,204,856,276,763,3972,12220,5211,720,2184,949,1358,7009,73116,17082,1799,6184,1888,7211,56034,26278,8676,1373,3098,1386,2819,17602
ACSSF,2019e1,nc,000,0053,0000074,,,,,,,,16192,4063,596,931,1022,1514,12129,,,,,,,,9637,2804,272,1567,163,802,6833,11191,5562,588,3202,339,1433,5629,110885,22832,2028,6337,4193,10274,88053,26322,10714,1086,5949,1594,2085,15608
ACSSF,2019e1,nc,000,0053,0000075,,,,,,,,7553,2965,471,1170,647,677,4588,,,,,,,,,,,,,,,3367,2019,52,826,668,473,1348,45884,9475,805,3104,2023,3543,36409,10490,4884,609,1817,1685,773,5606
ACSSF,2019e1,nc,000,0053,0000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4383,2423,89,1329,392,613,1960,43895,15877,817,1529,578,12953,28018,,,,,,,
ACSSF,2019e1,nc,000,0053,0000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35335,8351,790,3089,808,3664,26984,15664,6167,167,2462,878,2660,9497
ACSSF,2019e1,nc,000,0053,0000078,,,,,,,,33231,9570,891,4844,2415,1420,23661,,,,,,,,3180,1531,31,761,333,406,1649,,,,,,,,101857,26249,2325,11841,7672,4411,75608,9978,3352,317,1056,1006,973,6626
ACSSF,2019e1,nc,000,0053,0000079,,,,,,,,18336,5948,335,1971,229,3413,12388,,,,,,,,27024,8256,741,5462,748,1305,18768,10121,3824,542,1967,608,707,6297,241698,59632,8352,15742,8535,27003,182066,56408,18951,1981,10807,3015,3148,37457
ACSSF,2019e1,nc,000,0053,0000080,,,,,,,,,,,,,,,,,,,,,,2647,1244,0,716,332,196,1403,3306,1176,0,477,48,651,2130,85851,23187,1997,4703,2302,14185,62664,8019,3509,0,1768,627,1114,4510
ACSSF,2019e1,nc,000,0053,0000081,,,,,,,,5182,1710,251,613,152,694,3472,,,,,,,,5549,2092,209,587,725,571,3457,6610,3692,487,1787,794,624,2918,105855,26084,2454,8714,4798,10118,79771,38102,15958,2227,8940,3073,1718,22144
ACSSF,2019e1,nc,000,0053,0000082,4042,934,67,495,303,69,3108,13766,4914,451,415,322,3726,8852,,,,,,,,24167,8332,512,4614,1489,1717,15835,17949,8237,1294,3362,1274,2307,9712,309857,64646,6563,19616,10181,28286,245211,64508,22975,1334,13324,4436,3881,41533
