ACSSF,2019m1,nc,000,0018,0000011,3468,1751,2799,2560,3293,3171,2404,3417,2801,2754,2069,2432,2060,3005,2546,1966,6539,2056,3493,2447,3118,3044,2404,3034,2608,2605,2019,2369,2164,3103,2456,2171,4372,756,1775,484,1191,993,994,1193,453,592,427,550,519,345,359,548,3041,630,870,599,914,785,662,591,614,670,926,456,801,271,481,496,2978,593,1346,435,345,759,538,264,316,207,433,461,625,514,418,638,901,216,604,216,174,216,209,216,280,207,78,18,216,216,16,84,3468,1751,2799,3802,4172,3242,3431,2183,2266,1966,6539,2056,3493,3638,4067,3245,3279,2630,2387,2171,4372,756,1775,1280,1566,1312,704,739,491,548,3041,630,870,922,1062,887,1353,995,614,496,2978,593,1346,533,1067,407,521,790,713,638,901,216,604,174,209,280,222,18,16,84
ACSSF,2019m1,nc,000,0018,0000012,3148,3255,3556,4123,5003,4482,4579,6561,5210,3577,3461,4547,4346,4671,4089,2412,12046,3884,5821,3998,5022,4225,4463,5987,5175,3898,3504,4710,4131,4426,3963,2884,9003,2263,3262,1544,2489,1853,2089,1704,1600,1263,1170,1113,1114,820,641,1442,5610,1160,2083,1508,1877,1695,1328,1185,941,1141,1428,906,1076,855,573,850,4504,935,1986,869,1115,1298,1196,818,522,504,784,1088,964,700,584,821,1661,208,750,129,230,405,542,408,746,303,78,292,58,12,73,283,3148,3255,3556,4779,6011,5170,4246,2350,3318,2412,12046,3884,5821,6106,5800,5225,4823,3352,3538,2884,9003,2263,3262,2950,3050,2467,1527,1591,1010,1442,5610,1160,2083,2333,2119,1535,1982,1444,1068,850,4504,935,1986,1446,1763,880,1059,1479,965,821,1661,208,750,270,666,849,311,293,75,283
ACSSF,2019m1,nc,000,0018,0000013,809,786,109,1044,1175,851,961,1678,1425,679,606,1381,1180,1302,1054,262,4609,951,1739,1070,1544,1375,1193,1675,1396,961,663,1467,1087,1304,1083,549,3045,302,1123,335,1003,697,448,604,632,396,286,155,102,89,249,447,3265,369,1856,317,503,809,602,847,317,484,14,295,461,100,396,155,1202,101,418,408,130,442,216,436,250,201,84,356,61,325,65,144,361,216,216,216,219,216,216,209,35,150,216,216,216,216,216,65,809,786,109,893,1284,1204,837,753,659,262,4609,951,1739,1596,1959,1739,1238,1090,932,549,3045,302,1123,1110,825,1042,591,213,285,447,3265,369,1856,548,1072,991,485,539,396,155,1202,101,418,427,442,485,223,362,328,144,361,216,216,219,216,214,150,216,216,65
ACSSF,2019m1,nc,000,0018,0000014,488,681,458,880,957,1190,1266,1181,1271,293,334,1351,1370,1602,1379,754,3841,690,1499,908,769,1148,1346,1066,1402,927,626,1347,1357,1571,1324,869,1946,403,491,208,23,802,400,441,317,444,170,262,319,697,170,115,2618,394,1284,216,486,537,531,529,562,710,161,160,370,314,325,175,2197,297,580,214,204,90,419,391,798,570,475,377,428,544,337,294,288,216,216,216,216,216,216,216,216,216,93,216,216,216,145,127,488,681,458,956,1177,569,423,783,708,754,3841,690,1499,933,1540,1226,1233,1172,1344,869,1946,403,491,212,941,519,553,423,721,115,2618,394,1284,486,753,754,672,425,429,175,2197,297,580,293,409,849,711,606,587,294,288,216,216,216,216,216,93,216,145,127
ACSSF,2019m1,nc,000,0018,0000015,594,987,1033,827,845,858,1388,2767,2250,1375,831,2268,2158,1645,1649,719,4189,1074,1603,960,1165,1116,1399,2818,2156,1703,1704,2179,2176,1709,1593,1028,3104,81,1115,231,433,540,1026,466,1039,781,608,492,183,152,260,529,2160,228,381,622,344,336,302,430,1041,684,352,279,166,130,246,284,1931,436,410,190,518,452,697,562,139,180,247,321,242,221,120,140,1255,216,175,30,176,325,216,216,245,216,1136,216,216,216,216,216,594,987,1033,1194,1620,1731,1474,878,838,719,4189,1074,1603,1540,1747,2467,2440,1066,956,1028,3104,81,1115,569,1204,1185,1033,500,261,529,2160,228,381,716,504,1068,776,371,233,284,1931,436,410,545,899,628,278,386,250,140,1255,216,175,177,325,245,1136,216,216,216
ACSSF,2019m1,nc,000,0018,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0018,0000017,1057,1215,400,1741,2257,1391,2059,1991,2084,967,1111,1336,1325,1622,1556,627,5036,1405,1646,1717,1941,1477,2384,2038,2077,1273,1223,1298,1274,1578,1379,934,4298,1030,1479,541,616,974,942,531,520,575,263,586,221,453,333,591,2564,515,653,515,712,717,662,540,461,626,424,359,182,507,125,391,1492,153,270,216,381,399,703,256,328,573,116,370,83,105,216,186,265,216,216,216,216,216,191,176,216,216,216,216,216,216,216,216,1057,1215,400,1652,2507,2035,893,367,583,627,5036,1405,1646,1964,2798,2186,1381,821,906,934,4298,1030,1479,822,1448,791,629,673,549,591,2564,515,653,1001,1036,839,750,410,514,391,1492,153,270,381,671,434,592,369,105,186,265,216,216,216,191,176,216,216,216,216
ACSSF,2019m1,nc,000,0018,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0018,0000019,405,559,381,677,745,188,272,758,627,337,432,756,620,673,641,245,2108,610,684,748,665,359,564,685,699,494,524,798,633,757,621,315,1693,130,478,361,191,238,232,232,335,210,387,257,165,383,269,332,1192,337,396,216,230,89,194,385,239,293,112,183,191,113,79,152,867,89,134,216,407,141,424,216,144,82,154,105,208,182,335,220,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,405,559,381,586,336,444,535,541,290,245,2108,610,684,746,752,591,705,718,663,315,1693,130,478,403,355,521,443,332,482,332,1192,337,396,230,227,455,305,304,142,152,867,89,134,407,438,144,193,239,334,220,216,216,216,216,216,216,216,216,216,216
ACSSF,2019m1,nc,000,0018,0000020,1043,1031,890,939,877,996,1139,1342,1649,872,801,1342,1271,1215,1142,462,3684,1107,1396,959,1214,1279,1491,1282,1557,900,891,1338,1174,1211,1114,570,3008,735,1049,331,546,584,641,347,365,350,476,296,447,269,173,299,1821,474,406,216,589,792,364,384,420,281,562,396,192,98,52,166,844,172,255,72,216,216,421,218,154,272,153,167,420,143,151,116,532,216,225,89,216,216,117,123,152,216,216,216,102,216,108,216,1043,1031,890,881,1559,1383,1104,524,623,462,3684,1107,1396,1141,2011,1373,1323,807,754,570,3008,735,1049,612,988,518,583,495,336,299,1821,474,406,589,876,554,634,445,114,166,844,172,255,72,421,273,298,448,273,116,532,216,225,89,117,191,216,102,108,216
