ACSSF,2019e1,nc,000,0180,0000011,593806,675,593131,593806,9364,584442,593806,6015,587791,593806,14738,579068,593806,558366,36023,522343,35440,5624,29816,38424,2984,424,2560,35440,9385,26055,,,,,,,,11591,4454,7137,593806,57947,535859,587837,54260,533577,587837,61469,11989,1078,10911,49480,526368,235800,29952,205848,235800,41275,2498,38777,194525,235800,218792,31241,187551,17008,235800,226176,52952,173224,9624,235800,226176,40493,185683,9624,234560,2774,231786
ACSSF,2019e1,nc,000,0180,0000012,1988223,2076,1986147,1988223,32054,1956169,1988223,20386,1967837,1988223,48044,1940179,1988223,1896504,117743,1778761,91719,10476,81243,105873,14154,1644,12510,91719,19832,71887,,,,,,,,33941,9420,24521,1988223,203960,1784263,1967412,165661,1801751,1967412,235939,44756,3366,41390,191183,1731473,821641,93775,727866,821641,128936,9268,119668,692705,821641,755516,100190,655326,66125,821641,786733,167455,619278,34908,821641,786733,130930,655803,34908,816661,11424,805237
ACSSF,2019e1,nc,000,0180,0000013,169509,0,169509,169509,2067,167442,169509,1105,168404,169509,2942,166567,169509,154868,13000,141868,14641,2472,12169,15417,776,62,714,14641,3065,11576,,,,,,,,5682,2108,3574,169509,18690,150819,166988,18137,148851,166988,23475,5784,59,5725,17691,143513,82487,10187,72300,82487,12258,1040,11218,70229,82487,78137,12193,65944,4350,82487,79739,16469,63270,2748,82487,79739,12209,67530,2748,82277,767,81510
ACSSF,2019e1,nc,000,0180,0000014,142820,290,142530,142820,1423,141397,142820,1431,141389,142820,3455,139365,142820,137681,9702,127979,5139,160,4979,5821,682,46,636,5139,417,4722,,,,,,,,3163,388,2775,142820,14765,128055,141363,12752,128611,141363,19865,2859,0,2859,17006,121498,58383,9107,49276,58383,9968,194,9774,48415,58383,53411,9186,44225,4972,58383,54415,14008,40407,3968,58383,54415,10596,43819,3968,58359,207,58152
ACSSF,2019e1,nc,000,0180,0000015,261191,277,260914,261191,3233,257958,261191,2012,259179,261191,4338,256853,261191,240646,12578,228068,20545,353,20192,22767,2222,277,1945,20545,3386,17159,,,,,,,,7718,1338,6380,261191,22058,239133,259484,16320,243164,259484,29925,4123,252,3871,25802,229559,127820,12237,115583,127820,16291,830,15461,111529,127820,107630,11616,96014,20190,127820,113462,22157,91305,14358,127820,113462,15836,97626,14358,126553,1162,125391
ACSSF,2019e1,nc,000,0180,0000016,90485,0,90485,90485,1587,88898,90485,1552,88933,90485,1943,88542,90485,83873,2597,81276,6612,441,6171,7434,822,97,725,6612,874,5738,,,,,,,,2703,595,2108,90485,6198,84287,89708,3808,85900,89708,11477,1295,20,1275,10182,78231,39356,3197,36159,39356,3640,12,3628,35716,39356,36993,3657,33336,2363,39356,37528,6235,31293,1828,39356,37528,3652,33876,1828,39339,449,38890
ACSSF,2019e1,nc,000,0180,0000017,216453,520,215933,216453,4295,212158,216453,4194,212259,216453,6324,210129,216453,195160,21489,173671,21293,3105,18188,23312,2019,219,1800,21293,5608,15685,,,,,,,,11691,3400,8291,216453,29907,186546,213409,26962,186447,213409,25594,5560,127,5433,20034,187815,109059,17238,91821,109059,24069,1760,22309,84990,109059,96594,17955,78639,12465,109059,102203,31557,70646,6856,109059,102203,24604,77599,6856,108994,1442,107552
ACSSF,2019e1,nc,000,0180,0000018,82178,0,82178,82178,2420,79758,82178,497,81681,82178,1266,80912,82178,79689,2290,77399,2489,11,2478,2848,359,48,311,2489,481,2008,,,,,,,,822,107,715,82178,4859,77319,81953,3209,78744,81953,9560,598,0,598,8962,72393,37838,2499,35339,37838,3037,77,2960,34801,37838,35638,2678,32960,2200,37838,36922,5121,31801,916,37838,36922,2879,34043,916,37836,125,37711
ACSSF,2019e1,nc,000,0180,0000019,69473,280,69193,69473,443,69030,69473,1034,68439,69473,1464,68009,69473,67254,5130,62124,2219,445,1774,3057,838,110,728,2219,761,1458,,,,,,,,1247,339,908,69473,7053,62420,68943,6382,62561,68943,11356,1514,74,1440,9842,57587,32247,3922,28325,32247,4981,187,4794,27266,32247,30056,3904,26152,2191,32247,30840,6486,24354,1407,32247,30840,4822,26018,1407,32062,125,31937
ACSSF,2019e1,nc,000,0180,0000020,159551,80,159471,159551,4069,155482,159551,1145,158406,159551,2330,157221,159551,148545,9378,139167,11006,1169,9837,12420,1414,71,1343,11006,1830,9176,,,,,,,,4917,1324,3593,159551,14406,145145,157702,12527,145175,157702,18376,2752,496,2256,15624,139326,77211,6285,70926,77211,8652,376,8276,68559,77211,70770,6402,64368,6441,77211,74402,10028,64374,2809,77211,74402,8587,65815,2809,77005,228,76777
ACSSF,2019e1,nc,000,0180,0000021,74470,550,73920,74470,725,73745,74470,1153,73317,74470,1051,73419,74470,65326,2991,62335,9144,1822,7322,9767,623,0,623,9144,2532,6612,,,,,,,,2563,430,2133,74470,6106,68364,73865,6061,67804,73865,5902,657,0,657,5245,67963,33890,2537,31353,33890,3181,182,2999,30709,33890,30613,2863,27750,3277,33890,31461,5196,26265,2429,33890,31461,3164,28297,2429,33887,378,33509
ACSSF,2019e1,nc,000,0180,0000022,97947,0,97947,97947,1073,96874,97947,545,97402,97947,2590,95357,97947,95007,4175,90832,2940,6,2934,3006,66,0,66,2940,570,2370,,,,,,,,1728,323,1405,97947,8078,89869,96967,6379,90588,96967,10155,3485,155,3330,6670,86812,39748,3584,36164,39748,5373,672,4701,34375,39748,36733,3152,33581,3015,39748,39257,12344,26913,491,39748,39257,9724,29533,491,39731,656,39075
