ACSSF,2019e1,nc,000,0172,0000011,314154,226338,216636,170619,156520,19906,46017,9702,3907,2034,2128,5795,87816,68938,37248,42397,18878,314154,165836,89410,68269,59453,8787,285,2392,21141,76426,66962,56073,8088,817,5308,9464,65448,27401,16471,8546,4109,487,3724,10930,38047,27304,15249,5142,780,7296,10743,82870,36080,28370,8428,4181,10071,13147,7710,46790,36088,11749,8828,10128,15250,10702,314154,165836,89410,66644,22766,76426,62169,14257,65448,27401,12884,14517,38047,20544,17503,82870,36080,13123,22957,46790,20438,26352,314154,165836,89410,4026,85384,76426,6568,69858,65448,27401,4711,22690,38047,8223,29824,82870,36080,20529,15551,46790,20374,26416,570753,113804,96659,35517,82675,17145,154834,125350,71279,83309,29484,125088,109042,84390,49136,16046,70554,60712,50035,22355,9842,106473,100385,90288,28589,6088,314154,165836,135231,115526,16875,1102,7700,30605,65448,43775,23795,9251,1267,11020,21673,82870,64458,20177,13009,20199,28397,18412,314154,165836,128813,37023,65448,33428,32020,82870,33561,49309,314154,165836,10594,155242,65448,12934,52514,82870,40903,41967
ACSSF,2019e1,nc,000,0172,0000012,1095220,795662,752809,615266,573163,65029,137543,42853,22186,12759,11106,20667,299558,235657,126839,136569,63901,1095220,564449,305845,244961,209527,31444,2024,8195,60884,258604,228765,195336,25780,1513,13113,29839,250081,107879,71621,43992,16259,2374,11690,36258,142202,111479,62482,22095,3621,28388,30723,280690,114919,88833,26443,14351,26808,40146,26086,165771,127450,40242,26906,31904,54890,38321,1095220,564449,305845,237816,68029,258604,217129,41475,250081,107879,60562,47317,142202,86127,56075,280690,114919,42707,72212,165771,68420,97351,1095220,564449,305845,16674,289171,258604,16436,242168,250081,107879,16260,91619,142202,31246,110956,280690,114919,59930,54989,165771,72158,93613,1921090,395950,336937,119362,280184,59013,484569,399057,233280,254260,85512,376929,327140,251119,139486,49789,260146,228923,194316,74117,31223,403496,380780,345438,97813,22716,1095220,564449,473726,404863,57224,3537,21308,90723,250081,183100,106474,38354,5995,40078,66981,280690,216283,66685,41257,58712,95036,64407,1095220,564449,454945,109504,250081,146689,103392,280690,111127,169563,1095220,564449,33110,531339,250081,47506,202575,280690,132088,148602
ACSSF,2019e1,nc,000,0172,0000013,99074,77839,75159,65387,60422,6796,9772,2680,1560,832,728,1120,21235,16432,11714,6773,4803,99074,57248,30859,26269,21799,3441,44,1100,4590,26389,24376,20713,2524,45,1423,2013,22577,9272,6366,3931,1860,38,777,2906,13305,11485,7328,1659,364,2730,1820,19249,6634,5521,2535,838,1400,1876,1113,12615,9362,4138,2453,1993,2294,3253,99074,57248,30859,25067,5792,26389,22963,3426,22577,9272,5719,3553,13305,9087,4218,19249,6634,3479,3155,12615,6653,5962,99074,57248,30859,2113,28746,26389,1623,24766,22577,9272,1029,8243,13305,2878,10427,19249,6634,2890,3744,12615,3764,8851,165000,24431,20772,6867,17755,3659,33439,28459,16528,18640,4980,33634,30443,24118,10517,3191,28602,27248,24289,6018,1354,44894,41287,38007,6582,3607,99074,57248,50645,42512,5965,89,2523,6603,22577,17851,11259,3519,402,3507,4726,19249,14883,6673,3291,3393,4170,4366,99074,57248,48030,9218,22577,14806,7771,19249,10132,9117,99074,57248,3736,53512,22577,3907,18670,19249,6654,12595
ACSSF,2019e1,nc,000,0172,0000014,72445,52567,49777,42244,39372,4988,7533,2790,1843,1234,919,947,19878,16470,12799,5796,3408,72445,35495,18731,15750,12961,2900,197,565,2981,16764,15525,13012,2126,0,1141,1239,18601,8313,5700,3893,1386,73,762,2613,10288,8039,4557,2405,377,1729,2249,18349,7180,6266,2918,1489,1955,1274,914,11169,9277,4932,2164,1409,1687,1892,72445,35495,18731,15449,3282,16764,14461,2303,18601,8313,4887,3426,10288,6489,3799,18349,7180,4673,2507,11169,7446,3723,72445,35495,18731,1450,17281,16764,1264,15500,18601,8313,1180,7133,10288,2110,8178,18349,7180,3104,4076,11169,2595,8574,141758,15460,13322,6538,10884,2138,28410,24892,16637,16028,3518,28523,25531,20446,14518,2992,20716,19030,16216,10432,1686,48649,45875,40379,16864,2774,72445,35495,31275,25973,5026,197,1706,4220,18601,13739,8450,3791,450,2491,4862,18349,15543,7850,3653,3364,2961,2806,72445,35495,29910,5585,18601,11376,7225,18349,12119,6230,72445,35495,2714,32781,18601,3290,15311,18349,5699,12650
ACSSF,2019e1,nc,000,0172,0000015,154390,119972,117932,95089,90202,6626,22843,2040,1382,850,727,658,34418,28101,17897,13027,6317,154390,83521,46575,37948,31244,4958,252,1287,8627,36946,32366,27356,4264,0,829,4580,39830,16288,11371,5887,4592,201,1315,4917,23542,17493,9864,5463,314,2689,6049,31039,11113,8790,3473,1798,1902,3041,2323,19926,16604,6379,3645,2022,6537,3322,154390,83521,46575,36218,10357,36946,31510,5436,39830,16288,10279,6009,23542,15096,8446,31039,11113,5563,5550,19926,10283,9643,154390,83521,46575,2349,44226,36946,980,35966,39830,16288,1768,14520,23542,2844,20698,31039,11113,4652,6461,19926,7787,12139,254023,39569,31937,13550,23466,7632,54101,44956,28548,23763,9145,54456,44327,36421,14164,10129,33572,30349,25823,7823,3223,72325,68534,61572,16174,3791,154390,83521,70314,58600,9222,252,2116,13207,39830,28864,15751,10055,515,4004,10966,31039,25394,9852,5443,3924,9578,5645,154390,83521,67728,15793,39830,25375,14455,31039,15846,15193,154390,83521,3329,80192,39830,4612,35218,31039,12439,18600
ACSSF,2019e1,nc,000,0172,0000016,52165,38527,37149,31344,29576,3083,5805,1378,797,259,574,581,13638,10348,5132,6232,3290,52165,28270,16109,13181,11854,2425,43,484,2928,12161,10874,9943,1073,107,599,1287,12084,5466,4260,2128,1385,102,751,1206,6618,4786,3343,871,0,1411,1832,11811,4862,3688,1063,251,1870,1610,1174,6949,5700,2167,1214,1553,2590,1249,52165,28270,16109,12986,3123,12161,10468,1693,12084,5466,3509,1957,6618,3700,2918,11811,4862,1314,3548,6949,2990,3959,52165,28270,16109,921,15188,12161,706,11455,12084,5466,751,4715,6618,1499,5119,11811,4862,3025,1837,6949,2987,3962,87584,18058,14291,5148,12276,3767,22297,19248,11461,11364,3049,20176,18042,15138,7554,2134,9704,9161,7132,3348,543,17349,16591,14915,3673,758,52165,28270,24055,21797,3498,150,1083,4215,12084,9046,5471,2256,102,2162,3038,11811,9388,3230,1465,3423,4200,2423,52165,28270,23454,4816,12084,7209,4875,11811,4304,7507,52165,28270,1627,26643,12084,2250,9834,11811,6012,5799
ACSSF,2019e1,nc,000,0172,0000017,126462,106038,102582,91167,88268,6724,11415,3456,1728,1497,511,1728,20424,17384,11329,7671,3040,126462,75638,40315,36339,33324,3231,146,1027,3976,35323,32972,29713,3466,130,1953,2351,33461,15421,11059,9369,1522,81,1230,4362,18040,15752,10926,2262,55,2900,2288,17363,6502,4450,943,1134,1479,1442,2052,10861,9707,5094,1606,1641,3243,1154,126462,75638,40315,35706,4609,35323,32480,2843,33461,15421,10567,4854,18040,13047,4993,17363,6502,2184,4318,10861,7110,3751,126462,75638,40315,1800,38515,35323,2145,33178,33461,15421,1381,14040,18040,2900,15140,17363,6502,2826,3676,10861,3854,7007,214485,17712,15001,6873,11247,2711,36460,31630,19665,17452,4830,35214,33169,27048,9934,2045,36562,32740,28335,7327,3822,88537,82209,76051,11592,6328,126462,75638,69311,63037,6697,276,2980,6327,33461,26811,20295,3784,136,4130,6650,17363,14157,6037,2740,3120,4685,3206,126462,75638,68186,7452,33461,23614,9847,17363,9294,8069,126462,75638,3945,71693,33461,4281,29180,17363,6680,10683
ACSSF,2019e1,nc,000,0172,0000018,47337,36237,34805,28221,26855,2684,6584,1432,578,77,501,854,11100,8964,4181,5856,2136,47337,26941,15060,13001,11841,1236,91,394,2059,11881,10329,9163,712,118,717,1552,9871,3202,1864,1141,299,164,260,1338,6669,4811,2310,724,325,1316,1858,10525,4370,3296,258,703,1644,1559,1074,6155,4462,1832,1009,1393,1446,1693,47337,26941,15060,12719,2341,11881,10119,1762,9871,3202,1440,1762,6669,2968,3701,10525,4370,974,3396,6155,2893,3262,47337,26941,15060,574,14486,11881,1016,10865,9871,3202,495,2707,6669,2047,4622,10525,4370,2604,1766,6155,2305,3850,81059,10917,8300,2549,7462,2617,22887,18992,10897,11845,3895,18269,16794,11508,6480,1475,15187,12705,10386,3835,2482,13799,13605,12109,4111,194,47337,26941,23330,21004,1948,209,1111,3611,9871,6675,3451,1023,489,1576,3196,10525,7758,2090,1712,3037,3005,2767,47337,26941,22838,4103,9871,4408,5463,10525,3867,6658,47337,26941,1590,25351,9871,2542,7329,10525,4909,5616
ACSSF,2019e1,nc,000,0172,0000019,37496,28463,27315,22760,21655,1883,4555,1148,978,610,392,170,9033,7495,5742,2708,1538,37496,19268,10146,8622,6953,1396,86,112,1524,9122,7647,6559,994,0,203,1475,11151,4401,2920,1475,829,177,327,1481,6750,5836,3247,969,203,1280,914,7077,2902,2660,1088,922,838,549,242,4175,3548,1790,802,631,667,627,37496,19268,10146,8453,1693,9122,7479,1643,11151,4401,2639,1762,6750,4684,2066,7077,2902,1938,964,4175,2814,1361,37496,19268,10146,645,9501,9122,203,8919,11151,4401,503,3898,6750,1348,5402,7077,2902,1226,1676,4175,1058,3117,67876,7971,6447,3188,5187,1524,13511,11968,7683,7480,1543,12711,10818,8458,4909,1893,10338,9526,7456,4158,812,23345,21885,20269,5001,1460,37496,19268,16269,13512,2390,86,315,2999,11151,8756,4722,1798,380,1607,2395,7077,6208,2878,1724,1469,1216,869,37496,19268,15932,3336,11151,7323,3828,7077,4752,2325,37496,19268,848,18420,11151,1851,9300,7077,2284,4793
ACSSF,2019e1,nc,000,0172,0000020,93065,73729,70475,58723,56606,3620,11752,3254,1663,1030,650,1591,19336,13545,7843,6699,5791,93065,55737,30761,26510,23999,3267,179,208,4251,24976,21880,19590,2224,28,630,3096,19044,8159,5091,3653,962,64,685,3068,10885,8099,5908,949,176,1334,2786,18284,6262,4560,1475,693,1130,1609,1702,12022,7791,3059,1868,1935,3357,4231,93065,55737,30761,26227,4534,24976,21203,3773,19044,8159,4615,3544,10885,6779,4106,18284,6262,2160,4102,12022,4495,7527,93065,55737,30761,1128,29633,24976,904,24072,19044,8159,722,7437,10885,1505,9380,18284,6262,2836,3426,12022,3874,8148,156475,25312,19274,6718,15698,6038,32851,27741,17042,15883,5110,32982,28376,21893,9320,4606,22355,18527,14790,5729,3828,42975,37519,33875,7573,5456,93065,55737,48390,43589,5491,207,838,7347,19044,13190,9561,1911,240,2019,5854,18284,12351,4534,2561,3065,4966,5933,93065,55737,47430,8307,19044,11394,7650,18284,6655,11629,93065,55737,2032,53705,19044,2227,16817,18284,6710,11574
