ACSSF,2019m1,nc,000,0044,0000011,2886,2921,1558,1450,1144,2343,2515,2406,1942,289,3504,4357,1405,972,812,2386,3293,3816,1928,731,600,373,1147,562,3606,713,1151,320,2372,1940,2921,4341,2982,1545,3609,2921,4621,4591,3124,772,4090,246,4498,4535,4066,2073,2974,463,2921,3504,3679,891,1412,2344,799,875,3698,4059,5188,4234,2640,4017,4533,2892,4421,3887,511,1966,181,6253,6126,1009,1763,2836,1458,1364,797,640,1600,630,2406,2204,2675,2926,3717,2765,2287,1829,2040,1045,504,1206,379,2907,2839,1760,1680,511,2274,2265,344,778,864,4212,3897,7753,3753,5349,4073,2978,3671,1069,3465,2596,4379,2445,1914,4109,2787,5232,3024,2840,3217,1607,2926,2846,3703,698,794,1856,1111,3698,4059,5188,4234,4533,3832,2020,6253,2836,1458,1364,1997,2413,2204
ACSSF,2019m1,nc,000,0044,0000012,2607,2703,2595,3075,2255,3949,4115,4468,2745,731,5938,7271,2447,2317,1470,3910,5476,7939,4899,1489,1236,781,2251,2150,7601,2014,2049,1253,4248,3798,2692,7791,5973,3494,7424,2703,7323,7409,5410,3331,6419,525,7077,7128,7539,4163,5376,1738,2692,5938,6128,1899,2988,3959,2289,2584,2195,4243,8383,7862,4029,8097,7572,4642,8033,8275,896,3749,581,11633,11943,2221,3703,4968,3265,2891,1252,1691,3181,1154,5466,3818,2823,3027,6153,4518,3673,3471,3857,2438,768,1963,566,5625,5090,3081,3016,1082,3499,3440,708,2036,1176,4662,6511,15766,7594,9951,8208,7225,5709,2709,5306,4651,7029,4967,3992,6441,4905,10326,5465,5847,5685,4716,3027,4971,6653,1486,1023,3760,2773,2195,4243,8383,7862,7572,8129,3899,11633,4968,3265,2891,4132,5450,3818
ACSSF,2019m1,nc,000,0044,0000013,0,19,966,964,710,1318,1201,1232,110,18,1362,2254,807,541,634,1464,1364,2223,1863,741,133,75,1183,593,2134,937,865,429,1250,1046,19,2271,2327,836,1563,19,2802,2803,1046,1361,2248,16,2801,2823,2247,1547,964,329,19,1362,1678,365,1404,986,901,422,0,634,1763,2012,1185,2063,2210,1842,2398,1854,76,1236,282,2604,2856,353,1759,1219,668,1264,467,378,937,16,1677,634,697,754,1621,1029,969,770,1057,692,464,273,58,1417,1338,798,796,127,1012,947,255,309,262,633,2241,3631,2612,2441,2775,2099,1076,1126,1627,1351,2060,1611,1326,1155,1557,2772,1708,1156,1623,1405,754,1298,1795,464,13,1069,255,0,634,1763,2012,2210,1851,1271,2604,1219,668,1264,1175,1678,634
ACSSF,2019m1,nc,000,0044,0000014,378,378,555,630,606,1216,579,912,746,21,1145,1734,575,517,430,1407,1278,1359,588,289,243,46,281,297,1432,412,351,316,616,778,422,1591,589,751,1499,378,1913,1918,1986,735,1129,136,2024,2024,1798,543,993,216,422,1145,1350,349,729,1060,190,120,0,657,2550,2130,1431,1757,2906,1626,2711,2105,87,768,159,2851,3101,515,1809,1390,903,1071,356,649,1247,216,1575,657,662,737,1594,1116,1193,1061,941,747,356,685,261,1622,1351,834,726,240,931,934,221,780,268,774,2149,4209,1499,2723,2579,1753,884,692,1714,845,1440,1234,827,836,1552,2665,1056,1776,1446,1386,737,1263,1826,556,512,1045,831,0,657,2550,2130,2906,2100,794,2851,1390,903,1071,1476,1575,657
ACSSF,2019m1,nc,000,0044,0000015,609,646,839,1266,976,1238,1695,1570,743,165,1975,2959,866,1256,902,1777,1978,2282,1129,255,175,126,582,785,2028,369,685,504,1208,943,646,2712,1506,1224,2136,646,1919,1919,1613,919,872,216,1997,2023,2895,986,2252,307,646,1975,2101,625,757,1186,1103,763,0,1421,3462,2842,1679,2939,2929,2117,2973,3157,576,1319,430,3866,4055,951,905,1419,1302,1630,723,989,1358,254,3571,1421,942,991,2011,1225,1059,1207,1323,655,312,710,537,1817,1862,979,1005,295,1347,1362,321,959,454,1217,2860,6494,2927,2922,3112,4268,1500,1270,2606,1631,2262,1855,2821,1459,2020,4819,2151,1580,2031,1893,991,1901,2285,594,326,1023,1199,0,1421,3462,2842,2929,3172,1424,3866,1419,1302,1630,1871,3537,1421
ACSSF,2019m1,nc,000,0044,0000016,76,171,648,465,422,678,679,692,325,147,703,1410,536,394,308,874,813,1462,1042,162,138,277,301,452,1500,480,224,109,657,595,171,1564,1076,260,1484,171,1429,1433,1339,1046,1233,94,1453,1453,1518,446,785,216,171,703,1125,714,329,598,310,168,0,904,1496,1692,881,1763,1599,1176,1634,1856,196,765,216,2089,2188,788,488,785,609,744,216,271,499,216,1275,904,500,561,1167,865,763,833,692,623,216,194,44,1031,1006,591,573,90,782,792,71,371,263,845,1412,3606,1738,2107,1985,1674,1110,517,1564,837,1364,721,1139,1203,1075,2328,1586,1328,1326,1104,561,988,1352,222,57,878,367,0,904,1496,1692,1599,1856,765,2089,785,609,744,568,1275,904
ACSSF,2019m1,nc,000,0044,0000017,0,146,896,1034,1070,1435,1814,1789,817,145,1434,3092,1242,1004,871,1750,1884,3174,623,112,178,216,340,359,3224,633,771,590,1899,1467,146,3296,2286,721,3249,146,2779,2779,1823,153,2605,216,2772,2772,3271,746,2306,216,146,1434,2386,1494,806,1084,858,438,0,843,1914,2306,1452,2500,2409,1525,2502,2604,317,1063,220,4173,4838,1576,1356,2208,1149,1785,934,1118,1643,251,1992,843,368,555,1390,979,878,786,1055,1475,852,863,1368,1282,1209,910,899,138,925,936,207,515,425,746,1967,5306,2169,3478,4103,2151,1813,781,2148,1248,2508,3176,1149,1871,1501,3937,1588,2211,2043,767,555,1241,1825,352,192,1774,1531,0,843,1914,2306,2409,2666,1070,4173,2208,1149,1785,2233,2018,843
ACSSF,2019m1,nc,000,0044,0000018,0,19,533,551,482,853,820,695,668,18,1060,1261,505,515,313,755,981,1174,1000,187,309,216,427,499,948,240,216,378,590,370,19,1432,987,631,1223,19,1514,1514,1025,533,1071,216,1514,1531,1637,992,810,169,19,1060,1147,250,467,845,400,475,0,605,1464,1388,1182,1747,1477,1321,1730,1667,216,631,154,2090,2241,517,544,922,690,626,749,714,601,193,1715,605,382,455,1257,1021,779,660,802,627,168,274,153,1281,1250,736,667,481,841,840,154,218,209,604,1855,3358,1325,1763,1832,2197,686,467,1148,911,1159,876,1176,696,1376,2421,766,975,1333,1114,455,1124,1443,463,218,791,448,0,605,1464,1388,1477,1667,638,2090,922,690,626,1142,1725,605
ACSSF,2019m1,nc,000,0044,0000019,424,428,481,582,512,557,491,701,308,25,,,,,,,,,,,,,,,,,,,,,428,918,559,388,662,428,1059,1064,866,86,642,113,1115,1115,1088,452,724,216,428,1102,1102,353,220,678,728,249,0,355,1649,1152,704,1112,1364,968,1253,1491,71,577,216,2210,2108,368,310,906,624,401,117,106,831,164,939,355,296,322,1209,742,632,480,649,210,117,179,126,1157,837,545,430,542,644,629,130,637,127,548,1279,2966,1084,1613,1501,1334,565,385,1009,733,1170,435,499,559,1003,2049,783,952,1241,323,322,847,1231,250,216,547,1119,0,355,1649,1152,1364,1507,577,2210,906,624,401,843,970,355
ACSSF,2019m1,nc,000,0044,0000020,0,19,1199,1127,909,1129,1435,1309,913,18,2197,2659,874,758,640,1267,1587,2696,1693,503,476,216,682,910,2103,309,521,184,1273,1416,19,3010,1395,1271,2860,19,2805,2805,1434,438,2454,216,2806,2806,3011,1751,1906,216,19,2197,2355,1001,546,2172,202,424,0,829,1772,2058,1324,2073,2266,1395,2164,2384,216,1200,176,2870,2843,1457,928,2398,498,1592,167,856,1202,376,1260,829,524,729,1486,1088,929,943,976,733,167,587,263,1464,1419,711,663,161,1047,1040,139,147,465,830,2049,4728,2342,1993,3598,1550,1503,1232,1898,1329,1786,1632,1206,1605,1298,3056,1696,993,2204,748,729,1378,1759,358,159,1344,375,0,829,1772,2058,2266,2384,1234,2870,2398,498,1592,1429,1311,829
