ACSSF,2019e1,nc,000,0102,0000011,351888,179651,124119,105833,90583,1041,3582,2680,3995,3952,13975,5459,281,1230,2039,2251,2715,4311,1272,0,336,394,537,1772,55532,172237,117995,89889,76528,764,3470,1803,3415,3909,22195,12104,271,1699,1976,1920,4225,5911,2135,84,463,694,171,2364,54242,305435,45252,12362,1375,0,1375,629,746,10987,32890,18293,0,18293,15662,2631,14597,260183,32179,13506,0,13506,12765,741,18673,228004,188548,246,188302,182982,5320,39456,493849,253962,253716,242386,11330,246,239887,141961,63115,13376,7933,5800,16,446,717,197,757,4059,2119,136,189,154,597,864,1384,498,0,16,84,368,418,49739,78846,10534,4038,3363,0,91,79,102,403,4682,2855,109,129,461,290,838,1814,1007,0,0,163,121,523,68312,493849,30895,13054,1580,11474,17841,32257,24686,12228,12458,7571,127851,98154,70626,27528,29697,72550,54490,44084,10406,18060,88335,51730,38593,13137,36605,43148,12302,4828,7474,30846,98813,11608,4335,7273,87205,351888,179651,124119,90583,33536,55532,172237,117995,76528,41467,54242
ACSSF,2019e1,nc,000,0102,0000012,1204322,596195,439379,370651,314162,4079,12630,13972,13450,12358,53510,26468,864,4290,4683,7639,9566,15218,4489,212,1416,1145,2655,5301,156816,608127,416920,310097,260086,3578,14178,10138,10755,11362,83783,44794,2049,5909,6561,10569,13901,23040,8033,362,2042,2219,3575,6809,191207,1065727,175338,45834,7117,109,7008,4548,2460,38717,129504,69631,0,69631,55647,13984,59873,890389,106278,44708,391,44317,41451,2866,61570,784111,662949,5967,656982,636452,20530,121162,1630812,892908,886025,836372,49653,6883,737904,426490,188197,40577,22813,18222,120,794,1359,1088,1230,12285,6835,376,1065,514,1681,1814,5479,1915,147,407,546,825,1639,147620,238293,34084,13985,11386,0,682,453,431,1033,13250,6685,352,1644,1258,1021,2290,6849,3264,169,496,718,623,1579,204209,1630812,108007,48412,5363,43049,59595,121736,95131,43100,52031,26605,440799,347696,249939,97757,93103,248547,191127,150230,40897,57420,285233,173933,125616,48317,111300,131365,40399,17350,23049,90966,295125,34262,12258,22004,260863,1204322,596195,439379,314162,125217,156816,608127,416920,260086,156834,191207
ACSSF,2019e1,nc,000,0102,0000013,106903,50162,41519,34332,30866,514,347,907,909,789,5537,3116,0,761,331,1008,321,1650,317,0,74,213,390,656,8643,56741,42135,31220,26389,448,1147,431,1195,1610,9344,5583,197,795,655,1014,1100,1571,578,0,0,131,373,489,14606,94784,12666,2408,475,0,475,224,251,1933,10258,6387,0,6387,5339,1048,3871,82118,5896,3065,0,3065,2863,202,2831,76222,66635,7,66628,65558,1070,9587,135963,86562,86555,83546,3009,7,49401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135963,10514,4997,165,4832,5517,11327,8971,4194,4777,2356,42026,36573,27200,9373,5453,21221,18002,14805,3197,3219,21815,15111,10891,4220,6704,8645,3323,2023,1300,5322,20415,2531,858,1673,17884,106903,50162,41519,30866,10653,8643,56741,42135,26389,15746,14606
ACSSF,2019e1,nc,000,0102,0000014,78191,37237,28644,21857,19403,679,515,406,29,825,5541,2345,279,317,624,555,1421,1246,399,0,396,44,128,279,8593,40954,28782,19535,16764,273,775,402,802,519,6851,3234,82,409,831,568,1727,2396,345,309,334,88,398,922,12172,72062,6103,887,187,0,187,73,114,700,5216,3054,0,3054,2434,620,2162,65959,5910,2710,0,2710,2710,0,3200,60049,46616,249,46367,44311,2056,13433,124926,62481,62230,59107,3123,251,62445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124926,5746,3412,458,2954,2334,4401,3225,800,2425,1176,28689,24891,17837,7054,3798,13287,11130,7478,3652,2157,26068,14768,9594,5174,11300,16215,4975,2146,2829,11240,30520,3810,666,3144,26710,78191,37237,28644,19403,9241,8593,40954,28782,16764,12018,12172
ACSSF,2019e1,nc,000,0102,0000015,164611,79230,65812,53224,46942,1031,1846,947,781,1677,10312,4977,377,953,1131,1524,1350,2276,888,0,235,214,389,550,13418,85381,62599,42861,37358,650,2319,971,359,1204,16325,9878,586,1037,1441,1899,1484,3413,1178,254,314,493,693,481,22782,151017,16822,2989,753,0,753,612,141,2236,13833,7710,0,7710,7297,413,6123,134195,12375,4558,91,4467,4235,232,7817,121820,104949,259,104690,103773,917,16871,218727,132102,131752,129187,2565,350,86625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218727,11702,6408,684,5724,5294,13392,10395,3819,6576,2997,71948,64449,47642,16807,7499,32985,26355,18701,7654,6630,34584,20804,13454,7350,13780,16470,6285,3168,3117,10185,37646,3574,1361,2213,34072,164611,79230,65812,46942,18870,13418,85381,62599,37358,25241,22782
ACSSF,2019e1,nc,000,0102,0000016,56737,29261,22361,18339,16141,75,694,161,769,499,3767,1515,0,977,42,233,1000,255,77,0,0,0,178,0,6900,27476,19409,14426,12252,72,530,196,1090,286,4515,3031,202,424,115,177,566,468,158,0,35,14,0,261,8067,51809,10520,3502,794,0,794,524,270,2708,7018,3771,0,3771,3226,545,3247,41289,5467,2454,0,2454,2265,189,3013,35822,31309,136,31173,30799,374,4513,75446,41730,41594,40134,1460,136,33716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75446,3449,1148,160,988,2301,4820,3988,1298,2690,832,21351,17402,11749,5653,3949,13435,10689,8829,1860,2746,13682,8543,6357,2186,5139,5599,1626,1035,591,3973,13110,1374,214,1160,11736,56737,29261,22361,16141,6220,6900,27476,19409,12252,7157,8067
ACSSF,2019e1,nc,000,0102,0000017,138082,67882,58753,47082,40728,466,1620,1305,1930,1033,8557,3489,512,297,560,1104,2595,3114,594,0,0,455,1405,660,9129,70200,55428,40491,35323,760,1713,799,919,977,11403,6175,126,816,1141,2000,1145,3534,512,0,344,793,577,1308,14772,123704,8357,1011,185,0,185,55,130,826,7346,5344,0,5344,3704,1640,2002,115347,8876,4511,0,4511,4385,126,4365,106471,94406,35,94371,92811,1560,12065,168601,115316,115281,111345,3936,35,53285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168601,13912,7438,340,7098,6474,11734,10014,3225,6789,1720,57292,51499,36210,15289,5793,31076,27877,23246,4631,3199,24068,17353,13030,4323,6715,8692,3523,1189,2334,5169,21827,2313,723,1590,19514,138082,67882,58753,40728,18025,9129,70200,55428,35323,20105,14772
ACSSF,2019e1,nc,000,0102,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46519,5095,1488,494,0,494,336,158,994,3607,2445,0,2445,1683,762,1162,41424,6943,2884,93,2791,2791,0,4059,34481,29732,0,29732,29257,475,4749,67804,41101,41008,38911,2097,93,26703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67804,4459,1656,405,1251,2803,4003,3574,1995,1579,429,17653,15037,10699,4338,2616,12885,9312,7678,1634,3573,12534,8659,6554,2105,3875,5824,2385,1303,1082,3439,10446,1685,375,1310,8761,51534,24627,19009,15450,3559,5618,26907,19229,11881,7348,7678
ACSSF,2019e1,nc,000,0102,0000019,41452,20006,16122,13365,10671,415,314,737,490,738,2418,1688,65,96,133,141,295,339,77,0,51,75,60,76,3884,21446,16831,11248,9205,264,613,529,459,178,4248,2030,81,140,289,699,1009,1335,206,0,255,61,410,403,4615,37131,3459,927,327,0,327,204,123,600,2532,1691,0,1691,1167,524,841,33672,3418,1368,0,1368,1349,19,2050,30254,24945,479,24466,23984,482,5309,59318,34028,33455,32170,1285,573,25290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59318,3702,2458,270,2188,1244,3162,2716,934,1782,446,13619,12590,8332,4258,1029,9204,7776,5515,2261,1428,11765,7413,4825,2588,4352,6319,1883,704,1179,4436,11547,1556,613,943,9991,41452,20006,16122,10671,5451,3884,21446,16831,9205,7626,4615
ACSSF,2019e1,nc,000,0102,0000020,100304,49880,41340,35190,31289,48,744,730,1235,1144,5185,2555,0,243,1135,636,616,965,474,0,139,129,79,144,8540,50424,36957,27297,24976,101,1072,162,166,820,8372,5272,174,398,715,588,1225,1288,391,0,0,163,303,431,13467,90346,11785,3170,636,0,636,544,92,2534,8615,4487,0,4487,3373,1114,4128,78561,8232,4762,0,4762,4618,144,3470,70329,62749,341,62408,60963,1445,7580,129612,82123,81782,78360,3422,341,47489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129612,8830,4068,460,3608,4762,9615,7789,3029,4760,1826,37694,32384,25947,6437,5310,21956,17839,14341,3498,4117,22209,16217,12488,3729,5992,9060,3177,1792,1385,5883,20248,2878,766,2112,17370,100304,49880,41340,31289,10051,8540,50424,36957,24976,11981,13467
ACSSF,2019e1,nc,000,0102,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61525,34484,34484,34096,388,0,27041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61525,3223,1306,0,1306,1917,3260,3011,1677,1334,249,15562,13203,10138,3065,2359,9858,8421,6007,2414,1437,10714,7023,5339,1684,3691,5826,1946,1210,736,3880,13082,1881,243,1638,11201,42617,19439,16666,12268,4398,2773,23178,16298,10893,5405,6880
ACSSF,2019e1,nc,000,0102,0000022,60822,28895,21613,17691,15289,209,996,237,376,584,3192,1759,12,639,7,500,275,730,103,0,217,0,0,410,7282,31927,19331,15185,12906,263,202,1284,6,524,3215,1948,94,256,108,464,345,931,202,13,0,58,277,381,12596,55097,9870,2219,145,0,145,99,46,2074,7651,3425,0,3425,2379,1046,4226,45227,5812,2582,0,2582,2368,214,3230,39415,32625,0,32625,30734,1891,6790,79429,44058,44058,40293,3765,0,35371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79429,5170,1845,494,1351,3325,8019,5511,1930,3581,2508,22058,17888,13548,4340,4170,11919,7361,5525,1836,4558,13656,8339,6698,1641,5317,5103,2041,1355,686,3062,13504,1480,301,1179,12024,60822,28895,21613,15289,6324,7282,31927,19331,12906,6425,12596
ACSSF,2019e1,nc,000,0102,0000023,62400,31258,26520,22490,20980,289,360,349,197,315,2944,1798,0,0,397,530,219,1086,386,0,0,514,0,186,4738,31142,22140,15130,13794,185,248,239,123,541,4857,2850,17,244,139,584,1023,2153,1134,132,110,132,276,369,9002,54312,7788,1524,17,0,17,17,0,1507,6264,3718,75,3643,2779,864,2546,46524,5839,3313,134,3179,2838,341,2526,40685,34078,2465,31613,30615,998,6607,82522,50684,44204,41496,2708,6480,31838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82522,4362,2964,1158,1806,1398,10281,9324,6631,2693,957,24093,19871,15154,4717,4222,11023,9313,7024,2289,1710,12641,7188,4807,2381,5453,7009,2237,777,1460,4772,13113,1634,331,1303,11479,62400,31258,26520,20980,5540,4738,31142,22140,13794,8346,9002
ACSSF,2019e1,nc,000,0102,0000024,219967,110975,89017,75195,68675,600,1090,1577,1269,1984,11760,7320,61,574,789,816,2200,2062,904,123,106,17,311,601,21958,108992,79813,58335,50392,584,1640,2233,1793,1693,17813,10654,114,571,1741,2270,2463,3665,1091,85,434,661,308,1086,29179,187947,29332,7164,1761,0,1761,1077,684,5403,22168,12872,609,12263,9833,2430,9296,158615,20371,10810,588,10222,9886,336,9561,138244,119182,17101,102081,97313,4768,19062,260615,170953,140059,130444,9615,30894,89662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260615,18707,8510,2133,6377,10197,33297,29494,18416,11078,3803,97145,82010,60596,21414,15135,34790,27067,20990,6077,7723,36028,21749,16932,4817,14279,13804,4289,2180,2109,9515,26844,3130,1123,2007,23714,219967,110975,89017,68675,20342,21958,108992,79813,50392,29421,29179
ACSSF,2019e1,nc,000,0102,0000025,104916,51616,40442,35146,31705,472,1450,442,340,737,4044,2113,0,615,362,209,745,1252,622,0,0,46,280,304,11174,53300,34142,26068,23785,43,889,210,686,455,6940,4060,240,322,583,920,815,1134,207,40,20,0,283,584,19158,96824,15765,4543,546,0,546,506,40,3997,11222,4786,0,4786,4001,785,6436,81059,7957,3318,0,3318,3185,133,4639,73102,62906,0,62906,61618,1288,10196,136283,77056,77056,74673,2383,0,59227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136283,7363,2061,70,1991,5302,8795,7268,4797,2471,1527,37524,29172,22293,6879,8352,25872,19272,15480,3792,6600,25362,16811,12850,3961,8551,9907,3079,1587,1492,6828,21460,1418,505,913,20042,104916,51616,40442,31705,8737,11174,53300,34142,23785,10357,19158
ACSSF,2019e1,nc,000,0102,0000026,215000,103739,84002,69106,59379,1087,2062,2062,1981,2535,11389,7295,760,1077,537,557,1163,3507,1338,601,0,123,625,820,19737,111261,85361,64489,57865,903,2094,546,992,2089,16898,9860,192,1453,1436,1598,2359,3974,1894,170,159,277,584,890,25900,193472,25356,4115,528,0,528,277,251,3587,21241,11632,0,11632,10834,798,9609,168116,9411,4487,0,4487,4048,439,4924,158705,141613,165,141448,137602,3846,17092,259730,171895,171720,165940,5780,175,87835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259730,12962,3844,206,3638,9118,23521,15619,6254,9365,7902,104853,92206,69052,23154,12647,37582,32761,24726,8035,4821,36082,24933,17006,7927,11149,16006,7507,3329,4178,8499,28724,3939,1170,2769,24785,215000,103739,84002,59379,24623,19737,111261,85361,57865,27496,25900
ACSSF,2019e1,nc,000,0102,0000027,244239,116801,92088,76123,67375,701,2217,1286,1194,3350,13064,6537,276,1184,941,1385,2741,2901,1019,0,31,131,329,1391,24713,127438,90236,66326,55056,530,3102,1023,2998,3617,19019,12595,245,1355,713,1249,2862,4891,1091,64,508,348,1041,1839,37202,216789,29760,6111,722,0,722,615,107,5389,23649,13579,0,13579,11291,2288,10070,187029,16844,7733,62,7671,6257,1414,9111,170185,145156,538,144618,139707,4911,25029,305833,188188,187588,177326,10262,600,117645,61594,26039,6369,3391,3008,37,154,24,142,26,2499,1519,50,267,206,181,276,479,45,25,56,88,129,136,19670,35555,7518,2910,2282,26,0,60,221,321,3295,1501,0,243,230,419,902,1313,528,60,162,27,105,431,28037,305833,22018,8921,1161,7760,13097,25381,18343,5959,12384,7038,96919,81313,59464,21849,15606,48558,38118,29598,8520,10440,51363,35629,26249,9380,15734,18881,7226,3079,4147,11655,42713,6661,2211,4450,36052,244239,116801,92088,67375,24713,24713,127438,90236,55056,35180,37202
