ACSSF,2019e1,nc,000,0178,0000037,76509,10373,17752,23796,24588,76509,1742,4097,17213,17538,7510,18871,9538,75537,7262,68275,62162
ACSSF,2019e1,nc,000,0178,0000038,72046,13627,15505,25136,17778,72046,2815,8081,26004,15866,7235,9456,2589,70358,10872,59486,50791
ACSSF,2019e1,nc,000,0178,0000039,186184,44812,41388,57650,42334,186184,2584,10076,35652,47971,17494,48025,24382,179285,22293,156992,56631
ACSSF,2019e1,nc,000,0178,0000040,146691,59779,35956,32220,18736,146691,1834,8515,51790,41541,15432,20031,7548,127820,12100,115720,49427
ACSSF,2019e1,nc,000,0178,0000041,111748,34322,21638,34214,21574,111748,1546,3719,16255,24364,5651,30061,30152,101252,12670,88582,76541
ACSSF,2019e1,nc,000,0178,0000042,136861,43447,29208,39979,24227,136861,3418,9959,36348,33300,14856,24384,14596,129949,24518,105431,54256
ACSSF,2019e1,nc,000,0178,0000043,106440,20171,21722,37804,26743,106440,4869,11985,38121,24809,11349,10450,4857,105172,13952,91220,50695
ACSSF,2019e1,nc,000,0178,0000044,94277,21468,20865,31634,20310,94277,3821,14065,33141,21678,8634,8865,4073,91182,23506,67676,35202
ACSSF,2019e1,nc,000,0178,0000045,71105,11476,14091,26835,18703,71105,2633,9033,28681,14747,6328,6555,3128,69969,12346,57623,43543
ACSSF,2019e1,nc,000,0178,0000046,105420,20268,23312,36801,25039,105420,3281,8086,32574,28990,13517,12190,6782,101718,10300,91418,53982
ACSSF,2019e1,nc,000,0178,0000047,52502,8733,9930,18529,15310,52502,1592,4872,16771,12981,6038,7827,2421,51600,8586,43014,44248
ACSSF,2019e1,nc,000,0178,0000048,53903,9925,10025,19167,14786,53903,2474,6182,14782,13135,7755,7048,2527,53164,7931,45233,49719
ACSSF,2019e1,nc,000,0178,0000049,166338,32331,39866,64123,30018,166338,3196,10888,41035,39297,14566,39138,18218,164489,11034,153455,86261
ACSSF,2019e1,nc,000,0178,0000050,771942,166777,209958,265301,129906,771942,9170,31142,125224,154104,60626,249428,142248,752970,54303,698667,85497
ACSSF,2019e1,nc,000,0178,0000051,88565,19878,18395,29900,20392,88565,2854,6522,29514,23082,11847,9761,4985,86307,12000,74307,45366
ACSSF,2019e1,nc,000,0178,0000052,54467,8685,11805,18528,15449,54467,2708,5875,20485,12267,5044,6393,1695,53778,7388,46390,42907
ACSSF,2019e1,nc,000,0178,0000053,59560,11990,12056,20522,14992,59560,2739,7276,20283,12898,5464,7462,3438,58322,10049,48273,39553
ACSSF,2019e1,nc,000,0178,0000054,69517,12006,22264,19632,15615,69517,900,3161,13349,12545,6945,21072,11545,66757,8584,58173,53684
ACSSF,2019e1,nc,000,0178,0000055,111166,17622,27504,45512,20528,111166,715,2638,11728,15743,7324,40067,32951,110968,4223,106745,106693
ACSSF,2019e1,nc,000,0178,0000056,593405,148636,167913,187517,89339,593405,14644,26971,99681,145222,51967,170744,84176,582525,54300,528225,65034
ACSSF,2019e1,nc,000,0178,0000057,65755,15260,18132,22429,9934,65755,1557,4728,17155,12185,5618,15321,9191,64858,4279,60579,75484
ACSSF,2019e1,nc,000,0178,0000058,198230,50943,56033,57583,33671,198230,3557,9930,36095,40465,12493,47960,47730,189424,21888,167536,67904
ACSSF,2019e1,nc,000,0178,0000059,153250,51625,38678,38831,24116,153250,2769,8443,43001,49654,15782,22387,11214,138853,23598,115255,43389
ACSSF,2019e1,nc,000,0178,0000060,55410,11287,13973,18377,11773,55410,1953,5973,16854,12761,4045,9631,4193,54078,5400,48678,49419
ACSSF,2019e1,nc,000,0178,0000061,213821,58785,48730,66660,39646,213821,4822,14158,47312,55576,19236,48852,23865,198737,33438,165299,49182
ACSSF,2019e1,nc,000,0178,0000062,75369,34112,13940,17537,9780,75369,1614,3975,20888,20811,7434,12165,8482,69061,16065,52996,48556
ACSSF,2019e1,nc,000,0178,0000063,79439,19911,17912,24877,16739,79439,3800,6617,16988,20054,7510,16996,7474,75523,8499,67024,49073
ACSSF,2019e1,nc,000,0178,0000064,55605,31520,11762,7398,4925,55605,588,2026,22520,18029,4933,5755,1754,38040,4067,33973,46400
ACSSF,2019e1,nc,000,0178,0000065,339466,94172,91314,100549,53431,339466,3465,14762,59982,74832,24558,106194,55673,321443,31881,289562,70925
ACSSF,2019e1,nc,000,0178,0000066,98912,30320,19180,27417,21995,98912,1610,6204,18140,29312,8588,22443,12615,94128,17609,76519,48441
ACSSF,2019e1,nc,000,0178,0000067,172873,42795,42844,54616,32618,172873,5313,13234,48473,41624,13184,31327,19718,163703,25580,138123,45035
ACSSF,2019e1,nc,000,0178,0000068,69517,12006,22264,19632,15615,69517,900,3161,13349,12545,6945,21072,11545,66757,8584,58173,53684
ACSSF,2019e1,nc,000,0178,0000069,593405,148636,167913,187517,89339,593405,14644,26971,99681,145222,51967,170744,84176,582525,54300,528225,65034
ACSSF,2019e1,nc,000,0178,0000070,65755,15260,18132,22429,9934,65755,1557,4728,17155,12185,5618,15321,9191,64858,4279,60579,75484
ACSSF,2019e1,nc,000,0178,0000071,55410,11287,13973,18377,11773,55410,1953,5973,16854,12761,4045,9631,4193,54078,5400,48678,49419
ACSSF,2019e1,nc,000,0178,0000072,198048,50761,56033,57583,33671,198048,3557,9930,36005,40465,12493,47960,47638,189242,21888,167354,67793
ACSSF,2019e1,nc,000,0178,0000073,153250,51625,38678,38831,24116,153250,2769,8443,43001,49654,15782,22387,11214,138853,23598,115255,43389
ACSSF,2019e1,nc,000,0178,0000074,213821,58785,48730,66660,39646,213821,4822,14158,47312,55576,19236,48852,23865,198737,33438,165299,49182
ACSSF,2019e1,nc,000,0178,0000075,76048,18946,16528,24023,16551,76048,3800,6484,16210,19778,7398,15409,6969,72220,8499,63721,48164
ACSSF,2019e1,nc,000,0178,0000076,75369,34112,13940,17537,9780,75369,1614,3975,20888,20811,7434,12165,8482,69061,16065,52996,48556
ACSSF,2019e1,nc,000,0178,0000077,55605,31520,11762,7398,4925,55605,588,2026,22520,18029,4933,5755,1754,38040,4067,33973,46400
ACSSF,2019e1,nc,000,0178,0000078,108425,17554,27400,44685,18786,108425,715,2638,11137,15447,7107,39271,32110,108227,4169,104058,107406
ACSSF,2019e1,nc,000,0178,0000079,337681,93752,90992,100145,52792,337681,3465,14762,59982,74617,24558,104954,55343,319658,31881,287777,70712
ACSSF,2019e1,nc,000,0178,0000080,98912,30320,19180,27417,21995,98912,1610,6204,18140,29312,8588,22443,12615,94128,17609,76519,48441
ACSSF,2019e1,nc,000,0178,0000081,172873,42795,42844,54616,32618,172873,5313,13234,48473,41624,13184,31327,19718,163703,25580,138123,45035
ACSSF,2019e1,nc,000,0178,0000082,570191,133041,124624,183668,128858,570191,19614,53067,167002,132186,47225,86606,64491,540535,87082,453453,48031
ACSSF,2019e1,nc,000,0178,0000083,636164,109468,170164,232977,123555,636164,11895,38756,151755,135369,68960,156459,72970,628537,50207,578330,77658
ACSSF,2019e1,nc,000,0178,0000084,581048,140661,124092,181715,134580,581048,13511,41666,182355,148716,62006,88558,44236,547989,58902,489087,54341
ACSSF,2019e1,nc,000,0178,0000085,610536,161781,155936,192428,100391,610536,7267,23800,97924,126380,40598,186590,127977,581514,53657,527857,76610
ACSSF,2019e1,nc,000,0178,0000086,583346,122485,123618,196745,140498,583346,19988,48757,168594,143392,58438,93827,50350,561208,77308,483900,49780
ACSSF,2019e1,nc,000,0178,0000087,581560,106562,122368,210825,141805,581560,17916,54246,178583,132125,59080,91779,47831,568560,74660,493900,54734
ACSSF,2019e1,nc,000,0178,0000088,621515,120931,129428,204075,167081,621515,12434,46061,175372,152351,70521,109350,55426,606511,70023,536488,54119
ACSSF,2019e1,nc,000,0178,0000089,591696,134976,148879,187376,120465,591696,13510,40269,172691,153507,63875,98509,49335,570579,63349,507230,54986
ACSSF,2019e1,nc,000,0178,0000090,574114,109714,134128,210241,120031,574114,11552,47196,141575,132124,53649,124745,63273,562661,70106,492555,66153
ACSSF,2019e1,nc,000,0178,0000091,591040,104831,131047,206299,148863,591040,17713,49341,178984,132469,67089,97995,47449,578539,70136,508403,53905
ACSSF,2019e1,nc,000,0178,0000092,607938,101648,121522,206579,178189,607938,17138,51259,176284,146216,66030,96606,54405,594794,63436,531358,52769
ACSSF,2019e1,nc,000,0178,0000093,599115,154318,171255,186163,87379,599115,15824,29860,107587,151285,56464,162844,75251,587456,55536,531920,62469
ACSSF,2019e1,nc,000,0178,0000094,581381,125408,127746,197221,131006,581381,17282,44281,157793,142682,57420,109317,52606,560631,65906,494725,57141
ACSSF,2019e1,nc,000,0178,0000095,110433,29338,19988,33325,27782,110433,2762,8491,29883,31696,11076,15146,11379,100798,17739,83059,46788
ACSSF,2019e1,nc,000,0178,0000096,117302,20017,23174,40510,33601,117302,5603,13163,37966,27587,13704,14588,4691,115761,16378,99383,44955
ACSSF,2019e1,nc,000,0178,0000097,108096,17271,21360,41351,28114,108096,4230,12999,40408,23672,10872,10756,5159,106503,18037,88466,45010
ACSSF,2019e1,nc,000,0178,0000098,94314,15583,20277,35584,22870,94314,3116,12780,33427,20902,9732,10715,3642,89874,11157,78717,54829
ACSSF,2019e1,nc,000,0178,0000099,94927,16810,20221,33467,24429,94927,2525,9355,33064,21515,10632,13059,4777,92343,9350,82993,48656
ACSSF,2019e1,nc,000,0178,0000100,77925,14862,14325,28377,20361,77925,3386,9013,28926,18024,7061,7558,3957,74413,12673,61740,42188
ACSSF,2019e1,nc,000,0178,0000101,89053,15273,19036,32330,22414,89053,2977,5638,29534,24255,8311,13162,5176,86218,8532,77686,61537
ACSSF,2019e1,nc,000,0178,0000102,81142,12475,14173,29475,25019,81142,3318,7523,25988,17730,9175,11236,6172,78191,10389,67802,46085
ACSSF,2019e1,nc,000,0178,0000103,111465,20878,23566,38843,28178,111465,5205,11860,39170,27307,9434,14670,3819,109277,16838,92439,46871
ACSSF,2019e1,nc,000,0178,0000104,73492,14593,15025,24854,19020,73492,3478,9312,25799,15578,6893,8635,3797,69922,11225,58697,40268
ACSSF,2019e1,nc,000,0178,0000105,144687,26996,36861,54047,26783,144687,2880,11298,37714,37047,22672,24820,8256,143378,13462,129916,64299
ACSSF,2019e1,nc,000,0178,0000106,119661,48848,28800,26529,15484,119661,2109,7667,22164,33796,6840,30743,16342,102404,18676,83728,60211
ACSSF,2019e1,nc,000,0178,0000107,98200,20469,26122,29786,21823,98200,1062,2177,15981,18885,7235,35493,17367,97556,5072,92484,70789
ACSSF,2019e1,nc,000,0178,0000108,91769,12724,26575,36993,15477,91769,766,4099,13460,15891,9978,31275,16300,91383,4197,87186,97364
ACSSF,2019e1,nc,000,0178,0000109,99039,20792,29004,33493,15750,99039,1558,7533,24493,23180,7344,22539,12392,98882,10230,88652,74315
ACSSF,2019e1,nc,000,0178,0000110,91264,18432,25909,30520,16403,91264,1889,3020,19191,22786,8602,25226,10550,91033,4216,86817,86197
ACSSF,2019e1,nc,000,0178,0000111,83684,14533,23534,32273,13344,83684,176,1560,8548,10552,5969,34145,22734,83684,4002,79682,118802
ACSSF,2019e1,nc,000,0178,0000112,94621,17040,21519,37744,18318,94621,618,2374,10390,14096,6951,36475,23717,94423,4321,90102,95313
ACSSF,2019e1,nc,000,0178,0000113,93704,13939,28495,37963,13307,93704,992,2712,10997,14918,7707,33532,22846,93605,3589,90016,114640
ACSSF,2019e1,nc,000,0178,0000114,130053,33168,38161,38768,19956,130053,1726,5034,18348,25719,9380,32634,37212,123132,11304,111828,74700
ACSSF,2019e1,nc,000,0178,0000115,98376,20910,24605,29611,23250,98376,2398,5528,26308,19148,5921,22628,16445,93239,12252,80987,58698
ACSSF,2019e1,nc,000,0178,0000116,111735,34322,21625,34214,21574,111735,1546,3719,16255,24351,5651,30061,30152,101239,12670,88569,76531
ACSSF,2019e1,nc,000,0178,0000117,97951,16645,18707,33719,28880,97951,3328,7779,21998,19089,11044,19569,15144,96635,8778,87857,60893
ACSSF,2019e1,nc,000,0178,0000118,123305,26148,27372,40785,29000,123305,3005,9070,37481,31432,13174,20613,8530,119450,15160,104290,58673
ACSSF,2019e1,nc,000,0178,0000119,106357,22026,25010,35588,23733,106357,2327,5342,20604,24893,9265,26657,17269,99691,14069,85622,56441
ACSSF,2019e1,nc,000,0178,0000120,85248,29523,19572,23034,13119,85248,2441,8306,20968,26090,7243,15339,4861,76993,16328,60665,42364
ACSSF,2019e1,nc,000,0178,0000121,98224,17031,21244,38212,21737,98224,1098,6750,22339,20832,10123,24824,12258,97757,10199,87558,79057
ACSSF,2019e1,nc,000,0178,0000122,102394,22646,22918,33920,22910,102394,4199,8561,24686,25208,10074,20284,9382,98504,11237,87267,54719
ACSSF,2019e1,nc,000,0178,0000123,75802,16317,16795,24055,18635,75802,2143,4665,21356,17797,5184,13880,10777,71590,11022,60568,46589
ACSSF,2019e1,nc,000,0178,0000124,93477,24574,25319,29047,14537,93477,2995,8506,27292,23033,7681,15273,8697,88519,13712,74807,45204
