ACSSF,2019m1,nc,000,0060,0000011,4401,4885,2898,2345,1536,470,216,216,3465,3294,964,264,272,200,6128,4591,4574,1190,155,370,104,4548,4315,922,122,283,198,5427,5120,4793,1555,206,259,87,3516,3403,627,516,237,216,5050,3560,3516,865,328,418,126,3294,3098,376,216,644,216,4401,4885,2898,2345,1536,470,3465,3294,964,416,6128,4591,4574,1190,407,4548,4315,922,381,5427,5120,4793,1555,329,3516,3403,627,553,5050,3560,3516,865,506,3294,3098,376,673
ACSSF,2019m1,nc,000,0060,0000012,5522,7881,5676,5021,2566,537,260,34,5499,4663,2033,282,298,360,9288,8244,7794,1792,651,987,241,7062,6912,1297,300,342,249,9606,8455,8096,2480,553,1031,161,5941,5899,1232,714,382,504,10070,7758,7535,1338,1047,721,214,5059,4918,1027,619,891,221,5522,7881,5676,5021,2566,714,5499,4663,2033,551,9288,8244,7794,1792,1053,7062,6912,1297,518,9606,8455,8096,2480,1275,5941,5899,1232,973,10070,7758,7535,1338,1377,5059,4918,1027,1098
ACSSF,2019m1,nc,000,0060,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893,2318,1534,1092,882,254,1607,1424,759,76,3008,2553,2560,881,502,2036,1906,339,441,2588,2167,1904,818,902,1473,1420,222,260,2963,2869,2748,493,828,1258,1208,204,449
ACSSF,2019m1,nc,000,0060,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105,1389,974,969,74,150,1110,931,680,216,2704,1974,1932,823,113,1858,1700,343,480,2859,2359,2254,539,439,1859,1751,318,35,2329,2038,1890,481,180,1888,1642,296,794
ACSSF,2019m1,nc,000,0060,0000015,1203,2723,1280,955,809,218,216,216,2064,1591,697,1208,166,216,3697,2982,2714,1203,761,216,216,2581,2526,238,573,60,216,3840,3180,3133,548,718,216,216,2006,1898,205,363,216,28,4621,4249,4130,602,1046,267,53,2167,2133,448,389,182,125,1203,2723,1280,955,809,218,2064,1591,697,1208,3697,2982,2714,1203,761,2581,2526,238,572,3840,3180,3133,548,718,2006,1898,205,364,4621,4249,4130,602,1092,2167,2133,448,458
ACSSF,2019m1,nc,000,0060,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851,1682,1226,1009,1051,749,1467,1411,632,383,1997,1517,1481,284,206,1698,1596,95,482,2102,1743,1708,524,345,1450,1421,127,350,1870,1881,1908,216,157,955,950,216,139
ACSSF,2019m1,nc,000,0060,0000017,1652,2327,1858,1577,951,216,216,216,1656,1524,367,228,140,377,3866,3461,3366,915,200,301,381,1778,1755,376,360,126,601,3644,3462,3258,887,270,585,459,1804,1699,200,191,221,216,4279,3885,3488,1056,902,668,569,1972,1520,381,927,269,434,1652,2327,1858,1577,951,216,1656,1524,367,447,3866,3461,3366,915,471,1778,1755,376,697,3644,3462,3258,887,799,1804,1699,200,284,4279,3885,3488,1056,1072,1972,1520,381,1008
ACSSF,2019m1,nc,000,0060,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0060,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597,1344,1180,1195,249,48,596,588,114,216,1496,1142,1121,424,239,986,981,216,68,1721,1367,1358,304,143,1042,948,161,409,1786,1387,1409,75,282,1044,824,505,199
ACSSF,2019m1,nc,000,0060,0000020,881,2266,1805,1579,1085,216,201,216,1281,1166,349,78,210,216,2846,2067,1817,639,163,372,216,2006,1853,338,288,197,164,3061,2609,2413,777,179,548,216,1473,1544,357,106,216,216,2932,2513,2386,885,229,875,186,1272,1231,216,216,171,216,881,2266,1805,1579,1085,201,1281,1166,349,231,2846,2067,1817,639,399,2006,1853,338,384,3061,2609,2413,777,552,1473,1544,357,106,2932,2513,2386,885,907,1272,1231,216,171
ACSSF,2019m1,nc,000,0060,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,1777,1326,1043,853,216,1128,1144,396,534,1916,1455,984,917,311,1444,1299,496,349,1932,1946,1980,168,182,1068,1068,216,216,2554,2117,2091,292,326,1804,1694,95,654
ACSSF,2019m1,nc,000,0060,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0060,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,1626,1437,1213,686,91,1029,910,446,88,1980,1797,1622,700,426,1357,1262,724,184,2083,1851,1898,397,74,1476,1512,216,165,1859,1485,1536,126,369,1512,1497,181,140
ACSSF,2019m1,nc,000,0060,0000024,563,1857,1362,1116,914,126,333,39,1187,1094,450,243,271,216,3069,2867,2768,664,384,571,68,2252,2231,363,264,208,216,3095,2632,2796,893,463,374,246,2059,1932,506,329,252,221,3235,2613,2341,754,438,660,381,1943,1700,521,330,317,205,563,1857,1362,1116,914,351,1187,1094,450,341,3069,2867,2768,664,641,2252,2231,363,335,3095,2632,2796,893,617,2059,1932,506,470,3235,2613,2341,754,911,1943,1700,521,544
ACSSF,2019m1,nc,000,0060,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109,3054,1237,1056,499,572,2483,2314,341,878,3029,2089,2041,540,765,2371,2540,691,216,3473,2751,2628,304,559,1916,1860,132,259,2574,2274,2266,348,332,1476,1504,378,216
