ACSSF,2019m1,nc,000,0176,0000011,4031,5343,9454,9453,9112,8622,6856,5125,809,799,439,737,343,8828,5148,4667,3959,3048,2609,1942,1097,1049,553,750,533,8514,8106,7521,4085,6383,2568,1548,1294,1093,762,1014,4661,3627,3898,3780,2986,3540,1751,1801,1584,1292,1073,929,2648,2350,1694,1523,1527,3479,2496,1465,1259,673,2257,1954,1567,2059,1749,1578,757,1793,1448,1292,3479,2496,1465,1040,923,2257,1945,1678,2059,1749,1322,1139,1793,1286,1509,4031,5343,9454,9145,5113,8828,5148,4214,2171,8514,7901,2871,4661,4332,2952
ACSSF,2019m1,nc,000,0176,0000012,3817,11521,20689,20485,21242,19508,12720,8011,1769,1638,998,1266,917,19473,12820,10698,8538,5981,5520,3820,3079,2393,1500,1695,1529,19110,17448,15818,9932,11485,4962,3680,2522,1855,1296,1975,10479,7374,6514,6589,5451,6109,2784,3906,3354,2841,2004,1920,5583,4828,3910,3384,2715,5410,3701,2894,2487,1147,3691,3062,2639,3667,3020,2670,1215,3810,3603,2249,5410,3701,2894,2566,1677,3691,3183,2850,3667,3020,2317,1621,3810,2930,3090,3817,11521,20689,21339,8141,19473,12820,9923,4538,19110,16853,5302,10479,9337,5220
ACSSF,2019m1,nc,000,0176,0000013,372,3516,5210,5120,5258,4967,3465,2310,477,50,48,16,475,4961,4370,3573,3337,3244,1450,676,1070,1064,876,338,105,4405,4248,3847,1908,3572,1100,584,471,317,375,391,3443,2340,2241,2242,2065,1467,596,919,872,836,345,325,1776,1272,1178,670,1009,1635,922,817,786,293,1155,1129,655,1305,854,673,543,1184,1103,450,1635,922,817,706,453,1155,1121,738,1305,854,672,543,1184,909,868,372,3516,5210,5270,2383,4961,4370,4076,695,4405,3952,1198,3443,2982,1242
ACSSF,2019m1,nc,000,0176,0000014,674,2530,4973,5033,5022,5076,3538,2081,866,729,659,298,250,4311,2874,2834,2394,1940,1391,1060,268,230,214,71,137,3731,3378,2968,1905,2202,1038,714,332,311,118,617,2577,2149,2159,2108,2055,1397,847,646,621,598,334,250,1297,1230,1009,833,492,1080,640,748,585,401,791,808,329,832,480,480,216,761,729,478,1080,640,748,585,401,791,691,533,832,480,480,216,761,620,502,674,2530,4973,4893,2074,4311,2874,2418,1107,3731,3104,1247,2577,2504,1014
ACSSF,2019m1,nc,000,0176,0000015,1179,5130,8469,8400,8632,8932,4340,4346,461,461,401,340,216,6462,3794,3006,2457,1718,1525,1916,1478,1354,800,1009,318,5843,5136,4290,3233,2990,2341,1146,855,858,592,628,5236,3223,2860,2865,2220,2077,1052,1989,1811,1692,749,1035,3166,2779,2275,1405,1404,1942,1080,957,806,479,1031,872,951,1597,970,993,253,1579,1506,863,1942,1080,957,806,479,1031,877,1002,1597,970,932,357,1579,1442,1084,1179,5130,8469,8680,4346,6462,3794,3014,1954,5843,4695,2684,5236,4977,2384
ACSSF,2019m1,nc,000,0176,0000016,890,2690,4286,4305,4443,4004,2538,1261,148,105,105,216,111,4027,2861,2580,2185,1779,1485,952,541,271,224,143,446,3597,3509,3250,2203,2473,783,398,357,207,285,187,2616,1658,1412,1377,1057,1132,434,746,523,434,334,513,1383,1315,1060,787,434,1108,959,1035,1043,94,755,552,517,820,371,371,216,796,716,309,1108,959,1035,1046,140,755,514,637,820,371,371,216,796,682,359,890,2690,4286,4423,1252,4027,2861,2217,1304,3597,3294,821,2616,2377,895
ACSSF,2019m1,nc,000,0176,0000017,769,2655,8149,8086,7584,7322,2955,3866,700,618,555,255,362,7819,2967,2934,2641,2091,1574,725,237,192,170,81,55,7769,6964,6320,4712,4610,1669,1783,1488,272,1296,831,2513,1888,1967,1897,1655,1521,580,938,756,745,271,605,1408,1268,1128,687,574,1946,1464,921,840,302,1667,1228,956,1291,1171,1153,409,1332,1121,644,1946,1464,921,875,321,1667,1286,987,1291,1171,867,753,1332,1110,974,769,2655,8149,7691,3897,7819,2967,2669,732,7769,6867,1990,2513,2438,1141
ACSSF,2019m1,nc,000,0176,0000018,561,2959,4305,4156,3951,3800,2668,1250,430,219,94,193,405,3727,2641,2329,1754,1087,1271,1081,573,554,299,463,167,2939,2861,2479,1629,1771,1165,318,318,139,286,216,3032,1888,1855,1694,1282,1357,787,738,700,479,599,248,1755,1388,1334,275,948,981,598,537,494,144,654,607,299,728,197,124,151,701,734,382,981,598,537,494,144,654,605,415,728,197,124,151,701,734,595,561,2959,4305,3923,1359,3727,2641,2050,1180,2939,2568,1165,3032,2602,1179
ACSSF,2019m1,nc,000,0176,0000019,461,1855,3061,3092,2708,2660,1901,1646,289,278,197,164,81,2793,1301,1197,929,659,528,447,189,191,191,216,51,2624,2469,2121,1764,1141,762,391,372,280,174,172,1791,1333,1271,1169,989,852,515,734,707,445,558,272,934,858,780,698,295,862,799,304,275,92,677,536,497,564,707,708,46,410,407,106,862,799,304,275,92,677,504,501,564,707,706,66,410,377,150,461,1855,3061,2716,1649,2793,1301,1054,460,2624,2248,783,1791,1667,706
ACSSF,2019m1,nc,000,0176,0000020,1031,2427,7224,7242,6319,5056,3472,3001,592,580,283,510,83,6729,4396,3983,3032,2086,2012,1740,894,733,641,319,357,6107,5908,4684,2942,3449,3120,869,718,718,216,524,2478,2166,2049,2128,1903,1455,646,888,866,658,620,380,1112,979,823,488,508,1309,952,739,676,143,1042,1163,730,945,876,859,446,1259,1021,1036,1309,952,739,676,143,1042,1136,793,945,876,850,459,1259,910,1093,1031,2427,7224,6311,2979,6729,4396,3436,1760,6107,4859,3201,2478,2310,951
