ACSSF,2019e1,nc,000,0034,0000001,4606696,185381,157649,209360,421873,476198,705600,602834,512802,250549,283054,129557,59103,309889,302847,3958871,155765,127946,181510,362494,417373,614044,537797,447102,216890,235796,110328,47860,253602,250364,431414,20642,21286,21027,42501,45991,70744,47281,37026,19286,24761,10670,6683,29716,33800,55608,1459,1840,1158,4142,3762,7594,5685,7952,4217,5125,2157,790,7073,2654,87959,2751,1773,3557,5701,4656,5412,7998,11735,6761,11818,3460,2627,10893,8817,72844,4764,4804,2108,7035,4416,7806,4073,8987,3395,5554,2942,1143,8605,7212,118198690,5964360,5256830,6372655,13159635,12664755,19573145,14001690,12121760,5208465,6146490,2794350,1296390,6818385,6819780,4606696,185381,157649,209360,421873,476198,705600,602834,512802,250549,1084450,3958871,155765,127946,181510,362494,417373,614044,537797,447102,216890,897950,431414,20642,21286,21027,42501,45991,70744,47281,37026,19286,105630,55608,1459,1840,1158,4142,3762,7594,5685,7952,4217,17799,160803,7515,6577,5665,12736,9072,13218,12071,20722,10156,63071
ACSSF,2019e1,nc,000,0034,0000002,3151428,115174,93444,125341,265671,309870,457306,415967,368072,200852,220386,96438,41494,225467,215946,2679288,95090,75310,108340,224348,270725,394366,368759,320202,172770,182182,81450,33239,180417,172090,293131,13512,10908,11360,28070,28192,47681,32418,26000,15740,19539,7448,4597,20936,26730,51180,1210,1814,1158,2924,3471,6701,5189,7718,3627,5000,2157,708,6849,2654,72594,2301,1471,3159,4792,3658,3592,6308,8090,5832,9594,3031,1949,10284,8533,55235,3061,3941,1324,5537,3824,4966,3293,6062,2883,4071,2352,1001,6981,5939,76876975,3233925,2927415,3474070,7905035,7935680,12428105,9480410,8618180,4136710,4562430,2026910,923865,4637095,4587145,3151428,115174,93444,125341,265671,309870,457306,415967,368072,200852,799731,2679288,95090,75310,108340,224348,270725,394366,368759,320202,172770,649378,293131,13512,10908,11360,28070,28192,47681,32418,26000,15740,79250,51180,1210,1814,1158,2924,3471,6701,5189,7718,3627,17368,127829,5362,5412,4483,10329,7482,8558,9601,14152,8715,53735
ACSSF,2019e1,nc,000,0034,0000003,1455268,70207,64205,84019,156202,166328,248294,186867,144730,49697,62668,33119,17609,84422,86901,1279583,60675,52636,73170,138146,146648,219678,169038,126900,44120,53614,28878,14621,73185,78274,138283,7130,10378,9667,14431,17799,23063,14863,11026,3546,5222,3222,2086,8780,7070,4428,249,26,0,1218,291,893,496,234,590,125,0,82,224,0,15365,450,302,398,909,998,1820,1690,3645,929,2224,429,678,609,284,17609,1703,863,784,1498,592,2840,780,2925,512,1483,590,142,1624,1273,41321715,2730435,2329410,2898585,5254600,4729070,7145040,4521280,3503585,1071760,1584060,767445,372520,2181290,2232635,1455268,70207,64205,84019,156202,166328,248294,186867,144730,49697,284719,1279583,60675,52636,73170,138146,146648,219678,169038,126900,44120,248572,138283,7130,10378,9667,14431,17799,23063,14863,11026,3546,26380,4428,249,26,0,1218,291,893,496,234,590,431,32974,2153,1165,1182,2407,1590,4660,2470,6570,1441,9336
ACSSF,2019e1,nc,000,0034,0000004,4380520,174788,144067,197996,395406,453975,669693,573733,490848,242909,273987,123036,56429,294663,288990,3764952,147050,117312,171120,341809,398025,583255,511354,427008,210325,227878,105405,46060,240579,237772,406541,18784,18801,20157,37835,43575,66797,45286,36355,18497,24112,9228,5910,28240,32964,55131,1459,1786,1158,4020,3647,7523,5579,7952,4217,5125,2157,790,7073,2645,85070,2731,1640,3557,5701,4421,4872,7766,10979,6557,11370,3412,2619,10718,8727,68826,4764,4528,2004,6041,4307,7246,3748,8554,3313,5502,2834,1050,8053,6882,111763780,5464540,4686800,5988480,12127615,12120385,18573225,13364390,11634530,5054370,5954925,2655160,1248765,6414930,6475665,4380520,174788,144067,197996,395406,453975,669693,573733,490848,242909,1037105,3764952,147050,117312,171120,341809,398025,583255,511354,427008,210325,857694,406541,18784,18801,20157,37835,43575,66797,45286,36355,18497,100454,55131,1459,1786,1158,4020,3647,7523,5579,7952,4217,17790,153896,7495,6168,5561,11742,8728,12118,11514,19533,9870,61167
ACSSF,2019e1,nc,000,0034,0000005,3819963,147731,124947,169049,343177,397034,586887,498120,431945,218364,246846,108775,49509,251849,245730,3278978,124627,101373,145122,295576,348402,510893,442467,375847,189072,205209,93006,40883,205922,200579,355791,15468,15910,17559,34193,37307,58557,40920,31947,16467,21080,7859,4833,23353,30338,53436,1396,1773,1151,3746,3487,7081,5268,7920,4128,5113,2157,777,6919,2520,72684,2282,1575,3339,5045,3983,4731,6200,8823,5780,10401,3066,1986,8805,6668,59074,3958,4316,1878,4617,3855,5625,3265,7408,2917,5043,2687,1030,6850,5625,97403445,4402670,3966945,4974170,10451590,10614585,16451705,11754215,10489830,4665690,5342555,2321285,1110885,5385445,5471875,3819963,147731,124947,169049,343177,397034,586887,498120,431945,218364,902709,3278978,124627,101373,145122,295576,348402,510893,442467,375847,189072,745599,355791,15468,15910,17559,34193,37307,58557,40920,31947,16467,87463,53436,1396,1773,1151,3746,3487,7081,5268,7920,4128,17486,131758,6240,5891,5217,9662,7838,10356,9465,16231,8697,52161
ACSSF,2019e1,nc,000,0034,0000006,1654024,60765,44422,53895,126640,144907,228910,230488,206606,122850,124239,53530,23600,123943,109229,1373649,49206,33799,44102,104216,123099,194266,201960,177906,103304,100830,44400,18850,95755,81956,153558,7426,4962,5006,13812,13094,23677,18577,14022,10401,9400,3511,2015,11967,15688,43281,924,1760,1135,1975,3196,5873,3967,6657,3363,3906,1797,708,5500,2520,51342,1789,1264,2818,4006,3150,2594,4064,4628,4225,7536,1968,1416,7048,4836,32194,1420,2637,834,2631,2368,2500,1920,3393,1557,2567,1854,611,3673,4229,38256810,1508540,1298520,1333575,3457695,3487990,6237135,5063955,4662515,2473290,2456420,1034770,567135,2483015,2192260,1654024,60765,44422,53895,126640,144907,228910,230488,206606,122850,434541,1373649,49206,33799,44102,104216,123099,194266,201960,177906,103304,341791,153558,7426,4962,5006,13812,13094,23677,18577,14022,10401,42581,43281,924,1760,1135,1975,3196,5873,3967,6657,3363,14431,83536,3209,3901,3652,6637,5518,5094,5984,8021,5782,35738
ACSSF,2019e1,nc,000,0034,0000007,2165939,86966,80525,115154,216537,252127,357977,267632,225339,95514,122607,55245,25909,127906,136501,1905329,75421,67574,101020,191360,225303,316627,240507,197941,85768,104379,48606,22033,110167,118623,202233,8042,10948,12553,20381,24213,34880,22343,17925,6066,11680,4348,2818,11386,14650,10155,472,13,16,1771,291,1208,1301,1263,765,1207,360,69,1419,0,21342,493,311,521,1039,833,2137,2136,4195,1555,2865,1098,570,1757,1832,26880,2538,1679,1044,1986,1487,3125,1345,4015,1360,2476,833,419,3177,1396,59146635,2894135,2668430,3640595,6993895,7126595,10214570,6690260,5827320,2192400,2886135,1286515,543745,2902425,3279615,2165939,86966,80525,115154,216537,252127,357977,267632,225339,95514,468168,1905329,75421,67574,101020,191360,225303,316627,240507,197941,85768,403808,202233,8042,10948,12553,20381,24213,34880,22343,17925,6066,44882,10155,472,13,16,1771,291,1208,1301,1263,765,3055,48222,3031,1990,1565,3025,2320,5262,3481,8210,2915,16423
ACSSF,2019e1,nc,000,0034,0000008,560557,27057,19120,28947,52229,56941,82806,75613,58903,24545,27141,14261,6920,42814,43260,485974,22423,15939,25998,46233,49623,72362,68887,51161,21253,22669,12399,5177,34657,37193,50750,3316,2891,2598,3642,6268,8240,4366,4408,2030,3032,1369,1077,4887,2626,1695,63,13,7,274,160,442,311,32,89,12,0,13,154,125,12386,449,65,218,656,438,141,1566,2156,777,969,346,633,1913,2059,9752,806,212,126,1424,452,1621,483,1146,396,459,147,20,1203,1257,14360330,1061870,719850,1014310,1676020,1505805,2121525,1610175,1144700,388680,612375,333875,137880,1029485,1003785,560557,27057,19120,28947,52229,56941,82806,75613,58903,24545,134396,485974,22423,15939,25998,46233,49623,72362,68887,51161,21253,112095,50750,3316,2891,2598,3642,6268,8240,4366,4408,2030,12991,1695,63,13,7,274,160,442,311,32,89,304,22138,1255,277,344,2080,890,1762,2049,3302,1173,9006
ACSSF,2019e1,nc,000,0034,0000009,133503,4591,4564,6744,9565,14009,17047,17100,14110,8238,7724,3890,1331,12092,12498,110783,3377,4114,5659,8032,11765,15704,15494,11819,6596,6239,3066,698,8367,9853,13812,425,450,1042,835,1953,1315,1092,1427,1188,719,459,569,1245,1093,241,51,0,7,0,29,0,2,32,0,0,0,13,29,78,5629,390,0,0,125,108,0,390,690,335,629,294,51,1612,1005,3038,348,0,36,573,154,28,122,142,119,137,71,0,839,469,3060205,134620,177645,192545,332035,353345,393100,311415,267480,125670,133170,170580,14975,244775,208855,133503,4591,4564,6744,9565,14009,17047,17100,14110,8238,37535,110783,3377,4114,5659,8032,11765,15704,15494,11819,6596,28223,13812,425,450,1042,835,1953,1315,1092,1427,1188,4085,241,51,0,7,0,29,0,2,32,0,120,8667,738,0,36,698,262,28,512,832,454,5107
ACSSF,2019e1,nc,000,0034,0000010,427054,22466,14556,22203,42664,42932,65759,58513,44793,16307,19417,10371,5589,30722,30762,375191,19046,11825,20339,38201,37858,56658,53393,39342,14657,16430,9333,4479,26290,27340,36938,2891,2441,1556,2807,4315,6925,3274,2981,842,2313,910,508,3642,1533,1454,12,13,0,274,131,442,309,0,89,12,0,0,125,47,6757,59,65,218,531,330,141,1176,1466,442,340,52,582,301,1054,6714,458,212,90,851,298,1593,361,1004,277,322,76,20,364,788,11300125,927245,542210,821765,1343990,1152455,1728425,1298755,877220,263010,479205,163300,122905,784710,794930,427054,22466,14556,22203,42664,42932,65759,58513,44793,16307,96861,375191,19046,11825,20339,38201,37858,56658,53393,39342,14657,83872,36938,2891,2441,1556,2807,4315,6925,3274,2981,842,8906,1454,12,13,0,274,131,442,309,0,89,184,13471,517,277,308,1382,628,1734,1537,2470,719,3899
