ACSSF,2019m1,nc,000,0087,0000001,4281,2998,2453,216,2453,74,216,119,216,250,216,252,315,877,541,680,1327,1052,608,722,451,802,252,419,417,2261,1555,1773,468,880,469,624,1400,352,453,347,349,205,167,225,204,101,216,131,58,58,216,216,2774,2450,216,2450,216,216,88,118,252,599,449,249,579,320,871,361,541,626,817,428,625,360,689,509,2109,1639,1911,731,920,492,295,323,456,579,261,230,191,432,252,194,83,203,116,181,216,149,214,5278,3447,3521,216,3521,67,216,155,270,321,403,693,345,1276,498,1142,1414,1260,868,979,939,1072,1113,2074,2451,2787,1710,2341,1147,522,495,716,570,334,475,235,491,434,657,911,597,263,438,141,313,402,524,559,3065,3452,216,3452,216,216,510,160,640,549,703,537,474,787,989,1190,1073,1053,824,623,940,1118,1399,1436,3822,3733,2924,1050,952,829,573,925,369,1161,652,669,665,606,957,713,618,515,679,409,206,428,355
ACSSF,2019m1,nc,000,0087,0000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5673,3200,3171,216,3171,67,216,155,270,320,403,535,332,1257,529,967,1393,992,865,841,769,946,1095,2065,2337,2767,1756,2103,1120,497,461,716,471,324,475,235,491,399,722,860,597,167,438,141,301,392,348,472,3433,3186,216,3186,216,216,510,160,522,517,708,504,474,758,1035,1136,971,1015,744,599,950,1005,1336,1401,3823,3270,2474,1000,896,824,545,740,373,1042,632,597,632,441,651,678,465,416,679,409,195,428,258
ACSSF,2019m1,nc,000,0087,0000003,3632,2327,1542,216,1542,216,216,119,216,225,216,251,199,460,321,590,668,845,429,699,438,334,116,221,321,1885,1506,1221,174,496,449,554,486,134,381,275,349,205,137,171,204,101,216,131,58,216,216,216,2069,1504,216,1504,216,216,88,216,213,493,337,237,512,309,578,315,427,354,435,288,415,180,414,418,1703,1661,1076,383,363,416,238,173,364,242,213,162,191,378,183,131,83,192,69,181,216,216,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0087,0000004,4289,3033,2520,216,2520,74,216,119,216,229,216,253,304,898,540,697,1320,1055,609,713,441,802,249,335,420,2116,1428,1771,471,811,460,624,1400,361,453,347,338,205,162,225,153,70,216,131,216,58,216,216,2672,2345,216,2345,216,216,88,118,241,534,449,249,562,297,867,351,541,624,822,423,621,360,689,509,2035,1602,1861,721,910,457,295,323,432,575,261,230,191,430,252,194,83,203,111,181,216,149,214,4854,3150,3437,216,3437,67,216,155,270,321,403,693,345,1286,498,1084,1414,1208,863,979,945,1072,1113,2077,2452,2959,1795,2347,1155,522,495,716,570,334,475,235,491,434,729,911,597,263,438,141,313,402,524,559,2914,3445,216,3445,216,216,510,160,640,547,709,537,473,787,989,1202,1074,1033,827,609,940,1118,1399,1422,3646,3522,2940,1044,902,860,568,925,369,1162,652,669,647,595,957,713,618,515,679,409,206,428,355
ACSSF,2019m1,nc,000,0087,0000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4799,3092,3335,216,3335,67,216,155,270,321,403,691,345,1136,498,976,1383,1159,866,945,945,1072,1092,2078,2454,3026,1826,2327,1163,521,495,716,562,334,475,235,491,399,729,908,597,263,438,141,312,402,521,549,2763,3469,216,3469,216,216,510,160,640,547,706,504,477,748,912,1196,1071,1025,827,652,944,1118,1368,1410,3582,3523,2762,1016,900,851,568,936,366,1150,638,638,644,587,723,713,587,515,679,376,206,428,355
ACSSF,2019m1,nc,000,0087,0000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5432,3017,2593,216,2593,67,216,155,270,239,160,524,295,798,319,782,1020,983,810,630,676,780,966,1666,1805,2462,1793,1913,788,501,461,435,280,285,264,216,491,351,709,798,597,99,372,114,283,302,383,390,3231,2695,216,2695,216,216,510,77,513,478,548,369,462,693,760,958,768,845,579,652,771,814,1159,1212,3482,2963,2198,917,691,670,531,712,350,1017,557,433,486,387,351,628,465,515,173,320,195,384,258
ACSSF,2019m1,nc,000,0087,0000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4879,2862,2747,216,2747,216,216,216,216,217,354,468,165,669,422,589,850,654,365,673,700,871,553,1192,1599,2426,1383,1765,903,252,121,617,439,196,393,97,38,202,165,519,216,240,200,85,124,259,418,378,3122,2196,216,2196,216,216,216,140,342,227,367,332,116,232,609,634,709,594,517,179,686,617,621,825,2309,2189,1878,543,547,498,270,643,218,597,353,462,432,378,662,326,356,216,670,242,90,191,279
ACSSF,2019m1,nc,000,0087,0000008,2156,1445,1541,216,1541,216,216,110,216,210,216,246,198,418,327,634,917,689,510,366,404,334,187,190,317,1458,1103,1183,120,767,458,223,446,345,380,210,338,205,107,171,153,216,216,131,216,216,216,216,1353,1367,216,1367,216,216,88,216,240,484,370,226,438,279,562,288,370,410,457,308,418,180,373,376,1359,1346,1023,398,421,345,252,182,211,226,235,120,191,237,198,131,83,203,62,181,216,216,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0087,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0087,0000010,2129,1270,1367,216,1367,216,216,110,216,210,216,246,198,418,327,634,497,689,526,366,387,334,192,195,317,1443,1129,1183,120,767,458,223,446,345,380,210,338,205,107,171,153,216,216,131,216,216,216,216,1465,1320,216,1320,216,216,88,216,212,420,370,226,438,279,508,288,352,380,439,308,418,180,373,376,1391,1350,972,377,411,345,259,182,211,210,213,120,191,237,183,131,83,203,62,181,216,216,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
