ACSSF,2019m1,nc,000,0008,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3698,10358,11753,6288,10138,2904,9358,3698,9051,919,1239,694,305,1601,5229,2152,1592,461,3603,282,381,3260,2293,173,994,1372,331,593,2367,2015,308,1261,991,464,122,1180,558,10138,3698,10358,11753,6288,10138
ACSSF,2019m1,nc,000,0008,0000012,2195,216,332,216,17306,1282,283,216,216,1042,176,216,135,454,202,231,216,99,960,216,206,623,1925,117,300,788,216,528,250,216,1476,303,669,2005,613,8165,31,4023,1171,3287,1122,6166,216,712,216,1344,197,125,6659,153,4267,196,449,199,216,130,68,572,1967,114,2426,995,241,1391,874,5609,3822,97,412,428,322,216,2849,216,784,138,153,216,371,216,216,216,38,216,45,216,2607,135,1546,693,586,939,2030,1403,68,216,140,216,53,216,374,1165,497,216,248,216,316,13301,18260,2195,18461,20605,11075,18260,5118,16585,2195,17306,1282,1925,1476,669,2005,8165,4023,3287,1122,6166,712,1344,6659,4267,449,1967,2426,995,1391,5609,3822,428,2849,1546,693,939,2030,1403,18260,2195,18461,20605,11075,18260
ACSSF,2019m1,nc,000,0008,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5950,5799,3993,5950,871,5979,0,2550,220,770,74,286,992,2555,1074,707,348,2898,740,473,2136,1040,153,329,988,35,416,1278,905,320,1740,534,67,69,895,682,5950,0,5950,5799,3993,5950
ACSSF,2019m1,nc,000,0008,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3868,3946,3880,3868,1666,4057,0,3033,820,779,651,319,735,3108,1074,1507,298,2383,373,648,2246,2233,353,799,1210,150,279,1413,1157,217,204,333,163,173,772,426,3868,0,3868,3946,3880,3868
ACSSF,2019m1,nc,000,0008,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5456,6719,5913,5456,1617,5348,0,3287,315,957,492,994,896,5392,1965,1738,360,3329,1728,421,3005,2254,169,944,952,303,2330,1936,1895,526,444,961,310,1286,782,274,5456,0,5456,6719,5913,5456
ACSSF,2019m1,nc,000,0008,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2957,3406,2512,2957,1481,2383,0,3624,1030,197,131,272,176,1342,855,458,261,1970,216,133,1403,544,216,200,385,216,157,786,510,216,1009,421,316,216,329,216,2957,0,2957,3406,2512,2957
ACSSF,2019m1,nc,000,0008,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5578,7535,6122,5578,2104,5867,0,5897,1589,1548,190,639,925,2282,1525,868,362,3698,227,129,2688,2161,216,513,1393,142,242,1811,1059,847,2802,670,200,1248,1092,667,5578,0,5578,7535,6122,5578
ACSSF,2019m1,nc,000,0008,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2008,3521,3034,2008,909,1785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2008,3521,3034,2008
ACSSF,2019m1,nc,000,0008,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2370,2531,2209,2370,650,2256,0,1637,144,458,183,89,534,2154,609,1205,506,1559,285,199,1565,570,21,309,446,488,127,753,741,72,453,318,100,56,268,102,2370,0,2370,2531,2209,2370
ACSSF,2019m1,nc,000,0008,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4842,4864,4618,4842,1080,4816,0,3140,342,899,194,216,997,2587,1387,1600,605,3448,161,426,2989,1312,216,364,1229,370,995,1385,1236,84,329,306,528,232,602,362,4842,0,4842,4864,4618,4842
ACSSF,2019m1,nc,000,0008,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3071,3822,2978,3071,1641,2738,0,1546,53,401,377,332,259,2031,1761,1399,251,2190,453,303,1499,1217,218,637,848,282,613,507,586,151,216,703,168,182,467,278,3071,0,3071,3822,2978,3071
ACSSF,2019m1,nc,000,0008,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3235,4318,2770,3235,1503,2616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3235,4318,2770,3235
ACSSF,2019m1,nc,000,0008,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2789,3455,2741,2789,720,2713,0,2418,1067,671,116,86,265,2768,1337,1377,1029,2014,308,73,1955,1468,216,298,865,775,241,723,710,97,490,489,179,266,348,606,2789,0,2789,3455,2741,2789
ACSSF,2019m1,nc,000,0008,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5473,6295,5091,5473,1384,5353,0,3252,691,888,357,719,807,3311,2184,1283,728,3575,749,604,3194,1955,163,1192,1153,367,405,1081,1371,343,965,1214,546,278,426,1358,5473,0,5473,6295,5091,5473
ACSSF,2019m1,nc,000,0008,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6368,5382,3586,6368,1301,6498,0,2896,118,388,42,311,597,2625,1328,633,804,3170,339,137,2286,1059,131,422,612,150,69,859,868,77,503,375,134,439,242,216,6368,0,6368,5382,3586,6368
ACSSF,2019m1,nc,000,0008,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4938,7944,5841,4938,1852,4567,0,2863,1866,1147,506,626,541,2791,1586,1333,769,3556,468,413,2490,1882,624,792,1685,547,590,1425,1181,542,3285,989,369,473,757,1608,4938,0,4938,7944,5841,4938
ACSSF,2019m1,nc,000,0008,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7742,8761,6787,7742,2432,7553,0,3129,704,1155,369,331,1238,4559,1655,1465,492,4885,573,513,3575,2028,441,743,977,596,677,1398,2585,201,1295,822,533,238,2042,832,7742,0,7742,8761,6787,7742
ACSSF,2019m1,nc,000,0008,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3476,3577,2306,3476,1214,3692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3476,3577,2306,3476
ACSSF,2019m1,nc,000,0008,0000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4143,4614,3867,4143,1563,3855,0,4305,273,935,76,216,1324,1721,2142,654,364,2780,508,285,3043,1308,119,330,1138,116,313,1748,1234,154,2839,320,61,111,689,453,4143,0,4143,4614,3867,4143
ACSSF,2019m1,nc,000,0008,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7885,8619,6618,7885,2525,7334,0,6294,2331,870,469,599,793,3756,2779,2083,460,4465,489,1229,3782,2699,510,611,1649,159,293,3290,1821,303,6160,900,320,102,775,2500,7885,0,7885,8619,6618,7885
ACSSF,2019m1,nc,000,0008,0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4556,4733,3725,4556,1366,4070,0,1732,62,920,47,533,697,2527,1120,1422,228,2424,285,182,1722,1744,34,407,884,37,1471,1262,1455,268,517,994,120,124,400,834,4556,0,4556,4733,3725,4556
ACSSF,2019m1,nc,000,0008,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3844,4184,3728,3844,1001,3826,0,2734,206,725,290,360,654,3188,776,1089,328,2945,98,761,3475,1210,135,545,610,149,323,1286,1180,112,379,520,217,252,1091,180,3844,0,3844,4184,3728,3844
ACSSF,2019m1,nc,000,0008,0000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5057,5830,4718,5057,1321,4942,0,2860,613,426,458,208,656,1906,1396,1267,1562,3660,710,311,3201,2626,482,496,1350,213,256,1165,995,399,561,537,297,404,634,390,5057,0,5057,5830,4718,5057
ACSSF,2019m1,nc,000,0008,0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5283,8118,6580,5283,1981,4628,0,5254,1290,1099,38,121,253,4630,4916,1880,654,3481,397,415,3955,2550,216,362,2240,216,1209,1779,1666,377,3388,1624,332,559,825,64,5283,0,5283,8118,6580,5283
ACSSF,2019m1,nc,000,0008,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3205,4016,3170,3205,853,3034,0,2118,113,251,216,283,598,2039,1085,672,1294,3518,376,191,2985,1083,216,255,602,362,225,850,1525,136,1504,518,708,410,618,216,3205,0,3205,4016,3170,3205
ACSSF,2019m1,nc,000,0008,0000036,0,216,283,216,6492,3244,314,216,1948,841,216,142,1196,1718,654,487,216,162,1152,216,255,1388,1691,225,72,732,216,204,282,216,1227,930,337,1511,1036,5651,216,3755,595,2600,1154,5546,216,1740,360,930,129,935,6193,138,4588,145,562,216,1417,117,216,447,1340,88,3055,851,2942,1889,1173,3364,3459,448,196,765,314,216,6192,132,1426,923,157,1022,1328,130,216,1726,410,927,216,184,5023,1520,1782,787,1151,1905,1237,2130,216,167,172,216,328,216,489,2006,515,63,775,216,264,11530,10193,0,10193,13535,10222,10193,3293,9480,0,6492,3244,1691,1227,337,1511,5651,3755,2600,1154,5546,1740,930,6193,4588,562,1340,3055,851,1889,3364,3459,765,6192,1782,787,1905,1237,2130,10193,0,10193,13535,10222,10193
