ACSSF,2019e1,nc,000,0174,0000011,571296,40303,15523,1613,13910,20801,4537,16264,3979,1063,2916,53668,15816,2064,13752,26266,7195,19071,11586,4332,7254,56464,14536,2120,12416,28535,11105,17430,13393,6995,6398,15353,4003,997,3006,7547,3652,3895,3803,2342,1461,66805,17085,5512,11573,33597,16092,17505,16123,7607,8516,63363,12813,7795,5018,35675,22295,13380,14875,8407,6468,46523,7817,5166,2651,27514,18778,8736,11192,7112,4080,82437,15396,12000,3396,46539,35795,10744,20502,14423,6079,146380,16550,14946,1604,86779,75495,11284,43051,32638,10413,571296,93971,31339,30309,1030,47067,30317,16750,15565,15225,340,56464,14536,13339,1197,28535,19086,9449,13393,13301,92,82158,21088,18988,2100,41144,27767,13377,19926,19796,130,192323,36026,33240,2786,109728,86821,22907,46569,46186,383,146380,16550,16191,359,86779,78572,8207,43051,43051,0,571296,93971,31339,3677,27662,47067,11732,35335,15565,5395,10170,56464,14536,2120,12416,28535,11105,17430,13393,6995,6398,82158,21088,6509,14579,41144,19744,21400,19926,9949,9977,192323,36026,24961,11065,109728,76868,32860,46569,29942,16627,146380,16550,14946,1604,86779,75495,11284,43051,32638,10413
ACSSF,2019e1,nc,000,0174,0000012,1919647,162808,62204,5712,56492,87448,24282,63166,13156,4934,8222,185019,57922,6512,51410,94530,26050,68480,32567,12351,20216,166058,43845,8761,35084,84980,32927,52053,37233,17331,19902,50794,13813,2996,10817,24250,11908,12342,12731,6088,6643,194266,46782,16585,30197,101424,52767,48657,46060,22383,23677,204486,44323,25205,19118,117555,72262,45293,42608,26681,15927,162263,32983,21132,11851,95234,67356,27878,34046,20248,13798,263827,48289,37668,10621,154509,123856,30653,61029,42094,18935,530126,68517,61557,6960,325016,291406,33610,136593,101631,34962,1919647,347827,120126,115138,4988,181978,123045,58933,45723,44898,825,166058,43845,41371,2474,84980,58392,26588,37233,37034,199,245060,60595,55788,4807,125674,87051,38623,58791,58629,162,630576,125595,114551,11044,367298,293259,74039,137683,136775,908,530126,68517,66563,1954,325016,301252,23764,136593,136302,291,1919647,347827,120126,12224,107902,181978,50332,131646,45723,17285,28438,166058,43845,8761,35084,84980,32927,52053,37233,17331,19902,245060,60595,19581,41014,125674,64675,60999,58791,28471,30320,630576,125595,84005,41590,367298,263474,103824,137683,89023,48660,530126,68517,61557,6960,325016,291406,33610,136593,101631,34962
ACSSF,2019e1,nc,000,0174,0000013,165380,11401,5042,347,4695,5603,786,4817,756,515,241,13848,4487,834,3653,7063,2742,4321,2298,1208,1090,8383,1843,245,1598,4566,1236,3330,1974,687,1287,3859,988,0,988,2050,1212,838,821,656,165,15195,4526,1600,2926,8015,4930,3085,2654,1221,1433,13861,3349,2021,1328,7991,5417,2574,2521,1557,964,16917,4964,3383,1581,9273,6400,2873,2680,1775,905,27974,6923,5941,982,17202,15523,1679,3849,2616,1233,53942,8150,7496,654,34884,32404,2480,10908,7038,3870,165380,25249,9529,9056,473,12666,8657,4009,3054,3054,0,8383,1843,1843,0,4566,2503,2063,1974,1974,0,19054,5514,5283,231,10065,7689,2376,3475,3475,0,58752,15236,14857,379,34466,29142,5324,9050,8987,63,53942,8150,7923,227,34884,33070,1814,10908,10908,0,165380,25249,9529,1181,8348,12666,3528,9138,3054,1723,1331,8383,1843,245,1598,4566,1236,3330,1974,687,1287,19054,5514,1600,3914,10065,6142,3923,3475,1877,1598,58752,15236,11345,3891,34466,27340,7126,9050,5948,3102,53942,8150,7496,654,34884,32404,2480,10908,7038,3870
ACSSF,2019e1,nc,000,0174,0000014,141678,7551,3199,669,2530,3480,882,2598,872,700,172,5775,1758,878,880,2623,1298,1325,1394,960,434,6022,1311,258,1053,2856,1806,1050,1855,1219,636,1832,263,0,263,861,318,543,708,279,429,11677,3189,980,2209,6665,2733,3932,1823,1230,593,13991,2910,1838,1072,7294,4892,2402,3787,2355,1432,8802,958,633,325,4558,2943,1615,3286,2504,782,22925,4319,3211,1108,12562,8853,3709,6044,4238,1806,63103,4968,4051,917,31546,29680,1866,26589,20721,5868,141678,13326,4957,4937,20,6103,4222,1881,2266,2266,0,6022,1311,1311,0,2856,2039,817,1855,1855,0,13509,3452,3452,0,7526,5108,2418,2531,2398,133,45718,8187,7546,641,24414,19059,5355,13117,13041,76,63103,4968,4618,350,31546,30129,1417,26589,26589,0,141678,13326,4957,1547,3410,6103,2180,3923,2266,1660,606,6022,1311,258,1053,2856,1806,1050,1855,1219,636,13509,3452,980,2472,7526,3051,4475,2531,1509,1022,45718,8187,5682,2505,24414,16688,7726,13117,9097,4020,63103,4968,4051,917,31546,29680,1866,26589,20721,5868
ACSSF,2019e1,nc,000,0174,0000015,254197,8383,2030,628,1402,5470,1935,3535,883,291,592,22559,6156,1775,4381,11784,3945,7839,4619,902,3717,22277,5396,2906,2490,11851,6071,5780,5030,1233,3797,5233,1003,311,692,2961,1629,1332,1269,365,904,25201,5530,2509,3021,14219,8482,5737,5452,2886,2566,23645,4006,1982,2024,14901,9002,5899,4738,1751,2987,19623,3214,2239,975,13315,10215,3100,3094,1064,2030,43051,9141,7248,1893,26400,20096,6304,7510,4473,3037,84225,12847,12182,665,51995,46350,5645,19383,13525,5858,254197,30942,8186,7588,598,17254,11377,5877,5502,5502,0,22277,5396,4581,815,11851,8216,3635,5030,5030,0,30434,6533,6176,357,17180,11745,5435,6721,6721,0,86319,16361,13922,2439,54616,43215,11401,15342,15342,0,84225,12847,12671,176,51995,48641,3354,19383,19383,0,254197,30942,8186,2403,5783,17254,5880,11374,5502,1193,4309,22277,5396,2906,2490,11851,6071,5780,5030,1233,3797,30434,6533,2820,3713,17180,10111,7069,6721,3251,3470,86319,16361,11469,4892,54616,39313,15303,15342,7288,8054,84225,12847,12182,665,51995,46350,5645,19383,13525,5858
ACSSF,2019e1,nc,000,0174,0000016,88172,5926,1092,71,1021,4559,1120,3439,275,59,216,12634,5505,671,4834,6259,1570,4689,870,164,706,5892,1922,87,1835,2652,887,1765,1318,827,491,1379,319,194,125,667,303,364,393,214,179,8195,1957,1202,755,3910,2027,1883,2328,1667,661,8435,2038,1585,453,4995,3930,1065,1402,740,662,6951,743,330,413,4672,3486,1186,1536,574,962,14888,2319,1852,467,8666,7431,1235,3903,2839,1064,23872,1727,1614,113,15785,14213,1572,6360,4086,2274,88172,18560,6597,6300,297,10818,7077,3741,1145,1120,25,5892,1922,1873,49,2652,1563,1089,1318,1318,0,9574,2276,2276,0,4577,3339,1238,2721,2721,0,30274,5100,4888,212,18333,15674,2659,6841,6841,0,23872,1727,1727,0,15785,14836,949,6360,6360,0,88172,18560,6597,742,5855,10818,2690,8128,1145,223,922,5892,1922,87,1835,2652,887,1765,1318,827,491,9574,2276,1396,880,4577,2330,2247,2721,1881,840,30274,5100,3767,1333,18333,14847,3486,6841,4153,2688,23872,1727,1614,113,15785,14213,1572,6360,4086,2274
ACSSF,2019e1,nc,000,0174,0000017,214507,6824,1781,368,1413,3827,1413,2414,1216,637,579,8936,2726,341,2385,4530,1842,2688,1680,480,1200,12271,3263,297,2966,7236,2510,4726,1772,583,1189,3561,603,65,538,1937,1338,599,1021,335,686,16535,6570,2717,3853,7284,4902,2382,2681,1558,1123,18341,5061,3412,1649,10232,7910,2322,3048,2160,888,19756,5197,4431,766,12015,10391,1624,2544,765,1779,28263,7124,5191,1933,16702,13845,2857,4437,2276,2161,100020,25963,23825,2138,62691,56935,5756,11366,7485,3881,214507,15760,4507,4170,337,8357,5792,2565,2896,2855,41,12271,3263,3190,73,7236,4633,2603,1772,1772,0,20096,7173,6704,469,9221,7291,1930,3702,3686,16,66360,17382,15965,1417,38949,34539,4410,10029,9969,60,100020,25963,24823,1140,62691,58016,4675,11366,11366,0,214507,15760,4507,709,3798,8357,3255,5102,2896,1117,1779,12271,3263,297,2966,7236,2510,4726,1772,583,1189,20096,7173,2782,4391,9221,6240,2981,3702,1893,1809,66360,17382,13034,4348,38949,32146,6803,10029,5201,4828,100020,25963,23825,2138,62691,56935,5756,11366,7485,3881
ACSSF,2019e1,nc,000,0174,0000018,81004,3478,920,98,822,2398,303,2095,160,125,35,4618,1084,0,1084,2697,768,1929,837,266,571,8862,1601,287,1314,5103,1672,3431,2158,703,1455,2087,593,0,593,1182,91,1091,312,37,275,11894,3316,260,3056,6531,3603,2928,2047,1170,877,8962,2657,1723,934,4094,2976,1118,2211,1343,868,9351,2044,1685,359,5755,4960,795,1552,578,974,13531,3173,2026,1147,8986,7257,1729,1372,591,781,18221,2293,2126,167,10591,9483,1108,5337,3416,1921,81004,8096,2004,1689,315,5095,2490,2605,997,997,0,8862,1601,1459,142,5103,3346,1757,2158,2158,0,13981,3909,3864,45,7713,5502,2211,2359,2329,30,31844,7874,7324,550,18835,16083,2752,5135,5069,66,18221,2293,2293,0,10591,10342,249,5337,5337,0,81004,8096,2004,98,1906,5095,1071,4024,997,391,606,8862,1601,287,1314,5103,1672,3431,2158,703,1455,13981,3909,260,3649,7713,3694,4019,2359,1207,1152,31844,7874,5434,2440,18835,15193,3642,5135,2512,2623,18221,2293,2126,167,10591,9483,1108,5337,3416,1921
ACSSF,2019e1,nc,000,0174,0000019,67929,2932,574,319,255,1800,486,1314,558,348,210,3148,862,23,839,1659,675,984,627,243,384,2680,377,112,265,1249,451,798,1054,510,544,943,141,92,49,369,284,85,433,147,286,6678,1360,432,928,3167,1828,1339,2151,1122,1029,7989,2009,562,1447,3758,2383,1375,2222,1177,1045,5196,1435,1035,400,2755,2366,389,1006,396,610,10925,2345,1930,415,5976,4107,1869,2604,1888,716,27438,3903,3421,482,16632,15321,1311,6903,5462,1441,67929,6080,1436,1390,46,3459,2274,1185,1185,1185,0,2680,377,377,0,1249,799,450,1054,1018,36,7621,1501,1242,259,3536,2551,985,2584,2584,0,24110,5789,5422,367,12489,9632,2857,5832,5832,0,27438,3903,3642,261,16632,15846,786,6903,6903,0,67929,6080,1436,342,1094,3459,1161,2298,1185,591,594,2680,377,112,265,1249,451,798,1054,510,544,7621,1501,524,977,3536,2112,1424,2584,1269,1315,24110,5789,3527,2262,12489,8856,3633,5832,3461,2371,27438,3903,3421,482,16632,15321,1311,6903,5462,1441
ACSSF,2019e1,nc,000,0174,0000020,156293,13058,3639,356,3283,7484,1841,5643,1935,656,1279,10258,3660,0,3660,4973,1585,3388,1625,231,1394,7533,1865,289,1576,3079,1351,1728,2589,992,1597,3962,1333,996,337,1831,1373,458,798,379,419,14954,3889,602,3287,7043,4016,3027,4022,1463,2559,16711,4378,1911,2467,9826,6079,3747,2507,1474,1033,15638,3449,1882,1567,10276,7346,2930,1913,1207,706,24548,5701,3346,2355,14415,12596,1819,4432,2243,2189,49631,7700,5841,1859,33279,28638,4641,8652,5658,2994,156293,23316,7299,5870,1429,12457,7018,5439,3560,3560,0,7533,1865,1865,0,3079,1806,1273,2589,2589,0,18916,5222,4189,1033,8874,6736,2138,4820,4820,0,56897,13528,11609,1919,34517,28117,6400,8852,8807,45,49631,7700,5975,1725,33279,29600,3679,8652,8652,0,156293,23316,7299,356,6943,12457,3426,9031,3560,887,2673,7533,1865,289,1576,3079,1351,1728,2589,992,1597,18916,5222,1598,3624,8874,5389,3485,4820,1842,2978,56897,13528,7139,6389,34517,26021,8496,8852,4924,3928,49631,7700,5841,1859,33279,28638,4641,8652,5658,2994
